location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Adalar","Adalar",7.5,30.45,40.75,6.1389,6.817114,6.087,6.195082
"Adalar","Adalar",7.5,29.2,40.25,9.0106,10.00607,6.4884,6.600654
"Adalar","Adalar",6,29.05,41.05,5.3853,5.980258,5.9536,6.060225
"Adalar","Adalar",7.5,30.5,40.7,5.9322,6.587578,6.052,6.159641
"Adalar","Adalar",8,29.9,41.85,9.099,10.10424,6.4988,6.611175
"Adalar","Adalar",7,28.8,40.3,5.414,6.012128,5.959,6.065662
"Adalar","Adalar",6,29.7,39.8,.72604,.8062515,4.1385,4.222873
"Adalar","Adalar",8,29.85,40.95,14.794,16.42841,7.0299,7.147692
"Adalar","Adalar",8,28.6,41.35,13.765,15.28573,6.9496,7.066539
"Adalar","Adalar",6.5,28.3,40,1.697,1.884481,4.8558,4.949573
"Adalar","Adalar",8,29.75,39.65,8.2793,9.193981,6.3985,6.509862
"Adalar","Adalar",6,29.1,40.5,2.5952,2.881913,5.2432,5.341753
"Adalar","Adalar",6.5,29.4,41.25,4.2162,4.681998,5.7092,5.813082
"Adalar","Adalar",8,30.15,41.5,9.9639,11.06469,6.5961,6.70951
"Adalar","Adalar",7.5,28.95,41.25,12.718,14.12306,6.862,6.978117
"Adalar","Adalar",7,27.5,40.75,2.9154,3.237488,5.3527,5.452487
"Adalar","Adalar",6.5,29.1,41.1,7.8582,8.726359,6.3435,6.454246
"Adalar","Adalar",8,30.2,41.25,10.706,11.88878,6.6738,6.787921
"Adalar","Adalar",8,30.05,41.35,11.124,12.35296,6.7153,6.82995
"Adalar","Adalar",6,28.25,41.15,1.2496,1.387653,4.5884,4.678848
"Adalar","Adalar",6.5,28.85,39.85,1.7472,1.940227,4.8817,4.975878
"Adalar","Adalar",8,30.65,41.4,8.4705,9.406304,6.4227,6.534277
"Adalar","Adalar",6,30.5,40.95,.81424,.9041957,4.2309,4.316559
"Adalar","Adalar",7,29.25,41.35,6.6858,7.424435,6.1749,6.283929
"Adalar","Adalar",7,29.45,40.1,4.2577,4.728083,5.7189,5.822851
"Adalar","Adalar",7,29.9,40.25,4.0443,4.491107,5.6683,5.771677
"Adalar","Adalar",6.5,29.4,41.1,5.8547,6.501516,6.0386,6.146066
"Adalar","Adalar",7,29.7,41.9,3.1837,3.535429,5.4365,5.53723
"Adalar","Adalar",6,29,40.35,1.7512,1.944669,4.8838,4.977945
"Adalar","Adalar",6.5,29.5,40.8,6.1756,6.857869,6.0932,6.201262
"Adalar","Adalar",6.5,27.75,40.1,1.3986,1.553115,4.6857,4.777347
"Adalar","Adalar",7,30.55,40.3,2.9289,3.252479,5.3571,5.456914
"Adalar","Adalar",8,30.05,40.95,12.593,13.98425,6.8512,6.967124
"Adalar","Adalar",7,27.8,40.3,3.0947,3.436597,5.4094,5.509848
"Adalar","Adalar",6,30.2,40.5,.96577,1.072466,4.371,4.458595
"Adalar","Adalar",8,29.9,41.75,9.5865,10.6456,6.5546,6.667589
"Adalar","Adalar",7.5,29.5,41.8,6.3414,7.041986,6.1204,6.228779
"Adalar","Adalar",8,28.75,40.05,10.965,12.17639,6.6996,6.814134
"Adalar","Adalar",6.5,28.8,39.6,1.4014,1.556224,4.6874,4.779108
"Adalar","Adalar",6.5,29.7,41.75,1.8537,2.058493,4.9348,5.029543
"Adalar","Adalar",6,29.45,39.6,.64008,.7107948,4.0385,4.121503
"Adalar","Adalar",6.5,29.2,39.8,1.6958,1.883149,4.8551,4.948936
"Adalar","Adalar",6.5,29.5,41.05,5.4056,6.0028,5.9574,6.064073
"Adalar","Adalar",6.5,29.75,40.1,2.0089,2.230839,5.0074,5.10306
"Adalar","Adalar",6,29.2,42,.74497,.8272729,4.1591,4.243784
"Adalar","Adalar",7.5,29.3,41.6,7.8496,8.716809,6.3423,6.453083
"Adalar","Adalar",6,29.3,42,.74025,.8220314,4.154,4.238614
"Adalar","Adalar",7.5,28.7,40.85,15.19,16.86816,7.0595,7.177565
"Adalar","Adalar",6,29.05,40.9,14.02,15.5689,6.97,7.08715
"Adalar","Adalar",6,28.9,40.3,1.5351,1.704695,4.7671,4.859787
"Adalar","Adalar",7.5,30.35,40.4,5.9927,6.654762,6.0624,6.170128
"Adalar","Adalar",7.5,28.5,39.9,5.841,6.486302,6.0362,6.14365
"Adalar","Adalar",6,30.4,41.65,.67307,.7474295,4.0782,4.16173
"Adalar","Adalar",6,28.25,41.05,1.3165,1.461944,4.6333,4.724284
"Adalar","Adalar",6.5,29.45,39.8,1.653,1.83562,4.8324,4.925946
