location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Adana","Adana",6.5,36.2,36.8,1.8485,2.052719,4.9322,5.026987
"Adana","Adana",6,36.2,36.85,.91022,1.010779,4.322,4.408947
"Adana","Adana",7,36.2,36.85,3.6981,4.106659,5.5808,5.683281
"Adana","Adana",8,36.2,36.85,10.329,11.47013,6.635,6.748723
"Adana","Adana",7,36.2,36.95,3.9683,4.40671,5.6497,5.752867
"Adana","Adana",7,35.65,37.2,7.9763,8.857507,6.3592,6.47011
"Adana","Adana",7.5,36.2,37.05,7.3238,8.132919,6.2697,6.379667
"Adana","Adana",8,36.2,37.05,11.479,12.74718,6.7496,6.864538
"Adana","Adana",8,35.65,37.15,17.191,19.09023,7.1991,7.318491
"Adana","Adana",6,36.2,37.1,1.1307,1.255618,4.5032,4.592543
"Adana","Adana",7,36.2,37.15,4.5459,5.048122,5.7837,5.888439
"Adana","Adana",8,35.65,37.1,16.114,17.89424,7.1259,7.244611
"Adana","Adana",8,36.2,37.2,12.349,13.71329,6.8296,6.945378
"Adana","Adana",8,35.65,37.05,15.172,16.84817,7.0582,7.176222
"Adana","Adana",6,36.2,37.3,1.3085,1.453061,4.628,4.718959
"Adana","Adana",6,35.65,37,1.5676,1.740785,4.7855,4.878459
"Adana","Adana",6.5,36.2,37.45,2.8302,3.142875,5.3246,5.424122
"Adana","Adana",7.5,36.2,37.45,8.7573,9.72479,6.458,6.569984
"Adana","Adana",7.5,36.2,37.5,8.8195,9.793861,6.4655,6.577589
"Adana","Adana",7.5,33.8,37.6,5.1501,5.719073,5.9086,6.014657
"Adana","Adana",7,36.2,37.55,5.2736,5.856217,5.9324,6.038811
"Adana","Adana",7,36.2,37.6,5.2588,5.839782,5.9296,6.035944
"Adana","Adana",8,36.2,37.6,13.465,14.95259,6.9251,7.041844
"Adana","Adana",7,36.2,37.65,5.2159,5.792143,5.9213,6.02759
"Adana","Adana",8,35.65,36.85,12.372,13.73884,6.8316,6.947444
"Adana","Adana",8,36.2,37.65,13.383,14.86153,6.9183,7.035007
"Adana","Adana",6.5,36.2,37.8,2.6648,2.959202,5.268,5.366817
"Adana","Adana",6.5,35.65,36.8,2.3583,2.61884,5.1543,5.251718
"Adana","Adana",6,36.2,37.85,1.2666,1.406532,4.6,4.690592
"Adana","Adana",7.5,35.65,36.75,7.241,8.040972,6.2578,6.367676
"Adana","Adana",6.5,35.65,36.75,2.2181,2.463151,5.0978,5.194577
"Adana","Adana",6.5,36.2,37.95,2.4225,2.690133,5.1791,5.276883
"Adana","Adana",7,36.2,38.05,4.2513,4.720975,5.7174,5.82135
"Adana","Adana",7,35.55,38.7,3.0799,3.420161,5.4048,5.505227
"Adana","Adana",8,36.2,38.1,11.178,12.41292,6.7206,6.835275
"Adana","Adana",7.5,35.65,36.65,6.6291,7.36147,6.1661,6.275028
"Adana","Adana",8,36.2,38.15,10.886,12.08867,6.6918,6.806199
"Adana","Adana",7.5,36.2,38.2,6.6754,7.412886,6.1733,6.282301
"Adana","Adana",6,35.65,36.6,.88761,.9856715,4.3013,4.387977
"Adana","Adana",8,36.2,38.25,10.323,11.46347,6.6343,6.748089
"Adana","Adana",7,34.7,38,4.7795,5.30753,5.8337,5.938925
"Adana","Adana",7,36.2,38.3,3.568,3.962186,5.5461,5.648142
"Adana","Adana",7,36.2,38.4,3.3305,3.698447,5.4797,5.580938
"Adana","Adana",7,35.25,37.75,12.806,14.22078,6.8696,6.985798
"Adana","Adana",7,36.2,38.45,3.2203,3.576073,5.4474,5.548293
"Adana","Adana",7.5,34.05,37.05,5.444,6.045443,5.9646,6.071318
"Adana","Adana",7.5,36.2,38.5,5.5735,6.18925,5.9885,6.095418
"Adana","Adana",6,36.2,38.55,.70598,.7839753,4.1161,4.200189
"Adana","Adana",7.5,36.2,38.7,4.9928,5.544395,5.8774,5.98313
"Adana","Adana",6.5,35.1,37.5,7.6031,8.443076,6.3088,6.419234
"Adana","Adana",6.5,36.85,36.95,1.3911,1.544786,4.681,4.772615
"Adana","Adana",6,36.4,36.9,.82901,.9205974,4.2455,4.331376
"Adana","Adana",8,36.4,36.95,9.9667,11.0678,6.5964,6.709816
"Adana","Adana",6,36.05,36.5,.71736,.7966126,4.1288,4.213125
"Adana","Adana",7.5,34.55,37.3,8.0855,8.97877,6.3735,6.484591
"Adana","Adana",6.5,35.25,36.6,1.9087,2.11957,4.9611,5.056198
"Adana","Adana",6.5,35.95,38.65,1.5295,1.698476,4.7639,4.856534
"Adana","Adana",7.5,36.05,37.1,8.3506,9.273158,6.4076,6.519025
"Adana","Adana",8,34.85,36.45,8.8953,9.878036,6.4746,6.586791
"Adana","Adana",7,35.85,38.1,5.119,5.684537,5.9025,6.008493
"Adana","Adana",7.5,36.05,37.6,10.354,11.49789,6.6376,6.751362
"Adana","Adana",6,36.7,38,.74846,.8311484,4.1628,4.247589
"Adana","Adana",6.5,35.95,38.15,2.4483,2.718784,5.189,5.28683
"Adana","Adana",6.5,34.7,36.35,1.3736,1.525353,4.67,4.761486
"Adana","Adana",7.5,36,37.3,10.079,11.19251,6.6085,6.72201
"Adana","Adana",6.5,36.05,37.7,3.3836,3.757414,5.4949,5.596326
"Adana","Adana",8,36.25,37.3,12.409,13.77992,6.8349,6.950761
"Adana","Adana",6.5,35.85,36.5,1.6397,1.820851,4.8253,4.918695
"Adana","Adana",7.5,34.15,37.35,6.166,6.847208,6.0916,6.199649
"Adana","Adana",6,35.9,37,1.3232,1.469385,4.6376,4.728722
"Adana","Adana",6,36.7,37.25,.78635,.8732244,4.2026,4.287932
"Adana","Adana",7.5,36.05,36.45,5.3175,5.904967,5.9408,6.047275
"Adana","Adana",7,35.95,37.3,6.5029,7.221328,6.1463,6.254967
"Adana","Adana",6,34.9,37.9,1.754,1.947779,4.8852,4.979389
"Adana","Adana",8,35.25,37.1,16.794,18.64937,7.1726,7.291759
"Adana","Adana",8,36.25,36.4,8.1797,9.083378,6.3857,6.496942
