location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Adiyaman","Adiyaman",8,38.7,37.4,15.986,17.7521,7.1169,38.7,38.7,0,7.235535
"Adiyaman","Adiyaman",6,39.4,37.35,.87291,.9693475,4.2876,39.4,39.4,0,4.374092
"Adiyaman","Adiyaman",6,39.25,37.9,1.1313,1.256284,4.5037,39.25,39.25,0,4.592998
"Adiyaman","Adiyaman",6,37.75,38.55,.98,1.088269,4.3832,37.75,37.75,0,4.470911
"Adiyaman","Adiyaman",6.5,39.2,37.1,1.837,2.039948,4.9266,39.2,39.2,0,5.021311
"Adiyaman","Adiyaman",6.5,39.2,37.7,2.4908,2.765979,5.205,39.2,39.2,0,5.303014
"Adiyaman","Adiyaman",7.5,38.2,37.75,43.797,48.63561,8.306,38.2,38.2,0,8.435781
"Adiyaman","Adiyaman",8,39.2,38.3,10.674,11.85324,6.6705,39.2,39.2,0,6.784643
"Adiyaman","Adiyaman",6,38.4,38.05,3.2674,3.628376,5.4613,38.4,38.4,0,5.562366
"Adiyaman","Adiyaman",8,38.1,38.35,14.065,15.61887,6.9735,38.1,38.1,.01,7.090751
"Adiyaman","Adiyaman",8,38.4,38.8,9.7014,10.77319,6.5674,38.4,38.4,0,6.680507
"Adiyaman","Adiyaman",7,39.15,38.45,3.6203,4.020264,5.5602,39.15,39.15,0,5.662404
"Adiyaman","Adiyaman",7,37.75,36.8,3.3603,3.73154,5.4882,37.75,37.75,0,5.589601
"Adiyaman","Adiyaman",7.5,37.9,37.2,8.8207,9.795194,6.4657,37.9,37.9,0,6.577735
"Adiyaman","Adiyaman",7.5,39.45,37.5,6.3731,7.077188,6.1255,39.45,39.45,0,6.233966
"Adiyaman","Adiyaman",8,39.25,36.85,8.7973,9.76921,6.4628,39.25,39.25,0,6.57488
"Adiyaman","Adiyaman",8,39.15,38.7,9.0051,9.999967,6.4877,39.15,39.15,0,6.599997
"Adiyaman","Adiyaman",7,38.65,37.4,6.9278,7.693171,6.2118,38.65,38.65,0,6.321174
"Adiyaman","Adiyaman",7.5,39,38.55,6.3624,7.065306,6.1238,39,39,0,6.232218
"Adiyaman","Adiyaman",6,39.2,37.6,1.1839,1.314695,4.5423,39.2,39.2,0,4.632097
"Adiyaman","Adiyaman",7.5,36.7,38.2,4.991,5.542397,5.877,36.7,36.7,0,5.982763
"Adiyaman","Adiyaman",6,37.85,37.45,2.0284,2.252494,5.0162,37.85,37.85,.01,5.111938
"Adiyaman","Adiyaman",6.5,39.2,37.3,2.1001,2.332115,5.0478,39.2,39.2,0,5.143947
"Adiyaman","Adiyaman",8,38.5,38.35,13.916,15.45341,6.9617,38.5,38.5,0,7.078785
"Adiyaman","Adiyaman",7,38.25,39.05,2.8091,3.119444,5.3176,38.25,38.25,0,5.41698
"Adiyaman","Adiyaman",7.5,38.8,37.6,11.706,12.99926,6.771,38.8,38.8,.01,6.886152
"Adiyaman","Adiyaman",6,37.7,38.4,1.1321,1.257172,4.5043,37.7,37.7,0,4.593604
"Adiyaman","Adiyaman",8,39.1,37.1,10.432,11.58451,6.6456,39.1,39.1,.01,6.759559
"Adiyaman","Adiyaman",6,38.25,36.6,.72005,.7995997,4.1318,38.25,38.25,0,4.216157
"Adiyaman","Adiyaman",7,38.9,38.3,4.7015,5.220913,5.8172,38.9,38.9,0,5.922318
"Adiyaman","Adiyaman",8,36.85,37.85,9.1585,10.17031,6.5057,36.85,36.85,.01,6.618204
"Adiyaman","Adiyaman",6,39,38.95,.63017,.69979,4.0262,39,39,0,4.109068
"Adiyaman","Adiyaman",7.5,39.4,38.1,6.4775,7.193122,6.1423,39.4,39.4,0,6.250887
"Adiyaman","Adiyaman",6.5,37.7,37.75,4.0143,4.457792,5.6609,37.7,37.7,0,5.76429
"Adiyaman","Adiyaman",8,39.35,37.5,10.768,11.95763,6.68,39.35,39.35,.01,6.794248
"Adiyaman","Adiyaman",8,39.35,38.8,8.184,9.088153,6.3863,39.35,39.35,.01,6.497502
"Adiyaman","Adiyaman",7,36.65,38.1,2.7293,3.030828,5.2904,36.65,36.65,0,5.38953
"Adiyaman","Adiyaman",8,39.85,37.95,8.5267,9.468714,6.4297,39.85,39.85,.01,6.541359
"Adiyaman","Adiyaman",6,38.6,36.95,1.0202,1.13291,4.4167,38.6,38.6,.01,4.504878
"Adiyaman","Adiyaman",7.5,39.6,37.55,5.8821,6.531943,6.0433,39.6,39.6,.01,6.150884
"Adiyaman","Adiyaman",6,39.25,37.25,.93041,1.0332,4.3401,39.25,39.25,0,4.42729
"Adiyaman","Adiyaman",7,39.2,38.5,3.4204,3.798279,5.5053,39.2,39.2,0,5.606865
"Adiyaman","Adiyaman",6,38.1,37.35,2.1509,2.388527,5.0696,38.1,38.1,.01,5.166045
"Adiyaman","Adiyaman",6.5,39.05,36.8,1.5855,1.760663,4.7956,39.05,39.05,.01,4.888598
"Adiyaman","Adiyaman",7,39.4,37.45,3.7074,4.116987,5.5833,39.4,39.4,0,5.685751
"Adiyaman","Adiyaman",6.5,39.4,37.95,2.0113,2.233505,5.0084,39.4,39.4,0,5.104156
"Adiyaman","Adiyaman",7.5,39.1,36.9,5.8136,6.455875,6.0314,39.1,39.1,.01,6.138802
"Adiyaman","Adiyaman",7,38.15,39.1,2.7074,3.006509,5.2829,38.15,38.15,0,5.381872
"Adiyaman","Adiyaman",7.5,39.4,38.65,5.2024,5.777152,5.9187,39.4,39.4,0,6.024949
"Adiyaman","Adiyaman",6.5,38.5,36.55,1.4761,1.639177,4.7327,38.5,38.5,0,4.824979
"Adiyaman","Adiyaman",8,38.5,36.85,10.433,11.58562,6.6458,38.5,38.5,0,6.759664
"Adiyaman","Adiyaman",7,37.8,38.55,3.9956,4.437027,5.6564,37.8,37.8,.01,5.759661
"Adiyaman","Adiyaman",6.5,37.45,38.05,2.5675,2.851153,5.2332,37.45,37.45,0,5.331612
"Adiyaman","Adiyaman",7,37.25,38.2,3.8018,4.221816,5.6078,37.25,37.25,0,5.710508
"Adiyaman","Adiyaman",6.5,38,36.95,2.1572,2.395524,5.0723,38,38,0,5.168753
"Adiyaman","Adiyaman",6,39.2,38.15,1.0656,1.183326,4.4532,39.2,39.2,0,4.541856
"Adiyaman","Adiyaman",7,39.85,37.45,2.806,3.116002,5.3165,39.85,39.85,.01,5.415926
"Adiyaman","Adiyaman",6,36.65,37.45,.62264,.6914281,4.0168,36.65,36.65,0,4.099505
"Adiyaman","Adiyaman",7,38.5,38.6,4.0663,4.515537,5.6736,38.5,38.5,0,5.777062
"Adiyaman","Adiyaman",7.5,37.8,37.25,8.8245,9.799414,6.4661,37.8,37.8,.01,6.578198
"Adiyaman","Adiyaman",6,38.5,38.65,.96224,1.068546,4.368,38.5,38.5,0,4.455515
"Adiyaman","Adiyaman",7,39.05,38.9,2.8055,3.115446,5.3164,39.05,39.05,.01,5.415756
"Adiyaman","Adiyaman",6,38.35,36.95,1.0728,1.191321,4.4588,38.35,38.35,.01,4.547594
"Adiyaman","Adiyaman",7,38.45,39.1,2.7016,3.000068,5.2809,38.45,38.45,0,5.379835
"Adiyaman","Adiyaman",8,37,38.1,9.5615,10.61784,6.5518,37,37,0,6.664759
"Adiyaman","Adiyaman",7.5,38.65,38.35,8.6754,9.633842,6.448,38.65,38.65,0,6.559896
"Adiyaman","Adiyaman",6.5,38.05,37.15,2.849,3.163752,5.3309,38.05,38.05,.01,5.430445
"Adiyaman","Adiyaman",6,38.65,38.8,.78941,.8766225,4.2058,38.65,38.65,0,4.291116
"Adiyaman","Adiyaman",7.5,37.6,36.55,4.9497,5.496533,5.8687,37.6,37.6,.01,5.974336
"Adiyaman","Adiyaman",6.5,39.1,37.4,2.4406,2.710233,5.1861,39.1,39.1,.01,5.283871
"Adiyaman","Adiyaman",8,37.2,36.85,8.5343,9.477153,6.4306,37.2,37.2,0,6.542314
"Adiyaman","Adiyaman",7.5,38.75,37.5,11.438,12.70165,6.7457,38.75,38.75,0,6.860593
"Adiyaman","Adiyaman",8,39.15,37.3,11.253,12.49621,6.7278,39.15,39.15,0,6.842633
"Adiyaman","Adiyaman",8,39.35,38.35,9.7738,10.85359,6.5754,39.35,39.35,.01,6.688577
"Adiyaman","Adiyaman",8,38.35,38.85,9.4139,10.45393,6.5351,38.35,38.35,.01,6.647917
"Adiyaman","Adiyaman",8,37.25,38.6,8.9958,9.989639,6.4866,37.25,37.25,0,6.598884
"Adiyaman","Adiyaman",6,39.6,38.6,.61934,.6877635,4.0126,39.6,39.6,.01,4.095283
"Adiyaman","Adiyaman",8,39.55,37.9,9.8569,10.94587,6.5845,39.55,39.55,.01,6.697773
"Adiyaman","Adiyaman",7.5,37.5,37.6,8.8573,9.835837,6.4701,37.5,37.5,0,6.582187
"Adiyaman","Adiyaman",6.5,39.35,38.8,1.3585,1.508584,4.6604,39.35,39.35,.01,4.751782
"Adiyaman","Adiyaman",7.5,38.4,38.65,6.8063,7.558247,6.1934,38.4,38.4,0,6.302623
"Adiyaman","Adiyaman",7.5,38.8,38.65,6.3293,7.028549,6.1184,38.8,38.8,.01,6.226793
"Adiyaman","Adiyaman",6,38.55,38.35,1.4576,1.618633,4.7217,38.55,38.55,.01,4.813813
"Adiyaman","Adiyaman",7,38.55,39.05,2.7749,3.081466,5.306,38.55,38.55,.01,5.405302
"Adiyaman","Adiyaman",8,39.6,37.15,8.7067,9.6686,6.4518,39.6,39.6,.01,6.563762
"Adiyaman","Adiyaman",6.5,38.3,38.4,2.8831,3.201619,5.3421,38.3,38.3,.01,5.441822
"Adiyaman","Adiyaman",8,37.2,38.35,9.7591,10.83727,6.5738,37.2,37.2,0,6.686943
"Adiyaman","Adiyaman",6,37.65,38.8,.73503,.8162347,4.1483,37.65,37.65,0,4.232862
"Adiyaman","Adiyaman",7.5,39.6,38.45,5.2137,5.7897,5.9209,39.6,39.6,.01,6.02716
"Adiyaman","Adiyaman",6,38.1,37.15,1.4333,1.591648,4.707,38.1,38.1,.01,4.798954
"Adiyaman","Adiyaman",7,39.65,37.15,2.874,3.191514,5.3392,39.65,39.65,0,5.438797
"Adiyaman","Adiyaman",7,39.15,38.5,3.504,3.891115,5.5286,39.15,39.15,0,5.630435
"Adiyaman","Adiyaman",7,38.95,37.15,4.2309,4.698322,5.7126,38.95,38.95,0,5.816552
"Adiyaman","Adiyaman",6.5,39.7,37.6,1.5951,1.771324,4.8009,39.7,39.7,0,4.893994
"Adiyaman","Adiyaman",7.5,38.4,38.75,6.2593,6.950816,6.107,38.4,38.4,0,6.215235
"Adiyaman","Adiyaman",8,38.85,38.65,10.007,11.11255,6.6008,38.85,38.85,.01,6.714206
"Adiyaman","Adiyaman",7,39,38.55,3.6236,4.023929,5.5611,39,39,0,5.663297
"Adiyaman","Adiyaman",6,39.2,38.1,1.0983,1.219638,4.4786,39.2,39.2,0,4.567646
"Adiyaman","Adiyaman",8,38.3,38.95,8.8736,9.853938,6.472,38.3,38.3,.01,6.584164
"Adiyaman","Adiyaman",6,39.15,38.3,1.0002,1.1107,4.4001,39.15,39.15,0,4.488128
"Adiyaman","Adiyaman",7.5,38.5,38,16.206,17.99641,7.1323,38.5,38.5,0,7.251094
"Adiyaman","Adiyaman",6.5,39.75,37.3,1.4418,1.601087,4.7122,39.75,39.75,0,4.804177
"Adiyaman","Adiyaman",7,37.85,38.55,4.064,4.512983,5.673,37.85,37.85,.01,5.776501
"Adiyaman","Adiyaman",6.5,37.55,37.9,3.1041,3.447035,5.4123,37.55,37.55,.01,5.512773
"Adiyaman","Adiyaman",7.5,37.45,38.45,6.493,7.210334,6.1447,37.45,37.45,0,6.253379
"Adiyaman","Adiyaman",6,39.8,37.25,.62958,.6991348,4.0255,39.8,39.8,.01,4.108322
"Adiyaman","Adiyaman",7.5,37.3,37.5,7.2706,8.073842,6.2621,37.3,37.3,.01,6.371976
"Adiyaman","Adiyaman",6.5,37.45,38,2.6357,2.926887,5.2577,37.45,37.45,0,5.356409
"Adiyaman","Adiyaman",7,38.35,38.7,3.7378,4.150745,5.5912,38.35,38.35,.01,5.693784
"Adiyaman","Adiyaman",6,36.8,37.2,.63641,.7067193,4.034,36.8,36.8,.01,4.116918
"Adiyaman","Adiyaman",6,37.25,36.95,.72857,.809061,4.1412,37.25,37.25,0,4.225695
"Adiyaman","Adiyaman",6,36.85,37.5,.72383,.8037974,4.136,36.85,36.85,.01,4.220401
"Adiyaman","Adiyaman",7,39.85,37.9,2.8789,3.196955,5.3408,39.85,39.85,.01,5.440427
"Adiyaman","Adiyaman",8,39.85,38.1,8.3938,9.321131,6.413,39.85,39.85,.01,6.524543
"Adiyaman","Adiyaman",8,39.1,38.9,8.3063,9.223965,6.4019,39.1,39.1,.01,6.51334
"Adiyaman","Adiyaman",7,38.35,36.6,3.0615,3.399729,5.3991,38.35,38.35,.01,5.499454
"Adiyaman","Adiyaman",6,37.2,37.15,.80725,.8964335,4.2239,37.2,37.2,0,4.309466
"Adiyaman","Adiyaman",7.5,38,38.2,10.954,12.16418,6.6986,38,38,0,6.813032
"Adiyaman","Adiyaman",6.5,39.9,37.95,1.4,1.554669,4.6866,39.9,39.9,0,4.778228
"Adiyaman","Adiyaman",8,38.95,37.4,13.371,14.8482,6.9174,38.95,38.95,0,7.034003
"Adiyaman","Adiyaman",7,38.65,38.4,4.862,5.399145,5.8508,38.65,38.65,0,5.956228
"Adiyaman","Adiyaman",6.5,39.95,37.85,1.368,1.519134,4.6665,39.95,39.95,0,4.757898
"Adiyaman","Adiyaman",7.5,38.65,38.9,5.4747,6.079535,5.9703,38.65,38.65,0,6.077078
"Adiyaman","Adiyaman",8,38.6,38.75,9.8456,10.93332,6.5833,38.6,38.6,.01,6.696526
"Adiyaman","Adiyaman",6.5,37.6,36.7,1.5194,1.68726,4.758,37.6,37.6,.01,4.850641
"Adiyaman","Adiyaman",8,37.2,37.9,11.019,12.23636,6.705,37.2,37.2,0,6.819529
"Adiyaman","Adiyaman",6.5,38.75,39,1.4069,1.562332,4.6908,38.75,38.75,0,4.782558
"Adiyaman","Adiyaman",6,37.65,38.15,1.4486,1.608639,4.7163,37.65,37.65,0,4.808335
"Adiyaman","Adiyaman",6.5,39.15,38.5,1.8097,2.009632,4.9132,39.15,39.15,0,5.00771
"Adiyaman","Adiyaman",7.5,39.15,38.6,5.8367,6.481527,6.0354,39.15,39.15,0,6.14289
"Adiyaman","Adiyaman",7,37,37.3,3.1923,3.544979,5.439,37,37,0,5.539839
"Adiyaman","Adiyaman",6,39.25,37.65,1.1339,1.259171,4.5056,39.25,39.25,0,4.594967
"Adiyaman","Adiyaman",6,38.3,37.15,1.4737,1.636512,4.7313,38.3,38.3,.01,4.823538
"Adiyaman","Adiyaman",7.5,37.45,38.35,6.8968,7.658745,6.2071,37.45,37.45,0,6.316468
"Adiyaman","Adiyaman",7,38.5,38.65,3.8667,4.293886,5.6243,38.5,38.5,0,5.727213
"Adiyaman","Adiyaman",7,38.55,38.95,2.9792,3.308336,5.3732,38.55,38.55,.01,5.473249
"Adiyaman","Adiyaman",6.5,39.15,37.8,2.6443,2.936437,5.2608,39.15,39.15,0,5.359496
"Adiyaman","Adiyaman",8,37.05,37.05,8.7481,9.714574,6.4569,37.05,37.05,.01,6.568855
"Adiyaman","Adiyaman",6,39.25,38.35,.89264,.9912572,4.306,39.25,39.25,0,4.392682
"Adiyaman","Adiyaman",6.5,39.05,36.65,1.4224,1.579544,4.7004,39.05,39.05,.01,4.792217
"Adiyaman","Adiyaman",7.5,39.15,37.5,7.8607,8.729136,6.3438,39.15,39.15,0,6.454584
"Adiyaman","Adiyaman",6,37.35,36.7,.63913,.7097399,4.0373,37.35,37.35,.01,4.120318
"Adiyaman","Adiyaman",6,39.85,38.25,.62063,.6891961,4.0143,39.85,39.85,.01,4.096935
"Adiyaman","Adiyaman",6.5,37.95,37.2,2.9376,3.26214,5.3599,37.95,37.95,0,5.459757
"Adiyaman","Adiyaman",6,37.4,36.9,.75988,.8438301,4.175,37.4,37.4,0,4.259933
"Adiyaman","Adiyaman",7,39.2,36.9,3.1397,3.486568,5.4232,39.2,39.2,0,5.523779
"Adiyaman","Adiyaman",7.5,37.5,37,6.2846,6.97891,6.1111,37.5,37.5,0,6.219426
"Adiyaman","Adiyaman",6.5,38.85,36.75,1.6311,1.811301,4.8206,38.85,38.85,.01,4.913979
"Adiyaman","Adiyaman",7.5,38.6,39,5.1678,5.738729,5.912,38.6,38.6,.01,6.01815
"Adiyaman","Adiyaman",8,37.75,38,16.42,18.23405,7.1471,37.75,37.75,0,7.266047
"Adiyaman","Adiyaman",7,38.65,38.05,7.8465,8.713367,6.3419,38.65,38.65,0,6.452663
"Adiyaman","Adiyaman",8,38.25,36.8,10.188,11.31355,6.6201,38.25,38.25,0,6.73373
"Adiyaman","Adiyaman",7,38.45,37.15,5.3271,5.915627,5.9426,38.45,38.45,0,6.049118
"Adiyaman","Adiyaman",6.5,39.15,38.55,1.7447,1.937451,4.8805,39.15,39.15,0,4.974584
"Adiyaman","Adiyaman",6.5,37.35,37.2,1.9623,2.179091,4.9861,37.35,37.35,.01,5.081529
"Adiyaman","Adiyaman",6,38.5,38.25,1.801,1.999971,4.9089,38.5,38.5,0,5.003338
"Adiyaman","Adiyaman",8,38.05,36.95,11.243,12.48511,6.727,38.05,38.05,.01,6.841654
"Adiyaman","Adiyaman",8,37.85,38.5,11.512,12.78382,6.7527,37.85,37.85,.01,6.867704
"Adiyaman","Adiyaman",7,39.45,38.4,3.178,3.529099,5.4347,39.45,39.45,0,5.535497
