location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Afyonkarahisar","AfyonkarahİSar",6.5,29.15,39,1.6421,1.823516,4.8265,4.920007
"Afyonkarahisar","AfyonkarahİSar",6,30.55,38.05,1.2612,1.400535,4.5964,4.686877
"Afyonkarahisar","AfyonkarahİSar",8,30.55,39.05,22.756,25.27004,7.5213,7.643848
"Afyonkarahisar","AfyonkarahİSar",7,30.05,38.05,4.2838,4.757066,5.7249,5.828952
"Afyonkarahisar","AfyonkarahİSar",7,30.25,38.65,12.135,13.47565,6.8104,6.925983
"Afyonkarahisar","AfyonkarahİSar",6.5,30.3,38.15,2.8761,3.193846,5.3399,5.439496
"Afyonkarahisar","AfyonkarahİSar",7,31.05,39.5,4.1112,4.565398,5.6844,5.787974
"Afyonkarahisar","AfyonkarahİSar",7,31.4,39.25,4.1564,4.615591,5.6951,5.798852
"Afyonkarahisar","AfyonkarahİSar",6,31.4,39.4,.93123,1.034111,4.3409,4.428028
"Afyonkarahisar","AfyonkarahİSar",7.5,32.25,38.75,4.9328,5.477767,5.8653,5.970869
"Afyonkarahisar","AfyonkarahİSar",6.5,29.1,39.15,1.5329,1.702252,4.7658,4.85851
"Afyonkarahisar","AfyonkarahİSar",8,31.65,39.55,8.9392,9.926785,6.4799,6.592088
"Afyonkarahisar","AfyonkarahİSar",8,30.65,38.9,32.468,36.055,7.9417,8.068133
"Afyonkarahisar","AfyonkarahİSar",7,30.45,39.3,6.0656,6.735716,6.0747,6.182638
"Afyonkarahisar","AfyonkarahİSar",7.5,30.75,38.1,8.4208,9.351114,6.4164,6.527979
"Afyonkarahisar","AfyonkarahİSar",7,30.85,37.95,4.0995,4.552405,5.6816,5.785141
"Afyonkarahisar","AfyonkarahİSar",6,31.6,38.95,1.0278,1.141349,4.4229,4.511167
"Afyonkarahisar","AfyonkarahİSar",8,29.65,38,9.7647,10.84349,6.5744,6.687565
"Afyonkarahisar","AfyonkarahİSar",7,29.95,39.75,3.2545,3.614051,5.4575,5.558529
"Afyonkarahisar","AfyonkarahİSar",6.5,30.95,38.8,5.6279,6.24966,5.9983,6.105392
"Afyonkarahisar","AfyonkarahİSar",8,30,39.85,8.9556,9.944998,6.4818,6.594061
"Afyonkarahisar","AfyonkarahİSar",6,29.65,37.65,.63222,.7020665,4.0288,4.111654
"Afyonkarahisar","AfyonkarahİSar",7.5,31.25,39,9.2141,10.23206,6.5122,6.624736
"Afyonkarahisar","AfyonkarahİSar",7.5,29.35,38.65,6.5559,7.280183,6.1547,6.263434
"Afyonkarahisar","AfyonkarahİSar",6.5,32.1,38.5,1.4531,1.613636,4.719,4.811078
"Afyonkarahisar","AfyonkarahİSar",7.5,30.6,39.7,6.4973,7.215109,6.1454,6.254069
"Afyonkarahisar","AfyonkarahİSar",6,29.8,39.2,1.2315,1.367554,4.5759,4.666188
"Afyonkarahisar","AfyonkarahİSar",6.5,31.8,38.55,1.8044,2.003747,4.9105,5.005049
"Afyonkarahisar","AfyonkarahİSar",6.5,31.6,37.7,1.3439,1.492372,4.6511,4.742309
"Afyonkarahisar","AfyonkarahİSar",7.5,30.75,39.25,10.4,11.54897,6.6423,6.756203
"Afyonkarahisar","AfyonkarahİSar",7,31.4,39.55,3.4075,3.783954,5.5016,5.603182
