location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Agri","AĞRi",8,43.25,39.1,13.493,14.98368,6.9274,7.044169
"Agri","AĞRi",6,42.75,38.4,.61583,.6838657,4.0082,4.09077
"Agri","AĞRi",7.5,43.95,40.6,5.6831,6.310958,6.0082,6.115426
"Agri","AĞRi",8,43.85,39.35,12.451,13.82656,6.8386,6.954515
"Agri","AĞRi",7,43.7,40,5.8172,6.459873,6.032,6.13944
"Agri","AĞRi",6.5,43.25,39.15,3.1014,3.444037,5.4114,5.511934
"Agri","AĞRi",7,43.7,38.65,3.0273,3.36175,5.3884,5.488642
"Agri","AĞRi",7,43.25,39.15,5.6598,6.285084,6.0041,6.111201
"Agri","AĞRi",8,42.75,39.95,21.162,23.49994,7.437,7.558799
"Agri","AĞRi",8,42.75,40.1,17.208,19.10911,7.2002,7.319623
"Agri","AĞRi",8,41.5,39.55,8.7643,9.732563,6.4589,6.570842
"Agri","AĞRi",7,43.15,39.05,5.0231,5.578043,5.8834,5.989271
"Agri","AĞRi",6.5,42.75,40.15,3.7507,4.16507,5.5946,5.697176
"Agri","AĞRi",6,43.7,38.9,.89489,.9937558,4.308,4.394779
"Agri","AĞRi",6,41.4,40.15,.61751,.6857314,4.0103,4.092932
"Agri","AĞRi",6.5,42.75,40.95,1.4489,1.608972,4.7165,4.808518
"Agri","AĞRi",7,43.85,39.3,4.5841,5.090543,5.792,5.896852
"Agri","AĞRi",6,42.8,38.95,1.1103,1.232964,4.4878,4.576941
"Agri","AĞRi",6.5,42.25,39.35,2.5389,2.819393,5.2228,5.321038
"Agri","AĞRi",8,42.2,38.9,9.6236,10.6868,6.5588,6.671775
"Agri","AĞRi",6.5,43.05,40.6,2.0694,2.298023,5.0344,5.130362
"Agri","AĞRi",8,43.25,39.2,15.072,16.73713,7.0508,7.168738
"Agri","AĞRi",6,43.95,39.7,1.2936,1.436514,4.6182,4.708964
"Agri","AĞRi",8,43.15,39.45,23.383,25.96631,7.553,7.675823
"Agri","AĞRi",6.5,42.2,39.75,2.7925,3.10101,5.312,5.411327
"Agri","AĞRi",6,42.8,38.65,.77944,.8655511,4.1955,4.280703
"Agri","AĞRi",7,42.8,38.7,3.4049,3.781067,5.5009,5.602438
"Agri","AĞRi",7.5,42.8,38.8,6.5164,7.23632,6.1484,6.25713
"Agri","AĞRi",6.5,41.55,39.85,1.5647,1.737565,4.7839,4.876807
"Agri","AĞRi",8,43.55,40.3,12.735,14.14194,6.8635,6.979605
"Agri","AĞRi",7.5,43.6,39.45,10.674,11.85324,6.6705,6.784643
"Agri","AĞRi",7,43.6,39.6,7.3599,8.173008,6.2748,6.384857
"Agri","AĞRi",6,43.6,39.7,2.2395,2.486916,5.1066,5.203503
"Agri","AĞRi",7,43.75,39.35,5.1603,5.7304,5.9106,6.016672
"Agri","AĞRi",6.5,42.7,40.5,2.2098,2.453934,5.0944,5.191095
"Agri","AĞRi",7,42.35,40.15,4.9283,5.472769,5.8643,5.969944
"Agri","AĞRi",6,43.6,40.2,1.415,1.571326,4.6958,4.787617
"Agri","AĞRi",7.5,41.4,40.05,5.0138,5.567715,5.8816,5.98739
"Agri","AĞRi",7.5,42.05,40.5,5.7823,6.421118,6.0259,6.133238
"Agri","AĞRi",8,41.65,39.75,9.4625,10.5079,6.5407,6.653489
"Agri","AĞRi",7,42.65,40.95,2.8418,3.155757,5.3285,5.428028
"Agri","AĞRi",7,43.65,39.3,5.3784,5.972595,5.9523,6.058913
"Agri","AĞRi",7.5,42.35,39.35,8.6688,9.626513,6.4472,6.55908
"Agri","AĞRi",6.5,42.85,38.45,1.4176,1.574214,4.6974,4.789236
"Agri","AĞRi",6.5,42.85,38.5,1.4756,1.638621,4.7324,4.824679
