location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Aksaray","Aksaray",7.5,33.9,38.8,40.485,44.95771,8.2094,8.338277
"Aksaray","Aksaray",6.5,34.95,38,1.5232,1.69148,4.7602,4.852862
"Aksaray","Aksaray",6.5,32.8,37.9,1.3852,1.538234,4.6773,4.768877
"Aksaray","Aksaray",6.5,33.55,39.45,2.8462,3.160643,5.33,5.429506
"Aksaray","Aksaray",6.5,34.2,37.55,1.3498,1.498923,4.6549,4.746148
"Aksaray","Aksaray",7,34.65,39.9,3.0481,3.384848,5.3949,5.495231
"Aksaray","Aksaray",7.5,33.3,37.75,5.2911,5.875651,5.9358,6.042192
"Aksaray","Aksaray",6.5,35,38.1,1.5811,1.755777,4.7931,4.886116
"Aksaray","Aksaray",8,33.65,37.95,10.332,11.47346,6.6352,6.74904
"Aksaray","Aksaray",7.5,34.75,39.75,5.8,6.440773,6.029,6.136387
"Aksaray","Aksaray",6.5,33.95,37.7,1.5466,1.717465,4.7736,4.866433
"Aksaray","Aksaray",7,33.15,39.6,3.7308,4.142972,5.5894,5.69194
"Aksaray","Aksaray",7,32.8,37.85,2.692,2.989407,5.2775,5.376454
"Aksaray","Aksaray",6.5,33.55,39.3,3.5747,3.969626,5.5479,5.64998
"Aksaray","Aksaray",6,34.45,40.05,.66781,.7415884,4.0719,4.155433
"Aksaray","Aksaray",8,34.35,37.65,8.4605,9.3952,6.4214,6.533012
"Aksaray","Aksaray",7.5,34.45,40.05,5.2099,5.78548,5.9202,6.026417
"Aksaray","Aksaray",8,34.45,40.05,8.5674,9.51391,6.4347,6.546462
"Aksaray","Aksaray",6,33.3,37.85,.745,.8273062,4.1591,4.243817
"Aksaray","Aksaray",6.5,35.05,38.8,2.0545,2.281477,5.0278,5.123704
"Aksaray","Aksaray",6,33.65,39.95,.77223,.8575445,4.188,4.2731
"Aksaray","Aksaray",7.5,33.05,37.85,5.2736,5.856217,5.9324,6.038811
"Aksaray","Aksaray",7,33.05,37.85,2.9251,3.24826,5.3558,5.455669
"Aksaray","Aksaray",7.5,33.15,39.6,6.5271,7.248202,6.1501,6.258841
"Aksaray","Aksaray",7.5,35,39,7.033,7.809992,6.2275,6.337
"Aksaray","Aksaray",6.5,32.75,39.45,1.6957,1.883038,4.8551,4.948883
"Aksaray","Aksaray",7.5,34.05,38.2,8.3952,9.322686,6.4132,6.524722
"Aksaray","Aksaray",7.5,33.55,39.5,8.3376,9.258722,6.4059,6.51736
"Aksaray","Aksaray",8,33.5,39.8,10.086,11.20028,6.6093,6.722766
"Aksaray","Aksaray",6.5,34.1,40.15,1.4113,1.567218,4.6936,4.785309
"Aksaray","Aksaray",6.5,34.95,39.7,1.5777,1.752001,4.7912,4.884192
"Aksaray","Aksaray",8,33.15,37.8,8.6479,9.603304,6.4447,6.55649
"Aksaray","Aksaray",6,35.1,38.7,.91821,1.019652,4.3292,4.416248
"Aksaray","Aksaray",7,33.55,40.15,2.7641,3.069473,5.3024,5.401587
"Aksaray","Aksaray",8,34.75,38.6,12.603,13.99536,6.852,6.968008
"Aksaray","Aksaray",8,33.3,38.85,16.359,18.16631,7.1429,7.261803
"Aksaray","Aksaray",6,34,39.4,1.7417,1.93412,4.8789,4.973028
"Aksaray","Aksaray",8,32.8,39.4,9.8684,10.95864,6.5857,6.699039
"Aksaray","Aksaray",7,34.05,38.2,4.9718,5.521075,5.8731,5.978853
"Aksaray","Aksaray",6,34.15,39.4,1.6495,1.831734,4.8306,4.924043
"Aksaray","Aksaray",7.5,32.7,38.55,6.194,6.878301,6.0962,6.204349
"Aksaray","Aksaray",6,34,39.95,.78622,.8730801,4.2025,4.287796
"Aksaray","Aksaray",6,34.35,38.75,2.674,2.969419,5.2712,5.370086
"Aksaray","Aksaray",7.5,34.35,37.6,4.9849,5.535622,5.8758,5.981523
"Aksaray","Aksaray",7,35.25,38.15,2.8365,3.149871,5.3268,5.426245
"Aksaray","Aksaray",6,33.1,39.15,1.2959,1.439069,4.6197,4.710514
"Aksaray","Aksaray",6,35.2,39.75,.6235,.6923831,4.0179,4.100602
"Aksaray","Aksaray",7,34.7,39.95,2.9088,3.230159,5.3505,5.450316
"Aksaray","Aksaray",6,34.3,39.85,.8364,.9288039,4.2527,4.338702
"Aksaray","Aksaray",7,33.45,38.4,5.6011,6.219899,5.9935,6.10049
"Aksaray","Aksaray",7.5,34.05,39.3,11.85,13.15917,6.7843,6.899667
"Aksaray","Aksaray",6.5,35.05,39.3,1.8596,2.065045,4.9376,5.032435
"Aksaray","Aksaray",7.5,34.75,39.65,6.1535,6.833327,6.0895,6.197545
"Aksaray","Aksaray",8,34.95,37.85,8.3019,9.219078,6.4014,6.512774
"Aksaray","Aksaray",7,34.75,39.65,3.4882,3.87357,5.5242,5.626019
"Aksaray","Aksaray",7,32.5,39,3.209,3.563524,5.444,5.544889
"Aksaray","Aksaray",6.5,35.15,38,1.3909,1.544564,4.6809,4.772489
"Aksaray","Aksaray",6.5,33.65,38.15,2.4257,2.693687,5.1803,5.278122
"Aksaray","Aksaray",6.5,34.75,37.85,1.4936,1.65861,4.743,4.83543
"Aksaray","Aksaray",7,33.55,38.8,10.499,11.65891,6.6525,6.766556
"Aksaray","Aksaray",6.5,32.7,39.6,1.5263,1.694923,4.762,4.854671
"Aksaray","Aksaray",6.5,35.3,38.65,1.6478,1.829846,4.8296,4.923117
"Aksaray","Aksaray",8,33.05,37.75,8.2731,9.187097,6.3977,6.509062
"Aksaray","Aksaray",7.5,34,39.85,6.3096,7.006673,6.1152,6.223552
"Aksaray","Aksaray",7,33.05,38.9,5.0216,5.576377,5.8831,5.988968
"Aksaray","Aksaray",6.5,34.65,38,1.7383,1.930344,4.8772,4.971263
"Aksaray","Aksaray",8,34.05,39.6,12.277,13.63334,6.8231,6.938887
"Aksaray","Aksaray",7,35,38.95,4.087,4.538524,5.6786,5.782106
"Aksaray","Aksaray",6.5,34.65,38.05,1.8111,2.011187,4.9139,5.008412
"Aksaray","Aksaray",6.5,34.7,38.3,2.1715,2.411403,5.0784,5.174874
"Aksaray","Aksaray",6,33.95,37.65,.68206,.7574127,4.0887,4.172396
"Aksaray","Aksaray",7,33.9,38.05,4.1939,4.657234,5.704,5.807796
"Aksaray","Aksaray",8,34.95,38.5,10.775,11.9654,6.6807,6.79496
"Aksaray","Aksaray",6,34.35,40.15,.62636,.6955591,4.0215,4.104242
"Aksaray","Aksaray",7,33.4,40,2.9981,3.329324,5.3792,5.479323
"Aksaray","Aksaray",7.5,32.45,38.85,5.5881,6.205463,5.9911,6.098104
"Aksaray","Aksaray",6.5,34.5,39.65,2.0267,2.250606,5.0154,5.111167
"Aksaray","Aksaray",6,33.2,37.95,.78488,.871592,4.2011,4.286399
"Aksaray","Aksaray",6,35.15,38,.63545,.7056533,4.0328,4.115715
"Aksaray","Aksaray",8,34,40.05,8.9029,9.886476,6.4756,6.58771
"Aksaray","Aksaray",7.5,35.55,38.8,5.1175,5.682872,5.9022,6.008194
"Aksaray","Aksaray",8,34.75,39.6,10.144,11.26469,6.6154,6.729012
"Aksaray","Aksaray",6.5,33,39.85,1.5046,1.670825,4.7494,4.841943
"Aksaray","Aksaray",7.5,33.3,37.65,4.994,5.545728,5.8776,5.983373
"Aksaray","Aksaray",8,35.25,39.2,9.4057,10.44482,6.5342,6.646975
"Aksaray","Aksaray",6,34.05,39.3,2.1497,2.387195,5.0691,5.165528
"Aksaray","Aksaray",6,35.4,39.25,.68902,.7651416,4.0967,4.180569
"Aksaray","Aksaray",7,33.45,37.65,2.8237,3.135657,5.3225,5.421926
"Aksaray","Aksaray",6,32.95,39.3,1.0113,1.123026,4.4094,4.49746
"Aksaray","Aksaray",6,33.4,39.75,.89313,.9918013,4.3064,4.393139
"Aksaray","Aksaray",7,34.1,39.85,3.5625,3.956078,5.5446,5.646632
"Aksaray","Aksaray",7,32.9,38.7,4.2559,4.726084,5.7184,5.822429
"Aksaray","Aksaray",7,34.85,38.75,4.625,5.135961,5.8009,5.905789
"Aksaray","Aksaray",8,33.8,39.45,14.338,15.92204,6.995,7.112381
"Aksaray","Aksaray",7,33.35,38.75,7.1045,7.889392,6.238,6.347636
"Aksaray","Aksaray",6,33.8,38.05,1.0578,1.174664,4.4471,4.535603
"Aksaray","Aksaray",6.5,33.15,39.65,1.863,2.068821,4.9393,5.034099
"Aksaray","Aksaray",8,32.5,38.55,9.0478,10.04738,6.4928,6.605093
"Aksaray","Aksaray",7.5,33.8,38.25,8.933,9.919901,6.4791,6.591341
"Aksaray","Aksaray",7.5,33.05,39.7,5.9072,6.559816,6.0477,6.155279
"Aksaray","Aksaray",6.5,32.75,38.4,1.7726,1.968433,4.8946,4.988934
"Aksaray","Aksaray",7,34.45,39.55,4.3373,4.816477,5.7372,5.841354
"Aksaray","Aksaray",7.5,33.55,39.75,6.6203,7.351698,6.1648,6.27364
"Aksaray","Aksaray",7,32.35,39.45,2.6965,2.994404,5.2791,5.37804
"Aksaray","Aksaray",8,35.55,39,8.426,9.356889,6.4171,6.528639
"Aksaray","Aksaray",7.5,34,38.65,19.269,21.3978,7.3291,7.449876
"Aksaray","Aksaray",8,32.75,38.75,10.562,11.72887,6.659,6.773098
"Aksaray","Aksaray",7,35.25,38.5,3.2128,3.567744,5.4452,5.546035
"Aksaray","Aksaray",7.5,34.65,40,5.1624,5.732732,5.911,6.017086
"Aksaray","Aksaray",6.5,33.55,39.35,3.3009,3.665577,5.4711,5.572265
"Aksaray","Aksaray",8,35.25,39.35,9.1058,10.11179,6.4996,6.61198
"Aksaray","Aksaray",7.5,33.35,39.85,5.8807,6.530388,6.0431,6.150638
"Aksaray","Aksaray",6,33.05,39.2,1.1875,1.318693,4.5449,4.634717
"Aksaray","Aksaray",7,32.75,38.4,3.44,3.820045,5.5108,5.612436
"Aksaray","Aksaray",6,34.9,38.95,1.1482,1.275051,4.5163,4.605731
"Aksaray","Aksaray",6.5,32.9,39.7,1.5923,1.768214,4.7993,4.892424
"Aksaray","Aksaray",8,34.5,39.3,13.72,15.23576,6.9459,7.062866
"Aksaray","Aksaray",8,33.1,37.8,8.5554,9.500585,6.4332,6.54496
"Aksaray","Aksaray",6,34.6,39.25,1.3849,1.537901,4.6771,4.768686
"Aksaray","Aksaray",6.5,35.55,39.05,1.4127,1.568772,4.6944,4.786183
"Aksaray","Aksaray",7.5,35.45,38.95,5.3825,5.977149,5.9531,6.059692
"Aksaray","Aksaray",6,32.25,39,.63633,.7066305,4.0339,4.116817
"Aksaray","Aksaray",7.5,32.25,38.95,5.0466,5.604139,5.8881,5.994011
"Aksaray","Aksaray",6,33.9,37.7,.71502,.794014,4.1262,4.21048
"Aksaray","Aksaray",7,34.05,39.35,6.708,7.449087,6.1784,6.287395
"Aksaray","Aksaray",8,34.65,38.8,14.447,16.04308,7.0034,7.120914
"Aksaray","Aksaray",6,34.4,37.9,.81477,.9047843,4.2314,4.317095
"Aksaray","Aksaray",7.5,32.75,38.45,6.1858,6.869195,6.0948,6.202974
"Aksaray","Aksaray",7,33.9,39.4,6.2646,6.956701,6.1078,6.216115
"Aksaray","Aksaray",6,32.95,39.8,.7039,.7816656,4.1137,4.197805
"Aksaray","Aksaray",6.5,35.1,38.7,1.9379,2.151995,4.9748,5.070075
"Aksaray","Aksaray",7,34.9,39.9,2.8216,3.133325,5.3218,5.421216
"Aksaray","Aksaray",6.5,34.75,39.55,1.9455,2.160435,4.9783,5.073656
"Aksaray","Aksaray",6.5,32.25,38.9,1.3981,1.552559,4.6853,4.777032
"Aksaray","Aksaray",8,32.25,38.9,8.343,9.264719,6.4066,6.518052
"Aksaray","Aksaray",6.5,33.6,37.8,1.6494,1.831623,4.8305,4.923988
"Aksaray","Aksaray",6,32.95,37.95,.70144,.7789338,4.1109,4.194977
"Aksaray","Aksaray",8,32.95,39.85,8.6515,9.607302,6.4451,6.556936
"Aksaray","Aksaray",7,34,37.55,2.7306,3.032272,5.2909,5.389983
"Aksaray","Aksaray",8,35.05,38.4,9.9212,11.01728,6.5915,6.70484
"Aksaray","Aksaray",8,32.6,39.2,9.4909,10.53944,6.5439,6.656733
"Aksaray","Aksaray",7.5,32.6,39.2,5.8691,6.517507,6.0411,6.148601
"Aksaray","Aksaray",6,32.9,38.55,1.0199,1.132577,4.4165,4.504628
"Aksaray","Aksaray",6,34.1,38.7,4.4462,4.937408,5.7617,5.866181
"Aksaray","Aksaray",7,34.05,38.9,23.565,26.16842,7.562,7.684959
"Aksaray","Aksaray",7,35.45,39.45,2.7359,3.038157,5.2927,5.391827
"Aksaray","Aksaray",7,35.15,39.3,3.3719,3.744421,5.4915,5.592954
"Aksaray","Aksaray",7.5,33.2,37.7,5.0381,5.5947,5.8865,5.992299
"Aksaray","Aksaray",7,34.3,39.85,3.4556,3.837368,5.5152,5.616851
"Aksaray","Aksaray",7,33.3,38.6,6.0034,6.666644,6.0642,6.171972
"Aksaray","Aksaray",6.5,34.5,39.55,2.2401,2.487582,5.1069,5.203752
"Aksaray","Aksaray",8,34.15,37.6,8.3863,9.312802,6.4121,6.523587
"Aksaray","Aksaray",8,34.85,39.7,9.3385,10.3702,6.5265,6.639222
"Aksaray","Aksaray",6.5,35.05,39.2,1.9372,2.151218,4.9745,5.069744
"Aksaray","Aksaray",7.5,33.3,38.55,9.5459,10.60051,6.5501,6.66299
"Aksaray","Aksaray",6,35.1,39.3,.84309,.936233,4.2592,4.345286
"Aksaray","Aksaray",7.5,33.4,39.9,5.7484,6.383472,6.0199,6.127182
"Aksaray","Aksaray",8,34.2,38.4,15.435,17.14023,7.0774,7.195695
"Aksaray","Aksaray",6.5,32.45,38.75,1.5811,1.755777,4.7931,4.886116
"Aksaray","Aksaray",7.5,34.5,39.6,7.0135,7.788338,6.2246,6.334083
"Aksaray","Aksaray",8,33.75,39.65,11.71,13.0037,6.7713,6.886529
"Aksaray","Aksaray",7.5,34.45,39,11.945,13.26466,6.7931,6.908502
"Aksaray","Aksaray",6,33.2,39,1.6061,1.783539,4.8069,4.900143
"Aksaray","Aksaray",6,34.05,39.05,4.9052,5.447117,5.8596,5.965184
"Aksaray","Aksaray",7.5,33.9,37.8,5.8652,6.513176,6.0404,6.147914
"Aksaray","Aksaray",8,34.75,39.5,10.687,11.86768,6.6718,6.785975
"Aksaray","Aksaray",7.5,34.5,39.7,6.5017,7.219995,6.1461,6.254775
