location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Amasya","Amasya",7,34.7,39.75,2.8795,3.197622,5.341,34.7,34.7,0,5.440626
"Amasya","Amasya",7.5,35.45,39.55,5.5952,6.213347,5.9924,35.45,35.45,0,6.099408
"Amasya","Amasya",6,37.3,40.8,.75251,.8356459,4.1672,37.3,37.3,.01,4.251986
"Amasya","Amasya",6,35.7,41.15,1.8242,2.025734,4.9204,35.7,35.7,0,5.014956
"Amasya","Amasya",7,34.95,41,4.54,5.041571,5.7824,34.95,34.95,0,5.887134
"Amasya","Amasya",8,35.05,39.95,10.525,11.68778,6.6553,35.05,35.05,.01,6.76926
"Amasya","Amasya",8,35.9,40.6,50.613,56.20463,8.4855,35.9,35.9,0,8.616839
"Amasya","Amasya",7,35.75,41.7,3.3664,3.738313,5.49,35.75,35.75,0,5.591365
"Amasya","Amasya",6.5,35.25,40.65,4.1383,4.595491,5.6908,35.25,35.25,0,5.794509
"Amasya","Amasya",8,35.75,41.45,11.567,12.8449,6.7579,35.75,35.75,0,6.872962
"Amasya","Amasya",7,34.85,40.7,4.5764,5.081992,5.7904,34.85,34.85,.01,5.895161
"Amasya","Amasya",8,36.3,41.15,13.898,15.43342,6.9602,36.3,36.3,.01,7.077332
"Amasya","Amasya",7,35,41.75,2.8469,3.16142,5.3302,35,35,0,5.429741
"Amasya","Amasya",7,35,41.7,2.9373,3.261807,5.3598,35,35,0,5.459659
"Amasya","Amasya",8,35.6,41.3,13.026,14.46509,6.8884,35.6,35.6,.01,7.004793
"Amasya","Amasya",7,35,41.4,3.5923,3.98917,5.5527,35,35,0,5.654791
"Amasya","Amasya",6.5,35,41.4,1.861,2.0666,4.9383,35,35,0,5.033121
"Amasya","Amasya",6,35,41.35,.91741,1.018764,4.3285,35,35,0,4.415519
"Amasya","Amasya",8,35,41.3,10.66,11.8377,6.6691,35,35,0,6.783206
"Amasya","Amasya",6,35,41.3,.95902,1.064971,4.3652,35,35,0,4.452698
"Amasya","Amasya",6.5,35,41.2,2.1827,2.423841,5.0831,35,35,0,5.179644
"Amasya","Amasya",6,35,41.2,1.0478,1.163559,4.4391,35,35,0,4.527525
"Amasya","Amasya",8,35,41.15,11.546,12.82158,6.7559,35,35,0,6.870957
"Amasya","Amasya",8,35,41.1,11.846,13.15472,6.784,35,35,0,6.899293
"Amasya","Amasya",7,35,41.1,4.436,4.926081,5.7594,35,35,0,5.863879
"Amasya","Amasya",7.5,34.65,41.55,5.1468,5.715409,5.9079,34.65,34.65,0,6.014005
"Amasya","Amasya",6,35,40.95,1.2816,1.423189,4.6102,35,35,0,4.700841
"Amasya","Amasya",7.5,35,40.8,8.7265,9.690587,6.4543,35,35,0,6.5662
"Amasya","Amasya",8,35,40.75,13.477,14.96591,6.9261,35,35,0,7.042841
