location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Ankara","Ankara",6.5,31.7,40.3,1.6942,1.881372,4.8543,31.7,31.7,0,4.948086
"Ankara","Ankara",6.5,32.05,41,1.5469,1.717799,4.7738,32.05,32.05,.01,4.866606
"Ankara","Ankara",7,31.5,40,2.9385,3.26314,5.3602,31.5,31.5,0,5.460051
"Ankara","Ankara",6.5,31.55,39.95,1.5243,1.692702,4.7609,31.55,31.55,.01,4.853504
"Ankara","Ankara",7,34.3,40.4,3.6393,4.041363,5.5653,34.3,34.3,.01,5.667539
"Ankara","Ankara",7,33.4,40.5,7.3566,8.169343,6.2743,33.4,33.4,0,6.384383
"Ankara","Ankara",7,34.15,39.6,3.6086,4.007271,5.5571,34.15,34.15,0,5.659229
"Ankara","Ankara",7.5,32.95,39.3,7.1396,7.928369,6.2431,32.95,32.95,0,6.352822
"Ankara","Ankara",7,34.35,40.5,3.4238,3.802055,5.5063,34.35,34.35,.01,5.607833
"Ankara","Ankara",6,34,39.9,1.2078,1.341236,4.5593,34,34,0,4.649362
"Ankara","Ankara",7.5,33.3,39.3,7.0776,7.85952,6.234,33.3,33.3,.01,6.343646
"Ankara","Ankara",8,33.7,41.3,8.5137,9.454277,6.4281,33.7,33.7,0,6.539724
"Ankara","Ankara",8,34.4,39.35,8.4345,9.366327,6.4182,34.4,34.4,0,6.529718
"Ankara","Ankara",7,34.4,40.4,3.4059,3.782177,5.5012,34.4,34.4,0,5.602725
"Ankara","Ankara",7,33.25,40.6,6.7346,7.478626,6.1825,33.25,33.25,0,6.291536
"Ankara","Ankara",8,31.9,40.5,10.107,11.2236,6.6114,31.9,31.9,.01,6.725032
"Ankara","Ankara",7,34.8,39.9,2.7182,3.018502,5.2866,34.8,34.8,.01,5.385655
"Ankara","Ankara",6,32.9,39.9,3.6454,4.048137,5.5669,32.9,32.9,0,5.669182
"Ankara","Ankara",8,32.35,39,8.483,9.420185,6.4242,32.35,32.35,.01,6.535856
"Ankara","Ankara",6.5,34.55,40.65,1.4756,1.638621,4.7324,34.55,34.55,.01,4.824679
"Ankara","Ankara",7.5,31.45,40.2,5.1895,5.762826,5.9162,31.45,31.45,0,6.022419
"Ankara","Ankara",7.5,34.35,39.75,6.0131,6.677416,6.0658,34.35,34.35,.01,6.173642
"Ankara","Ankara",8,33.95,39.55,10.85,12.04869,6.6882,33.95,33.95,0,6.802565
"Ankara","Ankara",8,32.95,40.1,41.437,46.01488,8.2379,32.95,32.95,0,8.367029
"Ankara","Ankara",8,31.9,39.5,9.2804,10.30568,6.5199,31.9,31.9,.01,6.632478
"Ankara","Ankara",6.5,32.6,39.35,2.1056,2.338223,5.0501,32.6,32.6,.01,5.146362
"Ankara","Ankara",7,33.2,39.85,10.515,11.67668,6.6542,33.2,33.2,0,6.768221
"Ankara","Ankara",6.5,32.2,40.5,2.3675,2.629057,5.1579,32.2,32.2,0,5.255361
"Ankara","Ankara",7.5,34.5,40.3,5.7861,6.425337,6.0265,34.5,34.5,0,6.133915
"Ankara","Ankara",6.5,32.85,40.1,9.7171,10.79063,6.5691,32.85,32.85,.01,6.682261
"Ankara","Ankara",6,32.1,39.95,1.1366,1.262169,4.5076,32.1,32.1,.01,4.597009
"Ankara","Ankara",6,33.9,40.1,1.4577,1.618744,4.7218,33.9,33.9,0,4.813874
"Ankara","Ankara",7,32.75,40.4,8.5213,9.462717,6.429,32.75,32.75,0,6.54068
"Ankara","Ankara",7,32.35,39.15,3.1457,3.493231,5.425,32.35,32.35,.01,5.525623
"Ankara","Ankara",8,32.3,39.15,9.0377,10.03617,6.4916,32.3,32.3,.01,6.603889
"Ankara","Ankara",8,31.8,39.35,8.5048,9.444394,6.427,31.8,31.8,.01,6.538604
"Ankara","Ankara",8,33.25,40.85,12.32,13.68109,6.827,33.25,33.25,0,6.942768
"Ankara","Ankara",7,33.65,39.35,3.9014,4.332419,5.633,33.65,33.65,0,5.736042
"Ankara","Ankara",7,33.85,40.35,5.3952,5.991251,5.9555,33.85,33.85,.01,6.062103
"Ankara","Ankara",8,33.55,41.15,9.456,10.50068,6.5399,33.55,33.55,.01,6.652745
"Ankara","Ankara",6,32.65,39.3,.96868,1.075698,4.3735,32.65,32.65,0,4.461127
"Ankara","Ankara",7,34.75,40.35,2.8013,3.110782,5.315,34.75,34.75,0,5.414328
