location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Ardahan","Ardahan",7.5,42.25,41.6,9.3706,10.40585,6.5302,6.642931
"Ardahan","Ardahan",7.5,43.55,40.65,7.4613,8.28561,6.2891,6.399312
"Ardahan","Ardahan",8,43.8,41.15,11.312,12.56173,6.7335,6.84839
"Ardahan","Ardahan",6.5,41.7,40.75,2.1722,2.41218,5.0786,5.175173
"Ardahan","Ardahan",8,41.05,41.55,8.2651,9.178212,6.3967,6.508029
"Ardahan","Ardahan",6,41.95,39.95,.63925,.7098731,4.0375,4.120468
"Ardahan","Ardahan",6,42.85,39.8,.62709,.6963697,4.0224,4.105168
"Ardahan","Ardahan",6,41.85,41.55,1.1416,1.267722,4.5113,4.600778
"Ardahan","Ardahan",6,43.3,41.65,1.2787,1.419968,4.6082,4.698868
"Ardahan","Ardahan",8,43.6,42,9.2579,10.28069,6.5173,6.629856
"Ardahan","Ardahan",7,41.85,40.2,3.1812,3.532653,5.4357,5.53647
"Ardahan","Ardahan",8,41.75,41.6,10.992,12.20638,6.7024,6.816834
"Ardahan","Ardahan",7.5,42.5,39.85,5.1254,5.691645,5.9037,6.009764
"Ardahan","Ardahan",6.5,43.4,40.65,2.5994,2.886577,5.2447,5.343282
"Ardahan","Ardahan",6,43.55,40.55,1.0217,1.134575,4.4179,4.506122
"Ardahan","Ardahan",7,41.1,40.55,2.7099,3.009285,5.2837,5.382749
"Ardahan","Ardahan",7.5,43.05,41.45,12.128,13.46788,6.8098,6.925343
"Ardahan","Ardahan",7,42,41.35,5.7645,6.401351,6.0227,6.130062
"Ardahan","Ardahan",6.5,43.05,41.85,2.3357,2.593744,5.1454,5.242714
"Ardahan","Ardahan",8,42.5,40,9.193,10.20862,6.5097,6.622261
"Ardahan","Ardahan",8,42.05,41.05,16.015,17.78431,7.119,7.237597
"Ardahan","Ardahan",7.5,42.3,41.95,6.81,7.562356,6.194,6.303193
"Ardahan","Ardahan",6.5,41.95,40,1.4492,1.609305,4.7166,4.808702
"Ardahan","Ardahan",6.5,43.9,40.7,1.827,2.028843,4.9217,5.01635
"Ardahan","Ardahan",7.5,43,40.05,5.8051,6.446436,6.0299,6.137293
"Ardahan","Ardahan",8,44,41,10.051,11.16142,6.6055,6.718981
"Ardahan","Ardahan",6.5,43.7,40.35,1.6906,1.877374,4.8524,4.94617
"Ardahan","Ardahan",6,41.95,40.35,.90415,1.004039,4.3165,4.403362
"Ardahan","Ardahan",6.5,43.1,41.3,5.1823,5.754831,5.9148,6.021004
"Ardahan","Ardahan",8,42.65,41.2,44.625,49.55508,8.3291,8.4591
"Ardahan","Ardahan",7.5,43.1,40.3,6.9381,7.704608,6.2133,6.322732
"Ardahan","Ardahan",8,42.5,39.8,8.2309,9.140234,6.3923,6.503601
"Ardahan","Ardahan",7,42.85,41.2,19.32,21.45444,7.3322,7.452936
"Ardahan","Ardahan",7,43.15,40,3.0682,3.407169,5.4012,5.50156
"Ardahan","Ardahan",7.5,42.65,41.1,50.744,56.3501,8.4887,8.620095
"Ardahan","Ardahan",6.5,41.8,40.4,1.8423,2.045834,4.9292,5.023931
"Ardahan","Ardahan",7.5,43.4,41.9,6.4901,7.207114,6.1443,6.252913
"Ardahan","Ardahan",7.5,42.4,40.65,10.438,11.59117,6.6462,6.760187
"Ardahan","Ardahan",6,41.6,41.5,.94818,1.052933,4.3558,4.44315
"Ardahan","Ardahan",7.5,43.05,41.95,6.887,7.647863,6.2057,6.314977
"Ardahan","Ardahan",7.5,41.35,41.05,6.1042,6.778581,6.0812,6.189208
"Ardahan","Ardahan",6.5,41.2,40.9,1.5748,1.748781,4.7896,4.88255
"Ardahan","Ardahan",7.5,43.7,41,7.6926,8.542464,6.3211,6.431637
"Ardahan","Ardahan",8,43.35,41.7,11.971,13.29353,6.7955,6.910909
"Ardahan","Ardahan",6.5,42.65,39.95,1.5592,1.731457,4.7808,4.873666
"Ardahan","Ardahan",7.5,43.95,41.3,6.4193,7.128492,6.1329,6.241485
"Ardahan","Ardahan",7,41.9,41.8,3.8254,4.248023,5.6138,5.716612
"Ardahan","Ardahan",7.5,42.5,42,6.7478,7.493284,6.1845,6.293585
"Ardahan","Ardahan",7.5,42.8,41.75,8.8152,9.789086,6.465,6.577065
"Ardahan","Ardahan",6.5,40.95,41,1.367,1.518024,4.6659,4.757256
"Ardahan","Ardahan",7.5,41.85,41.75,6.7344,7.478404,6.1824,6.291505
"Ardahan","Ardahan",6,41.5,40.55,.79367,.8813531,4.2101,4.29553
"Ardahan","Ardahan",6,43.45,40.8,1.3968,1.551116,4.6845,4.776214
"Ardahan","Ardahan",6.5,42.15,40,1.5253,1.693812,4.7615,4.854087
"Ardahan","Ardahan",6.5,43.45,41.75,2.1486,2.385973,5.0686,5.165055
"Ardahan","Ardahan",8,41.25,40.7,8.9343,9.921345,6.4793,6.591498
"Ardahan","Ardahan",7.5,43.45,41.1,9.7404,10.8165,6.5717,6.684861
"Ardahan","Ardahan",6.5,42.35,41.2,6.5483,7.271744,6.1535,6.262224
"Ardahan","Ardahan",6.5,42.55,40.7,4.2675,4.738966,5.7211,5.825146
"Ardahan","Ardahan",7.5,42.3,41.3,13.984,15.52893,6.9671,7.08426
"Ardahan","Ardahan",7.5,42.95,40.6,9.9805,11.08313,6.5979,6.711321
"Ardahan","Ardahan",7.5,41.75,41.6,6.9632,7.732481,6.2171,6.326523
"Ardahan","Ardahan",7,41.35,40.65,3.1732,3.523769,5.4333,5.534035
"Ardahan","Ardahan",8,41.5,40.25,8.5282,9.47038,6.4299,6.541547
"Ardahan","Ardahan",6.5,41.2,40.85,1.5601,1.732457,4.7813,4.874181
"Ardahan","Ardahan",6,41.45,41.15,.9142,1.015199,4.3256,4.412591
