location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Arnavutkoy","ArnavutkÖY",8,29,41.15,29.201,32.42707,7.8148,7.940139
"Arnavutkoy","ArnavutkÖY",6.5,27.5,41,1.9117,2.122901,4.9625,5.057632
"Arnavutkoy","ArnavutkÖY",6.5,29.25,40,1.4579,1.618966,4.7219,4.813995
"Arnavutkoy","ArnavutkÖY",7,29.8,40.8,3.9241,4.357627,5.6387,5.741779
"Arnavutkoy","ArnavutkÖY",6.5,30,41.6,1.7598,1.954219,4.8882,4.982375
"Arnavutkoy","ArnavutkÖY",7.5,27.9,40.75,7.6441,8.488605,6.3145,6.424932
"Arnavutkoy","ArnavutkÖY",8,27.2,40.8,8.6772,9.63584,6.4483,6.560119
"Arnavutkoy","ArnavutkÖY",7,28.45,40.05,3.0949,3.436819,5.4095,5.509911
"Arnavutkoy","ArnavutkÖY",7,27.45,40.85,3.4321,3.811272,5.5086,5.610194
"Arnavutkoy","ArnavutkÖY",8,27.9,40,8.1438,9.043511,6.3811,6.49225
"Arnavutkoy","ArnavutkÖY",7.5,28.55,40,5.4023,5.999136,5.9568,6.063448
"Arnavutkoy","ArnavutkÖY",7,29.4,40.05,2.9033,3.224051,5.3488,5.448504
"Arnavutkoy","ArnavutkÖY",7.5,27.2,41.25,5.5144,6.123621,5.9776,6.084483
"Arnavutkoy","ArnavutkÖY",7,29.9,41.25,3.9706,4.409265,5.6502,5.753441
"Arnavutkoy","ArnavutkÖY",8,30,40.45,8.7828,9.753107,6.4611,6.573108
"Arnavutkoy","ArnavutkÖY",6.5,29.65,41.15,2.665,2.959424,5.2681,5.366888
"Arnavutkoy","ArnavutkÖY",8,30.2,41,9.2428,10.26393,6.5155,6.628094
"Arnavutkoy","ArnavutkÖY",6,30.35,41.5,.66612,.7397117,4.0699,4.1534
"Arnavutkoy","ArnavutkÖY",7,29.95,40.65,3.3463,3.715993,5.4842,5.58554
"Arnavutkoy","ArnavutkÖY",7.5,29.65,41.45,7.9199,8.794875,6.3517,6.462561
"Arnavutkoy","ArnavutkÖY",8,30.2,41.7,8.7412,9.706911,6.456,6.568008
"Arnavutkoy","ArnavutkÖY",8,27.35,41.95,8.3596,9.283153,6.4087,6.520177
"Arnavutkoy","ArnavutkÖY",6.5,28.9,41.5,5.3849,5.979814,5.9536,6.060149
"Arnavutkoy","ArnavutkÖY",6.5,29.3,42,1.9825,2.201523,4.9954,5.090917
"Arnavutkoy","ArnavutkÖY",8,27.1,40.95,8.5149,9.45561,6.4282,6.539876
"Arnavutkoy","ArnavutkÖY",7.5,29.85,41,7.0141,7.789004,6.2246,6.334173
