location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Artvin","ArtvİN",8,43.15,41.3,11.25,12.49288,6.7276,43.15,43.15,0,6.84234
"Artvin","ArtvİN",6,40.65,40.45,.65691,.7294842,4.0589,40.65,40.65,0,4.142245
"Artvin","ArtvİN",8,40.65,40.4,8.3592,9.282708,6.4087,40.65,40.65,0,6.520126
"Artvin","ArtvİN",7,43.35,41.75,3.1049,3.447923,5.4125,43.35,43.35,.01,5.513021
"Artvin","ArtvİN",7.5,40.65,40.35,4.9749,5.524517,5.8738,40.65,40.65,0,5.979486
"Artvin","ArtvİN",8,40.65,40.55,8.7229,9.68659,6.4538,40.65,40.65,0,6.565757
"Artvin","ArtvİN",6.5,41.65,40.35,2.186,2.427505,5.0844,41.65,41.65,0,5.181045
"Artvin","ArtvİN",8,41.65,40.35,11.257,12.50065,6.7283,41.65,41.65,0,6.843024
"Artvin","ArtvİN",7,40.85,41.7,3.2867,3.649808,5.4669,40.85,40.85,.01,5.56808
"Artvin","ArtvİN",8,41.65,40.4,11.7,12.99259,6.7704,41.65,41.65,0,6.885585
"Artvin","ArtvİN",7.5,41.95,41.2,31.331,34.79239,7.8989,41.95,41.95,0,8.024979
"Artvin","ArtvİN",6,41.65,40.45,1.1962,1.328354,4.5511,41.65,41.65,0,4.64102
"Artvin","ArtvİN",7.5,40.65,40.75,5.6227,6.243886,5.9974,40.65,40.65,0,6.104443
"Artvin","ArtvİN",7.5,41.35,40.35,6.4942,7.211667,6.1449,41.35,41.35,.01,6.253572
"Artvin","ArtvİN",6,40.65,41.8,.66075,.7337484,4.0635,40.65,40.65,0,4.146912
"Artvin","ArtvİN",6.5,41.65,40.5,2.6198,2.909231,5.2521,41.65,41.65,0,5.350679
"Artvin","ArtvİN",8,41.65,40.2,10.128,11.24692,6.6137,41.65,41.65,0,6.727293
"Artvin","ArtvİN",8,43.45,41.95,8.2156,9.123244,6.3904,43.45,43.45,0,6.501615
"Artvin","ArtvİN",7.5,40.65,40.8,5.6857,6.313845,6.0087,40.65,40.65,0,6.115896
"Artvin","ArtvİN",7,41.6,40.25,3.7185,4.129313,5.5862,41.6,41.6,.01,5.688691
"Artvin","ArtvİN",8,43.1,40.6,10.375,11.52121,6.6397,43.1,43.1,.01,6.753574
"Artvin","ArtvİN",6,41.7,40.35,1.0691,1.187212,4.4559,41.7,41.7,0,4.54465
"Artvin","ArtvİN",7.5,40.65,40.9,5.7905,6.430223,6.0273,40.65,40.65,0,6.134698
"Artvin","ArtvİN",8,43,41.95,9.4255,10.46681,6.5365,43,43,0,6.64925
"Artvin","ArtvİN",6,41.85,41.3,4.1504,4.608929,5.6937,41.85,41.85,.01,5.797414
