location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Atasehir","AtaŞEhİR",7,27.85,40.85,3.6891,4.096665,5.5785,5.680886
"Atasehir","AtaŞEhİR",7.5,29.85,40.1,5.9162,6.56981,6.0492,6.156851
"Atasehir","AtaŞEhİR",6.5,28.1,41.3,2.257,2.506349,5.1138,5.210745
"Atasehir","AtaŞEhİR",7.5,27.95,41.8,5.4508,6.052994,5.9659,6.072597
"Atasehir","AtaŞEhİR",8,29.95,40.95,13.345,14.81933,6.9152,7.031826
"Atasehir","AtaŞEhİR",7,29.1,39.9,3.2512,3.610386,5.4565,5.557546
"Atasehir","AtaŞEhİR",7,29.4,40.35,4.9609,5.508971,5.8709,5.976627
"Atasehir","AtaŞEhİR",6.5,30.5,40.75,1.6646,1.848502,4.8386,4.932228
"Atasehir","AtaŞEhİR",6,29.85,41,1.6022,1.779208,4.8048,4.897967
"Atasehir","AtaŞEhİR",6,29.85,40.7,1.4046,1.559777,4.6894,4.781117
"Atasehir","AtaŞEhİR",8,29.6,41.9,10.061,11.17252,6.6066,6.720064
"Atasehir","AtaŞEhİR",7,27.5,40.55,2.8085,3.118778,5.3174,5.416776
"Atasehir","AtaŞEhİR",7.5,30.35,40.7,6.2272,6.915169,6.1017,6.209897
"Atasehir","AtaŞEhİR",7.5,27.8,41.45,5.8609,6.508401,6.0396,6.147158
"Atasehir","AtaŞEhİR",7,29.25,42,3.4746,3.858467,5.5204,5.622203
"Atasehir","AtaŞEhİR",7,29.85,41.55,4.3189,4.796044,5.7329,5.837104
"Atasehir","AtaŞEhİR",8,27.55,41.3,8.7859,9.75655,6.4615,6.573487
"Atasehir","AtaŞEhİR",8,30.35,40.9,10.274,11.40905,6.6292,6.742897
"Atasehir","AtaŞEhİR",7,27.9,41.65,3.2012,3.554862,5.4417,5.542533
"Atasehir","AtaŞEhİR",8,29.55,40.7,17,18.87813,7.1864,7.305701
"Atasehir","AtaŞEhİR",7,29.2,40.05,3.7022,4.111212,5.5819,5.684371
"Atasehir","AtaŞEhİR",7.5,29.9,40.1,5.825,6.468535,6.0334,6.140821
"Atasehir","AtaŞEhİR",7,28.65,41.2,8.1338,9.032407,6.3798,6.49094
"Atasehir","AtaŞEhİR",6.5,27.85,40.2,1.4726,1.63529,4.7306,4.822876
"Atasehir","AtaŞEhİR",7.5,29.85,41.05,9.6034,10.66437,6.5565,6.669497
"Atasehir","AtaŞEhİR",8,27.5,41,8.7843,9.754773,6.4613,6.573291
"Atasehir","AtaŞEhİR",7.5,28.85,40.75,15.762,17.50336,7.101,7.219491
"Atasehir","AtaŞEhİR",8,28.65,40.9,20.324,22.56936,7.3904,7.511721
"Atasehir","AtaŞEhİR",6,29.15,40,.86268,.9579872,4.278,4.364308
"Atasehir","AtaŞEhİR",6,28.1,40.55,.99855,1.108868,4.3988,4.486733
"Atasehir","AtaŞEhİR",6,28.55,40.85,2.1793,2.420065,5.0816,5.178198
"Atasehir","AtaŞEhİR",7.5,28.85,41.65,8.3863,9.312802,6.4121,6.523587
"Atasehir","AtaŞEhİR",6,30.3,41.45,.83983,.9326128,4.2561,4.342084
"Atasehir","AtaŞEhİR",7,29.4,41.75,4.343,4.822806,5.7385,5.842667
"Atasehir","AtaŞEhİR",7.5,28.1,40.55,6.9127,7.676402,6.2095,6.318884
"Atasehir","AtaŞEhİR",6,29.3,39.9,.76621,.8508594,4.1817,4.266705
"Atasehir","AtaŞEhİR",6.5,29.95,41.35,2.474,2.747323,5.1986,5.296646
"Atasehir","AtaŞEhİR",8,29.5,40.3,12.011,13.33795,6.7991,6.914602
"Atasehir","AtaŞEhİR",7,29.7,40.05,3.3709,3.743311,5.4913,5.592666
"Atasehir","AtaŞEhİR",6,29.85,41.3,1.3926,1.546452,4.682,4.773563
"Atasehir","AtaŞEhİR",8,28.6,39.85,8.783,9.753329,6.4611,6.573132
