location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Avcilar","Avcilar",6,29.9,40.4,.79821,.8863947,4.2148,4.300212
"Avcilar","Avcilar",8,29.65,40.8,12.401,13.77104,6.8342,6.950045
"Avcilar","Avcilar",7,30.1,41.8,2.7431,3.046153,5.2952,5.394328
"Avcilar","Avcilar",6,27.1,40.45,.6158,.6838324,4.0081,4.090731
"Avcilar","Avcilar",8,28.85,41.55,14.437,16.03197,7.0026,7.120133
"Avcilar","Avcilar",8,29.4,41.3,14.047,15.59889,6.9721,7.089312
"Avcilar","Avcilar",7,30,40.65,3.4554,3.837146,5.5151,5.616795
"Avcilar","Avcilar",6,30.4,40.9,.65478,.7271188,4.0564,4.139645
"Avcilar","Avcilar",8,28.45,40,9.9393,11.03738,6.5934,6.706822
"Avcilar","Avcilar",8,27.05,41,8.4912,9.429292,6.4253,6.536891
"Avcilar","Avcilar",6,30.1,41.8,.62715,.6964363,4.0225,4.105245
"Avcilar","Avcilar",6,29.6,40.1,.76598,.850604,4.1814,4.266459
"Avcilar","Avcilar",8,27.95,41.95,9.1618,10.17398,6.5061,6.618593
"Avcilar","Avcilar",7,29.25,39.95,3.2162,3.57152,5.4462,5.547059
"Avcilar","Avcilar",7.5,29.75,40.75,7.3294,8.139138,6.2705,6.380474
"Avcilar","Avcilar",6,30.15,41.2,.77115,.8563452,4.1869,4.271956
"Avcilar","Avcilar",6,29.45,39.9,.6885,.7645642,4.0961,4.179961
"Avcilar","Avcilar",8,28.1,41.95,9.468,10.51401,6.5413,6.654118
"Avcilar","Avcilar",6.5,30.15,40.55,1.5612,1.733678,4.7819,4.874809
"Avcilar","Avcilar",8,28.15,40.65,15.005,16.66272,7.0457,7.163698
"Avcilar","Avcilar",8,27.4,40.15,8.3107,9.22885,6.4025,6.513906
"Avcilar","Avcilar",8,29.6,41.3,12.284,13.64111,6.8238,6.939519
"Avcilar","Avcilar",8,28.45,41.35,17.794,19.75985,7.2382,7.35804
"Avcilar","Avcilar",8,27.55,41.35,10.25,11.3824,6.6266,6.740345
"Avcilar","Avcilar",7,27.65,40.2,3.1568,3.505557,5.4283,5.529027
"Avcilar","Avcilar",6.5,28.6,41.05,14.515,16.11859,7.0086,7.126207
"Avcilar","Avcilar",6,28.85,39.85,.74282,.8248854,4.1568,4.241433
"Avcilar","Avcilar",7.5,29,41.2,15.8,17.54555,7.1037,7.222227
"Avcilar","Avcilar",6,29.55,41.65,.94815,1.0529,4.3558,4.443123
"Avcilar","Avcilar",7,27.05,40.95,2.8494,3.164196,5.331,5.43058
"Avcilar","Avcilar",8,29.45,41.3,13.561,15.05919,6.933,7.0498
"Avcilar","Avcilar",7.5,28.5,39.75,5.226,5.803359,5.9233,6.029562
"Avcilar","Avcilar",7.5,27.65,41.9,5.2934,5.878205,5.9362,6.042636
"Avcilar","Avcilar",6,29.9,40.95,.9773,1.08527,4.3809,4.468586
"Avcilar","Avcilar",7.5,27.8,41.95,5.4013,5.998025,5.9566,6.063259
"Avcilar","Avcilar",7.5,28.45,41.2,15.86,17.61218,7.108,7.226535
"Avcilar","Avcilar",6,27.6,40.95,1.0291,1.142793,4.4239,4.512239
"Avcilar","Avcilar",8,29.25,41,18.543,20.59159,7.2852,7.405504
"Avcilar","Avcilar",7.5,27.75,41.1,7.8353,8.700929,6.3404,6.451145
"Avcilar","Avcilar",7,28.85,39.95,3.4136,3.790728,5.5034,5.604925
"Avcilar","Avcilar",7,27.65,41.55,3.5598,3.95308,5.5439,5.645889
"Avcilar","Avcilar",7,29.7,41.9,3.0427,3.378852,5.3933,5.493524
"Avcilar","Avcilar",6.5,28.65,40.4,3.1388,3.485569,5.4229,5.523502
"Avcilar","Avcilar",8,28.95,41.75,11.698,12.99037,6.7702,6.885396
"Avcilar","Avcilar",6.5,29.3,40.55,2.9839,3.313556,5.3747,5.474763
"Avcilar","Avcilar",7,29,39.65,2.6907,2.987963,5.2771,5.375996
"Avcilar","Avcilar",8,30.2,41.25,9.0811,10.08436,6.4967,6.609052
