location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Aydin","Aydin",6,29.75,37.8,.73572,.8170009,4.1491,29.75,29.75,0,4.233624
"Aydin","Aydin",7,29.05,36.95,3.7501,4.164404,5.5944,29.05,29.05,.01,5.697018
"Aydin","Aydin",7.5,27.5,37.8,8.6697,9.627512,6.4473,27.5,27.5,0,6.559191
"Aydin","Aydin",6.5,29.1,37.65,2.9295,3.253146,5.3573,29.1,29.1,0,5.45711
"Aydin","Aydin",6.5,29.55,37.7,1.8568,2.061936,4.9363,29.55,29.55,.01,5.031064
"Aydin","Aydin",6.5,29.55,38.5,1.4196,1.576435,4.6987,29.55,29.55,.01,4.790479
"Aydin","Aydin",7,28.45,37.7,22.962,25.4988,7.5318,28.45,28.45,0,7.654441
"Aydin","Aydin",6.5,27.6,37.5,3.0982,3.440483,5.4105,27.6,27.6,0,5.510938
"Aydin","Aydin",8,28.95,38.1,13.202,14.66053,6.9033,28.95,28.95,0,7.019781
"Aydin","Aydin",7,29.6,37.1,3.0471,3.383738,5.3946,29.6,29.6,0,5.494915
"Aydin","Aydin",8,28.95,38.6,9.6113,10.67314,6.5574,28.95,28.95,0,6.670389
"Aydin","Aydin",7,28.25,38.15,6.8305,7.585121,6.1971,28.25,28.25,0,6.306342
"Aydin","Aydin",6,29,38.85,.64062,.7113945,4.0391,29,29,0,4.122176
"Aydin","Aydin",7.5,28.8,36.45,5.0877,5.649779,5.8963,28.8,28.8,.01,6.002255
"Aydin","Aydin",6,28.85,38.35,1.1038,1.225746,4.4829,28.85,28.85,0,4.571917
"Aydin","Aydin",6.5,29,36.95,2.0065,2.228174,5.0063,29,29,0,5.101962
"Aydin","Aydin",7.5,29.65,37.8,5.8998,6.551599,6.0464,29.65,29.65,.01,6.153985
"Aydin","Aydin",6.5,29.45,37.9,1.964,2.180979,4.9869,29.45,29.45,0,5.082323
"Aydin","Aydin",6,26.7,37.4,.63313,.703077,4.0299,26.7,26.7,0,4.1128
"Aydin","Aydin",6.5,28.65,37.15,3.1057,3.448812,5.4128,28.65,28.65,.01,5.51327
"Aydin","Aydin",7,29.3,38.6,2.9674,3.295233,5.3694,29.3,29.3,.01,5.469439
"Aydin","Aydin",8,29,37.15,12.019,13.34684,6.7999,29,29,0,6.91534
"Aydin","Aydin",7,29.5,37.5,3.6615,4.066016,5.5712,29.5,29.5,0,5.673509
"Aydin","Aydin",7,27.3,38.65,2.8599,3.175856,5.3345,27.3,27.3,.01,5.434095
"Aydin","Aydin",6.5,26.95,37.55,1.6732,1.858052,4.8432,26.95,26.95,0,4.936861
"Aydin","Aydin",6.5,27,36.9,1.3946,1.548673,4.6832,27,27,0,4.774826
"Aydin","Aydin",7,29.35,37.55,4.1571,4.616369,5.6953,29.35,29.35,0,5.79902
"Aydin","Aydin",8,29.35,37.7,11.372,12.62836,6.7393,29.35,29.35,0,6.854216
"Aydin","Aydin",6,29.55,37.15,.75783,.8415536,4.1728,29.55,29.55,.01,4.257729
"Aydin","Aydin",6,28.7,38.2,1.4956,1.660831,4.7442,28.7,28.7,0,4.836617
"Aydin","Aydin",8,27.75,36.9,10.739,11.92542,6.677,27.75,27.75,0,6.791293
"Aydin","Aydin",7,28.85,37.3,5.8571,6.504181,6.039,28.85,28.85,0,6.146489
"Aydin","Aydin",8,29.4,37.75,10.992,12.20638,6.7023,29.4,29.4,.01,6.816834
"Aydin","Aydin",7.5,29.6,38.2,5.5784,6.194691,5.9893,29.6,29.6,0,6.09632
"Aydin","Aydin",7.5,28.8,38.9,5.0902,5.652555,5.8968,28.8,28.8,.01,6.002754
