location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bagcilar","BaĞCilar",6.5,27.55,41.25,1.8378,2.040837,4.927,5.021707
"Bagcilar","BaĞCilar",7.5,29.1,41.45,11.384,12.64168,6.7405,6.855378
"Bagcilar","BaĞCilar",7,28.7,41.8,4.4404,4.930967,5.7604,5.864873
"Bagcilar","BaĞCilar",6.5,29.35,41.5,3.0127,3.345537,5.3838,5.483993
"Bagcilar","BaĞCilar",8,28.05,41.2,13.871,15.40344,6.9581,7.075148
"Bagcilar","BaĞCilar",8,28.35,41.95,10.055,11.16586,6.6059,6.719415
"Bagcilar","BaĞCilar",7,30.15,40.5,3.1497,3.497673,5.4262,5.526851
"Bagcilar","BaĞCilar",7,28.85,41.15,22.251,24.70925,7.4952,7.617507
"Bagcilar","BaĞCilar",7.5,29.4,40.45,7.9993,8.883047,6.3622,6.473175
"Bagcilar","BaĞCilar",6,29.65,40.95,1.4574,1.618411,4.7216,4.813692
"Bagcilar","BaĞCilar",7,29.7,40.15,3.2254,3.581736,5.4489,5.549825
"Bagcilar","BaĞCilar",6.5,29.75,40,1.4547,1.615412,4.72,4.812051
"Bagcilar","BaĞCilar",8,29.75,40.3,9.8802,10.97175,6.587,6.700338
"Bagcilar","BaĞCilar",6.5,27.75,41.2,2.1902,2.432169,5.0862,5.182826
"Bagcilar","BaĞCilar",6,28.8,41.65,1.4719,1.634513,4.7302,4.822455
"Bagcilar","BaĞCilar",6.5,28.5,40.15,1.9818,2.200746,4.9951,5.090593
"Bagcilar","BaĞCilar",6,27.85,40.7,1.0778,1.196873,4.4628,4.551558
"Bagcilar","BaĞCilar",7.5,28.3,41.9,6.4387,7.150035,6.1361,6.244627
"Bagcilar","BaĞCilar",7.5,28.55,41.45,11.284,12.53063,6.7309,6.845661
"Bagcilar","BaĞCilar",7.5,29.1,40.1,6.4316,7.142151,6.1349,6.243478
"Bagcilar","BaĞCilar",8,27.95,41.45,11.744,13.04146,6.7745,6.889733
"Bagcilar","BaĞCilar",7.5,28.95,39.75,5.082,5.64345,5.8952,6.001115
"Bagcilar","BaĞCilar",7,28.55,40.85,10.894,12.09755,6.6926,6.807004
"Bagcilar","BaĞCilar",6.5,30.15,40.95,1.8235,2.024957,4.92,5.014608
"Bagcilar","BaĞCilar",7.5,30.55,41.35,4.9494,5.496201,5.8686,5.974274
"Bagcilar","BaĞCilar",7,29.05,39.95,3.2409,3.598948,5.4535,5.55447
"Bagcilar","BaĞCilar",8,28.55,41.7,12.685,14.08641,6.8591,6.975225
"Bagcilar","BaĞCilar",7.5,28.95,40.85,21.279,23.62986,7.4434,7.565237
"Bagcilar","BaĞCilar",7.5,29.6,42,5.6547,6.27942,6.0031,6.110275
"Bagcilar","BaĞCilar",7,28,41.65,3.9585,4.395828,5.6472,5.750419
"Bagcilar","BaĞCilar",7,27.75,41,4.2207,4.686995,5.7103,5.814145
"Bagcilar","BaĞCilar",6.5,28.65,41.45,4.1765,4.637912,5.6999,5.803655
"Bagcilar","BaĞCilar",8,28.75,39.8,8.6226,9.575209,6.4415,6.553347
"Bagcilar","BaĞCilar",6.5,29.8,40.8,2.3789,2.641716,5.1623,5.259858
"Bagcilar","BaĞCilar",7,27.45,41.75,2.8562,3.171747,5.3333,5.432858
"Bagcilar","BaĞCilar",6,27.9,40.6,1.0577,1.174553,4.4469,4.535522
"Bagcilar","BaĞCilar",8,28.05,41.35,13.076,14.52061,6.8927,7.009069
"Bagcilar","BaĞCilar",6.5,29.15,41.4,4.1888,4.651571,5.7028,5.806584
"Bagcilar","BaĞCilar",7.5,28.9,41.9,6.9384,7.704941,6.2134,6.322778
"Bagcilar","BaĞCilar",6,27.1,40.8,.62095,.6895514,4.0147,4.097345
"Bagcilar","BaĞCilar",6.5,28.2,41.35,3.2007,3.554307,5.4415,5.542382
"Bagcilar","BaĞCilar",6.5,28.7,40.15,2.0489,2.275259,5.0253,5.121191
"Bagcilar","BaĞCilar",8,29.55,41.6,11.765,13.06477,6.7764,6.891707
"Bagcilar","BaĞCilar",6.5,30.05,40.35,1.5811,1.755777,4.7931,4.886116
"Bagcilar","BaĞCilar",6,29.6,41.65,1.0363,1.150788,4.4298,4.518153
"Bagcilar","BaĞCilar",7,27.8,40.55,3.7978,4.217374,5.6067,5.709471
"Bagcilar","BaĞCilar",7,27.7,40.6,3.6501,4.053356,5.5682,5.670447
"Bagcilar","BaĞCilar",7,28.2,41.9,3.56,3.953302,5.5439,5.645945
"Bagcilar","BaĞCilar",6.5,27.55,41.15,1.8689,2.075372,4.9421,5.036978
"Bagcilar","BaĞCilar",6.5,28.55,39.85,1.5084,1.675045,4.7517,4.844183
"Bagcilar","BaĞCilar",8,27.75,40,8.2363,9.146231,6.393,6.504301
"Bagcilar","BaĞCilar",6.5,27.4,40.45,1.4718,1.634402,4.7302,4.822395
"Bagcilar","BaĞCilar",6.5,28.4,42,1.7843,1.981426,4.9005,4.994893
"Bagcilar","BaĞCilar",7,29.05,41.8,4.386,4.870557,5.7482,5.852525
"Bagcilar","BaĞCilar",7,27.9,42,3.0036,3.335432,5.3809,5.481085
"Bagcilar","BaĞCilar",7.5,27.5,40.6,5.7618,6.398353,6.0222,6.12958
"Bagcilar","BaĞCilar",7.5,27.6,41.85,5.2558,5.836451,5.929,6.035361
"Bagcilar","BaĞCilar",6,30.55,41.35,.62082,.689407,4.0145,4.097178
"Bagcilar","BaĞCilar",8,28.85,40.4,13.56,15.05808,6.9329,7.049717
"Bagcilar","BaĞCilar",7.5,27.75,41.6,6.2475,6.937712,6.105,6.213276
"Bagcilar","BaĞCilar",6.5,28.35,40,1.6566,1.839618,4.8344,4.9279
"Bagcilar","BaĞCilar",6.5,30.1,40.35,1.5394,1.70947,4.7695,4.862277
"Bagcilar","BaĞCilar",6,28.7,42,.88429,.9819847,4.2983,4.384859
"Bagcilar","BaĞCilar",7,28.9,42,3.6262,4.026816,5.5618,5.664001
