location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bakirkoy","BakirkÖY",7.5,29.9,40.25,5.8812,6.530944,6.0432,6.150726
"Bakirkoy","BakirkÖY",6,29.25,40.55,1.7826,1.979538,4.8996,4.994029
"Bakirkoy","BakirkÖY",7,28.1,39.95,3,3.331434,5.3798,5.479932
"Bakirkoy","BakirkÖY",7.5,27.65,40.05,4.9721,5.521408,5.8732,5.978914
"Bakirkoy","BakirkÖY",6,27.3,41.4,.66152,.7346035,4.0645,4.147845
"Bakirkoy","BakirkÖY",7.5,29.8,40.7,7.7532,8.609758,6.3293,6.439961
"Bakirkoy","BakirkÖY",6,28.3,40.15,.91211,1.012878,4.3237,4.410678
"Bakirkoy","BakirkÖY",6.5,27.6,41.7,1.5179,1.685595,4.7572,4.849763
"Bakirkoy","BakirkÖY",7.5,29.85,40.25,6.0022,6.665312,6.064,6.171766
"Bakirkoy","BakirkÖY",7.5,30,41.8,5.4785,6.083754,5.971,6.077789
"Bakirkoy","BakirkÖY",7.5,29.55,41.3,9.3434,10.37564,6.5271,6.639789
"Bakirkoy","BakirkÖY",7.5,28.15,41.6,7.2442,8.044525,6.2583,6.368142
"Bakirkoy","BakirkÖY",7.5,27.95,40,5.3235,5.91163,5.942,6.048427
"Bakirkoy","BakirkÖY",8,28.45,40.85,20.142,22.36725,7.3801,7.501263
"Bakirkoy","BakirkÖY",6.5,28.9,40.75,7.6356,8.479167,6.3133,6.423753
"Bakirkoy","BakirkÖY",7.5,29.25,41.8,6.9912,7.763575,6.2213,6.330737
"Bakirkoy","BakirkÖY",6,29.5,40.65,1.5811,1.755777,4.7931,4.886116
"Bakirkoy","BakirkÖY",7,27.35,40.8,3.0549,3.3924,5.397,5.497376
"Bakirkoy","BakirkÖY",6,28.75,41.65,1.3419,1.490151,4.6498,4.741004
"Bakirkoy","BakirkÖY",7.5,30.4,40.85,5.5239,6.13417,5.9794,6.086248
"Bakirkoy","BakirkÖY",7.5,30.35,40.25,4.9262,5.470437,5.8639,5.969512
"Bakirkoy","BakirkÖY",7,27.75,41,4.0687,4.518202,5.6742,5.777648
"Bakirkoy","BakirkÖY",7.5,29.7,41.65,6.7077,7.448754,6.1783,6.287349
"Bakirkoy","BakirkÖY",6,29.6,40.4,1.0963,1.217417,4.4771,4.566088
"Bakirkoy","BakirkÖY",8,29.3,40.15,10.723,11.90766,6.6755,6.789659
"Bakirkoy","BakirkÖY",7.5,28.75,39.95,6.0074,6.671086,6.0649,6.172661
"Bakirkoy","BakirkÖY",7.5,28.75,40.5,10.768,11.95763,6.6799,6.794248
"Bakirkoy","BakirkÖY",6.5,28.7,41.8,2.2132,2.45771,5.0958,5.192523
"Bakirkoy","BakirkÖY",7.5,29.5,42,5.6917,6.320508,6.0098,6.116981
"Bakirkoy","BakirkÖY",7,28,40.75,4.8224,5.35517,5.8426,5.947956
"Bakirkoy","BakirkÖY",8,29.25,41.9,10.272,11.40683,6.629,6.742684
"Bakirkoy","BakirkÖY",6,28.1,42,.71822,.7975676,4.1298,4.214096
"Bakirkoy","BakirkÖY",8,28.45,41.55,13.349,14.82377,6.9155,7.032161
"Bakirkoy","BakirkÖY",6,30.35,40.3,.63113,.700856,4.0274,4.11028
"Bakirkoy","BakirkÖY",8,27.15,40.75,8.2071,9.113805,6.3892,6.50051
"Bakirkoy","BakirkÖY",6.5,29.25,41.5,3.1315,3.477462,5.4207,5.521254
"Bakirkoy","BakirkÖY",6.5,28.85,41.15,10.764,11.95319,6.6796,6.79384
"Bakirkoy","BakirkÖY",6,27.85,41.35,1.0209,1.133687,4.4173,4.505458
"Bakirkoy","BakirkÖY",8,30.15,40.2,8.5731,9.52024,6.4354,6.547174
"Bakirkoy","BakirkÖY",8,27.6,41.7,8.8157,9.789641,6.4651,6.577126
"Bakirkoy","BakirkÖY",8,28.55,40.15,10.913,12.11865,6.6945,6.808917
"Bakirkoy","BakirkÖY",7.5,30.15,41.3,6.1666,6.847874,6.0917,6.19975
"Bakirkoy","BakirkÖY",6,28.1,41.95,.74913,.8318925,4.1636,4.248318
"Bakirkoy","BakirkÖY",7,28,41.6,3.8685,4.295885,5.6248,5.727673
"Bakirkoy","BakirkÖY",7.5,30.05,40.7,6.5604,7.285181,6.1554,6.26415
"Bakirkoy","BakirkÖY",6,27.85,40.15,.73526,.8164901,4.1486,4.233117
"Bakirkoy","BakirkÖY",7.5,28.65,40.8,18.038,20.0308,7.2537,7.373698
"Bakirkoy","BakirkÖY",7.5,29.1,40.25,7.7381,8.592991,6.3273,6.437892
"Bakirkoy","BakirkÖY",7.5,28.25,41.2,10.396,11.54453,6.642,6.755783
"Bakirkoy","BakirkÖY",7,30.45,40.45,2.7654,3.070916,5.3028,5.402035
"Bakirkoy","BakirkÖY",6,27.7,41,.9766,1.084493,4.3803,4.467983
"Bakirkoy","BakirkÖY",6,30.15,40.5,.78543,.8722028,4.2017,4.286973
"Bakirkoy","BakirkÖY",6,28.85,39.8,.70581,.7837865,4.1159,4.199994
"Bakirkoy","BakirkÖY",8,29,39.9,9.3827,10.41928,6.5316,6.644327
"Bakirkoy","BakirkÖY",8,29.2,41.4,16.379,18.18852,7.1443,7.263196
"Bakirkoy","BakirkÖY",6,30.05,41.8,.69896,.7761798,4.1081,4.192118
"Bakirkoy","BakirkÖY",7,28.8,39.9,3.2612,3.621491,5.4595,5.560524
"Bakirkoy","BakirkÖY",7,29.9,40.8,4.3309,4.80937,5.7357,5.839878
"Bakirkoy","BakirkÖY",8,27.3,40.4,8.1879,9.092484,6.3868,6.498011
"Bakirkoy","BakirkÖY",6,29.6,41.65,1.0189,1.131466,4.4156,4.503798
"Bakirkoy","BakirkÖY",6.5,29.35,40.4,2.6587,2.952428,5.2659,5.364644
"Bakirkoy","BakirkÖY",8,27.6,40.75,9.986,11.08923,6.5985,6.71192
"Bakirkoy","BakirkÖY",8,28.55,40.9,24.384,27.0779,7.602,7.725289
