location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bartin","Bartin",7,32,41.8,10.528,11.69111,6.6556,6.769572
"Bartin","Bartin",6.5,33.65,41.85,1.9218,2.134117,4.9673,5.062447
"Bartin","Bartin",7,31.1,41.45,3.4976,3.884008,5.5268,5.628648
"Bartin","Bartin",7,31.5,42,4.8136,5.345397,5.8408,5.946109
"Bartin","Bartin",7,33.3,41.15,3.8363,4.260127,5.6166,5.719419
"Bartin","Bartin",8,33.25,40.6,8.2446,9.155448,6.3941,6.505376
"Bartin","Bartin",6,33.55,40.95,.70846,.7867293,4.1189,4.203023
"Bartin","Bartin",8,31.65,41.15,11.445,12.70942,6.7464,6.861268
"Bartin","Bartin",7,33.25,40.65,2.8255,3.137656,5.3231,5.422535
"Bartin","Bartin",8,33.25,40.65,8.4343,9.366105,6.4181,6.529693
"Bartin","Bartin",7.5,33.7,42,6.1556,6.835659,6.0898,6.197899
"Bartin","Bartin",6,31.45,41.4,1.1278,1.252397,4.5011,4.59034
"Bartin","Bartin",7.5,31.2,41.65,6.7936,7.544144,6.1915,6.300667
"Bartin","Bartin",6.5,33.25,40.7,1.4711,1.633624,4.7298,4.821974
"Bartin","Bartin",6.5,32.35,41.45,6.0959,6.769363,6.0798,6.187799
"Bartin","Bartin",6.5,33.25,40.75,1.5242,1.692591,4.7608,4.853446
"Bartin","Bartin",6,33.5,41.7,1.0521,1.168334,4.4425,4.531007
"Bartin","Bartin",7.5,32,41.9,14.942,16.59276,7.041,7.15894
"Bartin","Bartin",6,32.5,41.3,2.0612,2.288918,5.0307,5.126703
"Bartin","Bartin",8,31.35,41.6,11.697,12.98926,6.7701,6.885302
"Bartin","Bartin",7,31.5,40.95,3.4004,3.77607,5.4996,5.60115
"Bartin","Bartin",6,32,41.95,2.7479,3.051483,5.2968,5.395991
"Bartin","Bartin",8,32.2,40.5,8.5248,9.466603,6.4294,6.54112
"Bartin","Bartin",6.5,32.45,40.5,1.4519,1.612303,4.7183,4.810347
"Bartin","Bartin",6.5,33.25,40.9,1.7025,1.890589,4.8587,4.952488
"Bartin","Bartin",8,33.25,40.9,9.5208,10.57264,6.5472,6.660139
"Bartin","Bartin",6,33.25,40.95,.8297,.9213637,4.2462,4.332062
"Bartin","Bartin",7,33.25,40.95,3.4334,3.812716,5.5089,5.610563
"Bartin","Bartin",8,33.25,40.95,9.7674,10.84648,6.5747,6.687865
"Bartin","Bartin",6,33.2,42,1.3744,1.526241,4.6705,4.761997
"Bartin","Bartin",7.5,31.45,41.4,7.5303,8.362233,6.2987,6.409049
"Bartin","Bartin",8,33.3,40.6,8.1651,9.067164,6.3838,6.495036
"Bartin","Bartin",7.5,31.85,41.8,12.658,14.05643,6.8568,6.972853
"Bartin","Bartin",7.5,33.7,41.9,6.2509,6.941488,6.1056,6.213841
"Bartin","Bartin",6,33.25,41.05,.90441,1.004328,4.3168,4.403602
"Bartin","Bartin",8,33.25,41.05,10.289,11.42571,6.6308,6.744488
"Bartin","Bartin",6.5,33.4,40.75,1.4442,1.603752,4.7136,4.805646
"Bartin","Bartin",6.5,32.45,41.1,2.813,3.123775,5.3189,5.418303
"Bartin","Bartin",7.5,33.2,41.65,9.1004,10.10579,6.4989,6.611341
"Bartin","Bartin",8,31,41.95,9.6142,10.67636,6.5577,6.670716
"Bartin","Bartin",6.5,32,41.6,5.6316,6.253768,5.999,6.106068
"Bartin","Bartin",8,31.65,41.75,14.929,16.57833,7.0401,7.157957
"Bartin","Bartin",6,32.15,41.95,3.6954,4.103661,5.5801,5.682563
"Bartin","Bartin",6.5,31.25,41.5,2.0586,2.28603,5.0296,5.125541
"Bartin","Bartin",6,32.55,40.5,.6634,.7366912,4.0667,4.15012
"Bartin","Bartin",8,31.7,40.6,8.5107,9.450946,6.4277,6.539347
"Bartin","Bartin",7,33.1,40.9,3.5104,3.898222,5.5304,5.632218
"Bartin","Bartin",6,33.25,41.3,1.1211,1.244957,4.496,4.585232
"Bartin","Bartin",7,33.25,41.3,4.3708,4.853678,5.7448,5.849051
"Bartin","Bartin",7.5,32.1,40.9,6.8935,7.655081,6.2066,6.315967
"Bartin","Bartin",6,31.1,40.95,.66417,.7375463,4.0676,4.15105
"Bartin","Bartin",7.5,33.25,41.35,7.713,8.565118,6.3239,6.434446
"Bartin","Bartin",6,33.45,41.5,1.0516,1.167779,4.4421,4.530603
"Bartin","Bartin",6.5,34.15,41.85,1.3744,1.526241,4.6705,4.761997
"Bartin","Bartin",8,32.45,41.05,12.68,14.08086,6.8587,6.974786
"Bartin","Bartin",7,31.5,41.8,5.0953,5.658219,5.8978,6.003773
"Bartin","Bartin",6,33.1,40.8,.77754,.8634412,4.1935,4.278706
"Bartin","Bartin",8,32.25,40.95,11.535,12.80937,6.7549,6.869906
"Bartin","Bartin",7,33.25,41.6,5.1059,5.66999,5.8999,6.005886
"Bartin","Bartin",8,33.25,41.6,13.169,14.62389,6.9005,7.016984
"Bartin","Bartin",6.5,32.2,40.6,1.5696,1.743006,4.7866,4.879597
"Bartin","Bartin",7.5,32.2,40.6,5.5287,6.1395,5.9802,6.087138
"Bartin","Bartin",7,32.1,41.5,9.5403,10.59429,6.5494,6.662354
"Bartin","Bartin",7.5,32.25,41.5,17.321,19.23459,7.2076,7.327123
"Bartin","Bartin",7.5,32.45,41.3,11.614,12.89709,6.7623,6.877438
"Bartin","Bartin",6,33.3,41.3,1.0735,1.192098,4.4594,4.54815
"Bartin","Bartin",6.5,33.9,42,1.5725,1.746227,4.7882,4.881245
"Bartin","Bartin",8,33.25,41.75,13.411,14.89262,6.9207,7.037346
"Bartin","Bartin",7,34,42,2.9261,3.24937,5.3561,5.455997
"Bartin","Bartin",6,32.7,40.9,.98806,1.097219,4.39,4.477818
"Bartin","Bartin",7,33.25,41.95,5.0217,5.576488,5.8832,5.988988
"Bartin","Bartin",7.5,31.1,41.15,5.6131,6.233225,5.9956,6.102688
"Bartin","Bartin",7,30.7,41.7,2.8583,3.17408,5.334,5.43356
"Bartin","Bartin",6,31.95,41.45,2.1337,2.369427,5.0623,5.158616
"Bartin","Bartin",8,31.95,41.4,16.412,18.22517,7.1466,7.265491
"Bartin","Bartin",8,33.7,41.55,9.9455,11.04426,6.5941,6.7075
"Bartin","Bartin",7,32.45,41.75,36.925,41.0044,8.0971,8.224977
"Bartin","Bartin",6.5,33.7,41.55,1.817,2.017739,4.9168,5.011364
"Bartin","Bartin",7.5,32.2,40.65,5.7238,6.356154,6.0155,6.122767
"Bartin","Bartin",7.5,30.9,41.3,5.371,5.964378,5.9509,6.057506
"Bartin","Bartin",8,34.15,41.6,8.2187,9.126686,6.3908,6.502017
"Bartin","Bartin",7,31.35,40.75,2.8447,3.158977,5.3295,5.429002
"Bartin","Bartin",7,32.6,40.8,3.6469,4.049803,5.5673,5.669586
"Bartin","Bartin",7,33.3,41.3,4.2211,4.687439,5.7104,5.81424
"Bartin","Bartin",7,31.05,40.9,2.7512,3.055147,5.298,5.397133
"Bartin","Bartin",6,32.75,41.75,3.6486,4.051691,5.5677,5.670044
"Bartin","Bartin",7.5,31.5,41.65,8.5173,9.458275,6.4285,6.540177
"Bartin","Bartin",6,32.2,41.25,1.7915,1.989421,4.9041,4.998542
"Bartin","Bartin",6,31.75,40.6,.66946,.7434207,4.0739,4.157413
"Bartin","Bartin",6,31.2,41.4,.90311,1.002884,4.3156,4.402402
"Bartin","Bartin",6,32.05,40.5,.65201,.7240428,4.053,4.136254
"Bartin","Bartin",7.5,32.2,40.7,5.9351,6.590798,6.0525,6.160146
"Bartin","Bartin",7,31.45,41.45,4.5016,4.998928,5.774,5.878604
"Bartin","Bartin",6.5,33.05,40.55,1.3963,1.550561,4.6842,4.775898
"Bartin","Bartin",6.5,30.75,41.45,1.4396,1.598644,4.7108,4.802828
"Bartin","Bartin",8,33.7,41.35,9.5642,10.62083,6.5521,6.665065
"Bartin","Bartin",6,31.5,41.6,1.323,1.469163,4.6375,4.72859
"Bartin","Bartin",6,33.65,41.7,.91318,1.014066,4.3247,4.411658
"Bartin","Bartin",6,32.2,41.65,5.9412,6.597572,6.0535,6.161207
"Bartin","Bartin",8,31.9,41.3,14.437,16.03197,7.0026,7.120133
"Bartin","Bartin",7,32.2,41.6,14.386,15.97534,6.9987,7.116146
"Bartin","Bartin",8,31.75,41.15,11.936,13.25467,6.7922,6.907667
"Bartin","Bartin",8,33.95,41.3,8.5375,9.480707,6.431,6.542715
"Bartin","Bartin",8,32.25,41,12.043,13.37349,6.802,6.917549
"Bartin","Bartin",6.5,30.65,41.8,1.3985,1.553004,4.6856,4.777284
"Bartin","Bartin",6,33.7,41.3,.78455,.8712256,4.2008,4.286055
"Bartin","Bartin",7,32.6,41.45,9.2837,10.30935,6.5202,6.632862
"Bartin","Bartin",7.5,31.05,42,6.0761,6.747376,6.0765,6.184429
"Bartin","Bartin",6,32.2,40.75,.84842,.9421518,4.2644,4.3505
"Bartin","Bartin",6.5,31.75,40.65,1.5147,1.682041,4.7553,4.847887
"Bartin","Bartin",7.5,31.7,41.05,6.9404,7.707162,6.2137,6.323081
"Bartin","Bartin",6,31.5,41.55,1.2954,1.438513,4.6194,4.710177
"Bartin","Bartin",8,32.6,41.2,14.548,16.15524,7.0112,7.128767
"Bartin","Bartin",7,31,42,3.3325,3.700668,5.4802,5.581522
"Bartin","Bartin",6.5,32.45,41.95,8.691,9.651165,6.4499,6.561824
"Bartin","Bartin",8,32.1,40.95,11.326,12.57728,6.735,6.849751
"Bartin","Bartin",7.5,31.05,40.85,4.9003,5.441676,5.8586,5.964171
"Bartin","Bartin",8,31.5,41.5,12.584,13.97426,6.8504,6.966329
"Bartin","Bartin",7,32.45,41.85,22.95,25.48547,7.5312,7.653827
"Bartin","Bartin",7,32.2,41.05,4.7801,5.308197,5.8338,5.939052
"Bartin","Bartin",7.5,32.45,41.8,41.652,46.25364,8.2442,8.373439
"Bartin","Bartin",8,33.2,41.7,13.93,15.46896,6.9628,7.079914
"Bartin","Bartin",6.5,33.95,41.85,1.5517,1.723129,4.7765,4.869367
"Bartin","Bartin",6.5,33.65,41.65,1.9196,2.131674,4.9662,5.0614
"Bartin","Bartin",8,32.45,41.6,33.893,37.63744,7.9934,8.120313
"Bartin","Bartin",6.5,32.75,41.8,6.6033,7.33282,6.1621,6.270955
"Bartin","Bartin",8,31.3,41.25,10.276,11.41127,6.6293,6.743109
"Bartin","Bartin",6.5,30.7,41.8,1.4405,1.599644,4.7114,4.80338
"Bartin","Bartin",6,32.45,41.55,4.9436,5.489759,5.8674,5.973085
"Bartin","Bartin",8,32.45,41.5,25.01,27.77306,7.6317,7.755291
"Bartin","Bartin",6,32.2,40.8,.89784,.9970317,4.3108,4.397521
"Bartin","Bartin",6,33.25,41.7,1.3975,1.551893,4.685,4.776655
"Bartin","Bartin",6.5,31.1,41,1.4853,1.649393,4.7382,4.830487
"Bartin","Bartin",6,32.45,41.4,2.7501,3.053926,5.2976,5.396753
"Bartin","Bartin",7,32.2,40.8,3.6577,4.061796,5.5702,5.672489
"Bartin","Bartin",7,33.7,41.1,3.0345,3.369746,5.3907,5.490927
"Bartin","Bartin",8,32.1,40.7,9.5057,10.55587,6.5455,6.65842
"Bartin","Bartin",8,32.2,40.8,10.244,11.37574,6.626,6.739707
"Bartin","Bartin",6.5,33.25,41.7,2.8293,3.141876,5.3244,5.423818
"Bartin","Bartin",6.5,32.45,41.3,4.064,4.512983,5.673,5.776501
"Bartin","Bartin",6.5,32.45,41.25,3.6593,4.063572,5.5706,5.672919
"Bartin","Bartin",6.5,33.7,41.05,1.5027,1.668715,4.7484,4.840821
"Bartin","Bartin",7.5,32.45,41.15,9.2804,10.30568,6.5199,6.632478
"Bartin","Bartin",7.5,31.5,41.4,7.7932,8.654178,6.3347,6.445424
"Bartin","Bartin",6,32.45,41.15,1.5183,1.686039,4.7574,4.849997
"Bartin","Bartin",6,31.6,40.85,.78904,.8762116,4.2054,4.290731
"Bartin","Bartin",7,32.6,40.55,2.9665,3.294233,5.3692,5.469148
