location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Basaksehir","BaŞAkŞEhİR",6.5,27.95,40.55,2.4153,2.682138,5.1764,5.274091
"Basaksehir","BaŞAkŞEhİR",7,28.6,40.1,3.6372,4.039031,5.5647,5.666972
"Basaksehir","BaŞAkŞEhİR",8,30.1,40.55,8.8543,9.832506,6.4697,6.581822
"Basaksehir","BaŞAkŞEhİR",6,28.4,41.25,3.4636,3.846252,5.5174,5.619108
"Basaksehir","BaŞAkŞEhİR",7.5,28.55,40.75,14.845,16.48505,7.0337,7.15158
"Basaksehir","BaŞAkŞEhİR",7,28,40.25,3.639,4.04103,5.5652,5.667458
"Basaksehir","BaŞAkŞEhİR",7.5,28.2,41.1,13.631,15.13693,6.9387,7.055569
"Basaksehir","BaŞAkŞEhİR",6,27.4,40.15,.61828,.6865864,4.0113,4.093922
"Basaksehir","BaŞAkŞEhİR",6,29.35,41.55,1.2807,1.422189,4.6095,4.700229
"Basaksehir","BaŞAkŞEhİR",7.5,29.7,40.15,5.3891,5.984478,5.9544,6.060946
"Basaksehir","BaŞAkŞEhİR",7.5,28.65,40.45,9.1269,10.13522,6.502,6.614476
"Basaksehir","BaŞAkŞEhİR",7.5,28.7,39.85,5.3266,5.915072,5.9426,6.049022
"Basaksehir","BaŞAkŞEhİR",6,30.3,41.65,.61179,.6793794,4.003,4.085548
"Basaksehir","BaŞAkŞEhİR",6,29.95,41,.89942,.9987862,4.3122,4.398987
"Basaksehir","BaŞAkŞEhİR",7,27.15,41.35,3.0104,3.342983,5.3831,5.483258
"Basaksehir","BaŞAkŞEhİR",7,29.25,40.15,3.4938,3.879788,5.5258,5.627586
"Basaksehir","BaŞAkŞEhİR",6.5,29.85,40.35,1.5998,1.776543,4.8035,4.896626
"Basaksehir","BaŞAkŞEhİR",6,29.4,41.35,1.489,1.653502,4.7403,4.832693
"Basaksehir","BaŞAkŞEhİR",8,29,41.95,10.544,11.70888,6.6572,6.771233
"Basaksehir","BaŞAkŞEhİR",6,28.5,41.05,7.252,8.053187,6.2594,6.369276
