location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Batman","Batman",6,40.5,36.65,.62597,.695126,4.021,4.103746
"Batman","Batman",7.5,40.25,36.8,5.1112,5.675876,5.9009,6.006941
"Batman","Batman",7.5,40.15,37.55,7.1877,7.981783,6.2501,6.359891
"Batman","Batman",7,41,39.15,2.8246,3.136657,5.3228,5.422231
"Batman","Batman",6,40.7,37.3,1.3564,1.506253,4.6591,4.750425
"Batman","Batman",6.5,40.5,36.65,1.3722,1.523798,4.6691,4.76059
"Batman","Batman",7,40.5,36.65,2.739,3.0416,5.2938,5.392904
"Batman","Batman",6,41,39.1,.68031,.7554694,4.0866,4.170329
"Batman","Batman",7,40.25,37.9,4.9652,5.513746,5.8718,5.977506
"Batman","Batman",8,40.15,37.5,11.105,12.33186,6.7134,6.828071
"Batman","Batman",6.5,41.65,37.65,3.8132,4.234475,5.6107,5.713461
"Batman","Batman",7.5,40.15,37.5,7.0462,7.824651,6.2294,6.338971
"Batman","Batman",6.5,41.95,37.2,1.9223,2.134672,4.9675,5.062685
"Batman","Batman",7.5,40.15,37.7,7.5304,8.362345,6.2988,6.409063
"Batman","Batman",8,39.95,38.1,10.347,11.49012,6.6368,6.750624
"Batman","Batman",8,41.05,38.1,26.651,29.59535,7.7065,7.830809
"Batman","Batman",8,41.95,36.85,8.6818,9.640949,6.4488,6.560688
"Batman","Batman",8,41.85,37.4,12.069,13.40236,6.8044,6.919939
"Batman","Batman",6.5,40.65,37.35,2.8457,3.160088,5.3298,5.429338
"Batman","Batman",6.5,40.25,37.2,1.8897,2.09847,4.952,5.047068
"Batman","Batman",7,40.25,38.1,4.7511,5.275992,5.8277,5.932907
"Batman","Batman",6.5,42.45,38.45,1.5169,1.684484,4.7566,4.849177
"Batman","Batman",7.5,41.25,37.1,7.5169,8.347353,6.2969,6.407164
"Batman","Batman",6,40.15,37.85,1.162,1.290376,4.5264,4.616007
"Batman","Batman",6,41.3,36.95,.91948,1.021062,4.3304,4.417403
"Batman","Batman",8,40.15,37.85,11.971,13.29353,6.7955,6.910909
"Batman","Batman",7.5,41,38.95,5.8502,6.496519,6.0378,6.145273
"Batman","Batman",6,41,38.95,.78753,.8745348,4.2038,4.289161
"Batman","Batman",6.5,41.05,36.55,1.3647,1.515469,4.6644,4.755778
"Batman","Batman",7.5,40.15,37.9,7.693,8.542908,6.3212,6.431692
"Batman","Batman",6.5,41.7,38.45,2.4836,2.757983,5.2023,5.30029
"Batman","Batman",7.5,40.15,37.45,6.8962,7.658079,6.2071,6.316377
"Batman","Batman",6.5,41,38.9,1.7705,1.966102,4.8936,4.987861
"Batman","Batman",6,41.6,38.9,.77557,.8612535,4.1915,4.27663
"Batman","Batman",7,40.15,37.95,4.4849,4.980383,5.7703,5.874874
"Batman","Batman",8,40.5,36.7,8.4419,9.374545,6.4191,6.530657
"Batman","Batman",6.5,41.1,37.95,20.187,22.41722,7.3826,7.503857
"Batman","Batman",6,41.05,37.45,2.2019,2.445162,5.0911,5.18777
"Batman","Batman",6.5,41,38.85,1.862,2.06771,4.9388,5.033609
"Batman","Batman",7,41.55,37.15,4.2821,4.755178,5.7245,5.828556
"Batman","Batman",6.5,40.95,38.4,3.3965,3.771739,5.4985,5.600032
"Batman","Batman",7.5,41,38.8,6.5833,7.31061,6.159,6.267787
"Batman","Batman",7,40.65,38.6,4.2568,4.727083,5.7186,5.82264
"Batman","Batman",7,41.1,39.2,2.734,3.036047,5.2921,5.391166
"Batman","Batman",6,41.45,37.1,1.0683,1.186324,4.4553,4.544012
"Batman","Batman",6,40.15,38.05,1.132,1.257061,4.5042,4.593528
"Batman","Batman",7.5,40.15,38.05,7.5499,8.383999,6.3015,6.4118
"Batman","Batman",6.5,40.15,37.4,2.0235,2.247052,5.014,5.109715
"Batman","Batman",6,40.15,37.4,.96335,1.069779,4.3689,4.456485
"Batman","Batman",7.5,39.9,37,5.0307,5.586482,5.885,5.990806
"Batman","Batman",8,40.05,37.9,11.201,12.43847,6.7228,6.837536
"Batman","Batman",6,40.15,38.15,1.0886,1.208866,4.4712,4.560067
"Batman","Batman",6,42,38.55,.88775,.9858269,4.3015,4.388108
"Batman","Batman",8,41.6,38.05,17.878,19.85313,7.2436,7.363452
"Batman","Batman",7,41.9,37.9,5.4099,6.007576,5.9582,6.064887
"Batman","Batman",7.5,41.95,38.6,6.3207,7.018999,6.117,6.225379
"Batman","Batman",7.5,40.45,36.8,5.3726,5.966155,5.9512,6.05781
"Batman","Batman",8,42,38.6,9.9305,11.0276,6.5925,6.705859
"Batman","Batman",7.5,42.4,38,6.1008,6.774805,6.0806,6.188631
"Batman","Batman",7.5,41,38.65,7.5605,8.39577,6.3029,6.413285
"Batman","Batman",6.5,40.15,38.2,2.2092,2.453268,5.0941,5.190843
"Batman","Batman",8,40.15,38.2,11.337,12.58949,6.736,6.850821
"Batman","Batman",6.5,41,38.65,2.3443,2.603294,5.1488,5.246149
"Batman","Batman",6,42.8,37.8,.61923,.6876414,4.0125,4.095141
"Batman","Batman",8,42.15,37.5,10.676,11.85546,6.6707,6.784848
"Batman","Batman",6,41.55,38,2.6379,2.92933,5.2585,5.3572
"Batman","Batman",6.5,40.15,37.3,1.9013,2.111352,4.9576,5.052651
"Batman","Batman",8,40.15,38.3,10.949,12.15862,6.698,6.812531
"Batman","Batman",7.5,40.15,37.25,6.2602,6.951815,6.1071,6.215385
"Batman","Batman",6.5,39.95,38.75,1.4348,1.593314,4.7079,4.799878
"Batman","Batman",8,41.6,37.35,13.298,14.76714,6.9113,7.02788
"Batman","Batman",7.5,40.85,38.2,13.141,14.59279,6.8982,7.014607
"Batman","Batman",6,42.15,37.8,1.0679,1.18588,4.455,4.543693
"Batman","Batman",7,42.1,37.8,4.3932,4.878552,5.7498,5.854167
"Batman","Batman",6,40.1,36.8,.61304,.6807675,4.0046,4.087167
"Batman","Batman",7,42.6,37.6,2.9709,3.299119,5.3706,5.470571
"Batman","Batman",7,39.9,37.15,2.9715,3.299786,5.3708,5.470764
"Batman","Batman",6.5,40.7,36.65,1.4273,1.584985,4.7034,4.795251
"Batman","Batman",6,42.15,36.9,.65003,.7218441,4.0506,4.133822
"Batman","Batman",6.5,42.3,37.95,1.9407,2.155105,4.9761,5.071396
"Batman","Batman",8,41.6,37.5,15.142,16.81486,7.0559,7.173982
"Batman","Batman",7.5,42.1,38.85,5.2237,5.800805,5.9229,6.029113
"Batman","Batman",8,40.15,37.2,9.8129,10.89701,6.5797,6.692912
"Batman","Batman",7.5,39.7,37.15,4.9307,5.475434,5.8648,5.970437
"Batman","Batman",6.5,42.1,38.75,1.5564,1.728348,4.7792,4.872063
"Batman","Batman",6,40.65,37,.90565,1.005705,4.3179,4.404745
"Batman","Batman",6,42.15,38.2,.99174,1.101306,4.3931,4.480955
"Batman","Batman",7.5,41.3,37.05,7.1212,7.907937,6.2404,6.350106
"Batman","Batman",6.5,41,38.45,3.1535,3.501893,5.4274,5.528016
"Batman","Batman",8,41.05,38.45,14.472,16.07084,7.0053,7.122862
"Batman","Batman",6,41,38.45,1.5764,1.750558,4.7904,4.883456
"Batman","Batman",7.5,42.1,38.55,6.0784,6.74993,6.0769,6.184821
"Batman","Batman",7,40.9,38.8,3.7282,4.140084,5.5887,5.691254
"Batman","Batman",7,42.15,37.15,3.239,3.596838,5.4529,5.553902
"Batman","Batman",7,39.95,37.55,3.5939,3.990947,5.5531,5.655228
"Batman","Batman",8,42.1,38.4,10.417,11.56785,6.6441,6.757987
"Batman","Batman",6.5,42.1,38.35,2.0052,2.226731,5.0057,5.101367
"Batman","Batman",6.5,42.25,38,2.015,2.237613,5.0102,5.105845
"Batman","Batman",8,41.75,38.25,13.698,15.21133,6.9442,7.061066
"Batman","Batman",8,39.9,37.1,8.6107,9.561994,6.4401,6.551866
"Batman","Batman",7.5,42.1,38.3,6.8405,7.596225,6.1986,6.307875
"Batman","Batman",7,41.15,38.85,3.6064,4.004828,5.5565,5.658631
"Batman","Batman",8,40.15,38.6,9.6459,10.71156,6.5612,6.674284
"Batman","Batman",7.5,42.1,38.25,6.9819,7.753247,6.2199,6.32934
"Batman","Batman",6,42.1,38.25,1.0128,1.124692,4.4106,4.498714
"Batman","Batman",6.5,42.55,37.2,1.3683,1.519467,4.6667,4.75809
"Batman","Batman",7.5,42.15,37.25,6.0473,6.715394,6.0716,6.179511
"Batman","Batman",6.5,40.8,36.65,1.4485,1.608528,4.7162,4.808274
"Batman","Batman",6,42.1,38.2,1.0402,1.155119,4.433,4.521342
"Batman","Batman",7.5,40.15,37.15,5.9456,6.602458,6.0543,6.161972
"Batman","Batman",7.5,42.1,38.15,7.2344,8.033643,6.2569,6.366714
"Batman","Batman",6,41,38.35,1.9399,2.154217,4.9757,5.071019
"Batman","Batman",6,42.1,38.1,1.0875,1.207645,4.4703,4.559203
"Batman","Batman",7,39.7,37.75,3.1667,3.516551,5.4313,5.532053
"Batman","Batman",6,40.15,38.65,.78321,.8697376,4.1994,4.284654
"Batman","Batman",7,39.6,38.45,2.7373,3.039712,5.2932,5.392314
"Batman","Batman",6,40.6,37.45,1.5476,1.718576,4.7742,4.867009
"Batman","Batman",6,40.85,37.55,2.4659,2.738328,5.1956,5.293562
"Batman","Batman",6.5,40.2,38.7,1.6637,1.847502,4.8382,4.931742
"Batman","Batman",6,40.45,38.05,1.6676,1.851833,4.8402,4.933846
"Batman","Batman",8,42.1,37.85,11.796,13.0992,6.7794,6.894616
"Batman","Batman",7,41.75,37.7,6.2039,6.889295,6.0978,6.206006
"Batman","Batman",8,42.1,37.7,11.594,12.87488,6.7605,6.875535
"Batman","Batman",6.5,41.4,38.95,1.6574,1.840506,4.8348,4.928333
"Batman","Batman",6.5,42.1,37.7,2.2842,2.536554,5.1248,5.221904
