location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bayburt","Bayburt",7,39.85,39.25,3.0734,3.412943,5.4028,5.503191
"Bayburt","Bayburt",8,41,41.3,9.2454,10.26681,6.5158,6.628397
"Bayburt","Bayburt",6,40.6,41.65,.63413,.7041875,4.0311,4.114057
"Bayburt","Bayburt",7,40.1,40.35,34.85,38.70016,8.027,8.154242
"Bayburt","Bayburt",8,38.75,40.85,9.0087,10.00396,6.4881,6.600427
"Bayburt","Bayburt",8,41.15,39.55,9.1238,10.13178,6.5017,6.61411
"Bayburt","Bayburt",7.5,38.8,40.65,5.9297,6.584802,6.0516,6.159205
"Bayburt","Bayburt",6.5,39.9,39.6,2.2455,2.493579,5.1091,5.205991
"Bayburt","Bayburt",6,38.9,39.55,.65203,.7240651,4.0531,4.136279
"Bayburt","Bayburt",8,41.8,40.75,8.3094,9.227407,6.4023,6.513739
"Bayburt","Bayburt",8,40.2,41.25,11.014,12.23081,6.7046,6.81903
"Bayburt","Bayburt",6,39.55,39.9,1.3405,1.488596,4.6489,4.74009
"Bayburt","Bayburt",7,40.45,41.45,3.2719,3.633373,5.4626,5.563701
"Bayburt","Bayburt",7.5,39.8,40.5,16.401,18.21295,7.1458,7.264727
"Bayburt","Bayburt",7,41.25,40.4,4.1291,4.585275,5.6886,5.792295
"Bayburt","Bayburt",7.5,40,39.4,6.2228,6.910283,6.101,6.209163
"Bayburt","Bayburt",7.5,39.35,40.2,8.8345,9.810519,6.4673,6.579415
"Bayburt","Bayburt",7,41.2,40.95,3.6053,4.003607,5.5562,5.658332
"Bayburt","Bayburt",8,39.65,39.55,10.512,11.67335,6.654,6.767909
"Bayburt","Bayburt",7.5,39.1,39.95,6.6563,7.391675,6.1704,6.279306
"Bayburt","Bayburt",7,39.85,40,7.1838,7.977453,6.2495,6.35932
"Bayburt","Bayburt",7.5,38.9,39.45,4.9149,5.457889,5.8616,5.967185
"Bayburt","Bayburt",7,41.05,41.35,3.0384,3.374077,5.3919,5.492163
"Bayburt","Bayburt",6,40.75,41.35,.79972,.8880715,4.2163,4.301764
"Bayburt","Bayburt",7,38.75,40.9,3.0355,3.370856,5.391,5.491244
"Bayburt","Bayburt",8,39.75,41.3,10.237,11.36796,6.6252,6.738961
"Bayburt","Bayburt",7.5,39.9,41,8.8294,9.804855,6.4667,6.578794
"Bayburt","Bayburt",6,40.45,39.9,1.7064,1.89492,4.8607,4.95455
