location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bayrampasa","BayrampaŞA",6,27.45,40.8,.74872,.8314372,4.1631,4.247872
"Bayrampasa","BayrampaŞA",7.5,29.8,40.4,6.5159,7.235765,6.1483,6.25705
"Bayrampasa","BayrampaŞA",7.5,28.9,40.4,8.72,9.683369,6.4535,6.5654
"Bayrampasa","BayrampaŞA",6.5,29.7,40.35,1.9711,2.188863,4.9902,5.085629
"Bayrampasa","BayrampaŞA",7.5,29.9,41.2,7.6626,8.50915,6.317,6.427494
"Bayrampasa","BayrampaŞA",7,27.45,41.65,2.8874,3.206394,5.3436,5.443247
"Bayrampasa","BayrampaŞA",6.5,29.7,40.4,2.0554,2.282477,5.0282,5.124108
"Bayrampasa","BayrampaŞA",7.5,30.6,41.25,5.0628,5.622128,5.8914,5.997268
"Bayrampasa","BayrampaŞA",7,28.8,40.25,4.2884,4.762174,5.7259,5.830024
"Bayrampasa","BayrampaŞA",7.5,30.3,41.65,5.3426,5.93284,5.9456,6.052086
"Bayrampasa","BayrampaŞA",6,29.15,41.9,1.0008,1.111367,4.4007,4.488635
"Bayrampasa","BayrampaŞA",7,28.5,42,3.5288,3.918655,5.5354,5.637331
"Bayrampasa","BayrampaŞA",6,29.75,41.25,1.3467,1.495481,4.6529,4.744133
"Bayrampasa","BayrampaŞA",6,28.6,40.65,2.0376,2.26271,5.0202,5.116101
"Bayrampasa","BayrampaŞA",6,29.4,40.1,.83575,.928082,4.2521,4.33806
"Bayrampasa","BayrampaŞA",7.5,27.55,40.85,6.0058,6.66931,6.0646,6.172386
"Bayrampasa","BayrampaŞA",6,27.8,41.9,.70634,.7843751,4.1165,4.200601
"Bayrampasa","BayrampaŞA",6.5,28,41.8,1.7989,1.997639,4.9078,5.00228
"Bayrampasa","BayrampaŞA",6,30.1,40.45,.77975,.8658953,4.1958,4.281029
"Bayrampasa","BayrampaŞA",8,28.55,41.2,22.065,24.5027,7.4855,7.607667
"Bayrampasa","BayrampaŞA",7,27.65,41.6,3.2553,3.614939,5.4577,5.558767
"Bayrampasa","BayrampaŞA",8,30.6,41,8.4135,9.343007,6.4155,6.527051
"Bayrampasa","BayrampaŞA",6,28,41.15,1.3018,1.44562,4.6236,4.714477
"Bayrampasa","BayrampaŞA",6.5,28.15,40.65,2.6241,2.914006,5.2536,5.352232
"Bayrampasa","BayrampaŞA",8,30.1,40.65,10.028,11.13587,6.603,6.716487
"Bayrampasa","BayrampaŞA",7.5,27.65,41.45,6.0873,6.759813,6.0784,6.186336
"Bayrampasa","BayrampaŞA",8,29.5,40.7,14.559,16.16745,7.012,7.12962
"Bayrampasa","BayrampaŞA",7.5,28.25,40.15,6.0723,6.743156,6.0759,6.183782
"Bayrampasa","BayrampaŞA",8,30.6,41.4,8.2291,9.138235,6.3921,6.503367
"Bayrampasa","BayrampaŞA",7,28,41.1,4.9612,5.509304,5.871,5.976688
"Bayrampasa","BayrampaŞA",7.5,29.35,42,6.1672,6.848541,6.0917,6.199851
"Bayrampasa","BayrampaŞA",6,29.45,41.2,2.1558,2.393969,5.0717,5.168152
"Bayrampasa","BayrampaŞA",8,28.95,41.95,10.683,11.86324,6.6713,6.785566
"Bayrampasa","BayrampaŞA",8,28.4,41.15,18.704,20.77038,7.2951,7.415478
"Bayrampasa","BayrampaŞA",7.5,27.5,40.35,5.1233,5.689312,5.9033,6.009347
"Bayrampasa","BayrampaŞA",6.5,29.4,40.1,1.7804,1.977095,4.8985,4.99291
"Bayrampasa","BayrampaŞA",7,29.55,40.55,4.8597,5.39659,5.8503,5.955749
"Bayrampasa","BayrampaŞA",6,29.85,41.35,1.1437,1.270054,4.5129,4.602356
"Bayrampasa","BayrampaŞA",6,28.1,41.7,.97946,1.087669,4.3827,4.470447
"Bayrampasa","BayrampaŞA",7,27.15,41.05,2.7352,3.03738,5.2925,5.391584
"Bayrampasa","BayrampaŞA",7.5,27.8,40.7,6.7135,7.455195,6.1792,6.288253
"Bayrampasa","BayrampaŞA",6,27.7,40.7,.88072,.9780203,4.2949,4.381494
"Bayrampasa","BayrampaŞA",8,27.65,40.15,8.2857,9.201089,6.3993,6.510687
"Bayrampasa","BayrampaŞA",8,27.45,41.35,9.1363,10.14566,6.5031,6.615586
"Bayrampasa","BayrampaŞA",7,29,40.2,4.0646,4.513649,5.6732,5.776647
"Bayrampasa","BayrampaŞA",7.5,27.65,40.15,5.011,5.564606,5.881,5.986822
"Bayrampasa","BayrampaŞA",7,28.15,40.55,4.5167,5.015697,5.7773,5.881966
"Bayrampasa","BayrampaŞA",7,29.9,41,4.545,5.047123,5.7835,5.88824
"Bayrampasa","BayrampaŞA",8,28.7,40.9,27.777,30.84575,7.7555,7.880212
"Bayrampasa","BayrampaŞA",6.5,29.8,41.6,2.0962,2.327784,5.0461,5.142231
"Bayrampasa","BayrampaŞA",6.5,28.55,41.2,5.9661,6.625224,6.0578,6.165529
"Bayrampasa","BayrampaŞA",6.5,29.35,40.4,2.4938,2.76931,5.2061,5.304147
"Bayrampasa","BayrampaŞA",6,28.65,40,.79573,.8836408,4.2122,4.297657
"Bayrampasa","BayrampaŞA",7.5,30.05,40.2,5.3147,5.901858,5.9403,6.046737
"Bayrampasa","BayrampaŞA",7,29.9,41.3,4.3511,4.831801,5.7403,5.844531
"Bayrampasa","BayrampaŞA",7.5,28.75,41.95,6.6963,7.436095,6.1766,6.28557
"Bayrampasa","BayrampaŞA",7.5,28,41.8,6.1492,6.828552,6.0888,6.19682
"Bayrampasa","BayrampaŞA",6,28.25,40.15,.83041,.9221521,4.2469,4.332768
"Bayrampasa","BayrampaŞA",8,28.55,40.7,17.331,19.2457,7.2083,7.327784
"Bayrampasa","BayrampaŞA",7,29,40.85,13.878,15.41121,6.9586,7.075715
"Bayrampasa","BayrampaŞA",6,28.3,41.25,1.874,2.081036,4.9445,5.039461
"Bayrampasa","BayrampaŞA",7.5,27.4,41.45,5.3723,5.965822,5.9512,6.057753
"Bayrampasa","BayrampaŞA",6,29.8,41.1,1.3255,1.471939,4.6392,4.730241
"Bayrampasa","BayrampaŞA",8,27.85,41.3,11.279,12.52508,6.7304,6.845173
"Bayrampasa","BayrampaŞA",6.5,28.6,40.5,3.071,3.410278,5.4021,5.502439
"Bayrampasa","BayrampaŞA",7.5,29.55,41.75,7.0417,7.819654,6.2287,6.3383
"Bayrampasa","BayrampaŞA",6.5,28.95,39.85,1.5122,1.679265,4.7539,4.846419
"Bayrampasa","BayrampaŞA",7,28.55,40.15,3.7269,4.138641,5.5884,5.690911
"Bayrampasa","BayrampaŞA",6,28.3,42,.80816,.897444,4.2248,4.310392
"Bayrampasa","BayrampaŞA",7.5,30,42,5.1808,5.753165,5.9146,6.02071
"Bayrampasa","BayrampaŞA",8,27.75,40.75,10.517,11.6789,6.6544,6.768429
"Bayrampasa","BayrampaŞA",6.5,27.4,41,1.5992,1.775877,4.8032,4.89629
"Bayrampasa","BayrampaŞA",7,27.2,40.75,2.736,3.038268,5.2928,5.391862
"Bayrampasa","BayrampaŞA",7.5,28.9,40.5,9.9444,11.04304,6.594,6.707379
"Bayrampasa","BayrampaŞA",6,30.1,41.15,.9554,1.060951,4.3621,4.44952
"Bayrampasa","BayrampaŞA",8,29.65,41.05,14.693,16.31626,7.0222,7.139957
"Bayrampasa","BayrampaŞA",6,29.85,39.95,.62954,.6990904,4.0254,4.108272
"Bayrampasa","BayrampaŞA",7,30.15,40.25,2.9032,3.22394,5.3487,5.448471
"Bayrampasa","BayrampaŞA",8,27.4,41.05,9.1379,10.14744,6.5033,6.615775
"Bayrampasa","BayrampaŞA",8,28.65,39.8,8.4867,9.424294,6.4247,6.536323
"Bayrampasa","BayrampaŞA",7.5,29.85,40.9,7.955,8.833854,6.3563,6.467265
"Bayrampasa","BayrampaŞA",7,28.4,41.95,3.5974,3.994834,5.554,5.656182
"Bayrampasa","BayrampaŞA",6.5,30.25,41.8,1.4418,1.601087,4.7121,4.804177
"Bayrampasa","BayrampaŞA",8,29.75,41.9,9.5626,10.61906,6.5519,6.664884
"Bayrampasa","BayrampaŞA",6,29.5,41.65,1.1846,1.315472,4.5428,4.632607
"Bayrampasa","BayrampaŞA",7.5,30.35,41.8,4.984,5.534623,5.8756,5.981339
"Bayrampasa","BayrampaŞA",6.5,29.25,40.9,6.063,6.732829,6.0743,6.182194
"Bayrampasa","BayrampaŞA",8,27.9,40.35,9.7322,10.80739,6.5708,6.683947
"Bayrampasa","BayrampaŞA",6.5,27.8,41.2,2.1576,2.395967,5.0725,5.168925
"Bayrampasa","BayrampaŞA",6,29.25,40.35,1.1878,1.319026,4.545,4.634935
"Bayrampasa","BayrampaŞA",7.5,28.3,41.9,6.3895,7.0954,6.1282,6.236641
"Bayrampasa","BayrampaŞA",7,28.3,41.2,6.8178,7.571018,6.1952,6.304391
"Bayrampasa","BayrampaŞA",7.5,29,40.8,17.748,19.70877,7.2353,7.355066
"Bayrampasa","BayrampaŞA",6,28,41.5,1.0772,1.196207,4.4623,4.551083
"Bayrampasa","BayrampaŞA",6.5,28.65,40.75,5.1443,5.712633,5.9074,6.01351
"Bayrampasa","BayrampaŞA",7.5,29.7,40.65,8.0167,8.902369,6.3645,6.475488
"Bayrampasa","BayrampaŞA",7.5,29.2,40.8,14.614,16.22853,7.0162,7.133873
"Bayrampasa","BayrampaŞA",7,28,40.65,4.3446,4.824583,5.7388,5.843036
"Bayrampasa","BayrampaŞA",6,27.4,41.2,.73671,.8181003,4.1501,4.234717
"Bayrampasa","BayrampaŞA",7,29.35,41.45,6.3108,7.008005,6.1154,6.22375
"Bayrampasa","BayrampaŞA",6.5,29.05,41.7,2.7711,3.077246,5.3048,5.403996
"Bayrampasa","BayrampaŞA",7,30.15,41.55,3.3358,3.704333,5.4812,5.582484
"Bayrampasa","BayrampaŞA",8,29.85,41.6,10.701,11.88323,6.6732,6.787409
"Bayrampasa","BayrampaŞA",6,30.1,41.9,.67474,.749284,4.0801,4.163721
"Bayrampasa","BayrampaŞA",8,28,41,12.882,14.30518,6.8761,6.992393
"Bayrampasa","BayrampaŞA",8,27.25,41.35,8.4155,9.345228,6.4158,6.527305
"Bayrampasa","BayrampaŞA",7.5,27.65,40.85,6.3662,7.069526,6.1244,6.232839
"Bayrampasa","BayrampaŞA",6,29.4,40.8,2.0908,2.321788,5.0437,5.139851
"Bayrampasa","BayrampaŞA",8,28.8,40.85,27.793,30.86352,7.7561,7.8809
"Bayrampasa","BayrampaŞA",6,28.9,41.1,15.55,17.26793,7.0858,7.204115
"Bayrampasa","BayrampaŞA",7,27.95,41.8,3.408,3.784509,5.5018,5.603325
"Bayrampasa","BayrampaŞA",6.5,28.1,40.65,2.5101,2.787411,5.2122,5.310283
"Bayrampasa","BayrampaŞA",6.5,28.75,40.5,3.2582,3.61816,5.4586,5.559631
"Bayrampasa","BayrampaŞA",6,28.45,40.65,1.7561,1.950111,4.8863,4.980471
"Bayrampasa","BayrampaŞA",6,27.65,40.85,.88816,.9862822,4.3018,4.388493
"Bayrampasa","BayrampaŞA",7,27.65,40.5,3.2383,3.596061,5.4527,5.553692
"Bayrampasa","BayrampaŞA",7.5,27.45,41.15,5.7525,6.388025,6.0206,6.127916
"Bayrampasa","BayrampaŞA",6,29.7,40.55,1.1272,1.251731,4.5006,4.589883
"Bayrampasa","BayrampaŞA",7,29.3,40.75,7.6089,8.449517,6.3096,6.420042
"Bayrampasa","BayrampaŞA",6.5,30.6,41.4,1.3697,1.521022,4.6675,4.758988
"Bayrampasa","BayrampaŞA",7.5,29.45,39.85,5.1364,5.70386,5.9059,6.011946
"Bayrampasa","BayrampaŞA",7.5,28.75,41.7,8.6042,9.554775,6.4393,6.551056
"Bayrampasa","BayrampaŞA",6,29.4,41.5,1.5627,1.735344,4.7828,4.875666
"Bayrampasa","BayrampaŞA",6,28.85,40.85,4.9474,5.493979,5.8682,5.973864
"Bayrampasa","BayrampaŞA",7,28.65,41.4,8.0206,8.906701,6.365,6.476006
"Bayrampasa","BayrampaŞA",8,27.35,40.5,8.3336,9.25428,6.4054,6.516847
"Bayrampasa","BayrampaŞA",6,29.85,40.75,1.1394,1.265279,4.5097,4.599121
"Bayrampasa","BayrampaŞA",7,29.25,40.5,5.5021,6.109962,5.9754,6.082194
"Bayrampasa","BayrampaŞA",6,29.85,40.2,.7594,.8432971,4.1745,4.259417
"Bayrampasa","BayrampaŞA",6,29.15,41.7,1.3283,1.475048,4.641,4.732087
"Bayrampasa","BayrampaŞA",6,27.95,40.45,.91894,1.020463,4.3299,4.416912
"Bayrampasa","BayrampaŞA",6.5,29.9,40.35,1.7666,1.961771,4.8916,4.985865
"Bayrampasa","BayrampaŞA",6.5,28.85,39.9,1.5786,1.753001,4.7917,4.884702
"Bayrampasa","BayrampaŞA",6,28.85,39.8,.66582,.7393785,4.0696,4.153039
"Bayrampasa","BayrampaŞA",7.5,28.4,41.1,13.177,14.63277,6.9012,7.017663
"Bayrampasa","BayrampaŞA",8,28.1,41.55,11.738,13.03479,6.7739,6.889168
"Bayrampasa","BayrampaŞA",7.5,30.3,40.35,5.1388,5.706525,5.9063,6.012421
"Bayrampasa","BayrampaŞA",6.5,30.05,41.15,2.096,2.327562,5.046,5.142143
"Bayrampasa","BayrampaŞA",7.5,28.6,39.85,5.2951,5.880093,5.9366,6.042964
"Bayrampasa","BayrampaŞA",7.5,29.4,40.2,6.574,7.300283,6.1575,6.266312
