location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Besiktas","BeŞİKtaŞ",7.5,30.15,41.35,6.8471,7.603555,6.1996,6.308885
"Besiktas","BeŞİKtaŞ",7,29.1,40.3,4.4253,4.914199,5.757,5.861459
"Besiktas","BeŞİKtaŞ",7,27.9,40.25,3.0041,3.335987,5.3811,5.481245
"Besiktas","BeŞİKtaŞ",6.5,29.15,40,1.6862,1.872488,4.8501,4.943824
"Besiktas","BeŞİKtaŞ",7.5,30.1,40,4.9072,5.449338,5.86,5.965597
"Besiktas","BeŞİKtaŞ",8,27.65,40.3,8.3058,9.223409,6.4019,6.513276
"Besiktas","BeŞİKtaŞ",8,30.7,40.6,8.1346,9.033296,6.3799,6.491045
"Besiktas","BeŞİKtaŞ",8,28.1,40.45,10.348,11.49123,6.6369,6.750729
"Besiktas","BeŞİKtaŞ",7,28.1,40.2,3.1626,3.511998,5.4301,5.5308
"Besiktas","BeŞİKtaŞ",7.5,30.65,41.2,5.2923,5.876983,5.936,6.042424
"Besiktas","BeŞİKtaŞ",7,30.4,40.45,2.9699,3.298009,5.3702,5.470247
"Besiktas","BeŞİKtaŞ",6,27.8,41.35,.88645,.9843833,4.3003,4.386889
"Besiktas","BeŞİKtaŞ",8,28,40.45,9.9373,11.03515,6.5932,6.706603
"Besiktas","BeŞİKtaŞ",7.5,29.3,40.65,11.257,12.50065,6.7282,6.843024
"Besiktas","BeŞİKtaŞ",6.5,30.25,41,1.9816,2.200523,4.995,5.090501
"Besiktas","BeŞİKtaŞ",6,28.9,40.35,1.2162,1.350564,4.5652,4.655358
"Besiktas","BeŞİKtaŞ",6.5,28.75,41.3,5.862,6.509623,6.0398,6.147352
"Besiktas","BeŞİKtaŞ",8,28.6,40.55,13.773,15.29461,6.9502,7.067191
"Besiktas","BeŞİKtaŞ",7,27.75,41.4,3.4581,3.840144,5.5159,5.617557
"Besiktas","BeŞİKtaŞ",6.5,28.35,41.3,3.2503,3.609387,5.4563,5.557277
"Besiktas","BeŞİKtaŞ",6,27.65,41.1,.81508,.9051285,4.2317,4.317409
"Besiktas","BeŞİKtaŞ",6.5,29.2,40.2,2.0633,2.29125,5.0317,5.127642
"Besiktas","BeŞİKtaŞ",6.5,28.4,41.8,2.0995,2.331449,5.0475,5.143683
"Besiktas","BeŞİKtaŞ",6,29.3,40.9,3.739,4.152078,5.5916,5.6941
"Besiktas","BeŞİKtaŞ",7.5,29.85,40.9,8.8321,9.807854,6.4671,6.579123
"Besiktas","BeŞİKtaŞ",7.5,30.3,40.75,6.1591,6.839546,6.0904,6.198488
"Besiktas","BeŞİKtaŞ",6,28.8,41.65,1.5122,1.679265,4.7539,4.846419
"Besiktas","BeŞİKtaŞ",8,28.75,40.2,10.686,11.86657,6.6717,6.785873
"Besiktas","BeŞİKtaŞ",7,30.1,40.25,3.094,3.435819,5.4092,5.50963
"Besiktas","BeŞİKtaŞ",6,27.75,40.4,.70745,.7856078,4.1177,4.20187
"Besiktas","BeŞİKtaŞ",6,28.6,41.75,1.1818,1.312363,4.5407,4.630566
"Besiktas","BeŞİKtaŞ",6.5,28.25,40.75,2.7019,3.000401,5.281,5.37994
"Besiktas","BeŞİKtaŞ",7,28.85,40.1,3.5708,3.965295,5.5469,5.648911
"Besiktas","BeŞİKtaŞ",6.5,29.75,41.9,1.8492,2.053496,4.9326,5.027331
"Besiktas","BeŞİKtaŞ",7.5,29.35,40.2,6.7053,7.446089,6.1779,6.286974
"Besiktas","BeŞİKtaŞ",6.5,29.05,39.8,1.4228,1.579988,4.7006,4.792465
"Besiktas","BeŞİKtaŞ",7.5,29.95,40.75,7.6777,8.525918,6.3191,6.429581
"Besiktas","BeŞİKtaŞ",6,29.8,40.1,.743,.8250852,4.157,4.24163
"Besiktas","BeŞİKtaŞ",7,29.5,41.55,5.6599,6.285195,6.0041,6.111219
"Besiktas","BeŞİKtaŞ",7.5,27.8,41.05,6.5594,7.28407,6.1552,6.263991
