location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Beylikduzu","BeylİKdÜZÜ",7.5,30.1,40.95,5.7424,6.37681,6.0188,6.126107
"Beylikduzu","BeylİKdÜZÜ",7.5,29.45,40.95,9.1361,10.14544,6.5031,6.615563
"Beylikduzu","BeylİKdÜZÜ",6,29.35,41.4,1.3234,1.469607,4.6378,4.728854
"Beylikduzu","BeylİKdÜZÜ",7,28.75,41,27.693,30.75247,7.7519,7.87659
"Beylikduzu","BeylİKdÜZÜ",7.5,30.2,40.7,5.3248,5.913074,5.9422,6.048676
"Beylikduzu","BeylİKdÜZÜ",6,27.8,41.8,.82522,.9163888,4.2418,4.327596
"Beylikduzu","BeylİKdÜZÜ",8,28.3,41.6,13.068,14.51173,6.892,7.008386
"Beylikduzu","BeylİKdÜZÜ",7.5,30.15,41.35,5.3893,5.9847,5.9544,6.060984
"Beylikduzu","BeylİKdÜZÜ",7,28.7,41.3,9.7021,10.77397,6.5675,6.680585
"Beylikduzu","BeylİKdÜZÜ",6,27.55,41.4,.93895,1.042683,4.3477,4.434945
"Beylikduzu","BeylİKdÜZÜ",8,26.95,40.7,8.287,9.202532,6.3995,6.510855
"Beylikduzu","BeylİKdÜZÜ",6.5,29,40.5,3.3084,3.673906,5.4733,5.574469
"Beylikduzu","BeylİKdÜZÜ",6,29.4,41.95,.75103,.8340024,4.1656,4.250381
"Beylikduzu","BeylİKdÜZÜ",8,28.4,41.5,14.938,16.58832,7.0407,7.158638
"Beylikduzu","BeylİKdÜZÜ",7,27.5,40.8,3.9467,4.382724,5.6443,5.747463
"Beylikduzu","BeylİKdÜZÜ",7,27.3,40.8,3.4297,3.808607,5.5079,5.609512
"Beylikduzu","BeylİKdÜZÜ",6.5,27.65,41.65,1.8191,2.020071,4.9178,5.012414
"Beylikduzu","BeylİKdÜZÜ",6.5,28.8,39.65,1.3551,1.504809,4.6582,4.749584
"Beylikduzu","BeylİKdÜZÜ",7.5,29.65,40.6,7.0256,7.801775,6.2263,6.335894
"Beylikduzu","BeylİKdÜZÜ",6,27.55,41.75,.75161,.8346465,4.1662,4.25101
"Beylikduzu","BeylİKdÜZÜ",7,27.7,41.8,3.2829,3.645589,5.4658,5.566957
"Beylikduzu","BeylİKdÜZÜ",8,28.2,41.5,13.834,15.36235,6.9551,7.07215
"Beylikduzu","BeylİKdÜZÜ",7.5,26.95,41.35,4.9658,5.514412,5.8719,5.977628
"Beylikduzu","BeylİKdÜZÜ",6.5,28.35,40.55,3.7814,4.199162,5.6025,5.705205
"Beylikduzu","BeylİKdÜZÜ",8,29.05,40.25,11.632,12.91708,6.764,6.879148
"Beylikduzu","BeylİKdÜZÜ",6,29.45,41.15,1.4296,1.58754,4.7048,4.796672
"Beylikduzu","BeylİKdÜZÜ",6.5,28.7,40.75,7.6852,8.534246,6.3201,6.430616
"Beylikduzu","BeylİKdÜZÜ",8,27.2,41.5,8.7898,9.76088,6.4619,6.573964
"Beylikduzu","BeylİKdÜZÜ",7,29.85,41.25,3.6871,4.094444,5.578,5.680353
"Beylikduzu","BeylİKdÜZÜ",7,28.8,39.8,3.0142,3.347203,5.3843,5.484471
"Beylikduzu","BeylİKdÜZÜ",6.5,29.25,40.55,2.8936,3.213279,5.3456,5.4453
"Beylikduzu","BeylİKdÜZÜ",6.5,27.35,41.5,1.6515,1.833955,4.8316,4.925131
"Beylikduzu","BeylİKdÜZÜ",7,27.8,41.85,3.3036,3.668576,5.4719,5.573059
"Beylikduzu","BeylİKdÜZÜ",6,29.1,41.4,1.6979,1.885481,4.8562,4.95005
"Beylikduzu","BeylİKdÜZÜ",6.5,30.3,41.2,1.428,1.585763,4.7038,4.795684
"Beylikduzu","BeylİKdÜZÜ",7.5,27.45,40.2,5.3884,5.9837,5.9542,6.060813
"Beylikduzu","BeylİKdÜZÜ",8,29.3,41.5,12.467,13.84433,6.8401,6.955943
"Beylikduzu","BeylİKdÜZÜ",6.5,27.6,40.75,2.2238,2.469481,5.1002,5.196962
"Beylikduzu","BeylİKdÜZÜ",6.5,28.75,40.3,2.6615,2.955538,5.2669,5.365642
"Beylikduzu","BeylİKdÜZÜ",6.5,27.15,41,1.6144,1.792756,4.8115,4.904757
"Beylikduzu","BeylİKdÜZÜ",6,27.7,40.6,1.0882,1.208422,4.4709,4.559753
"Beylikduzu","BeylİKdÜZÜ",7.5,28.15,40.7,11.32,12.57061,6.7344,6.849168
"Beylikduzu","BeylİKdÜZÜ",6,27.05,41.6,.61294,.6806564,4.0045,4.087038
"Beylikduzu","BeylİKdÜZÜ",6.5,27.35,41.4,1.7193,1.909245,4.8674,4.961342
"Beylikduzu","BeylİKdÜZÜ",8,29.6,41.1,12.284,13.64111,6.8238,6.939519
"Beylikduzu","BeylİKdÜZÜ",7,27.95,40,3.1961,3.549199,5.4402,5.54099
"Beylikduzu","BeylİKdÜZÜ",6,29.75,41.9,.67251,.7468076,4.0775,4.161062
"Beylikduzu","BeylİKdÜZÜ",6,27.6,40,.65958,.7324492,4.0621,4.145493
"Beylikduzu","BeylİKdÜZÜ",6,30.15,41.25,.71841,.7977785,4.13,4.21431
"Beylikduzu","BeylİKdÜZÜ",7.5,27.3,40.6,5.8196,6.462538,6.0324,6.139865
"Beylikduzu","BeylİKdÜZÜ",6,29.15,40.45,1.3718,1.523354,4.6689,4.760334
"Beylikduzu","BeylİKdÜZÜ",7.5,28.9,40.15,7.0237,7.799665,6.2261,6.33561
"Beylikduzu","BeylİKdÜZÜ",6,28.85,39.7,.64193,.7128492,4.0407,4.123806
"Beylikduzu","BeylİKdÜZÜ",8,27.5,40,8.2856,9.200977,6.3993,6.510674
"Beylikduzu","BeylİKdÜZÜ",7,29.45,40.1,3.2982,3.662579,5.4703,5.571471
"Beylikduzu","BeylİKdÜZÜ",7,30,41.7,2.8819,3.200287,5.3418,5.441423
"Beylikduzu","BeylİKdÜZÜ",6,29.8,41.9,.65728,.7298951,4.0594,4.142695
"Beylikduzu","BeylİKdÜZÜ",7.5,28.05,41.8,6.5662,7.291621,6.1563,6.265073
"Beylikduzu","BeylİKdÜZÜ",7.5,27.65,40.45,6.6274,7.359582,6.1659,6.27476
"Beylikduzu","BeylİKdÜZÜ",6.5,29,41.9,1.9016,2.111685,4.9577,5.052795
"Beylikduzu","BeylİKdÜZÜ",6,27.25,40.6,.75384,.8371228,4.1686,4.253425
"Beylikduzu","BeylİKdÜZÜ",6.5,29.2,41.65,2.3107,2.565982,5.1354,5.232664
"Beylikduzu","BeylİKdÜZÜ",6.5,29.45,41.55,2.1897,2.431614,5.086,5.182614
"Beylikduzu","BeylİKdÜZÜ",8,28.55,40,10.064,11.17585,6.6069,6.720389
"Beylikduzu","BeylİKdÜZÜ",8,27.5,41.85,8.7009,9.662159,6.4511,6.563046
"Beylikduzu","BeylİKdÜZÜ",7,27,41.15,2.8821,3.200509,5.3418,5.44149
"Beylikduzu","BeylİKdÜZÜ",6.5,29.9,40.35,1.5855,1.760663,4.7956,4.888598
"Beylikduzu","BeylİKdÜZÜ",7,30.15,40.7,3.0408,3.376742,5.3927,5.492923
"Beylikduzu","BeylİKdÜZÜ",8,28.3,39.85,8.9945,9.988195,6.4865,6.598728
"Beylikduzu","BeylİKdÜZÜ",6.5,27.7,41.55,2.0082,2.230062,5.0071,5.102739
"Beylikduzu","BeylİKdÜZÜ",7,27.65,40.7,4.3029,4.778276,5.7293,5.833395
"Beylikduzu","BeylİKdÜZÜ",6.5,26.9,41,1.3794,1.531793,4.6737,4.765188
"Beylikduzu","BeylİKdÜZÜ",7,29.6,41.9,3.0634,3.401839,5.3997,5.500052
"Beylikduzu","BeylİKdÜZÜ",6.5,29.65,41.95,1.4761,1.639177,4.7327,4.824979
"Beylikduzu","BeylİKdÜZÜ",6,29.55,40.7,1.1943,1.326244,4.5497,4.639647
"Beylikduzu","BeylİKdÜZÜ",7.5,28.1,40.9,12.356,13.72107,6.8302,6.946007
"Beylikduzu","BeylİKdÜZÜ",8,27.55,41.1,11.287,12.53397,6.7312,6.845953
"Beylikduzu","BeylİKdÜZÜ",7,28.45,41.85,3.95,4.386388,5.6451,5.74829
"Beylikduzu","BeylİKdÜZÜ",6.5,29.5,41.55,2.118,2.351993,5.0555,5.151787
"Beylikduzu","BeylİKdÜZÜ",6,28.35,40.35,1.3447,1.49326,4.6516,4.74283
"Beylikduzu","BeylİKdÜZÜ",7,27.05,41.6,2.6932,2.99074,5.2779,5.376877
