location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Beyoglu","BeyoĞLu",7,28.6,41.25,9.2835,10.30912,6.5202,6.632839
"Beyoglu","BeyoĞLu",7.5,27.85,40.4,5.9313,6.586579,6.0518,6.159484
"Beyoglu","BeyoĞLu",6,29.55,40.45,1.1908,1.322357,4.5472,4.637113
"Beyoglu","BeyoĞLu",7.5,29.25,41,19.749,21.93083,7.3574,7.478386
"Beyoglu","BeyoĞLu",6,30.05,41.3,1.0127,1.124581,4.4105,4.498631
"Beyoglu","BeyoĞLu",6.5,28.45,40.05,1.7034,1.891588,4.8591,4.952964
"Beyoglu","BeyoĞLu",8,28.85,41.4,19.674,21.84755,7.353,7.473973
"Beyoglu","BeyoĞLu",6,29.95,41.3,1.1163,1.239627,4.4924,4.581555
"Beyoglu","BeyoĞLu",7,30.05,41.6,3.5504,3.942641,5.5413,5.643301
"Beyoglu","BeyoĞLu",7,30.4,40.5,2.9401,3.264917,5.3607,5.460573
"Beyoglu","BeyoĞLu",6,29.6,40.15,.83773,.9302808,4.254,4.340015
"Beyoglu","BeyoĞLu",7.5,29.8,40.65,7.7861,8.646294,6.3338,6.444456
"Beyoglu","BeyoĞLu",8,27.3,40.75,8.3852,9.311581,6.412,6.523447
"Beyoglu","BeyoĞLu",7.5,30.45,40.7,5.4412,6.042334,5.9641,6.070792
"Beyoglu","BeyoĞLu",6.5,28.55,40.85,5.0252,5.580375,5.8839,5.989696
"Beyoglu","BeyoĞLu",6,27.25,41.2,.63973,.7104062,4.0381,4.121067
"Beyoglu","BeyoĞLu",7,29.95,40,2.7996,3.108895,5.3144,5.413748
"Beyoglu","BeyoĞLu",8,28.55,41.15,21.237,23.58322,7.4412,7.562929
"Beyoglu","BeyoĞLu",7,29.1,40.1,3.683,4.089891,5.5769,5.67926
"Beyoglu","BeyoĞLu",7.5,27.4,40.4,4.9068,5.448894,5.86,5.965514
"Beyoglu","BeyoĞLu",7.5,28.1,39.95,5.1208,5.686536,5.9028,6.008851
"Beyoglu","BeyoĞLu",7.5,28.6,42,6.2444,6.934269,6.1045,6.21276
"Beyoglu","BeyoĞLu",6.5,29.8,41.7,2.0006,2.221622,5.0036,5.099257
"Beyoglu","BeyoĞLu",8,28.65,40.85,22.206,24.65928,7.4929,7.615133
"Beyoglu","BeyoĞLu",8,30.1,41.55,9.9806,11.08324,6.5979,6.711332
"Beyoglu","BeyoĞLu",8,27.55,40.55,8.922,9.907685,6.4778,6.590015
"Beyoglu","BeyoĞLu",7.5,29.25,40.35,7.9569,8.835963,6.3566,6.467518
"Beyoglu","BeyoĞLu",8,28.35,39.8,8.2077,9.114471,6.3893,6.500588
"Beyoglu","BeyoĞLu",6.5,27.7,41.3,1.8567,2.061825,4.9362,5.031014
"Beyoglu","BeyoĞLu",8,29.8,39.9,8.2748,9.188984,6.3979,6.509281
"Beyoglu","BeyoĞLu",7,28.6,39.85,2.9302,3.253923,5.3575,5.457339
"Beyoglu","BeyoĞLu",7.5,28.5,40.3,7.2441,8.044415,6.2583,6.368127
"Beyoglu","BeyoĞLu",6.5,30.1,41.85,1.5443,1.714911,4.7723,4.865108
"Beyoglu","BeyoĞLu",7.5,28.2,40.5,7.4646,8.289275,6.2896,6.39978
"Beyoglu","BeyoĞLu",6,27.45,40.75,.71271,.7914488,4.1237,4.207861
"Beyoglu","BeyoĞLu",7.5,28.1,41.7,6.6372,7.370465,6.1674,6.276303
"Beyoglu","BeyoĞLu",7,29.85,41.9,3.2693,3.630486,5.4618,5.562929
"Beyoglu","BeyoĞLu",6.5,30.25,40.7,1.7541,1.94789,4.8853,4.979441
"Beyoglu","BeyoĞLu",6,29.3,41.95,.91698,1.018286,4.3281,4.415127
"Beyoglu","BeyoĞLu",6,27.8,40.1,.64238,.7133489,4.0413,4.124365
"Beyoglu","BeyoĞLu",6,29.95,42,.6907,.7670072,4.0987,4.182531
"Beyoglu","BeyoĞLu",6.5,29.4,40.4,2.5118,2.789299,5.2128,5.310921
"Beyoglu","BeyoĞLu",6.5,27.4,40.8,1.5098,1.6766,4.7525,4.845008
