location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bilecik","BİLecİK",6,29.3,40.3,1.6989,1.886591,4.8568,4.950581
"Bilecik","BİLecİK",6,29.4,40.45,1.714,1.903359,4.8647,4.958557
"Bilecik","BİLecİK",6,29.3,39.55,1.114,1.237073,4.4906,4.579789
"Bilecik","BİLecİK",7.5,30.4,41.2,5.741,6.375255,6.0186,6.125856
"Bilecik","BİLecİK",7,28.85,40.1,4.0095,4.452462,5.6598,5.763103
"Bilecik","BİLecİK",8,30,39.6,15.029,16.68937,7.0476,7.165506
"Bilecik","BİLecİK",7.5,30.45,39,5.3712,5.9646,5.951,6.057544
"Bilecik","BİLecİK",8,29.1,39.35,9.6703,10.73866,6.5639,6.677024
"Bilecik","BİLecİK",7.5,31.3,39.8,5.8891,6.539717,6.0445,6.152112
"Bilecik","BİLecİK",7,28.9,39.35,3.1054,3.448479,5.4127,5.513177
"Bilecik","BİLecİK",7.5,29.4,39.1,5.6096,6.229338,5.995,6.102047
"Bilecik","BİLecİK",7.5,28.7,39.6,5.6585,6.28364,6.0038,6.110965
"Bilecik","BİLecİK",7.5,29.2,40.85,6.6122,7.342703,6.1635,6.272361
"Bilecik","BİLecİK",6,29.15,39.7,1.1376,1.26328,4.5083,4.597764
"Bilecik","BİLecİK",6,29,40.15,1.1833,1.314029,4.5419,4.63166
"Bilecik","BİLecİK",7,29.65,40.45,8.0659,8.957006,6.3709,6.482005
"Bilecik","BİLecİK",7,30.45,39.1,3.2179,3.573407,5.4467,5.547571
"Bilecik","BİLecİK",6.5,29.55,39.5,2.5229,2.801625,5.2169,5.315076
"Bilecik","BİLecİK",8,31.15,39.4,8.9636,9.953881,6.4828,6.595022
"Bilecik","BİLecİK",8,29.45,40.15,18.304,20.32619,7.2704,7.390551
"Bilecik","BİLecİK",6.5,30.45,40.95,2.0673,2.295691,5.0334,5.129426
"Bilecik","BİLecİK",6.5,30.05,39.65,3.6863,4.093555,5.5778,5.68014
"Bilecik","BİLecİK",8,29.75,40.05,29.052,32.26161,7.8087,7.933994
"Bilecik","BİLecİK",8,30.5,41.05,10.034,11.14254,6.6037,6.717139
"Bilecik","BİLecİK",8,29.5,40.7,13.117,14.56614,6.8961,7.012565
"Bilecik","BİLecİK",6.5,29.65,41,2.0422,2.267818,5.0223,5.118176
"Bilecik","BİLecİK",7.5,30.25,39.35,7.2531,8.054409,6.2595,6.369436
"Bilecik","BİLecİK",7.5,29.95,40.85,8.1616,9.063278,6.3834,6.494578
"Bilecik","BİLecİK",7,29.7,39.7,6.6419,7.375685,6.1681,6.277043
"Bilecik","BİLecİK",7.5,28.85,39.4,5.5777,6.193914,5.9892,6.096191
"Bilecik","BİLecİK",8,29,40.6,10.896,12.09977,6.6928,6.807206
"Bilecik","BİLecİK",6.5,28.85,40.1,2.1055,2.338112,5.0501,5.146318
"Bilecik","BİLecİK",6,31,39.45,.8135,.903374,4.2301,4.315811
"Bilecik","BİLecİK",7.5,29,40.8,6.2359,6.92483,6.1031,6.211346
"Bilecik","BİLecİK",6,29.25,40.65,1.1789,1.309143,4.5386,4.628447
"Bilecik","BİLecİK",6.5,28.75,39.55,1.6278,1.807636,4.8188,4.912163
"Bilecik","BİLecİK",6.5,30.7,39,1.4263,1.583875,4.7027,4.794633
"Bilecik","BİLecİK",6.5,29.6,40.5,3.9873,4.427809,5.6543,5.757599
"Bilecik","BİLecİK",7.5,31.05,41,5.4419,6.043111,5.9642,6.070923
"Bilecik","BİLecİK",6,30.55,39.95,1.9611,2.177759,4.9855,5.080969
"Bilecik","BİLecİK",8,30.1,41.35,8.7468,9.71313,6.4567,6.568696
"Bilecik","BİLecİK",6.5,29.35,39.3,1.8697,2.076261,4.9425,5.037368
"Bilecik","BİLecİK",8,31.15,39.45,9.1319,10.14077,6.5026,6.615067
"Bilecik","BİLecİK",7.5,30.1,40.9,7.6929,8.542797,6.3211,6.431678
"Bilecik","BİLecİK",6.5,29,39.15,1.453,1.613525,4.7189,4.811017
"Bilecik","BİLecİK",8,31.5,39.75,8.6492,9.604747,6.4448,6.556651
"Bilecik","BİLecİK",7.5,31.05,39.25,5.3181,5.905633,5.9409,6.04739
"Bilecik","BİLecİK",7.5,29,39.15,5.2056,5.780705,5.9194,6.025575
"Bilecik","BİLecİK",7,30.1,39.2,3.6929,4.100884,5.5795,5.681898
"Bilecik","BİLecİK",8,28.5,40.05,9.1248,10.13289,6.5018,6.614228
"Bilecik","BİLecİK",6,30.05,41.05,.95463,1.060096,4.3614,4.448843
"Bilecik","BİLecİK",6.5,30.75,39.05,1.4577,1.618744,4.7218,4.813874
"Bilecik","BİLecİK",6.5,29.95,40.3,11.174,12.40848,6.7202,6.834882
"Bilecik","BİLecİK",7.5,30.2,40,20.033,22.24621,7.3738,7.494959
"Bilecik","BİLecİK",7,29.5,41.3,2.9595,3.28646,5.3669,5.466881
"Bilecik","BİLecİK",6,29.6,38.95,.67847,.7534261,4.0845,4.168151
"Bilecik","BİLecİK",6,29.6,41.3,.70285,.7804995,4.1125,4.196599
"Bilecik","BİLecİK",6,30.3,40.9,1.1092,1.231742,4.487,4.576092
"Bilecik","BİLecİK",7.5,30.9,40.35,7.9419,8.819306,6.3546,6.465511
"Bilecik","BİLecİK",7.5,29.45,39.25,6.2895,6.984352,6.1119,6.220236
"Bilecik","BİLecİK",8,29.5,40.45,16.409,18.22184,7.1463,7.265283
"Bilecik","BİLecİK",8,29.85,40.25,35.248,39.14213,8.0407,8.168102
"Bilecik","BİLecİK",7.5,30.8,41.15,5.4326,6.032784,5.9625,6.069172
"Bilecik","BİLecİK",6.5,29.35,41.05,1.7746,1.970654,4.8957,4.989955
"Bilecik","BİLecİK",6,29.45,39.1,.75275,.8359124,4.1674,4.252245
"Bilecik","BİLecİK",8,29.85,39.8,19.886,22.08297,7.3654,7.486408
"Bilecik","BİLecİK",6,29.9,40.5,2.667,2.961645,5.2688,5.367599
"Bilecik","BİLecİK",7.5,30.2,40.3,19.521,21.67764,7.3441,7.464923
"Bilecik","BİLecİK",7,29.75,40,13.079,14.52394,6.8929,7.009326
"Bilecik","BİLecİK",6.5,30.85,40.4,2.5691,2.852929,5.2338,5.3322
"Bilecik","BİLecİK",7,29.55,39.45,4.4619,4.954842,5.7652,5.869716
"Bilecik","BİLecİK",7.5,28.6,39.55,5.3177,5.90519,5.9409,6.047313
"Bilecik","BİLecİK",7.5,30.4,39.75,10.569,11.73664,6.6597,6.773823
"Bilecik","BİLecİK",6.5,29.15,39.55,2.0913,2.322343,5.044,5.140071
"Bilecik","BİLecİK",6,29,40.35,1.1377,1.263391,4.5085,4.597839
"Bilecik","BİLecİK",6.5,31.1,39.5,1.6921,1.87904,4.8532,4.946969
"Bilecik","BİLecİK",6,30.35,39.15,.82463,.9157336,4.2412,4.327006
"Bilecik","BİLecİK",7,28.9,39.95,4.0775,4.527975,5.6763,5.779795
"Bilecik","BİLecİK",7.5,28.6,39.45,5.1425,5.710634,5.9071,6.013154
"Bilecik","BİLecİK",8,30.2,40.05,29.764,33.05227,7.8376,7.963099
"Bilecik","BİLecİK",6.5,29.5,40.35,4.3528,4.833689,5.7407,5.844922
"Bilecik","BİLecİK",7.5,29.55,39.7,9.8911,10.98385,6.5882,6.701536
"Bilecik","BİLecİK",7.5,30.65,39.25,6.0525,6.721169,6.0725,6.1804
"Bilecik","BİLecİK",6.5,29.3,40.05,3.4606,3.842921,5.5166,5.618262
"Bilecik","BİLecİK",6,30.1,40.2,9.2441,10.26537,6.5157,6.628245
"Bilecik","BİLecİK",6,29.45,39.3,.92057,1.022273,4.3313,4.418394
"Bilecik","BİLecİK",7.5,31.35,40.9,5.0824,5.643894,5.8952,6.001195
"Bilecik","BİLecİK",6,31.15,39.2,.63483,.7049648,4.032,4.114936
"Bilecik","BİLecİK",7.5,28.8,40.4,6.5338,7.255642,6.1512,6.259911
"Bilecik","BİLecİK",8,30.5,39.65,13.547,15.04365,6.9319,7.048643
"Bilecik","BİLecİK",6.5,30.4,39.5,2.5368,2.817061,5.222,5.320258
"Bilecik","BİLecİK",8,28.25,39.9,8.1267,9.024523,6.3789,6.490008
"Bilecik","BİLecİK",8,29.25,39.25,9.592,10.65171,6.5552,6.66821
"Bilecik","BİLecİK",7,30.25,39.75,7.2849,8.089722,6.2641,6.374049
"Bilecik","BİLecİK",6.5,29.2,40.25,3.0205,3.354199,5.3863,5.486479
"Bilecik","BİLecİK",6,30.6,39.9,1.7319,1.923237,4.8739,4.967932
"Bilecik","BİLecİK",8,30.05,41.1,10.251,11.38351,6.6268,6.740452
"Bilecik","BİLecİK",8,31.05,41.1,8.5337,9.476487,6.4306,6.542238
"Bilecik","BİLecİK",7.5,30.2,41.1,6.3523,7.05409,6.1221,6.230566
"Bilecik","BİLecİK",6.5,31.1,39.35,1.5504,1.721685,4.7758,4.86862
"Bilecik","BİLecİK",8,30.55,39.05,8.9019,9.885365,6.4754,6.587589
"Bilecik","BİLecİK",6.5,30.4,39.15,1.7398,1.93201,4.878,4.972042
"Bilecik","BİLecİK",6.5,30.05,39.5,2.8297,3.14232,5.3245,5.423953
"Bilecik","BİLecİK",8,30.2,40.85,12.374,13.74106,6.8318,6.947624
"Bilecik","BİLecİK",8,30.45,39.65,13.895,15.43009,6.96,7.077089
"Bilecik","BİLecİK",6.5,30.25,40.15,8.7417,9.707466,6.4561,6.568069
"Bilecik","BİLecİK",6,30.9,40.1,1.2689,1.409086,4.6016,4.692171
"Bilecik","BİLecİK",8,30.05,41.35,8.7578,9.725346,6.4581,6.570045
"Bilecik","BİLecİK",7.5,29.8,40.45,14.597,16.20965,7.015,7.13256
"Bilecik","BİLecİK",8,30.55,39.6,12.706,14.10973,6.861,6.977067
"Bilecik","BİLecİK",6,30.05,40.05,9.1838,10.19841,6.5087,6.621181
"Bilecik","BİLecİK",7,29,40.2,4.5545,5.057673,5.7856,5.890338
"Bilecik","BİLecİK",6,29,40.65,.96115,1.067336,4.367,4.454563
"Bilecik","BİLecİK",6,30.55,40.05,2.1157,2.349438,5.0545,5.150783
"Bilecik","BİLecİK",8,28.95,39.85,11.182,12.41737,6.721,6.835669
"Bilecik","BİLecİK",6.5,28.85,40.55,1.9111,2.122235,4.9622,5.057346
"Bilecik","BİLecİK",7.5,30.8,39.25,5.7786,6.417009,6.0252,6.132579
"Bilecik","BİLecİK",6,28.7,40.75,.73317,.8141692,4.1463,4.230804
"Bilecik","BİLecİK",6.5,29.5,41.4,1.3859,1.539012,4.6777,4.769321
"Bilecik","BİLecİK",6.5,31,41.15,1.4288,1.586651,4.7043,4.796178
"Bilecik","BİLecİK",6,30.4,39.15,.81465,.904651,4.2313,4.316974
"Bilecik","BİLecİK",8,29.1,39,8.1989,9.104699,6.3882,6.499443
"Bilecik","BİLecİK",7,29.65,40,10.587,11.75663,6.6616,6.775685
"Bilecik","BİLecİK",7.5,28.95,39.8,6.9794,7.750471,6.2195,6.328963
"Bilecik","BİLecİK",8,30.1,39.9,24.521,27.23003,7.6085,7.731914
"Bilecik","BİLecİK",6,29.3,41.25,.68407,.7596447,4.091,4.174763
"Bilecik","BİLecİK",6.5,29.15,39.6,2.1759,2.416289,5.0802,5.176751
"Bilecik","BİLecİK",7,30.05,39.45,4.8795,5.418578,5.8544,5.959865
"Bilecik","BİLecİK",6.5,30.05,41.45,1.3865,1.539678,4.6782,4.769702
"Bilecik","BİLecİK",6,29.05,41.15,.67869,.7536704,4.0847,4.168412
"Bilecik","BİLecİK",6.5,28.8,40.4,1.9443,2.159103,4.9778,5.073092
"Bilecik","BİLecİK",7,30.4,39.3,3.858,4.284225,5.6221,5.724988
