location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bingol","BİNgÖL",6,38.85,38.95,.6385,.7090403,4.0365,4.119532
"Bingol","BİNgÖL",6.5,40.45,39.45,8.0968,8.991319,6.375,6.486079
"Bingol","BİNgÖL",8,40.25,39,22.808,25.32779,7.5239,7.646531
"Bingol","BİNgÖL",7,40.6,40.15,3.7723,4.189056,5.6002,5.702831
"Bingol","BİNgÖL",6.5,40.1,39.35,5.7028,6.332835,6.0118,6.118985
"Bingol","BİNgÖL",7,39.05,39.45,3.1524,3.500671,5.427,5.527678
"Bingol","BİNgÖL",8,40.2,39,21.58,23.96412,7.4597,7.581651
"Bingol","BİNgÖL",7.5,40.9,38.4,6.8044,7.556137,6.1931,6.30233
"Bingol","BİNgÖL",7,39.95,38.5,4.1283,4.584387,5.6884,5.792102
"Bingol","BİNgÖL",8,40.8,40.5,8.3499,9.272381,6.4075,6.518936
"Bingol","BİNgÖL",6,41.85,38.75,.72077,.8003993,4.1326,4.216967
"Bingol","BİNgÖL",8,39.2,38.95,9.7309,10.80595,6.5707,6.683802
"Bingol","BİNgÖL",7.5,41.45,39.3,7.768,8.626194,6.3313,6.441985
"Bingol","BİNgÖL",7.5,39.95,38.35,6.3474,7.048649,6.1213,6.229763
"Bingol","BİNgÖL",6,40.85,39.05,2.8904,3.209726,5.3445,5.444241
"Bingol","BİNgÖL",7,39.7,38.4,3.4322,3.811383,5.5086,5.610222
"Bingol","BİNgÖL",7.5,39.7,39.75,7.411,8.229753,6.282,6.392164
"Bingol","BİNgÖL",8,41.75,40.15,8.1504,9.05084,6.3819,6.493114
"Bingol","BİNgÖL",7.5,40.9,38.65,8.581,9.529013,6.4364,6.548162
"Bingol","BİNgÖL",8,41.2,38.45,10.249,11.38129,6.6266,6.740239
"Bingol","BİNgÖL",8,40.6,39.6,19.029,21.13129,7.3148,7.435378
"Bingol","BİNgÖL",6.5,41.3,39.5,2.657,2.95054,5.2653,5.364037
"Bingol","BİNgÖL",7.5,41.1,38.8,8.792,9.763324,6.4622,6.574233
"Bingol","BİNgÖL",7.5,41.6,38.65,5.9976,6.660203,6.0632,6.170973
"Bingol","BİNgÖL",6,41.15,39.4,1.6943,1.881483,4.8543,4.948139
"Bingol","BİNgÖL",7.5,40.35,38.6,8.8592,9.837948,6.4703,6.582417
"Bingol","BİNgÖL",7.5,40.05,39.55,11.347,12.6006,6.737,6.851792
"Bingol","BİNgÖL",6.5,41.8,39.9,1.4902,1.654835,4.741,4.833408
"Bingol","BİNgÖL",7.5,41.35,38.2,5.2639,5.845446,5.9306,6.036932
"Bingol","BİNgÖL",7,41.1,38,2.7413,3.044154,5.2946,5.393703
"Bingol","BİNgÖL",7.5,40.55,38.55,8.4095,9.338566,6.415,6.526542
"Bingol","BİNgÖL",6.5,40.45,38,1.4768,1.639954,4.7331,4.825399
"Bingol","BİNgÖL",6.5,40.95,38.4,2.0139,2.236392,5.0096,5.105343
"Bingol","BİNgÖL",7,41.1,38.75,5.0007,5.553168,5.879,5.984734
"Bingol","BİNgÖL",6,39.45,39.95,.78951,.8767335,4.2059,4.29122
"Bingol","BİNgÖL",7,40.55,39.25,34.419,38.22155,8.0119,8.139068
"Bingol","BİNgÖL",6.5,40.45,40.05,2.218,2.46304,5.0977,5.194535
"Bingol","BİNgÖL",7,39.15,38.9,3.2688,3.629931,5.4617,5.562781
"Bingol","BİNgÖL",7,41.1,38.25,3.2569,3.616716,5.4582,5.559244
"Bingol","BİNgÖL",8,40.3,40.45,8.6476,9.60297,6.4446,6.556452
"Bingol","BİNgÖL",7.5,40.45,37.9,4.9552,5.502641,5.8698,5.975461
"Bingol","BİNgÖL",7.5,40.15,38.05,5.3475,5.938282,5.9465,6.053023
"Bingol","BİNgÖL",7.5,41.15,39.65,8.5511,9.49581,6.4327,6.544421
"Bingol","BİNgÖL",6.5,40.4,38.35,2.0696,2.298245,5.0344,5.130451
"Bingol","BİNgÖL",7.5,41.5,39.45,7.2755,8.079284,6.2628,6.372687
"Bingol","BİNgÖL",7,40.95,40.5,2.7375,3.039934,5.2933,5.392383
"Bingol","BİNgÖL",6.5,41,40,2.0983,2.330116,5.047,5.143156
"Bingol","BİNgÖL",7,39.8,39.55,5.4272,6.026787,5.9615,6.068154
"Bingol","BİNgÖL",7,39.6,39.4,4.8269,5.360167,5.8435,5.948899
"Bingol","BİNgÖL",8,40.9,38.75,14.435,16.02975,7.0025,7.119977
"Bingol","BİNgÖL",8,41.15,38.4,10.107,11.2236,6.6115,6.725032
"Bingol","BİNgÖL",6.5,40.85,39.25,6.3951,7.101618,6.1291,6.237553
"Bingol","BİNgÖL",8,40,38.2,9.3584,10.3923,6.5288,6.641523
"Bingol","BİNgÖL",7.5,41.45,39,7.5164,8.346798,6.2968,6.407094
