location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bitlis","BİTlİS",6,42.1,39.65,.87692,.9738005,4.2914,4.3779
"Bitlis","BİTlİS",6,41.9,38.45,1.1981,1.330464,4.5524,4.642391
"Bitlis","BİTlİS",6,41.75,38.8,1.1532,1.280603,4.52,4.609467
"Bitlis","BİTlİS",6.5,42.5,40.1,1.3844,1.537346,4.6768,4.768369
"Bitlis","BİTlİS",6.5,42.25,38.2,2.5636,2.846822,5.2318,5.330176
"Bitlis","BİTlİS",8,41.5,38.1,8.8166,9.790641,6.4652,6.577235
"Bitlis","BİTlİS",6,43.25,39,2.1084,2.341332,5.0514,5.14759
"Bitlis","BİTlİS",6.5,42,38.7,3.1448,3.492232,5.4247,5.525347
"Bitlis","BİTlİS",7,43.95,38.05,2.9545,3.280908,5.3653,5.465259
"Bitlis","BİTlİS",7.5,41.75,37.95,5.5525,6.16593,5.9846,6.091545
"Bitlis","BİTlİS",6.5,42.8,38.45,5.1239,5.689979,5.9034,6.009466
"Bitlis","BİTlİS",6,43.2,38.8,2.6536,2.946765,5.2641,5.362823
"Bitlis","BİTlİS",7,43.75,39.6,3.1787,3.529877,5.4349,5.53571
"Bitlis","BİTlİS",6,41.9,39.9,.65284,.7249645,4.054,4.137271
"Bitlis","BİTlİS",7.5,42.8,39.15,14.123,15.68328,6.9781,7.095378
"Bitlis","BİTlİS",8,42.8,38.9,41.422,45.99822,8.2374,8.366581
"Bitlis","BİTlİS",7.5,42.8,38.4,12.582,13.97204,6.8501,6.966152
"Bitlis","BİTlİS",7.5,42.8,38.15,8.658,9.614519,6.4459,6.557742
"Bitlis","BİTlİS",7.5,43.9,39.7,5.1273,5.693754,5.9041,6.010141
"Bitlis","BİTlİS",6,43.15,38.9,2.8711,3.188294,5.3382,5.437832
"Bitlis","BİTlİS",6.5,42.7,37.9,2.0155,2.238169,5.0104,5.106073
"Bitlis","BİTlİS",7.5,41.25,38.4,5.273,5.855551,5.9323,6.038695
"Bitlis","BİTlİS",8,41.85,37.85,8.8996,9.882811,6.4752,6.587311
"Bitlis","BİTlİS",6,43.45,39.8,.7386,.8201991,4.1522,4.2368
"Bitlis","BİTlİS",7,41.35,38.1,2.7933,3.101898,5.3123,5.4116
"Bitlis","BİTlİS",7,43.75,38.55,4.1531,4.611927,5.6943,5.798061
"Bitlis","BİTlİS",6.5,43.5,39.2,2.5542,2.836383,5.2284,5.326707
"Bitlis","BİTlİS",8,43.35,39.9,8.8162,9.790197,6.4651,6.577187
"Bitlis","BİTlİS",6.5,42.3,38.15,2.4791,2.752986,5.2006,5.298584
"Bitlis","BİTlİS",7,42.25,39.45,4.5744,5.079771,5.7899,5.894721
"Bitlis","BİTlİS",6,42.3,38.55,2.2397,2.487138,5.1067,5.203586
"Bitlis","BİTlİS",6,42.35,38.2,1.3327,1.479934,4.6439,4.734981
"Bitlis","BİTlİS",6.5,43.2,38.8,5.0418,5.598808,5.8872,5.993045
"Bitlis","BİTlİS",7,42.75,38.7,24.194,26.86691,7.5928,7.716043
