location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Bolu","Bolu",7,31.85,39.65,3.2318,3.588843,5.4508,5.551745
"Bolu","Bolu",7.5,32.25,39.6,5.245,5.824458,5.927,6.033263
"Bolu","Bolu",8,33,40.25,8.9612,9.951217,6.4825,6.594734
"Bolu","Bolu",8,31.6,40.9,32.492,36.08165,7.9425,8.06903
"Bolu","Bolu",8,30.95,40.7,15.996,17.76321,7.1176,7.236246
"Bolu","Bolu",6,31.2,41.9,.69373,.770372,4.1021,4.186059
"Bolu","Bolu",6,33.15,40.85,.71259,.7913156,4.1235,4.207725
"Bolu","Bolu",6,30.85,41.5,.9028,1.00254,4.3153,4.402115
"Bolu","Bolu",7,31.25,40.05,4.6506,5.16439,5.8064,5.911347
"Bolu","Bolu",6.5,32.05,41.9,1.4943,1.659387,4.7435,4.835845
"Bolu","Bolu",6,33.25,40.95,.65721,.7298173,4.0593,4.14261
"Bolu","Bolu",7.5,32.95,41.55,5.0334,5.58948,5.8855,5.991351
"Bolu","Bolu",7.5,31,40.5,10.484,11.64225,6.6511,6.764993
"Bolu","Bolu",6,31.2,41.25,1.5194,1.68726,4.7581,4.850641
"Bolu","Bolu",8,30.95,39.55,8.3975,9.32524,6.4135,6.525014
"Bolu","Bolu",7,30.05,41.05,2.951,3.277021,5.3642,5.464121
"Bolu","Bolu",8,31.35,41,21.068,23.39555,7.4319,7.553603
"Bolu","Bolu",6.5,30.2,41.55,1.3567,1.506586,4.6593,4.750619
"Bolu","Bolu",7.5,31.9,39.6,5.5327,6.143942,5.981,6.08788
"Bolu","Bolu",6,32,41.1,1.9756,2.193861,4.9922,5.08772
"Bolu","Bolu",8,31.05,40.7,17.872,19.84646,7.2432,7.363067
"Bolu","Bolu",7,33,41.15,3.1414,3.488456,5.4237,5.524302
"Bolu","Bolu",7.5,30.35,41.15,6.0409,6.708287,6.0705,6.178415
"Bolu","Bolu",6,30.95,41.95,.63068,.7003563,4.0269,4.109712
"Bolu","Bolu",8,31.9,40.2,14.411,16.0031,7.0006,7.118102
"Bolu","Bolu",6,31.75,40.7,8.5893,9.53823,6.4374,6.549198
"Bolu","Bolu",8,31.35,40.75,29.754,33.04116,7.8372,7.962695
"Bolu","Bolu",7,31.3,40.15,5.3581,5.950053,5.9485,6.055047
"Bolu","Bolu",6.5,31.25,40.9,5.8013,6.442216,6.0292,6.136619
