location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Burdur","Burdur",6,32,37.35,.69493,.7717046,4.1035,4.187453
"Burdur","Burdur",8,32,38.1,8.5819,9.530012,6.4365,6.548274
"Burdur","Burdur",8,30.9,36.55,9.1114,10.11801,6.5002,6.612643
"Burdur","Burdur",8,29.2,37.25,9.1614,10.17353,6.5061,6.618546
"Burdur","Burdur",7.5,29.4,37.55,6.7329,7.476738,6.1822,6.291272
"Burdur","Burdur",7.5,30.6,38.6,6.4533,7.166248,6.1384,6.246987
"Burdur","Burdur",8,31.8,38.1,9.3405,10.37242,6.5268,6.639453
"Burdur","Burdur",6.5,31.45,38.55,1.5728,1.74656,4.7885,4.881415
"Burdur","Burdur",7.5,31.6,38.15,6.3007,6.996789,6.1138,6.222085
"Burdur","Burdur",6.5,29.3,38.05,1.73,1.921127,4.8729,4.966941
"Burdur","Burdur",6.5,29.7,37.35,2.5214,2.799959,5.2163,5.314516
"Burdur","Burdur",8,31.45,37.8,12.184,13.53007,6.8149,6.930451
"Burdur","Burdur",6,29.9,37.5,1.7736,1.969544,4.8951,4.989444
"Burdur","Burdur",8,29.95,38.1,13.438,14.9226,6.9229,7.039597
"Burdur","Burdur",8,29.35,37.9,10.189,11.31466,6.6202,6.733837
"Burdur","Burdur",7.5,30.95,37.4,12.36,13.72551,6.8306,6.946367
"Burdur","Burdur",7,30.4,36.95,4.8051,5.335958,5.839,5.944323
"Burdur","Burdur",6.5,31.5,37.4,2.2567,2.506016,5.1137,5.210622
"Burdur","Burdur",8,29.35,37.55,10.374,11.5201,6.6396,6.753469
"Burdur","Burdur",7.5,31.3,37.35,8.4103,9.339454,6.4151,6.526644
"Burdur","Burdur",6,29.45,38.3,.79207,.8795764,4.2085,4.293875
"Burdur","Burdur",7,30.95,36.7,3.4978,3.88423,5.5269,5.628704
"Burdur","Burdur",6.5,29.15,37.4,1.6169,1.795532,4.8129,4.906143
"Burdur","Burdur",8,29.1,38.15,8.6248,9.577652,6.4418,6.553621
"Burdur","Burdur",7,30.7,37.45,12.462,13.83878,6.8396,6.955497
"Burdur","Burdur",6.5,31.3,36.45,1.3438,1.49226,4.651,4.742244
"Burdur","Burdur",6,32.15,37.5,.64161,.7124938,4.0404,4.123408
"Burdur","Burdur",7,31.35,37.35,4.7574,5.282989,5.829,5.934244
"Burdur","Burdur",8,30.2,38.55,10.406,11.55564,6.6429,6.756833
"Burdur","Burdur",6.5,30.7,38.95,1.3872,1.540455,4.6786,4.770145
"Burdur","Burdur",6.5,30.05,37.35,3.7723,4.189056,5.6002,5.702831
"Burdur","Burdur",7.5,29.6,37,6.2767,6.970138,6.1098,6.218119
"Burdur","Burdur",7.5,31.7,37.95,6.3486,7.049981,6.1215,6.229959
"Burdur","Burdur",6.5,32,37.15,1.428,1.585763,4.7038,4.795684
"Burdur","Burdur",7,29.75,36.55,2.8489,3.163641,5.3309,5.430412
"Burdur","Burdur",8,30.75,37.35,20.312,22.55603,7.3897,7.511034
"Burdur","Burdur",7,31.55,37.95,4.0365,4.482445,5.6664,5.769761
"Burdur","Burdur",7,31.6,37.2,3.649,4.052135,5.5679,5.670151
"Burdur","Burdur",6.5,31.7,38.4,1.5283,1.697144,4.7632,4.855835
