location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Buyukcekmece","BÜYÜKÇEkmece",6,28.45,40.15,.99094,1.100417,4.3924,4.480274
"Buyukcekmece","BÜYÜKÇEkmece",8,30,40.75,9.3099,10.33844,6.5233,6.635907
"Buyukcekmece","BÜYÜKÇEkmece",6,29.4,41.3,1.3347,1.482155,4.6451,4.736293
"Buyukcekmece","BÜYÜKÇEkmece",6,27.5,40.3,.77292,.8583108,4.1887,4.27383
"Buyukcekmece","BÜYÜKÇEkmece",6,28.8,41.7,1.2841,1.425965,4.6118,4.702539
"Buyukcekmece","BÜYÜKÇEkmece",6,28,39.8,.63678,.7071303,4.0344,4.117381
"Buyukcekmece","BÜYÜKÇEkmece",7.5,28.4,40.5,10.075,11.18807,6.608,6.721578
"Buyukcekmece","BÜYÜKÇEkmece",7.5,27.2,41.85,4.9553,5.502752,5.8698,5.975482
"Buyukcekmece","BÜYÜKÇEkmece",8,27.45,41.4,10.425,11.57673,6.6449,6.758826
"Buyukcekmece","BÜYÜKÇEkmece",8,29.95,41.65,8.7851,9.755661,6.4614,6.573389
"Buyukcekmece","BÜYÜKÇEkmece",8,27.6,40.35,9.9205,11.0165,6.5914,6.704763
"Buyukcekmece","BÜYÜKÇEkmece",6,29.5,40.4,.92739,1.029846,4.3374,4.424569
"Buyukcekmece","BÜYÜKÇEkmece",6,28.5,39.95,.79009,.8773776,4.2065,4.291822
"Buyukcekmece","BÜYÜKÇEkmece",6,28.55,40.25,1.1443,1.27072,4.5133,4.602807
"Buyukcekmece","BÜYÜKÇEkmece",6.5,30.15,41.45,1.4486,1.608639,4.7163,4.808335
"Buyukcekmece","BÜYÜKÇEkmece",6,30.25,41.25,.65172,.7237208,4.0527,4.135898
"Buyukcekmece","BÜYÜKÇEkmece",7.5,29.9,41.15,6.2084,6.894292,6.0986,6.206758
"Buyukcekmece","BÜYÜKÇEkmece",7,28.7,41.65,5.3062,5.892419,5.9387,6.045103
"Buyukcekmece","BÜYÜKÇEkmece",7.5,28.5,41.8,7.5431,8.376448,6.3005,6.410846
"Buyukcekmece","BÜYÜKÇEkmece",7,30,41.8,2.7484,3.052038,5.297,5.396164
"Buyukcekmece","BÜYÜKÇEkmece",7,27.7,41.6,3.9457,4.381613,5.644,5.747212
"Buyukcekmece","BÜYÜKÇEkmece",7.5,27.3,41.6,5.6502,6.274424,6.0023,6.109457
"Buyukcekmece","BÜYÜKÇEkmece",6,28.5,41.7,1.3176,1.463166,4.634,4.725014
"Buyukcekmece","BÜYÜKÇEkmece",7,27.35,41.45,3.4492,3.830261,5.5134,5.615042
"Buyukcekmece","BÜYÜKÇEkmece",6.5,28.45,40.45,3.1492,3.497118,5.426,5.526698
"Buyukcekmece","BÜYÜKÇEkmece",8,29.45,41.45,11.798,13.10142,6.7795,6.894804
"Buyukcekmece","BÜYÜKÇEkmece",6.5,27.6,41.1,2.4436,2.713564,5.1872,5.285025
"Buyukcekmece","BÜYÜKÇEkmece",7.5,28.35,40.25,7.4558,8.279503,6.2883,6.398533
"Buyukcekmece","BÜYÜKÇEkmece",6.5,27.1,41.55,1.469,1.631292,4.7285,4.820709
"Buyukcekmece","BÜYÜKÇEkmece",6.5,27.15,41.5,1.5379,1.707804,4.7687,4.861409
"Buyukcekmece","BÜYÜKÇEkmece",7.5,28.9,39.7,4.9111,5.453669,5.8608,5.966402
"Buyukcekmece","BÜYÜKÇEkmece",6.5,28.55,40.25,2.3629,2.623949,5.1561,5.253541
"Buyukcekmece","BÜYÜKÇEkmece",7.5,27.65,41,8.1636,9.065499,6.3836,6.49484
"Buyukcekmece","BÜYÜKÇEkmece",6.5,27.55,41.2,2.2798,2.531668,5.123,5.220107
"Buyukcekmece","BÜYÜKÇEkmece",7.5,30.1,41.5,5.2503,5.830343,5.928,6.034293
"Buyukcekmece","BÜYÜKÇEkmece",8,28.35,40.6,16.876,18.74043,7.1781,7.297328
"Buyukcekmece","BÜYÜKÇEkmece",8,29.75,41.8,8.948,9.936558,6.4809,6.593147
"Buyukcekmece","BÜYÜKÇEkmece",8,29.5,41.3,12.181,13.52673,6.8146,6.930178
"Buyukcekmece","BÜYÜKÇEkmece",7.5,29.85,40.35,5.476,6.080978,5.9705,6.077321
"Buyukcekmece","BÜYÜKÇEkmece",6.5,27.1,40.35,1.3818,1.534459,4.6752,4.766716
"Buyukcekmece","BÜYÜKÇEkmece",8,27.3,40.25,8.5812,9.529235,6.4364,6.548187
"Buyukcekmece","BÜYÜKÇEkmece",7.5,28.35,40.7,13.599,15.10139,6.9361,7.052935
"Buyukcekmece","BÜYÜKÇEkmece",7.5,28.85,41.6,9.1463,10.15677,6.5043,6.616766
"Buyukcekmece","BÜYÜKÇEkmece",6.5,29.15,41.95,1.7833,1.980316,4.9,4.994384
"Buyukcekmece","BÜYÜKÇEkmece",7.5,28,40.9,11.456,12.72164,6.7474,6.862327
"Buyukcekmece","BÜYÜKÇEkmece",7,29.85,40.9,3.6435,4.046027,5.5664,5.668671
"Buyukcekmece","BÜYÜKÇEkmece",6,29.6,40.35,.8359,.9282486,4.2522,4.338208
"Buyukcekmece","BÜYÜKÇEkmece",8,28.85,40.3,12.107,13.44456,6.8078,6.923422
"Buyukcekmece","BÜYÜKÇEkmece",7,27.55,41.7,3.4237,3.801944,5.5062,5.607805
"Buyukcekmece","BÜYÜKÇEkmece",6.5,27.6,41.05,2.4545,2.725668,5.1913,5.289207
"Buyukcekmece","BÜYÜKÇEkmece",6,29.05,41.1,2.6874,2.984299,5.2759,5.37483
"Buyukcekmece","BÜYÜKÇEkmece",7.5,29.15,41.8,6.8274,7.581678,6.1966,6.305866
"Buyukcekmece","BÜYÜKÇEkmece",6.5,27.7,41.3,2.5285,2.807844,5.2189,5.317167
"Buyukcekmece","BÜYÜKÇEkmece",7,28.65,40.7,9.5989,10.65937,6.556,6.668989
"Buyukcekmece","BÜYÜKÇEkmece",6,29.3,41.35,1.4381,1.596979,4.7099,4.801907
"Buyukcekmece","BÜYÜKÇEkmece",7,26.85,40.85,2.7359,3.038157,5.2927,5.391827
"Buyukcekmece","BÜYÜKÇEkmece",6,29.05,39.75,.62619,.6953703,4.0212,4.104026
"Buyukcekmece","BÜYÜKÇEkmece",8,28.6,41.05,64.131,71.21607,8.7839,8.917922
