location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Canakkale","ÇAnakkale",7,27.25,38.55,2.8961,3.216056,5.3464,5.446127
"Canakkale","ÇAnakkale",6.5,27.3,40.1,2.1409,2.377423,5.0654,5.161732
"Canakkale","ÇAnakkale",8,26.15,38.7,10.514,11.67557,6.6541,6.768117
"Canakkale","ÇAnakkale",7.5,27.55,39.8,6.7047,7.445423,6.1779,6.286881
"Canakkale","ÇAnakkale",7,27.4,39.4,4.3181,4.795156,5.7328,5.836919
"Canakkale","ÇAnakkale",6,26.35,38.85,1.1776,1.307699,4.5377,4.627496
"Canakkale","ÇAnakkale",7.5,26.2,40.05,11.168,12.40182,6.7197,6.834291
"Canakkale","ÇAnakkale",8,26.05,38.6,9.7038,10.77586,6.5677,6.680775
"Canakkale","ÇAnakkale",7.5,27.55,39.75,6.7595,7.506277,6.1863,6.295398
"Canakkale","ÇAnakkale",6,26.7,40.5,.93229,1.035288,4.3418,4.428981
"Canakkale","ÇAnakkale",8,26.3,39.55,44.962,49.92932,8.3384,8.468478
"Canakkale","ÇAnakkale",7.5,26.5,40.3,8.1998,9.105699,6.3883,6.49956
"Canakkale","ÇAnakkale",7,26.35,39.95,9.0014,9.995857,6.4873,6.599554
"Canakkale","ÇAnakkale",6,27.45,40.1,.90979,1.010302,4.3216,4.408552
"Canakkale","ÇAnakkale",7.5,27.5,40.2,6.0414,6.708842,6.0706,6.1785
"Canakkale","ÇAnakkale",6,27.05,40.6,.75742,.8410983,4.1724,4.257287
"Canakkale","ÇAnakkale",7,26.1,40,7.067,7.847749,6.2325,6.34207
"Canakkale","ÇAnakkale",8,26.1,40.1,14.941,16.59165,7.0409,7.158865
"Canakkale","ÇAnakkale",7.5,27.4,40.5,5.4428,6.04411,5.9644,6.071093
"Canakkale","ÇAnakkale",7,26.15,40.35,4.4432,4.934076,5.761,5.865505
"Canakkale","ÇAnakkale",7,27.15,39,4.138,4.595159,5.6908,5.794437
"Canakkale","ÇAnakkale",7,27.6,39,3.2139,3.568966,5.4455,5.546366
"Canakkale","ÇAnakkale",7.5,27.85,38.9,4.9686,5.517521,5.8725,5.9782
"Canakkale","ÇAnakkale",8,26.45,38.5,9.3148,10.34388,6.5238,6.636476
"Canakkale","ÇAnakkale",7.5,26.65,40.2,8.9541,9.943332,6.4817,6.593881
"Canakkale","ÇAnakkale",6.5,26.2,39.5,9.6608,10.72811,6.5629,6.675958
"Canakkale","ÇAnakkale",8,26.7,38.3,8.2309,9.140234,6.3923,6.503601
"Canakkale","ÇAnakkale",8,27.55,38.95,9.3117,10.34044,6.5235,6.636116
"Canakkale","ÇAnakkale",6,27.55,38.95,.76659,.8512814,4.1821,4.267109
"Canakkale","ÇAnakkale",8,26.2,39.35,22.577,25.07126,7.5121,7.634573
"Canakkale","ÇAnakkale",6,26.95,40.3,1.0767,1.195652,4.4619,4.550687
"Canakkale","ÇAnakkale",7.5,27.75,39.7,5.9972,6.65976,6.0631,6.170904
"Canakkale","ÇAnakkale",8,27.9,40.2,8.3428,9.264497,6.4066,6.518026
"Canakkale","ÇAnakkale",6,26.35,40.65,.81135,.9009864,4.228,4.313633
"Canakkale","ÇAnakkale",6.5,26.85,39.05,2.8026,3.112226,5.3154,5.41477
"Canakkale","ÇAnakkale",6,26.2,40.3,1.2481,1.385988,4.5874,4.677805
"Canakkale","ÇAnakkale",7.5,27.75,40.1,5.5559,6.169705,5.9852,6.092173
"Canakkale","ÇAnakkale",6,26.6,39.65,6.2895,6.984352,6.1119,6.220236
