location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Cankiri","ÇAnkiri",6.5,32.25,41.5,1.969,2.186531,4.9892,5.084652
"Cankiri","ÇAnkiri",8,32.15,41.8,8.7656,9.734007,6.459,6.571002
"Cankiri","ÇAnkiri",6.5,33.8,40.3,2.4216,2.689134,5.1788,5.276535
"Cankiri","ÇAnkiri",7,34.15,40.8,4.2388,4.707095,5.7145,5.818413
"Cankiri","ÇAnkiri",7,31.8,41.65,2.8341,3.147206,5.3259,5.425436
"Cankiri","ÇAnkiri",8,31.75,40.2,8.8943,9.876925,6.4745,6.58667
"Cankiri","ÇAnkiri",7,34.6,40.9,3.0874,3.42849,5.4071,5.507571
"Cankiri","ÇAnkiri",7,32.9,41.6,4.3228,4.800375,5.7338,5.838006
"Cankiri","ÇAnkiri",7.5,31.5,40.4,5.1491,5.717963,5.9084,6.01446
"Cankiri","ÇAnkiri",8,33.1,41,30.357,33.71078,7.8611,7.986858
"Cankiri","ÇAnkiri",7.5,33.6,41.2,9.8996,10.99329,6.5891,6.70247
"Cankiri","ÇAnkiri",6.5,32.65,40.6,4.7299,5.25245,5.8232,5.928393
"Cankiri","ÇAnkiri",7,32,39.85,2.8461,3.160532,5.3299,5.429472
"Cankiri","ÇAnkiri",6.5,33.7,41.65,1.8991,2.108909,4.9565,5.051595
"Cankiri","ÇAnkiri",8,33.95,41.45,10.569,11.73664,6.6598,6.773823
"Cankiri","ÇAnkiri",8,31.9,41.35,9.7247,10.79907,6.57,6.68311
"Cankiri","ÇAnkiri",7.5,32.7,40.4,10.659,11.83659,6.6689,6.783103
"Cankiri","ÇAnkiri",6.5,33.4,41.95,1.5634,1.736121,4.7832,4.876065
"Cankiri","ÇAnkiri",7.5,33.7,40.25,7.8862,8.757452,6.3472,6.458026
"Cankiri","ÇAnkiri",6,33.75,41.6,.92299,1.02496,4.3335,4.420589
"Cankiri","ÇAnkiri",8,33.05,41.3,16.223,18.01529,7.1335,7.252289
"Cankiri","ÇAnkiri",6.5,33,41.15,5.378,5.972151,5.9523,6.058837
"Cankiri","ÇAnkiri",6.5,31.45,40.4,1.3927,1.546563,4.682,4.773627
"Cankiri","ÇAnkiri",7.5,32.55,41.85,5.7209,6.352934,6.015,6.122246
"Cankiri","ÇAnkiri",6,34.3,39.95,.65289,.7250201,4.0541,4.137332
"Cankiri","ÇAnkiri",7.5,33.85,40.85,9.4363,10.4788,6.5377,6.650489
"Cankiri","ÇAnkiri",6.5,33.3,42,1.5157,1.683152,4.7559,4.848474
"Cankiri","ÇAnkiri",6,32.15,40.35,1.0383,1.153009,4.4314,4.51979
"Cankiri","ÇAnkiri",6.5,33.65,41.95,1.4938,1.658832,4.7432,4.835548
"Cankiri","ÇAnkiri",6.5,34.45,40.9,1.7424,1.934897,4.8793,4.973392
"Cankiri","ÇAnkiri",6,33.4,40.05,1.0944,1.215307,4.4756,4.564605
"Cankiri","ÇAnkiri",6,31.9,40.95,.96543,1.072089,4.3707,4.458299
"Cankiri","ÇAnkiri",6.5,32.1,40.7,2.4429,2.712787,5.1869,5.284756
"Cankiri","ÇAnkiri",6,33.7,39.7,.68922,.7653637,4.097,4.180802
"Cankiri","ÇAnkiri",8,34.5,40.3,8.7998,9.771985,6.4632,6.575185
"Cankiri","ÇAnkiri",7,33.4,41.45,4.9765,5.526294,5.8741,5.979812
"Cankiri","ÇAnkiri",8,33.15,40.75,46.714,51.87487,8.3857,8.516219
"Cankiri","ÇAnkiri",7.5,32.85,40.85,23.877,26.51488,7.5774,7.700471
"Cankiri","ÇAnkiri",6,32.95,40.8,10.171,11.29467,6.6183,6.731909
"Cankiri","ÇAnkiri",7,34.75,40.7,2.8294,3.141987,5.3244,5.423852
"Cankiri","ÇAnkiri",8,33.2,42,8.8487,9.826287,6.469,6.581142
"Cankiri","ÇAnkiri",6,32.45,41.55,.9974,1.107591,4.3978,4.48576
"Cankiri","ÇAnkiri",6.5,31.9,41.6,1.535,1.704584,4.7671,4.859728
"Cankiri","ÇAnkiri",6,33.1,40.45,2.6364,2.927665,5.258,5.356661
"Cankiri","ÇAnkiri",7,32.7,40.7,10.126,11.2447,6.6135,6.727077
"Cankiri","ÇAnkiri",6.5,34.15,40.25,1.8319,2.034285,4.9241,5.018784
"Cankiri","ÇAnkiri",8,31.55,40.55,8.8625,9.841612,6.4707,6.582818
"Cankiri","ÇAnkiri",6,34.25,40.6,.94453,1.04888,4.3526,4.439914
"Cankiri","ÇAnkiri",6,32.45,40.25,1.2045,1.337571,4.557,4.646996
"Cankiri","ÇAnkiri",8,33.8,39.7,8.579,9.526792,6.4362,6.547912
"Cankiri","ÇAnkiri",6,32.05,41.5,.82619,.9174659,4.2427,4.328565
"Cankiri","ÇAnkiri",7.5,32.7,41.35,9.2165,10.23472,6.5125,6.625017
"Cankiri","ÇAnkiri",6,31.45,40.4,.63637,.7066749,4.0339,4.116868
