location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Catalca","ÇAtalca",7.5,27.3,41.35,6.7774,7.526155,6.189,6.298167
"Catalca","ÇAtalca",7.5,29.5,41.85,5.9554,6.613341,6.056,6.163673
"Catalca","ÇAtalca",8,29.8,40.45,8.6434,9.598307,6.4441,6.555932
"Catalca","ÇAtalca",7.5,29.55,41.05,7.1947,7.989557,6.2511,6.360917
"Catalca","ÇAtalca",7,27.35,40.3,3.0091,3.34154,5.3827,5.482843
"Catalca","ÇAtalca",7.5,28.45,41.8,8.6505,9.606191,6.445,6.556812
"Catalca","ÇAtalca",8,28.4,41,34.616,38.44031,8.0188,8.146025
"Catalca","ÇAtalca",7.5,29.85,41.75,5.3448,5.935283,5.946,6.052507
"Catalca","ÇAtalca",6,28,41.8,1.2003,1.332907,4.554,4.643977
"Catalca","ÇAtalca",7,29,41.8,4.445,4.936075,5.7614,5.865911
"Catalca","ÇAtalca",8,27.5,41.35,12.115,13.45344,6.8086,6.924154
"Catalca","ÇAtalca",8,28,40.7,14.698,16.32181,7.0226,7.140341
"Catalca","ÇAtalca",7,28.6,40.1,3.3705,3.742867,5.4911,5.59255
"Catalca","ÇAtalca",7,28.75,40.45,4.6836,5.201035,5.8134,5.918472
"Catalca","ÇAtalca",6,26.8,40.65,.61248,.6801456,4.0039,4.086442
"Catalca","ÇAtalca",7,29.45,40.15,2.8844,3.203063,5.3426,5.442253
"Catalca","ÇAtalca",6.5,27.25,40.45,1.5826,1.757443,4.7939,4.886962
"Catalca","ÇAtalca",6.5,28.75,41.1,8.0411,8.929465,6.3677,6.478724
"Catalca","ÇAtalca",6,26.8,41.65,.61467,.6825776,4.0067,4.089273
"Catalca","ÇAtalca",8,29.9,41.55,9.0154,10.0114,6.4889,6.601228
"Catalca","ÇAtalca",6,29.85,41.55,.75224,.835346,4.1669,4.251693
"Catalca","ÇAtalca",8,29.65,40.85,10.328,11.46902,6.6348,6.748617
"Catalca","ÇAtalca",7,26.7,40.9,2.6889,2.985965,5.2764,5.37536
"Catalca","ÇAtalca",6.5,28.85,41.65,3.124,3.469134,5.4184,5.518939
"Catalca","ÇAtalca",7.5,27.8,40.5,7.3021,8.108822,6.2666,6.376536
"Catalca","ÇAtalca",8,28.65,40.1,9.6038,10.66481,6.5565,6.669542
"Catalca","ÇAtalca",6,28.3,39.95,.69738,.7744252,4.1063,4.190292
"Catalca","ÇAtalca",7,26.9,40.65,2.8246,3.136657,5.3228,5.422231
"Catalca","ÇAtalca",7,27.15,41.8,3.0348,3.370079,5.3908,5.491022
"Catalca","ÇAtalca",7.5,29.65,41.15,6.7523,7.498281,6.1852,6.294283
"Catalca","ÇAtalca",7,27.7,40.15,3.1085,3.451921,5.4136,5.51414
"Catalca","ÇAtalca",7,29.65,41.5,3.6387,4.040697,5.5651,5.667377
"Catalca","ÇAtalca",7.5,28.65,41.25,23.305,25.87969,7.5491,7.671888
"Catalca","ÇAtalca",6.5,27.95,41.45,3.7471,4.161073,5.5936,5.69623
"Catalca","ÇAtalca",7,27.5,40.75,4.1952,4.658678,5.7043,5.808105
"Catalca","ÇAtalca",7,27.9,40.35,3.875,4.303102,5.6264,5.729331
"Catalca","ÇAtalca",6,29,41,2.1792,2.419954,5.0816,5.178156
"Catalca","ÇAtalca",7.5,27.95,40.6,8.5553,9.500473,6.4332,6.544947
"Catalca","ÇAtalca",7,28.35,39.9,2.8856,3.204396,5.343,5.442651
"Catalca","ÇAtalca",7.5,27.55,40.65,7.0865,7.869403,6.2353,6.344967
"Catalca","ÇAtalca",6,29.8,41.1,.84412,.9373768,4.2602,4.346296
"Catalca","ÇAtalca",6,29.25,41.05,1.5049,1.671159,4.7496,4.84212
"Catalca","ÇAtalca",6.5,28.25,40.45,2.5679,2.851597,5.2334,5.331758
"Catalca","ÇAtalca",6.5,27.4,41.8,1.7681,1.963436,4.8924,4.986633
"Catalca","ÇAtalca",6,29.05,41.75,1.1798,1.310142,4.5393,4.629105
"Catalca","ÇAtalca",6.5,27.35,41.75,1.7697,1.965213,4.8932,4.987452
"Catalca","ÇAtalca",8,28.05,40.55,13.073,14.51728,6.8924,7.008813
"Catalca","ÇAtalca",7,27.05,41.75,2.9499,3.275799,5.3638,5.463764
"Catalca","ÇAtalca",6.5,29.7,40.9,1.8785,2.086033,4.9467,5.041647
"Catalca","ÇAtalca",6.5,29.5,41.8,1.7825,1.979427,4.8996,4.993978
"Catalca","ÇAtalca",7,28.7,40.2,3.6469,4.049803,5.5673,5.669586
"Catalca","ÇAtalca",8,29.55,40.4,9.2564,10.27903,6.5171,6.629681
"Catalca","ÇAtalca",8,28.9,40.7,14.814,16.45062,7.0315,7.149218
"Catalca","ÇAtalca",8,27.25,41.6,9.8587,10.94787,6.5847,6.69797
"Catalca","ÇAtalca",6,29.65,41.75,.78487,.871581,4.2011,4.286388
"Catalca","ÇAtalca",7,29.45,41.2,4.565,5.069333,5.7879,5.892653
"Catalca","ÇAtalca",7.5,27.05,40.35,4.953,5.500198,5.8694,5.975011
"Catalca","ÇAtalca",6.5,28.55,41.6,3.9693,4.407821,5.6499,5.753117
"Catalca","ÇAtalca",6.5,27.55,40.9,2.5137,2.791409,5.2135,5.311634
"Catalca","ÇAtalca",8,29.3,40.9,12.915,14.34182,6.879,6.995246
"Catalca","ÇAtalca",6,27.75,42,.84995,.9438509,4.2658,4.351991
"Catalca","ÇAtalca",6.5,26.95,40.45,1.3569,1.506808,4.6594,4.750748
"Catalca","ÇAtalca",7.5,28.15,41.05,18.289,20.30953,7.2695,7.389606
"Catalca","ÇAtalca",8,27,40.6,8.6534,9.609411,6.4453,6.557172
"Catalca","ÇAtalca",7.5,29.15,41.7,7.6963,8.546573,6.3216,6.432147
"Catalca","ÇAtalca",6.5,29.6,41.8,1.6846,1.870711,4.8493,4.94297
"Catalca","ÇAtalca",6,29.3,41.1,1.4215,1.578545,4.6998,4.791659
"Catalca","ÇAtalca",7.5,28.35,41.65,10.504,11.66446,6.653,6.767076
"Catalca","ÇAtalca",6.5,27.65,41.65,2.3122,2.567647,5.136,5.233269
"Catalca","ÇAtalca",7.5,28,40.95,12.857,14.27742,6.874,6.990228
"Catalca","ÇAtalca",6,27.7,40.4,.91864,1.02013,4.3296,4.416639
"Catalca","ÇAtalca",6.5,28.2,41.25,8.19,9.094815,6.3871,6.498284
"Catalca","ÇAtalca",7.5,29.6,41.35,6.8403,7.596004,6.1986,6.307844
"Catalca","ÇAtalca",6,28.05,41.45,2.1852,2.426617,5.0841,5.180706
"Catalca","ÇAtalca",7.5,27.25,40.65,6.0255,6.691186,6.0679,6.175774
"Catalca","ÇAtalca",8,27.05,40.8,9.2347,10.25493,6.5146,6.627147
"Catalca","ÇAtalca",6.5,27.6,41.3,2.7557,3.060144,5.2995,5.398689
"Catalca","ÇAtalca",6.5,28.35,41.85,2.5703,2.854262,5.2342,5.332641
"Catalca","ÇAtalca",7,27.15,41.2,3.5672,3.961298,5.5459,5.647923
"Catalca","ÇAtalca",7.5,28.6,39.8,4.8973,5.438344,5.858,5.963551
"Catalca","ÇAtalca",7.5,28.65,40.5,8.6088,9.559884,6.4398,6.55163
"Catalca","ÇAtalca",6,29.55,41.95,.73262,.8135585,4.1457,4.230195
"Catalca","ÇAtalca",8,27.4,41.8,9.7653,10.84415,6.5744,6.687632
"Catalca","ÇAtalca",6,28.75,39.85,.63012,.6997344,4.0262,4.109004
"Catalca","ÇAtalca",6.5,27.1,40.5,1.4969,1.662275,4.745,4.837388
"Catalca","ÇAtalca",7.5,28.55,41.15,41.631,46.23031,8.2436,8.372814
"Catalca","ÇAtalca",6,29.2,41.3,1.5766,1.75078,4.7906,4.88357
"Catalca","ÇAtalca",6.5,26.95,40.55,1.4103,1.566107,4.6929,4.784685
"Catalca","ÇAtalca",7.5,28,40.7,9.7651,10.84393,6.5744,6.68761
"Catalca","ÇAtalca",8,27.3,40.8,10.389,11.53676,6.6412,6.755047
"Catalca","ÇAtalca",8,28.15,40.8,18.035,20.02747,7.2536,7.373507
"Catalca","ÇAtalca",7.5,29.7,40.75,6.1165,6.792239,6.0833,6.191294
"Catalca","ÇAtalca",7.5,29.7,41.55,6.1185,6.79446,6.0836,6.191632
"Catalca","ÇAtalca",6.5,28.25,40.25,2.0071,2.228841,5.0066,5.102236
"Catalca","ÇAtalca",7,27.55,41.9,3.4694,3.852693,5.519,5.620741
"Catalca","ÇAtalca",6,27.2,41.45,.86301,.9583537,4.2783,4.364625
"Catalca","ÇAtalca",7.5,27.55,41.4,7.9681,8.8484,6.3581,6.469015
"Catalca","ÇAtalca",7,28.75,40,3.0666,3.405392,5.4007,5.501058
"Catalca","ÇAtalca",8,26.75,41.3,8.3564,9.279599,6.4083,6.519768
"Catalca","ÇAtalca",7.5,29.9,41,5.7646,6.401462,6.0227,6.13008
"Catalca","ÇAtalca",6,28.2,41.75,1.4226,1.579766,4.7005,4.792341
"Catalca","ÇAtalca",7.5,29.65,40.7,6.1806,6.863421,6.094,6.202102
"Catalca","ÇAtalca",8,29.45,41,11.967,13.28909,6.7951,6.910539
"Catalca","ÇAtalca",6.5,27.7,41,3.1084,3.45181,5.4136,5.514109
"Catalca","ÇAtalca",6.5,28.5,41.25,15.09,16.75711,7.0521,7.170088
"Catalca","ÇAtalca",6,29.75,41.3,.87082,.9670265,4.2857,4.372101
"Catalca","ÇAtalca",6.5,28.1,40.25,1.9497,2.165099,4.9803,5.07563
"Catalca","ÇAtalca",8,29,41.2,18.101,20.10076,7.2577,7.37771
"Catalca","ÇAtalca",6.5,27.4,41.4,2.1844,2.425728,5.0837,5.180366
"Catalca","ÇAtalca",6.5,29.3,41.9,1.8476,2.051719,4.9318,5.026544
"Catalca","ÇAtalca",6,26.95,40.55,.6453,.7165915,4.0449,4.127986
"Catalca","ÇAtalca",6.5,27.45,40.2,1.4943,1.659387,4.7434,4.835845
"Catalca","ÇAtalca",7.5,28.95,40.5,7.8345,8.700041,6.3403,6.451037
"Catalca","ÇAtalca",7.5,27.3,40.2,5.0753,5.63601,5.8938,5.999774
"Catalca","ÇAtalca",8,29.55,40.1,8.1857,9.09004,6.3865,6.497724
"Catalca","ÇAtalca",8,27.4,40.8,10.949,12.15862,6.698,6.812531
"Catalca","ÇAtalca",8,26.95,41.25,9.1113,10.1179,6.5002,6.612631
"Catalca","ÇAtalca",8,27.35,40.15,8.3223,9.241732,6.404,6.515397
"Catalca","ÇAtalca",7.5,29.65,41.8,5.7171,6.348714,6.0143,6.121562
"Catalca","ÇAtalca",6,29.2,41.65,1.1777,1.30781,4.5378,4.627569
"Catalca","ÇAtalca",6,27.15,41.9,.67401,.7484733,4.0793,4.162851
"Catalca","ÇAtalca",7,27.35,41.3,4.088,4.539635,5.6788,5.78235
"Catalca","ÇAtalca",6,29.95,41.55,.7025,.7801109,4.1121,4.196197
"Catalca","ÇAtalca",6,27,40.5,.65019,.7220218,4.0508,4.134019
"Catalca","ÇAtalca",6,28,40,.70029,.7776567,4.1096,4.193653
"Catalca","ÇAtalca",6.5,29.35,41.4,2.5428,2.823724,5.2242,5.322486
"Catalca","ÇAtalca",7.5,27.15,41.05,6.2556,6.946707,6.1064,6.214622
"Catalca","ÇAtalca",6,27.8,41.2,1.8703,2.076927,4.9428,5.037661
"Catalca","ÇAtalca",6,27.6,40.2,.73432,.8154463,4.1475,4.232077
"Catalca","ÇAtalca",6.5,29.7,41.3,1.9208,2.133006,4.9668,5.061971
"Catalca","ÇAtalca",8,28.25,41.9,11.865,13.17582,6.7858,6.901066
"Catalca","ÇAtalca",6,28.6,40.65,1.8385,2.041614,4.9273,5.022053
"Catalca","ÇAtalca",6,29.8,40.7,.76314,.8474503,4.1785,4.263426
"Catalca","ÇAtalca",7.5,26.8,41.3,5.1795,5.751721,5.9143,6.020454
"Catalca","ÇAtalca",6,29.6,40.35,.7142,.7931035,4.1253,4.209551
"Catalca","ÇAtalca",6.5,29.9,41.9,1.3743,1.52613,4.6705,4.761933
"Catalca","ÇAtalca",6,29.55,40.75,.94642,1.050979,4.3542,4.441591
"Catalca","ÇAtalca",6,29.45,41.4,1.1173,1.240737,4.4931,4.582323
"Catalca","ÇAtalca",6,29.6,40.7,.88491,.9826732,4.2988,4.385442
"Catalca","ÇAtalca",6,29.05,41.7,1.2537,1.392206,4.5912,4.681693
"Catalca","ÇAtalca",7.5,28.65,40.85,14.861,16.50282,7.035,7.152797
"Catalca","ÇAtalca",6.5,29.8,41.05,1.7896,1.987312,4.9032,4.99758
"Catalca","ÇAtalca",6.5,27.8,40.05,1.5093,1.676045,4.7522,4.844713
"Catalca","ÇAtalca",6.5,27.3,40.55,1.7187,1.908579,4.8671,4.961027
"Catalca","ÇAtalca",7.5,27.35,41.4,6.9213,7.685952,6.2108,6.320189
"Catalca","ÇAtalca",7.5,26.85,41.55,5.1251,5.691311,5.9037,6.009705
"Catalca","ÇAtalca",6.5,28.25,41.9,2.3645,2.625726,5.1567,5.254174
