location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Cekmekoy","ÇEkmekÖY",7,27.75,40.5,2.9718,3.300119,5.3709,5.470861
"Cekmekoy","ÇEkmekÖY",7.5,28.75,41.35,11.665,12.95373,6.7671,6.882276
"Cekmekoy","ÇEkmekÖY",7,28.8,41.55,5.6972,6.326616,6.0108,6.117974
"Cekmekoy","ÇEkmekÖY",7.5,29.5,41.45,11.072,12.29521,6.7102,6.8248
"Cekmekoy","ÇEkmekÖY",6.5,30.4,41.35,1.8717,2.078482,4.9435,5.038342
"Cekmekoy","ÇEkmekÖY",8,28.95,41.45,17.165,19.06136,7.1973,7.316758
"Cekmekoy","ÇEkmekÖY",7.5,29.6,40.15,6.4943,7.211778,6.1449,6.253588
"Cekmekoy","ÇEkmekÖY",6.5,27.75,41.25,1.6592,1.842505,4.8358,4.929308
"Cekmekoy","ÇEkmekÖY",6.5,30.8,41.6,1.3491,1.498146,4.6544,4.745693
"Cekmekoy","ÇEkmekÖY",7,28.1,41.6,3.5686,3.962852,5.5463,5.648307
"Cekmekoy","ÇEkmekÖY",6,30.1,41.1,1.2797,1.421079,4.6089,4.699549
"Cekmekoy","ÇEkmekÖY",7,29.8,40.65,5.4907,6.097302,5.9733,6.080068
"Cekmekoy","ÇEkmekÖY",6,28.7,39.75,.61714,.6853204,4.0098,4.092456
"Cekmekoy","ÇEkmekÖY",6,27.9,40.85,.87351,.9700137,4.2882,4.374662
"Cekmekoy","ÇEkmekÖY",6,28.65,40.25,.98487,1.093677,4.3873,4.47509
"Cekmekoy","ÇEkmekÖY",7.5,29.05,40.65,12.773,14.18414,6.8668,6.982924
"Cekmekoy","ÇEkmekÖY",7,29.9,41.75,3.8874,4.316873,5.6295,5.732488
"Cekmekoy","ÇEkmekÖY",6,28.9,40.4,1.3403,1.488374,4.6488,4.739959
"Cekmekoy","ÇEkmekÖY",7.5,30.25,40.6,6.6115,7.341926,6.1634,6.272251
"Cekmekoy","ÇEkmekÖY",7,28.3,41.3,4.7914,5.320745,5.8361,5.941437
"Cekmekoy","ÇEkmekÖY",8,30.25,41,11.476,12.74385,6.7493,6.86425
"Cekmekoy","ÇEkmekÖY",6.5,29.7,39.75,1.3444,1.492927,4.6514,4.742635
"Cekmekoy","ÇEkmekÖY",6,30.15,41.4,1.0741,1.192765,4.4598,4.548626
"Cekmekoy","ÇEkmekÖY",7.5,27.8,41.9,4.9076,5.449782,5.8601,5.965679
"Cekmekoy","ÇEkmekÖY",7.5,29.15,41.95,6.6662,7.402669,6.1719,6.280859
"Cekmekoy","ÇEkmekÖY",6.5,27.5,41.25,1.416,1.572437,4.6965,4.78824
"Cekmekoy","ÇEkmekÖY",7,27.8,40.4,2.9368,3.261252,5.3596,5.459496
"Cekmekoy","ÇEkmekÖY",7.5,29.05,41.35,14.896,16.54168,7.0376,7.155455
"Cekmekoy","ÇEkmekÖY",7.5,28.5,40.3,6.7529,7.498948,6.1853,6.294376
"Cekmekoy","ÇEkmekÖY",6,27.9,40.95,.88855,.9867153,4.3022,4.388858
"Cekmekoy","ÇEkmekÖY",6,28.15,40.3,.79147,.8789101,4.2079,4.293253
"Cekmekoy","ÇEkmekÖY",7,28.35,41.05,5.3861,5.981146,5.9538,6.060377
"Cekmekoy","ÇEkmekÖY",7,30.25,41.8,3.2068,3.561081,5.4434,5.544225
"Cekmekoy","ÇEkmekÖY",6,29.05,39.95,.77578,.8614867,4.1917,4.276851
"Cekmekoy","ÇEkmekÖY",6.5,27.65,41.2,1.5632,1.735899,4.783,4.875951
"Cekmekoy","ÇEkmekÖY",8,30.75,40.9,8.8137,9.787421,6.4648,6.576882
"Cekmekoy","ÇEkmekÖY",6.5,28.55,41.8,2.0337,2.258379,5.0185,5.114338
"Cekmekoy","ÇEkmekÖY",8,28.45,41.3,13.964,15.50672,6.9655,7.082653
"Cekmekoy","ÇEkmekÖY",7,27.55,40.6,2.7662,3.071805,5.3031,5.40231
