location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Corum","ÇOrum",8,35.3,39.5,12.027,13.35572,6.8006,6.916077
"Corum","ÇOrum",8,35.95,39.15,8.2004,9.106364,6.3884,6.499639
"Corum","ÇOrum",6.5,33.35,40.55,1.5148,1.682152,4.7554,4.847946
"Corum","ÇOrum",7.5,35.6,40.5,8.5444,9.488369,6.4319,6.543581
"Corum","ÇOrum",7,34.3,39.55,4.5863,5.092986,5.7925,5.897334
"Corum","ÇOrum",6,33.3,40,.70325,.7809438,4.113,4.197059
"Corum","ÇOrum",6,35.4,41.3,.69245,.7689506,4.1007,4.18457
"Corum","ÇOrum",7,35.2,38.9,2.7796,3.086685,5.3076,5.406914
"Corum","ÇOrum",7,34.3,39.1,3.1092,3.452698,5.4138,5.514357
"Corum","ÇOrum",8,35.55,40.7,12.024,13.35239,6.8003,6.915801
"Corum","ÇOrum",8,35.2,39.3,10.594,11.76441,6.6623,6.776408
"Corum","ÇOrum",7,33.75,40.9,3.2173,3.572741,5.4465,5.54739
"Corum","ÇOrum",7.5,33.8,40.5,6.9922,7.764685,6.2214,6.330887
"Corum","ÇOrum",6,35.1,39.85,2.5521,2.834051,5.2276,5.325931
"Corum","ÇOrum",8,34.3,39.35,10.543,11.70777,6.6571,6.771129
"Corum","ÇOrum",6,35.8,40.75,.92591,1.028203,4.3361,4.423232
"Corum","ÇOrum",6,33.6,39.5,.72131,.800999,4.1332,4.217574
"Corum","ÇOrum",8,34.7,40.7,15.082,16.74823,7.0515,7.169488
"Corum","ÇOrum",8,33.75,40.85,9.4895,10.53788,6.5437,6.656573
"Corum","ÇOrum",6.5,35.35,39.4,2.1116,2.344886,5.0527,5.148991
"Corum","ÇOrum",8,34.55,39.7,15.503,17.21574,7.0824,7.200681
"Corum","ÇOrum",6.5,34.1,40.35,3.083,3.423604,5.4058,5.506196
"Corum","ÇOrum",7,35.9,40.35,4.1723,4.633248,5.6989,5.802653
"Corum","ÇOrum",6,33.2,39.85,.63902,.7096177,4.0372,4.120181
"Corum","ÇOrum",8,35.75,40.05,12.61,14.00313,6.8526,6.968625
"Corum","ÇOrum",6.5,35.15,40.85,2.5365,2.816728,5.2219,5.320146
"Corum","ÇOrum",8,35.8,39.1,8.329,9.249172,6.4048,6.516257
"Corum","ÇOrum",6.5,34.95,39.15,1.7781,1.974541,4.8974,4.991739
"Corum","ÇOrum",6.5,36.1,40.65,1.6947,1.881927,4.8545,4.948351
"Corum","ÇOrum",8,36.5,40.3,8.4458,9.378876,6.4196,6.531151
"Corum","ÇOrum",6,34.25,40.8,1.1411,1.267167,4.511,4.600402
"Corum","ÇOrum",6.5,33.95,40.25,2.6676,2.962312,5.269,5.367813
"Corum","ÇOrum",8,33.45,39.65,8.8616,9.840612,6.4706,6.582708
"Corum","ÇOrum",6.5,36,40.35,2.0176,2.240501,5.0113,5.10703
"Corum","ÇOrum",6,34,40.7,1.0536,1.17,4.4437,4.532218
