location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Denizli","DenİZlİ",7,29.1,38.35,3.7104,4.120318,5.5841,5.686546
"Denizli","DenİZlİ",7.5,29.4,37.4,48.506,53.86485,8.4325,8.563384
"Denizli","DenİZlİ",7.5,27.75,37.6,5.0986,5.661884,5.8984,6.004431
"Denizli","DenİZlİ",6.5,30.05,38.25,1.8367,2.039615,4.9265,5.021162
"Denizli","DenİZlİ",6,30.5,36.8,.76066,.8446963,4.1758,4.260769
"Denizli","DenİZlİ",6.5,28.5,37,2.2771,2.52867,5.1219,5.219003
"Denizli","DenİZlİ",7.5,28.45,36.75,6.265,6.957145,6.1079,6.216181
"Denizli","DenİZlİ",7.5,29.15,37.5,23.759,26.38385,7.5716,7.694626
"Denizli","DenİZlİ",7,29.55,37.7,9.8839,10.97585,6.5874,6.700745
"Denizli","DenİZlİ",8,27.95,36.7,8.1842,9.088375,6.3863,6.497529
"Denizli","DenİZlİ",7.5,28.3,37,6.5161,7.235986,6.1484,6.257082
"Denizli","DenİZlİ",7.5,28.25,38,6.0046,6.667977,6.0644,6.172179
"Denizli","DenİZlİ",7.5,27.8,37.3,5.2357,5.81413,5.9252,6.031453
"Denizli","DenİZlİ",7,28.6,37.1,4.9731,5.522519,5.8734,5.979118
"Denizli","DenİZlİ",7,29.95,36.2,2.7439,3.047041,5.2955,5.394605
"Denizli","DenİZlİ",6.5,29.95,38.65,1.3831,1.535902,4.676,4.767543
"Denizli","DenİZlİ",7,30.8,37.65,3.0544,3.391844,5.3969,5.497218
"Denizli","DenİZlİ",7.5,29.55,36.95,10.654,11.83103,6.6685,6.782589
"Denizli","DenİZlİ",7,30.45,36.6,2.9723,3.300674,5.371,5.471023
"Denizli","DenİZlİ",6.5,28.75,36.25,1.4255,1.582987,4.7022,4.794138
"Denizli","DenİZlİ",7,30.15,36.35,2.8723,3.189626,5.3386,5.438231
"Denizli","DenİZlİ",6.5,30.3,37.7,2.2798,2.531668,5.123,5.220107
