location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Diyarbakir","DİYarbakir",6.5,38.85,38.45,1.5212,1.689259,4.7591,4.851694
"Diyarbakir","DİYarbakir",8,39.5,38.8,9.6611,10.72844,6.5629,6.675992
"Diyarbakir","DİYarbakir",7,40.85,38.95,3.0972,3.439373,5.4101,5.510627
"Diyarbakir","DİYarbakir",8,40.15,38.35,17.376,19.29567,7.2112,7.330757
"Diyarbakir","DİYarbakir",8,39.15,37.1,8.958,9.947663,6.4821,6.59435
"Diyarbakir","DİYarbakir",6,39.25,37,.7054,.7833313,4.1154,4.199524
"Diyarbakir","DİYarbakir",8,39.1,37.75,10.785,11.97651,6.6816,6.795977
"Diyarbakir","DİYarbakir",7.5,40.9,38,9.8801,10.97163,6.587,6.700327
"Diyarbakir","DİYarbakir",7,40.6,37.8,9.4523,10.49657,6.5395,6.652322
"Diyarbakir","DİYarbakir",7,40.75,37.8,7.2896,8.094941,6.2648,6.374729
"Diyarbakir","DİYarbakir",8,39.4,38.2,12.726,14.13194,6.8627,6.978818
"Diyarbakir","DİYarbakir",7,39.05,37.9,3.8252,4.247801,5.6138,5.71656
"Diyarbakir","DİYarbakir",6,41.1,37,.72648,.8067401,4.1389,4.223364
"Diyarbakir","DİYarbakir",7,41.25,38.75,3.0542,3.391622,5.3968,5.497155
"Diyarbakir","DİYarbakir",6.5,40.35,38.15,6.9408,7.707606,6.2137,6.323141
"Diyarbakir","DİYarbakir",7,41.4,37.25,3.0891,3.430378,5.4077,5.508102
"Diyarbakir","DİYarbakir",6,39.75,37.25,1.1727,1.302258,4.5342,4.623901
"Diyarbakir","DİYarbakir",8,40.15,38.65,12.237,13.58892,6.8196,6.935266
"Diyarbakir","DİYarbakir",7.5,39.2,39,4.9161,5.459221,5.8618,5.967432
"Diyarbakir","DİYarbakir",7.5,39.3,36.95,5.3613,5.953606,5.9491,6.055657
