location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Duzce","DÜZce",6,30.5,41.15,1.9678,2.185199,4.9886,5.084094
"Duzce","DÜZce",7,30.25,42,3.1708,3.521104,5.4326,5.533304
"Duzce","DÜZce",7,31.65,41.3,7.2442,8.044525,6.2583,6.368142
"Duzce","DÜZce",8,30.3,40.8,12.836,14.2541,6.8722,6.988406
"Duzce","DÜZce",7,31.1,40.4,4.9267,5.470993,5.864,5.969615
"Duzce","DÜZce",6,31.9,40.1,.7316,.8124258,4.1446,4.229064
"Duzce","DÜZce",6,32.65,40.6,.66472,.738157,4.0683,4.151713
"Duzce","DÜZce",7.5,30.15,42,5.4856,6.091639,5.9723,6.079116
"Duzce","DÜZce",6.5,32,40.15,1.5802,1.754778,4.7926,4.885607
"Duzce","DÜZce",7,29.7,41.15,3.2954,3.65947,5.4695,5.570646
"Duzce","DÜZce",6.5,31.35,39.9,1.5117,1.67871,4.7536,4.846125
"Duzce","DÜZce",7,31.55,41.8,4.4066,4.893433,5.7529,5.857217
"Duzce","DÜZce",7,31.05,40.7,8.1402,9.039514,6.3806,6.491778
"Duzce","DÜZce",6,31.65,41.1,2.4168,2.683804,5.177,5.274673
"Duzce","DÜZce",7,31.75,41.6,4.8932,5.433792,5.8572,5.962703
"Duzce","DÜZce",6,29.9,41.05,.93442,1.037653,4.3437,4.430892
"Duzce","DÜZce",7,31.2,41.6,6.3948,7.101285,6.129,6.237504
"Duzce","DÜZce",7,31.9,41.55,4.6043,5.112974,5.7964,5.901274
"Duzce","DÜZce",6,32.05,40.65,1.0629,1.180327,4.4511,4.539696
"Duzce","DÜZce",8,31.55,40.5,13.057,14.49951,6.891,7.007446
"Duzce","DÜZce",8,29.9,42,8.3563,9.279489,6.4083,6.519755
"Duzce","DÜZce",8,29.85,41.45,9.7882,10.86958,6.577,6.690175
"Duzce","DÜZce",7,31.95,40.05,2.9589,3.285794,5.3667,5.466686
"Duzce","DÜZce",7,32.65,41.05,3.1043,3.447257,5.4123,5.512836
"Duzce","DÜZce",6,29.75,40.95,.81268,.9024633,4.2293,4.314981
"Duzce","DÜZce",6,32.4,41.75,.72287,.8027313,4.135,4.219325
