location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Edirne","EdİRne",7.5,26.25,41.55,17.792,19.75763,7.2381,7.357911
"Edirne","EdİRne",6.5,26.05,41.4,3.9243,4.357849,5.6387,5.74183
"Edirne","EdİRne",8,28.3,41.9,8.2331,9.142677,6.3926,6.503886
"Edirne","EdİRne",6,28.25,41.55,.65099,.7229102,4.0518,4.135002
"Edirne","EdİRne",7.5,26.3,40.85,7.0672,7.847971,6.2325,6.3421
"Edirne","EdİRne",7.5,27.25,41.8,10.155,11.27691,6.6166,6.730194
"Edirne","EdİRne",6.5,28.2,42,1.4284,1.586207,4.704,4.795931
"Edirne","EdİRne",6,27.05,40.45,.64695,.7184238,4.0469,4.130026
"Edirne","EdİRne",8,27.4,41.95,12.822,14.23855,6.871,6.98719
"Edirne","EdİRne",8,27.05,41.9,17.518,19.45336,7.2205,7.340091
"Edirne","EdİRne",8,27.55,40.8,9.0325,10.03039,6.491,6.603269
"Edirne","EdİRne",8,27.95,41.3,9.258,10.28081,6.5173,6.629868
"Edirne","EdİRne",8,26.85,41.6,26.196,29.09008,7.6862,7.810304
"Edirne","EdİRne",8,27.25,41,11.066,12.28855,6.7097,6.824204
"Edirne","EdİRne",7,26.35,40.6,3.2649,3.6256,5.4606,5.561623
"Edirne","EdİRne",6.5,27.7,41.35,1.9813,2.20019,4.9948,5.090362
"Edirne","EdİRne",8,26.9,41.55,22.914,25.4455,7.5293,7.651981
"Edirne","EdİRne",6,26.65,41.25,2.1858,2.427283,5.0843,5.18096
"Edirne","EdİRne",7.5,26.5,41.15,10.263,11.39684,6.628,6.741728
"Edirne","EdİRne",8,26.1,41.35,16.575,18.40617,7.1577,7.276767
"Edirne","EdİRne",7.5,27.95,41.25,5.6288,6.250659,5.9985,6.105557
"Edirne","EdİRne",7.5,26.4,41.2,10.88,12.082,6.6912,6.805593
"Edirne","EdİRne",8,28.1,41.95,8.867,9.846609,6.4712,6.583364
"Edirne","EdİRne",7.5,26.25,41,8.098,8.992652,6.3751,6.486237
"Edirne","EdİRne",6.5,27.15,40.9,2.0312,2.255603,5.0174,5.113207
"Edirne","EdİRne",6.5,27.5,41.85,2.5092,2.786412,5.2118,5.309945
"Edirne","EdİRne",6.5,26.65,40.55,1.609,1.786759,4.8085,4.901757
"Edirne","EdİRne",6,26.35,40.85,1.0409,1.155897,4.4335,4.521913
"Edirne","EdİRne",7.5,26.25,40.5,5.3764,5.970375,5.952,6.058533
"Edirne","EdİRne",6.5,28.15,41.55,1.5108,1.67771,4.7531,4.845596
"Edirne","EdİRne",7.5,27.6,41.3,6.923,7.68784,6.2111,6.320446
"Edirne","EdİRne",7,26.35,41.45,11.214,12.4529,6.7241,6.838812
"Edirne","EdİRne",7,28,41.8,3.2647,3.625378,5.4605,5.561563
"Edirne","EdİRne",7.5,26.05,41.75,13.203,14.66164,6.9034,7.019866
"Edirne","EdİRne",7,26.65,41.9,12.728,14.13417,6.8629,6.978993
"Edirne","EdİRne",7.5,27.55,41.2,6.8219,7.575571,6.1958,6.305021
"Edirne","EdİRne",6.5,26.95,41.5,5.2906,5.875095,5.9357,6.042096
"Edirne","EdİRne",7,27.75,41.25,3.541,3.932203,5.5388,5.640707
"Edirne","EdİRne",6.5,26.1,40.5,1.4811,1.644729,4.7357,4.827976
"Edirne","EdİRne",8,28.1,41.4,8.8393,9.815849,6.4679,6.579999
"Edirne","EdİRne",7.5,28,41.8,5.8066,6.448102,6.0301,6.137559
"Edirne","EdİRne",8,27.55,41,9.8917,10.98452,6.5883,6.701602
"Edirne","EdİRne",6,27.2,41.8,1.8662,2.072374,4.9408,5.035662
"Edirne","EdİRne",7.5,26.55,40.8,6.885,7.645642,6.2054,6.314672
"Edirne","EdİRne",7,27.6,41.4,4.158,4.617368,5.6955,5.799235
"Edirne","EdİRne",7.5,26.1,41.45,12.568,13.95649,6.8489,6.964914
"Edirne","EdİRne",7.5,27.15,40.55,5.3245,5.912741,5.9422,6.048619
"Edirne","EdİRne",7,26.1,41.2,5.7044,6.334611,6.012,6.119274
"Edirne","EdİRne",7,27.55,40.7,2.917,3.239265,5.3532,5.453013
"Edirne","EdİRne",6.5,26.85,40.45,1.4547,1.615412,4.7199,4.812051
"Edirne","EdİRne",7.5,27.8,41.7,6.5589,7.283515,6.1551,6.263912
"Edirne","EdİRne",8,27.65,40.7,8.421,9.351336,6.4165,6.528004
"Edirne","EdİRne",6.5,28.15,41.85,1.5069,1.673379,4.7508,4.8433
"Edirne","EdİRne",7,27,41.9,7.9748,8.855841,6.359,6.46991
"Edirne","EdİRne",7.5,26.4,41.9,18.231,20.24513,7.2659,7.385948
"Edirne","EdİRne",6,26.05,41.6,2.5,2.776195,5.2084,5.306486
"Edirne","EdİRne",7,27.9,41.45,3.4178,3.795392,5.5045,5.606123
"Edirne","EdİRne",6.5,28.15,41.2,1.4064,1.561776,4.6905,4.782245
"Edirne","EdİRne",8,26.75,41.65,34.644,38.47141,8.0198,8.147011
"Edirne","EdİRne",7.5,27.55,41.75,7.7997,8.661396,6.3356,6.446309
"Edirne","EdİRne",7,28.1,41.15,2.8285,3.140987,5.3241,5.423548
"Edirne","EdİRne",7.5,27.75,41.15,6.0094,6.673307,6.0652,6.173006
"Edirne","EdİRne",6.5,28,41.95,1.6321,1.812411,4.8211,4.914528
"Edirne","EdİRne",6,28.15,41.15,.63242,.7022886,4.029,4.111906
"Edirne","EdİRne",7.5,26.15,41.95,12.599,13.99091,6.8517,6.967654
"Edirne","EdİRne",7,26.6,41.4,10.994,12.2086,6.7025,6.817034
"Edirne","EdİRne",6,27.05,40.5,.6752,.7497948,4.0807,4.164268
"Edirne","EdİRne",6.5,27.75,40.7,1.3637,1.514359,4.6637,4.755135
"Edirne","EdİRne",8,26.9,41.05,12.947,14.37736,6.8817,6.998006
"Edirne","EdİRne",7,27,40.9,4.0928,4.544965,5.68,5.783515
"Edirne","EdİRne",7.5,26.25,40.45,5.2081,5.783481,5.9198,6.026064
"Edirne","EdİRne",7.5,28.2,41.95,5.1732,5.744725,5.9131,6.019214
"Edirne","EdİRne",8,26.65,40.95,12.321,13.6822,6.8271,6.942858
"Edirne","EdİRne",7,26.85,41.15,5.8208,6.463871,6.0326,6.140078
"Edirne","EdİRne",7,26.65,41.05,5.3308,5.919737,5.9433,6.049827
"Edirne","EdİRne",6.5,26.85,41.55,7.1043,7.88917,6.238,6.347606
"Edirne","EdİRne",6,27.1,40.7,.8019,.8904924,4.2185,4.304
"Edirne","EdİRne",7,27.1,41.55,7.5307,8.362678,6.2988,6.409105
"Edirne","EdİRne",8,26.8,40.85,11.14,12.37073,6.7169,6.831531
"Edirne","EdİRne",6,26.2,40.45,.66302,.7362692,4.0663,4.149661
"Edirne","EdİRne",6,26.4,41.55,5.95,6.607345,6.055,6.162736
"Edirne","EdİRne",6.5,26.6,40.9,2.348,2.607403,5.1502,5.247624
"Edirne","EdİRne",7.5,26.45,41.35,14.609,16.22297,7.0159,7.133487
"Edirne","EdİRne",8,26.75,41,12.77,14.18081,6.8665,6.982662
"Edirne","EdİRne",7,26.9,41.1,5.3158,5.90308,5.9405,6.046948
"Edirne","EdİRne",6.5,27.15,40.95,2.1348,2.370649,5.0628,5.159092
"Edirne","EdİRne",7,27.85,41.8,3.5982,3.995722,5.5543,5.6564
"Edirne","EdİRne",7,26.65,41.2,6.7811,7.530263,6.1896,6.298738
"Edirne","EdİRne",6,27.5,41.35,1.1301,1.254951,4.5027,4.592087
"Edirne","EdİRne",6.5,27.5,40.65,1.4509,1.611193,4.7177,4.809738
"Edirne","EdİRne",6.5,26.7,40.4,1.415,1.571326,4.6958,4.787617
"Edirne","EdİRne",6.5,26.35,42,5.1259,5.6922,5.9038,6.009863
"Edirne","EdİRne",6.5,27.45,41.35,2.4435,2.713453,5.1871,5.284986
"Edirne","EdİRne",6,27.65,41.3,.95861,1.064515,4.3648,4.452338
"Edirne","EdİRne",6,26.15,41.5,2.772,3.078245,5.3051,5.404305
"Edirne","EdİRne",6,27.8,41.35,.8662,.9618961,4.2813,4.367686
"Edirne","EdİRne",8,27.75,41.25,9.9972,11.10167,6.5997,6.71314
"Edirne","EdİRne",6.5,26.55,40.8,2.0793,2.309017,5.0387,5.134762
"Edirne","EdİRne",7,27.05,40.6,3.1285,3.474131,5.4197,5.520329
"Edirne","EdİRne",7.5,26.05,41.05,7.9436,8.821194,6.3548,6.465739
