location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Elazig","ElaziĞ",6,37.95,38.15,.86058,.9556553,4.276,4.362287
"Elazig","ElaziĞ",8,38.5,38.8,27.211,30.21722,7.7311,7.855612
"Elazig","ElaziĞ",6.5,37.6,39.05,2.0892,2.320011,5.043,5.139144
"Elazig","ElaziĞ",6.5,38.95,39.4,3.7409,4.154188,5.592,5.694601
"Elazig","ElaziĞ",7,39.2,38.45,5.3816,5.976149,5.9529,6.059522
"Elazig","ElaziĞ",6,37.75,39.4,.99497,1.104892,4.3958,4.4837
"Elazig","ElaziĞ",7.5,37.8,38.3,6.3912,7.097288,6.1284,6.236918
"Elazig","ElaziĞ",8,39.4,39.7,10.518,11.68001,6.6545,6.768533
"Elazig","ElaziĞ",7.5,37.55,38.65,6.4363,7.14737,6.1357,6.244239
"Elazig","ElaziĞ",6.5,39.95,38.7,1.8313,2.033618,4.9238,5.018486
"Elazig","ElaziĞ",6.5,38.45,38.2,2.3582,2.618729,5.1542,5.251678
"Elazig","ElaziĞ",6.5,38.75,40.15,1.5065,1.672935,4.7505,4.843064
"Elazig","ElaziĞ",6,38.65,39.3,2.6968,2.994737,5.2792,5.378146
"Elazig","ElaziĞ",6.5,38.95,38.95,9.7496,10.82672,6.5727,6.685885
"Elazig","ElaziĞ",7,38.8,37.65,2.7829,3.090349,5.3088,5.408045
"Elazig","ElaziĞ",8,38.7,38.05,10.725,11.90988,6.6757,6.789864
"Elazig","ElaziĞ",7.5,38.85,38.4,9.8538,10.94243,6.5842,6.697431
"Elazig","ElaziĞ",6.5,38.15,38.5,2.9186,3.241041,5.3537,5.453538
"Elazig","ElaziĞ",6,40.2,39.5,.6499,.7216997,4.0505,4.133662
"Elazig","ElaziĞ",6,38.65,40,.80569,.8947011,4.2223,4.307876
"Elazig","ElaziĞ",7,37.85,39.1,4.9237,5.467661,5.8634,5.968997
"Elazig","ElaziĞ",7.5,38.6,37.7,5.2028,5.777596,5.9188,6.025027
"Elazig","ElaziĞ",8,37.55,38.9,10.635,11.80993,6.6665,6.780635
"Elazig","ElaziĞ",8,39.9,39.2,10.271,11.40572,6.6288,6.742578
"Elazig","ElaziĞ",6,39.45,37.85,.6731,.7474628,4.0782,4.161767
"Elazig","ElaziĞ",8,37.5,38.65,10.011,11.117,6.6012,6.714641
"Elazig","ElaziĞ",7.5,40.2,38.55,5.2856,5.869543,5.9347,6.041131
"Elazig","ElaziĞ",8,39.1,40.05,9.0863,10.09014,6.4973,6.609669
"Elazig","ElaziĞ",7.5,39.05,38.85,16.855,18.71711,7.1767,7.295904
"Elazig","ElaziĞ",7.5,37.8,39.05,8.056,8.946012,6.3696,6.480696
"Elazig","ElaziĞ",8,38.05,38.5,12.882,14.30518,6.8761,6.992393
"Elazig","ElaziĞ",6.5,38.25,40,1.6315,1.811745,4.8208,4.914198
"Elazig","ElaziĞ",8,38.75,37.85,9.3517,10.38486,6.5281,6.640749
