location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Erzincan","ErzİNcan",7,38.4,39.85,2.8631,3.17941,5.3356,5.435164
"Erzincan","ErzİNcan",7,38.85,39.85,3.825,4.247579,5.6137,5.716509
"Erzincan","ErzİNcan",6,41.45,39.65,.77043,.8555456,4.1861,4.271193
"Erzincan","ErzİNcan",7.5,40.4,39.85,16.627,18.46392,7.1613,7.280343
"Erzincan","ErzİNcan",6.5,40.6,38.65,1.4703,1.632736,4.7293,4.821492
"Erzincan","ErzİNcan",8,40.85,40.25,11.923,13.24023,6.791,6.906461
"Erzincan","ErzİNcan",7,38.8,40.6,2.9099,3.23138,5.3509,5.450678
"Erzincan","ErzİNcan",8,41.3,39.55,9.918,11.01372,6.5911,6.704489
"Erzincan","ErzİNcan",6,41.55,39.35,.66476,.7382014,4.0683,4.151762
"Erzincan","ErzİNcan",6,39.9,40.6,1.0955,1.216529,4.4765,4.565464
"Erzincan","ErzİNcan",7.5,40.5,38.7,5.5133,6.122399,5.9774,6.084278
"Erzincan","ErzİNcan",8,41.5,39.45,8.8862,9.86793,6.4735,6.58569
"Erzincan","ErzİNcan",8,40.95,40.75,8.9191,9.904466,6.4775,6.589666
"Erzincan","ErzİNcan",8,40.85,39.45,12.44,13.81435,6.8377,6.953533
"Erzincan","ErzİNcan",7.5,40.35,38.55,5.1117,5.676431,5.901,6.007041
"Erzincan","ErzİNcan",7,41.45,40.5,2.8066,3.116668,5.3167,5.41613
"Erzincan","ErzİNcan",6,41.55,40,.7121,.7907715,4.123,4.207168
"Erzincan","ErzİNcan",6.5,40.25,41.1,1.3874,1.540677,4.6787,4.770272
"Erzincan","ErzİNcan",8,40,40.75,10.332,11.47346,6.6352,6.74904
"Erzincan","ErzİNcan",6.5,41.1,40.6,1.5965,1.772878,4.8016,4.894779
"Erzincan","ErzİNcan",6.5,40,38.9,2.0145,2.237058,5.0099,5.105617
"Erzincan","ErzİNcan",7.5,41.5,40.1,5.5143,6.123509,5.9776,6.084464
"Erzincan","ErzİNcan",7,40.55,40.7,3.5912,3.987949,5.5524,5.654491
"Erzincan","ErzİNcan",7.5,40.25,38.8,6.1195,6.795571,6.0838,6.191802
"Erzincan","ErzİNcan",6.5,40.4,39.1,2.4088,2.67492,5.1739,5.271563
"Erzincan","ErzİNcan",6,40.8,38.65,.63899,.7095844,4.0371,4.120144
"Erzincan","ErzİNcan",6.5,41.45,40.3,1.5244,1.692813,4.761,4.853562
"Erzincan","ErzİNcan",6.5,40.25,40.65,2.1151,2.348772,5.0543,5.150521
"Erzincan","ErzİNcan",6.5,39.95,39.75,18.376,20.40615,7.2749,7.395074
"Erzincan","ErzİNcan",6.5,39.7,38.75,1.6741,1.859051,4.8437,4.937345
"Erzincan","ErzİNcan",6,40.7,40.55,.96105,1.067225,4.367,4.454475
"Erzincan","ErzİNcan",8,39.4,39.3,12.639,14.03533,6.8551,6.971181
"Erzincan","ErzİNcan",6,40.75,40.75,.7756,.8612868,4.1915,4.276661
"Erzincan","ErzİNcan",7.5,40.7,40.4,7.5251,8.356459,6.298,6.408318
"Erzincan","ErzİNcan",7,39.9,39.15,5.1022,5.665881,5.8992,6.005149
"Erzincan","ErzİNcan",6.5,38.85,39.65,1.9685,2.185976,4.9889,5.08442
"Erzincan","ErzİNcan",7,40.7,40.1,5.6699,6.2963,6.0059,6.113034
"Erzincan","ErzİNcan",6,40.5,38.85,.83803,.930614,4.2543,4.340311
"Erzincan","ErzİNcan",7.5,39.1,39,5.8313,6.475531,6.0345,6.141936
"Erzincan","ErzİNcan",7,39,39,3.1416,3.488678,5.4237,5.524364
"Erzincan","ErzİNcan",7,38.7,40.25,3.1882,3.540426,5.4378,5.538596
"Erzincan","ErzİNcan",8,39.3,38.8,9.0294,10.02695,6.4906,6.602899
"Erzincan","ErzİNcan",7,39.05,40.6,3.2412,3.599282,5.4536,5.55456
"Erzincan","ErzİNcan",6,40.45,39.8,3.0686,3.407613,5.4013,5.501686
"Erzincan","ErzİNcan",6,40.65,38.85,.79709,.885151,4.2136,4.299059
"Erzincan","ErzİNcan",6.5,40.1,38.55,1.4452,1.604863,4.7142,4.806258
"Erzincan","ErzİNcan",6.5,39.45,40.85,1.5964,1.772767,4.8016,4.894723
"Erzincan","ErzİNcan",7,39.3,39.45,5.0603,5.619352,5.8909,5.996766
"Erzincan","ErzİNcan",8,39.3,40.2,12.812,14.22745,6.8702,6.98632
"Erzincan","ErzİNcan",6.5,40.3,41.05,1.4366,1.595313,4.709,4.800985
"Erzincan","ErzİNcan",6,39.55,39.65,2.356,2.616287,5.1534,5.250805
"Erzincan","ErzİNcan",7,39.4,39.35,5.0618,5.621018,5.8912,5.997067
"Erzincan","ErzİNcan",6,41.75,39.7,.62539,.6944819,4.0202,4.103009
"Erzincan","ErzİNcan",7,40.95,40.9,2.7808,3.088017,5.308,5.407325
"Erzincan","ErzİNcan",6,39.1,39.35,1.0244,1.137574,4.4201,4.508358
"Erzincan","ErzİNcan",6,40.65,40.2,1.4775,1.640731,4.7336,4.825819
"Erzincan","ErzİNcan",7,38.5,39.35,2.8414,3.155313,5.3284,5.427894
"Erzincan","ErzİNcan",8,39.75,39.5,19.278,21.4078,7.3297,7.450416
"Erzincan","ErzİNcan",7,39.85,39.8,19.137,21.25122,7.3213,7.441922
"Erzincan","ErzİNcan",6.5,40.7,39.95,3.4544,3.836035,5.5148,5.616512
"Erzincan","ErzİNcan",7,41.25,40.15,3.5446,3.936201,5.5397,5.641701
"Erzincan","ErzİNcan",6.5,38.85,39.95,1.9754,2.193639,4.9921,5.087627
"Erzincan","ErzİNcan",6.5,39.7,40.05,5.1338,5.700973,5.9054,6.01143
"Erzincan","ErzİNcan",8,40.85,39.2,10.931,12.13864,6.6963,6.810725
"Erzincan","ErzİNcan",8,40.1,39.5,21.984,24.41275,7.4812,7.603359
"Erzincan","ErzİNcan",7.5,40.5,39.3,9.0695,10.07148,6.4953,6.607674
"Erzincan","ErzİNcan",7.5,40.45,39.55,12.567,13.95538,6.8488,6.964825
"Erzincan","ErzİNcan",6,38.45,39.3,.62486,.6938934,4.0196,4.102334
"Erzincan","ErzİNcan",6.5,39.25,38.95,1.7348,1.926457,4.8754,4.969443
"Erzincan","ErzİNcan",7.5,40.05,39.7,33.554,37.26098,7.9813,8.108084
"Erzincan","ErzİNcan",7.5,39.75,40.75,6.3495,7.050981,6.1217,6.230107
"Erzincan","ErzİNcan",7,39.7,40,9.6399,10.7049,6.5606,6.67361
"Erzincan","ErzİNcan",8,39.3,38.7,8.5887,9.537563,6.4374,6.549123
"Erzincan","ErzİNcan",7,39.5,38.6,2.8303,3.142986,5.3247,5.424155
"Erzincan","ErzİNcan",6.5,40.65,39.2,2.3783,2.64105,5.1621,5.259622
"Erzincan","ErzİNcan",7.5,40.45,40.25,9.9769,11.07913,6.5975,6.710928
"Erzincan","ErzİNcan",6,38.3,39.8,.619,.687386,4.0122,4.094846
"Erzincan","ErzİNcan",6.5,41.05,39.9,2.3268,2.58386,5.1418,5.239147
"Erzincan","ErzİNcan",6,39.45,38.75,.73337,.8143913,4.1465,4.231026
"Erzincan","ErzİNcan",7.5,39.5,39.5,10.502,11.66224,6.6529,6.766868
"Erzincan","ErzİNcan",7,38.6,39.2,2.8537,3.168971,5.3324,5.432021
"Erzincan","ErzİNcan",8,38.9,39.35,10.047,11.15697,6.6051,6.718548
"Erzincan","ErzİNcan",6.5,39.5,38.95,1.9181,2.130008,4.9655,5.060686
"Erzincan","ErzİNcan",8,39.5,40.5,11.505,12.77605,6.752,6.867033
"Erzincan","ErzİNcan",7,39,40.25,3.832,4.255352,5.6155,5.718313
"Erzincan","ErzİNcan",7,39.55,38.6,2.8548,3.170193,5.3328,5.432389
"Erzincan","ErzİNcan",7.5,41.15,40.3,6.2708,6.963586,6.1089,6.217142
"Erzincan","ErzİNcan",7,40.8,38.95,3.4038,3.779845,5.5006,5.602124
"Erzincan","ErzİNcan",6.5,40.95,39.2,1.9616,2.178314,4.9858,5.081203
"Erzincan","ErzİNcan",7.5,40.7,39.15,7.1826,7.97612,6.2494,6.359144
"Erzincan","ErzİNcan",6.5,41.35,40.7,1.3471,1.495925,4.6532,4.744393
"Erzincan","ErzİNcan",8,40.05,40.9,9.3514,10.38453,6.528,6.640714
"Erzincan","ErzİNcan",7.5,40.85,39.9,8.9081,9.89225,6.4762,6.588338
"Erzincan","ErzİNcan",7,40.05,39.9,25.439,28.24945,7.6517,7.77546
"Erzincan","ErzİNcan",7,41.05,40.2,3.984,4.424145,5.6535,5.756779
"Erzincan","ErzİNcan",8,40.15,40.9,9.3319,10.36287,6.5258,6.638458
"Erzincan","ErzİNcan",6,38.75,39.95,.85819,.9530012,4.2737,4.359982
"Erzincan","ErzİNcan",7.5,39.35,39.8,10.274,11.40905,6.6291,6.742897
"Erzincan","ErzİNcan",6,40.45,40.85,.7748,.8603984,4.1907,4.275817
"Erzincan","ErzİNcan",6,40.65,39.9,1.9434,2.158103,4.9773,5.072668
"Erzincan","ErzİNcan",6.5,39.95,39.35,3.9932,4.434361,5.6558,5.759065
"Erzincan","ErzİNcan",8,41.15,39.05,9.0847,10.08836,6.4971,6.609479
"Erzincan","ErzİNcan",6,38.55,40.35,.6591,.7319161,4.0616,4.144909
"Erzincan","ErzİNcan",7,39.4,40.05,6.062,6.731718,6.0741,6.182024
"Erzincan","ErzİNcan",6.5,41.35,39.55,1.744,1.936674,4.8801,4.974221
"Erzincan","ErzİNcan",6,38.5,39.45,.67509,.7496727,4.0805,4.164137
"Erzincan","ErzİNcan",7.5,41.35,40.05,6.0271,6.692963,6.0682,6.176048
"Erzincan","ErzİNcan",6.5,41.75,39.9,1.3737,1.525464,4.6701,4.76155
"Erzincan","ErzİNcan",6.5,40.2,40.4,3.0027,3.334433,5.3807,5.480797
"Erzincan","ErzİNcan",6.5,40.3,39.15,2.6683,2.963089,5.2693,5.368062
"Erzincan","ErzİNcan",7,40,39.35,7.143,7.932145,6.2436,6.353323
"Erzincan","ErzİNcan",7.5,40.2,39.3,10.393,11.5412,6.6416,6.755467
"Erzincan","ErzİNcan",6.5,40.9,40.7,1.6329,1.8133,4.8216,4.914968
"Erzincan","ErzİNcan",7,38.5,39.2,2.7211,3.021722,5.2876,5.386669
"Erzincan","ErzİNcan",7.5,40.95,40.5,6.2723,6.965252,6.1091,6.217391
"Erzincan","ErzİNcan",7.5,41.4,39.85,5.9759,6.636106,6.0595,6.167225
"Erzincan","ErzİNcan",8,39.55,38.65,8.7258,9.68981,6.4542,6.566114
"Erzincan","ErzİNcan",8,39.85,39.8,35.618,39.55301,8.0534,8.18086
"Erzincan","ErzİNcan",6,40.2,38.6,.69044,.7667185,4.0984,4.182228
"Erzincan","ErzİNcan",7,40.7,40.25,5.0065,5.559608,5.8801,5.98591
"Erzincan","ErzİNcan",8,41.6,39.25,8.211,9.118135,6.3898,6.501017
"Erzincan","ErzİNcan",6.5,38.6,40.05,1.6094,1.787203,4.8088,4.90198
"Erzincan","ErzİNcan",6,40.2,39.45,2.5552,2.837494,5.2287,5.327077
"Erzincan","ErzİNcan",6.5,39.7,39.7,6.543,7.265858,6.1526,6.261379
"Erzincan","ErzİNcan",6.5,40.1,40.95,1.5829,1.757776,4.7941,4.887132
"Erzincan","ErzİNcan",8,41.2,39.7,10.685,11.86546,6.6716,6.785771
"Erzincan","ErzİNcan",8,39.95,41.1,8.3373,9.258389,6.4059,6.517322
"Erzincan","ErzİNcan",8,40.5,40.35,13.311,14.78157,6.9123,7.028973
"Erzincan","ErzİNcan",7.5,41.4,39.8,5.9787,6.639215,6.06,6.167709
"Erzincan","ErzİNcan",6,38.95,39.4,.92972,1.032434,4.3395,4.426669
"Erzincan","ErzİNcan",6.5,38.95,39,1.5622,1.734789,4.7825,4.875381
"Erzincan","ErzİNcan",7,39.55,39.75,8.4259,9.356777,6.4171,6.528626
"Erzincan","ErzİNcan",6.5,38.7,40.55,1.434,1.592426,4.7074,4.799386
"Erzincan","ErzİNcan",6.5,39.1,39.25,2.0016,2.222733,5.0041,5.099716
"Erzincan","ErzİNcan",7,41.35,40.2,3.2801,3.642479,5.465,5.566129
"Erzincan","ErzİNcan",7.5,39.2,38.7,5.1038,5.667658,5.8995,6.005468
"Erzincan","ErzİNcan",8,39.9,39.35,16.685,18.52833,7.1652,7.28432
"Erzincan","ErzİNcan",6,40.65,40.4,1.1672,1.29615,4.5302,4.619852
"Erzincan","ErzİNcan",6,38.9,40.1,.94028,1.04416,4.3488,4.436131
"Erzincan","ErzİNcan",7.5,38.7,39.45,5.8022,6.443216,6.0294,6.136778
"Erzincan","ErzİNcan",6.5,40.4,38.9,1.9233,2.135782,4.9679,5.063159
"Erzincan","ErzİNcan",7.5,38.75,39.85,6.2589,6.950371,6.1069,6.215169
"Erzincan","ErzİNcan",8,39.1,40,12.16,13.50341,6.8126,6.928265
"Erzincan","ErzİNcan",6.5,40,41.1,1.3981,1.552559,4.6854,4.777032
"Erzincan","ErzİNcan",7.5,41.65,39.55,5.1419,5.709967,5.9069,6.013035
"Erzincan","ErzİNcan",6.5,39.15,40.75,1.5612,1.733678,4.7819,4.874809
"Erzincan","ErzİNcan",6.5,40.35,39.85,7.3976,8.214872,6.2801,6.390252
"Erzincan","ErzİNcan",7,39.4,40,6.2725,6.965474,6.1091,6.217424
"Erzincan","ErzİNcan",7.5,41,38.9,5.4735,6.078202,5.9701,6.076853
"Erzincan","ErzİNcan",7,38.7,40.35,3.0814,3.421827,5.4053,5.505696
"Erzincan","ErzİNcan",6.5,38.9,40.6,1.5413,1.71158,4.7707,4.863375
"Erzincan","ErzİNcan",7,40.35,39.75,12.196,13.54339,6.8159,6.931542
"Erzincan","ErzİNcan",7,40.45,40.15,6.9426,7.709605,6.214,6.323413
"Erzincan","ErzİNcan",7.5,39.6,40.05,12.378,13.7455,6.8322,6.947983
"Erzincan","ErzİNcan",7,40.4,40.7,3.7291,4.141084,5.589,5.691491
"Erzincan","ErzİNcan",6.5,39.95,39.45,5.0832,5.644782,5.8954,6.001355
"Erzincan","ErzİNcan",8,40.4,41,8.6577,9.614186,6.4459,6.557705
"Erzincan","ErzİNcan",6.5,38.55,39.3,1.4488,1.608861,4.7164,4.808457
"Erzincan","ErzİNcan",6.5,40.55,39.3,2.8527,3.167861,5.3321,5.431685
"Erzincan","ErzİNcan",6.5,38.55,39.6,1.5632,1.735899,4.783,4.875951
"Erzincan","ErzİNcan",6,39.35,39.85,1.7479,1.941005,4.8821,4.97624
"Erzincan","ErzİNcan",7.5,40.6,40.7,6.2326,6.921166,6.1026,6.210796
"Erzincan","ErzİNcan",7.5,39.55,39.55,11.584,12.86378,6.7595,6.874583
"Erzincan","ErzİNcan",6,40.9,39.25,1.0058,1.116919,4.4048,4.492847
"Erzincan","ErzİNcan",7.5,39.7,39.1,7.7843,8.644295,6.3335,6.44421
"Erzincan","ErzİNcan",7,39.6,38.85,3.4836,3.868462,5.523,5.62473
"Erzincan","ErzİNcan",7,38.75,39.65,3.5172,3.905774,5.5322,5.63411
"Erzincan","ErzİNcan",7,39.85,40.85,3.3524,3.722767,5.486,5.587311
"Erzincan","ErzİNcan",7.5,40.6,39.35,8.9502,9.939001,6.4812,6.593412
"Erzincan","ErzİNcan",6.5,39.9,39.4,4.3894,4.874332,5.749,5.853301
"Erzincan","ErzİNcan",7,41.5,40.1,3.0779,3.417941,5.4042,5.504601
"Erzincan","ErzİNcan",7.5,41.3,40.6,5.1956,5.7696,5.9174,6.023616
"Erzincan","ErzİNcan",6,39.7,39.1,1.1823,1.312918,4.5411,4.630931
"Erzincan","ErzİNcan",6.5,40.4,39.6,5.2828,5.866434,5.9342,6.04059
"Erzincan","ErzİNcan",6,40.45,40.65,.95985,1.065892,4.3659,4.453425
"Erzincan","ErzİNcan",7,38.9,38.95,2.9316,3.255478,5.3579,5.457797
"Erzincan","ErzİNcan",6,39.25,39.75,1.5,1.665717,4.7468,4.839224
"Erzincan","ErzİNcan",6,39.4,40,1.759,1.953331,4.8878,4.981964
"Erzincan","ErzİNcan",6,40.6,38.85,.81135,.9009864,4.228,4.313633
"Erzincan","ErzİNcan",7,41.35,39.95,3.4619,3.844364,5.5169,5.618629
"Erzincan","ErzİNcan",7,41.2,40.15,3.6641,4.068903,5.5719,5.674206
"Erzincan","ErzİNcan",6,40.05,39.6,4.9346,5.479765,5.8656,5.971238
"Erzincan","ErzİNcan",6.5,40.4,39.45,4.0579,4.506209,5.6715,5.775009
"Erzincan","ErzİNcan",6.5,39.7,40.5,2.4606,2.732442,5.1936,5.29154
"Erzincan","ErzİNcan",6,40.4,39.4,1.8966,2.106133,4.9553,5.050393
"Erzincan","ErzİNcan",6.5,41.2,39.55,1.9559,2.171984,4.9831,5.078537
"Erzincan","ErzİNcan",6,39,39.95,1.0871,1.207201,4.47,4.558889
"Erzincan","ErzİNcan",7,39.45,39.75,7.1571,7.947803,6.2457,6.355399
"Erzincan","ErzİNcan",7.5,39.05,39.55,7.3969,8.214095,6.28,6.390152
"Erzincan","ErzİNcan",7,41.3,40.1,3.4795,3.863909,5.5218,5.62358
"Erzincan","ErzİNcan",7.5,40.75,39.05,6.5477,7.271078,6.1534,6.262128
"Erzincan","ErzİNcan",6,38.6,40.35,.67992,.7550363,4.0862,4.169868
"Erzincan","ErzİNcan",7,40.65,40.25,5.2023,5.77704,5.9187,6.024929
"Erzincan","ErzİNcan",7.5,39.95,40.4,9.2839,10.30957,6.5203,6.632885
"Erzincan","ErzİNcan",8,41.15,38.95,8.7316,9.696251,6.4549,6.566828
"Erzincan","ErzİNcan",6,39.35,39.1,.98714,1.096197,4.3892,4.477032
"Erzincan","ErzİNcan",8,40.4,39.9,22.586,25.08126,7.5126,7.635041
"Erzincan","ErzİNcan",6.5,39.4,39.25,2.4677,2.740327,5.1963,5.294249
"Erzincan","ErzİNcan",7,41.05,39.35,3.8573,4.283447,5.6219,5.724809
"Erzincan","ErzİNcan",8,41.5,40.55,8.1394,9.038626,6.3805,6.491673
"Erzincan","ErzİNcan",6.5,39.65,40.75,1.8361,2.038949,4.9262,5.020865
"Erzincan","ErzİNcan",7.5,38.9,39.6,6.7565,7.502945,6.1858,6.294934
"Erzincan","ErzİNcan",6,38.3,40,.61257,.6802456,4.004,4.086558
"Erzincan","ErzİNcan",6,40,38.8,.85199,.9461163,4.2678,4.353975
"Erzincan","ErzİNcan",6.5,40.5,40.8,1.7197,1.909689,4.8676,4.961552
"Erzincan","ErzİNcan",6,40.65,39.45,1.5457,1.716466,4.7731,4.865915
"Erzincan","ErzİNcan",7,41.65,40.25,2.7517,3.055703,5.2982,5.397306
"Erzincan","ErzİNcan",8,38.95,40,11.062,12.28411,6.7092,6.823807
"Erzincan","ErzİNcan",8,41.5,39.4,8.8037,9.776316,6.4636,6.575662
"Erzincan","ErzİNcan",8,39.95,40.45,13.336,14.80934,6.9145,7.031071
"Erzincan","ErzİNcan",6.5,41,39.45,2.2177,2.462707,5.0976,5.19441
"Erzincan","ErzİNcan",6.5,38.6,39.3,1.4913,1.656056,4.7417,4.834063
"Erzincan","ErzİNcan",6,39.55,38.75,.75431,.8376448,4.1691,4.253932
"Erzincan","ErzİNcan",7.5,40,38.7,5.7358,6.36948,6.0176,6.124923
"Erzincan","ErzİNcan",6.5,39.4,41.05,1.3552,1.50492,4.6583,4.749649
"Erzincan","ErzİNcan",6.5,41.7,39.6,1.3984,1.552893,4.6855,4.777221
"Erzincan","ErzİNcan",8,41.05,40.55,9.4732,10.51978,6.5419,6.654712
"Erzincan","ErzİNcan",6,39.7,39.55,2.658,2.951651,5.2656,5.364394
"Erzincan","ErzİNcan",8,38.95,40.7,8.6917,9.651942,6.45,6.561911
"Erzincan","ErzİNcan",7,39.5,40.15,6.1547,6.83466,6.0897,6.197747
"Erzincan","ErzİNcan",8,41,39.95,12.056,13.38792,6.8032,6.918745
"Erzincan","ErzİNcan",7.5,38.95,39.65,7.0574,7.837088,6.2311,6.340641
"Erzincan","ErzİNcan",6,38.55,40,.72661,.8068845,4.1391,4.223509
"Erzincan","ErzİNcan",8,40,38.6,8.7729,9.742113,6.4599,6.571896
"Erzincan","ErzİNcan",7.5,41.65,40.2,5.0464,5.603917,5.8881,5.993971
"Erzincan","ErzİNcan",7.5,40.9,40.95,4.9753,5.524962,5.8738,5.979567
"Erzincan","ErzİNcan",7.5,39.7,40,15,16.65717,7.0454,7.163321
"Erzincan","ErzİNcan",6.5,39.7,40.15,4.2448,4.713758,5.7159,5.819824
"Erzincan","ErzİNcan",8,39.7,40.25,15.595,17.31791,7.089,7.207395
"Erzincan","ErzİNcan",6.5,41.45,40.5,1.4103,1.566107,4.6929,4.784685
"Erzincan","ErzİNcan",6.5,39.95,40.45,2.8148,3.125774,5.3195,5.418914
"Erzincan","ErzİNcan",6.5,39.7,40.8,1.768,1.963325,4.8923,4.986582
"Erzincan","ErzİNcan",6,39.6,39,.99902,1.10939,4.3992,4.487131
"Erzincan","ErzİNcan",8,39.7,41.05,8.4513,9.384984,6.4203,6.531848
"Erzincan","ErzİNcan",7.5,38.65,40.55,5.0544,5.612801,5.8897,5.995581
"Erzincan","ErzİNcan",6.5,40.2,40.3,3.5781,3.973402,5.5488,5.650911
"Erzincan","ErzİNcan",7.5,39.05,38.8,5.1638,5.734287,5.9112,6.017362
"Erzincan","ErzİNcan",7,40.25,40.5,4.7621,5.288208,5.83,5.935241
"Erzincan","ErzİNcan",6.5,39.45,40.2,3.0552,3.392733,5.3972,5.49747
"Erzincan","ErzİNcan",7.5,39.95,40.1,15.774,17.51668,7.1019,7.220356
"Erzincan","ErzİNcan",7,41.1,38.8,2.7816,3.088906,5.3083,5.407599
"Erzincan","ErzİNcan",7.5,39.6,39.15,7.9072,8.780772,6.35,6.460854
"Erzincan","ErzİNcan",6,41.15,39.65,1.0007,1.111255,4.4006,4.48855
"Erzincan","ErzİNcan",6,41.25,39.4,.83839,.9310138,4.2547,4.340665
"Erzincan","ErzİNcan",7,40.2,39.35,6.9212,7.685841,6.2108,6.320173
"Erzincan","ErzİNcan",7.5,39.75,39.75,19.683,21.85754,7.3535,7.474504
"Erzincan","ErzİNcan",8,40.55,40.05,16.714,18.56053,7.1672,7.286304
"Erzincan","ErzİNcan",6.5,38.8,40.1,1.8326,2.035062,4.9245,5.019131
"Erzincan","ErzİNcan",8,41,38.85,8.741,9.706689,6.456,6.567983
"Erzincan","ErzİNcan",7.5,39.5,38.85,6.0136,6.677971,6.0659,6.173728
