location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Erzurum","Erzurum",6.5,41.35,40.15,3.3086,3.674128,5.4733,5.574528
"Erzurum","Erzurum",6,39.65,39.35,.87063,.9668155,4.2855,4.37192
"Erzurum","Erzurum",6,41.25,38.8,.69629,.7732148,4.1051,4.18903
"Erzurum","Erzurum",7,40.8,40.15,12.369,13.7355,6.8313,6.947175
"Erzurum","Erzurum",7,40.6,40.05,18.767,20.84034,7.299,7.41936
"Erzurum","Erzurum",6,39.75,40.8,.7427,.8247521,4.1566,4.241302
"Erzurum","Erzurum",6.5,41.3,39.65,3.3883,3.762633,5.4962,5.597678
"Erzurum","Erzurum",6.5,42.4,39.7,1.3618,1.512249,4.6625,4.753911
"Erzurum","Erzurum",8,40.35,38.95,9.909,11.00373,6.5902,6.703502
"Erzurum","Erzurum",7.5,39.5,40.65,5.4969,6.104187,5.9744,6.081224
"Erzurum","Erzurum",6.5,41.5,39.1,1.7637,1.95855,4.8901,4.984378
"Erzurum","Erzurum",7.5,39.35,40.55,5.3634,5.955938,5.9495,6.056058
"Erzurum","Erzurum",7,42.3,39.6,2.823,3.13488,5.3222,5.42169
"Erzurum","Erzurum",6.5,40.6,39.7,7.7954,8.656621,6.335,6.445723
"Erzurum","Erzurum",7.5,39.75,39.85,7.985,8.867167,6.3603,6.47127
"Erzurum","Erzurum",8,41.15,40.25,16.344,18.14965,7.1419,7.260757
"Erzurum","Erzurum",7.5,41.25,40.9,5.894,6.545158,6.0454,6.15297
"Erzurum","Erzurum",7.5,40.25,38.7,5.14,5.707858,5.9066,6.012659
"Erzurum","Erzurum",7,40.95,38.95,3.5475,3.939421,5.5405,5.642501
"Erzurum","Erzurum",8,40.45,38.75,8.8629,9.842056,6.4708,6.582866
"Erzurum","Erzurum",6.5,40.15,40.5,2.5675,2.851152,5.2332,5.331612
"Erzurum","Erzurum",7,39.35,39.4,3.0859,3.426824,5.4067,5.507103
"Erzurum","Erzurum",6,41,40,4.0016,4.443689,5.6578,5.761148
"Erzurum","Erzurum",6.5,40.8,38.6,1.3686,1.5198,4.6669,4.758283
"Erzurum","Erzurum",7.5,39.65,40.8,5.4269,6.026453,5.9614,6.068098
"Erzurum","Erzurum",7,40.3,40.5,5.1777,5.749722,5.9139,6.0201
"Erzurum","Erzurum",7.5,42.05,39.5,5.6461,6.26987,6.0016,6.10871
"Erzurum","Erzurum",8,41.7,39.1,9.1544,10.16576,6.5053,6.617721
"Erzurum","Erzurum",7.5,40.7,39.4,10.363,11.50788,6.6384,6.752311
"Erzurum","Erzurum",8,39.9,39.5,12.201,13.54894,6.8163,6.931997
"Erzurum","Erzurum",8,40.4,40.75,11.044,12.26412,6.7075,6.822018
"Erzurum","Erzurum",6,39.45,40.65,.70041,.77779,4.1098,4.193791
"Erzurum","Erzurum",6,41.1,40.9,.83101,.9228184,4.2474,4.333364
"Erzurum","Erzurum",6.5,38.95,39.75,1.3433,1.491705,4.6507,4.741918
"Erzurum","Erzurum",6,42.05,39.7,.79635,.8843293,4.2129,4.298297
"Erzurum","Erzurum",7,41.2,40.7,3.9929,4.434028,5.6557,5.75899
"Erzurum","Erzurum",6.5,41.2,39.45,2.987,3.316998,5.3757,5.47576
"Erzurum","Erzurum",6.5,40.05,38.85,1.5373,1.707138,4.7683,4.861062
"Erzurum","Erzurum",8,42.15,39.95,9.2256,10.24483,6.5135,6.626082
"Erzurum","Erzurum",7,42,39.3,3.0233,3.357308,5.3872,5.48737
"Erzurum","Erzurum",7.5,39.45,40.65,5.3874,5.98259,5.954,6.060623
"Erzurum","Erzurum",6,41.15,40.2,2.1041,2.336557,5.0495,5.145704
"Erzurum","Erzurum",7.5,40.7,40.55,8.9468,9.935225,6.4808,6.593003
"Erzurum","Erzurum",7,40,39.75,5.9461,6.603014,6.0544,6.162059
"Erzurum","Erzurum",6,41.3,39.55,1.5268,1.695478,4.7623,4.854962
"Erzurum","Erzurum",6,41.8,39.6,.95143,1.056542,4.3586,4.446023
"Erzurum","Erzurum",6,41.6,39.25,.88617,.9840724,4.3,4.386626
"Erzurum","Erzurum",6.5,39.1,39.85,1.4826,1.646395,4.7365,4.828874
"Erzurum","Erzurum",6.5,39.45,39.9,1.9104,2.121457,4.9619,5.057011
"Erzurum","Erzurum",6,40.05,40.25,1.5444,1.715022,4.7724,4.865165
"Erzurum","Erzurum",6.5,39.35,39.65,1.7046,1.892921,4.8597,4.953599
"Erzurum","Erzurum",7.5,40.7,39.85,41.238,45.7939,8.2319,8.36107
"Erzurum","Erzurum",8,42.15,39.75,9.1462,10.15666,6.5043,6.616755
"Erzurum","Erzurum",7,41.75,40.4,3.7241,4.135531,5.5877,5.690171
"Erzurum","Erzurum",6.5,40.55,38.85,1.6875,1.873932,4.8508,4.944518
"Erzurum","Erzurum",6,40.9,41.25,.61682,.6849651,4.0094,4.092045
"Erzurum","Erzurum",7,40.05,39.45,4.9636,5.511969,5.8715,5.977179
"Erzurum","Erzurum",6.5,40.1,40.95,1.6174,1.796087,4.8132,4.90642
"Erzurum","Erzurum",7,39.95,39.6,5.1549,5.724403,5.9095,6.015605
"Erzurum","Erzurum",6.5,40.95,38.7,1.4657,1.627628,4.7265,4.818717
"Erzurum","Erzurum",8,40.15,39.15,10.878,12.07978,6.6911,6.805392
"Erzurum","Erzurum",6.5,40.45,39.45,3.613,4.012157,5.5582,5.660424
"Erzurum","Erzurum",6,41.95,40.6,.71357,.7924039,4.1246,4.208837
