location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Esenler","Esenler",6,29.9,41.85,.76263,.8468839,4.1779,4.26288
"Esenler","Esenler",6.5,30.4,40.75,1.5114,1.678377,4.7534,4.845949
"Esenler","Esenler",7.5,28.3,41.5,9.1344,10.14355,6.5029,6.615362
"Esenler","Esenler",6,28.1,40.95,1.5551,1.726905,4.7785,4.871318
"Esenler","Esenler",7,27.3,41.7,2.7071,3.006175,5.2828,5.381767
"Esenler","Esenler",6,27.1,41.25,.61449,.6823777,4.0065,4.089041
"Esenler","Esenler",6.5,29.05,40.1,1.8783,2.085811,4.9466,5.04155
"Esenler","Esenler",8,30.05,40.95,10.684,11.86435,6.6715,6.785668
"Esenler","Esenler",7,28.05,40.05,3.0239,3.357975,5.3874,5.487561
"Esenler","Esenler",6,28.35,40.55,1.4107,1.566551,4.6932,4.784935
"Esenler","Esenler",7,27.85,42,2.965,3.292567,5.3687,5.468662
"Esenler","Esenler",6.5,29.75,40.8,2.5473,2.828721,5.2258,5.324154
"Esenler","Esenler",8,28.3,41.1,17.666,19.61771,7.23,7.349748
"Esenler","Esenler",7.5,29.7,40.1,5.5561,6.169928,5.9853,6.09221
"Esenler","Esenler",6,29.55,41.5,1.3241,1.470384,4.6382,4.729316
"Esenler","Esenler",6.5,30.3,41.25,1.6557,1.838619,4.8339,4.927412
"Esenler","Esenler",7.5,28.85,40.7,13.863,15.39456,6.9574,7.074501
"Esenler","Esenler",7,28.7,41.25,13.065,14.5084,6.8917,7.00813
"Esenler","Esenler",6,29.25,40.9,2.934,3.258143,5.3587,5.458581
"Esenler","Esenler",7.5,29.45,40.75,10.091,11.20583,6.6098,6.723306
"Esenler","Esenler",7,29.55,41.3,5.843,6.488523,6.0365,6.144003
"Esenler","Esenler",7.5,28.7,41.9,7.0516,7.830647,6.2302,6.339777
"Esenler","Esenler",7.5,29.55,41.2,10.154,11.27579,6.6165,6.730086
"Esenler","Esenler",6,27.2,40.75,.63961,.7102729,4.0379,4.120917
"Esenler","Esenler",6,28.8,39.9,.72455,.8045969,4.1368,4.221207
"Esenler","Esenler",6.5,27.4,40.35,1.3757,1.527685,4.6713,4.762828
"Esenler","Esenler",6.5,30.55,41.5,1.351,1.500256,4.6556,4.746927
"Esenler","Esenler",8,29.35,40.8,17.111,19.00139,7.1937,7.31315
"Esenler","Esenler",8,28.05,40.65,12.215,13.56449,6.8176,6.933269
"Esenler","Esenler",8,28.15,40.15,9.5769,10.63494,6.5535,6.666503
"Esenler","Esenler",7.5,30.25,41.65,5.3842,5.979036,5.9534,6.060016
"Esenler","Esenler",7,29.25,41.55,5.8356,6.480306,6.0352,6.142696
"Esenler","Esenler",7,29.45,41.25,6.8023,7.553805,6.1928,6.302007
"Esenler","Esenler",7,27.8,41.65,3.539,3.929982,5.5382,5.640154
"Esenler","Esenler",6.5,27.65,40.55,1.73,1.921127,4.8729,4.966941
"Esenler","Esenler",6.5,28.55,40.4,2.6077,2.895794,5.2477,5.346298
"Esenler","Esenler",7.5,30.1,40.5,5.7971,6.437552,6.0285,6.135872
"Esenler","Esenler",7.5,30.05,40.2,5.221,5.797806,5.9223,6.028586
"Esenler","Esenler",6,28.7,39.9,.72056,.8001661,4.1324,4.216731
"Esenler","Esenler",8,28.85,40.2,11.037,12.25635,6.7068,6.821321
"Esenler","Esenler",7.5,29.85,40.35,6.0622,6.73194,6.0742,6.182058
"Esenler","Esenler",8,28,41.5,11.725,13.02036,6.7727,6.887943
"Esenler","Esenler",6.5,29.65,41.9,1.7716,1.967323,4.8941,4.988423
"Esenler","Esenler",7,28.4,40.85,7.8584,8.726582,6.3435,6.454273
"Esenler","Esenler",6.5,29.25,41.5,3.4692,3.852471,5.519,5.620685
"Esenler","Esenler",7.5,29.35,39.9,5.3142,5.901303,5.9402,6.046641
"Esenler","Esenler",7.5,28.85,41.5,11.803,13.10697,6.78,6.895272
"Esenler","Esenler",6,30.5,41.5,.63406,.7041097,4.0311,4.113969
"Esenler","Esenler",6.5,29.15,39.85,1.4772,1.640398,4.7334,4.82564
"Esenler","Esenler",7,29.85,40.35,3.4292,3.808052,5.5078,5.60937
"Esenler","Esenler",7,30.1,41.9,2.8771,3.194957,5.3402,5.439828
"Esenler","Esenler",7.5,29.25,40.65,10.676,11.85546,6.6707,6.784848
"Esenler","Esenler",6.5,27.5,41.75,1.4685,1.630737,4.7282,4.820407
"Esenler","Esenler",6.5,27.15,40.8,1.3716,1.523132,4.6688,4.760206
"Esenler","Esenler",8,28.55,40.6,15.558,17.27682,7.0864,7.204699
"Esenler","Esenler",7,27.6,40.55,3.273,3.634595,5.463,5.564027
"Esenler","Esenler",6.5,29.75,40.85,2.6087,2.896904,5.2481,5.346661
"Esenler","Esenler",6.5,28.15,41.4,2.8715,3.188738,5.3383,5.437965
"Esenler","Esenler",7,30.1,40.5,3.2587,3.618715,5.4587,5.55978
"Esenler","Esenler",7,30,41.75,3.2392,3.597061,5.453,5.553962
"Esenler","Esenler",7,30.25,41.1,3.3837,3.757525,5.4949,5.596355
"Esenler","Esenler",7.5,30.35,41.55,5.3039,5.889865,5.9382,6.04466
"Esenler","Esenler",6.5,29.95,41.3,2.1406,2.37709,5.0652,5.161602
"Esenler","Esenler",6.5,28.55,41.5,3.6573,4.061352,5.5701,5.672382
"Esenler","Esenler",6,27.95,40.45,.93748,1.041051,4.3464,4.433632
"Esenler","Esenler",6,29.5,41.55,1.3095,1.454171,4.6287,4.719626
"Esenler","Esenler",6,27.8,41.3,1.0456,1.161116,4.4373,4.52574
"Esenler","Esenler",7.5,28.15,40.55,7.8463,8.713144,6.3419,6.452636
"Esenler","Esenler",7.5,29.95,42,5.2216,5.798472,5.9225,6.028703
"Esenler","Esenler",6,29.2,40.55,1.6129,1.79109,4.8107,4.903924
"Esenler","Esenler",7,29.85,41.45,4.1302,4.586497,5.6889,5.79256
"Esenler","Esenler",6,29.85,40.45,.89309,.9917569,4.3064,4.393102
"Esenler","Esenler",6,27.3,41.5,.66234,.735514,4.0654,4.148838
"Esenler","Esenler",7,28.05,40.95,5.3785,5.972706,5.9524,6.058932
"Esenler","Esenler",7.5,28.7,39.85,5.3171,5.904523,5.9407,6.047198
"Esenler","Esenler",7.5,28.35,40,5.637,6.259765,6,6.107053
"Esenler","Esenler",7,27.55,41.65,3.1022,3.444925,5.4117,5.512183
"Esenler","Esenler",7.5,27.75,40.6,6.406,7.113723,6.1308,6.239326
"Esenler","Esenler",8,29.75,41.1,13.079,14.52394,6.8929,7.009326
"Esenler","Esenler",6.5,27.4,41.05,1.6447,1.826403,4.828,4.921427
"Esenler","Esenler",7.5,29.55,42,5.8718,6.520505,6.0415,6.149075
"Esenler","Esenler",7.5,27.55,41.05,6.2454,6.93538,6.1047,6.212927
"Esenler","Esenler",7,27.65,40.15,2.7883,3.096346,5.3106,5.409893
"Esenler","Esenler",8,29.6,41.85,10.203,11.33021,6.6217,6.735333
"Esenler","Esenler",6.5,27.65,41.5,1.7938,1.991976,4.9053,4.999705
"Esenler","Esenler",7.5,30.2,40.55,5.6263,6.247883,5.998,6.105101
"Esenler","Esenler",8,28.85,39.85,8.7503,9.717016,6.4572,6.569125
