location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Esenyurt","Esenyurt",7,29.4,39.85,2.7814,3.088684,5.3083,5.407531
"Esenyurt","Esenyurt",6,28,41.3,1.5809,1.755555,4.793,4.886003
"Esenyurt","Esenyurt",7.5,29.75,41.05,7.3303,8.140138,6.2706,6.380603
"Esenyurt","Esenyurt",6.5,29.55,40.35,1.9244,2.137004,4.9685,5.063683
"Esenyurt","Esenyurt",7,30.4,40.8,2.7375,3.039934,5.2933,5.392383
"Esenyurt","Esenyurt",6.5,29.35,39.8,1.3637,1.514359,4.6637,4.755135
"Esenyurt","Esenyurt",7.5,29.45,41.2,9.1887,10.20385,6.5093,6.621757
"Esenyurt","Esenyurt",7.5,28.15,40.15,6.3904,7.096399,6.1283,6.236787
"Esenyurt","Esenyurt",6,27,40.8,.64418,.7153478,4.0435,4.126599
"Esenyurt","Esenyurt",8,27.35,40.3,8.5942,9.543671,6.438,6.549809
"Esenyurt","Esenyurt",8,28.75,40,9.7718,10.85137,6.5752,6.688354
"Esenyurt","Esenyurt",7,27.65,40.7,4.1089,4.562843,5.6838,5.787418
"Esenyurt","Esenyurt",7.5,28,41.15,10.303,11.44126,6.6322,6.745972
"Esenyurt","Esenyurt",6.5,27.2,41.7,1.3971,1.551449,4.6847,4.776402
"Esenyurt","Esenyurt",6,29.55,40,.68321,.7586898,4.09,4.173751
"Esenyurt","Esenyurt",7,29.15,40.15,3.6987,4.107326,5.581,5.683441
"Esenyurt","Esenyurt",7.5,29.55,40.2,5.929,6.584025,6.0514,6.159083
"Esenyurt","Esenyurt",6,30.25,40.8,.69085,.7671738,4.0988,4.182706
"Esenyurt","Esenyurt",8,29.95,40.4,9.0514,10.05138,6.4932,6.605521
"Esenyurt","Esenyurt",7,28.4,41.5,6.3614,7.064196,6.1236,6.232055
"Esenyurt","Esenyurt",7,28,40.4,4.2591,4.729637,5.7192,5.823179
"Esenyurt","Esenyurt",7,28.85,41.1,18.456,20.49498,7.2798,7.400081
"Esenyurt","Esenyurt",7.5,28.05,40.55,8.486,9.423517,6.4246,6.536234
