location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Eskisehir","EskİŞEhİR",7.5,30.45,39.85,12.792,14.20524,6.8684,6.98458
"Eskisehir","EskİŞEhİR",7,29.35,39.25,2.697,2.994959,5.2793,5.378216
"Eskisehir","EskİŞEhİR",6,31.35,39.5,2.3592,2.61984,5.1546,5.252075
"Eskisehir","EskİŞEhİR",7,31.65,39.45,5.4046,6.00169,5.9573,6.063884
"Eskisehir","EskİŞEhİR",7.5,32.15,40.15,6.2464,6.936491,6.1049,6.213093
"Eskisehir","EskİŞEhİR",8,31.2,40.55,11.538,12.8127,6.7551,6.870193
"Eskisehir","EskİŞEhİR",8,29.3,39.5,8.3115,9.229739,6.4026,6.514009
"Eskisehir","EskİŞEhİR",8,30.3,38.75,9.1201,10.12767,6.5012,6.613672
"Eskisehir","EskİŞEhİR",7,31.1,39.1,5.0063,5.559387,5.8801,5.98587
"Eskisehir","EskİŞEhİR",8,31.8,40.2,11.807,13.11141,6.7804,6.895647
"Eskisehir","EskİŞEhİR",6,32.05,39.55,1.0023,1.113032,4.4019,4.489901
"Eskisehir","EskİŞEhİR",7,30,40.7,3.0211,3.354865,5.3865,5.48667
"Eskisehir","EskİŞEhİR",7.5,31.35,40.45,7.8189,8.682717,6.3382,6.44892
"Eskisehir","EskİŞEhİR",7,31.45,40,7.2933,8.09905,6.2653,6.375264
"Eskisehir","EskİŞEhİR",6,32.15,40,.91272,1.013556,4.3243,4.411237
"Eskisehir","EskİŞEhİR",7.5,30.7,38.55,5.2547,5.835229,5.9288,6.035148
"Eskisehir","EskİŞEhİR",8,30.15,39.9,13.56,15.05808,6.9329,7.049717
"Eskisehir","EskİŞEhİR",7.5,31.05,39.6,23.106,25.65871,7.5391,7.661795
"Eskisehir","EskİŞEhİR",7,30.75,40.8,3.3843,3.758191,5.4951,5.596528
"Eskisehir","EskİŞEhİR",6.5,30.2,39,1.8864,2.094806,4.9505,5.045474
"Eskisehir","EskİŞEhİR",7.5,30.15,40.95,4.9416,5.487539,5.867,5.972675
"Eskisehir","EskİŞEhİR",6.5,31.5,40.8,1.6326,1.812967,4.8214,4.914803
"Eskisehir","EskİŞEhİR",6,31.95,39.25,.93512,1.03843,4.3443,4.43152
"Eskisehir","EskİŞEhİR",6,30.2,38.75,.71465,.7936032,4.1258,4.210061
"Eskisehir","EskİŞEhİR",8,31,39,11.906,13.22135,6.7895,6.904882
"Eskisehir","EskİŞEhİR",6,31.6,39.95,1.7576,1.951776,4.887,4.981244
"Eskisehir","EskİŞEhİR",7.5,31.75,38.75,5.4124,6.010352,5.9587,6.06536
"Eskisehir","EskİŞEhİR",8,29.3,40.05,8.3189,9.237956,6.4036,6.51496
"Eskisehir","EskİŞEhİR",6,31.8,39.4,1.1891,1.320469,4.546,4.63588
"Eskisehir","EskİŞEhİR",6,30.4,40.5,1.0311,1.145014,4.4256,4.513885
"Eskisehir","EskİŞEhİR",6,31.7,39.2,1.0898,1.210199,4.4721,4.561007
"Eskisehir","EskİŞEhİR",6,31.3,40.25,1.6749,1.85994,4.8441,4.937774
"Eskisehir","EskİŞEhİR",6,32,40.5,.78264,.8691046,4.1988,4.284058
"Eskisehir","EskİŞEhİR",6.5,31.15,39.15,2.8796,3.197733,5.341,5.44066
"Eskisehir","EskİŞEhİR",7.5,29.25,40,4.9495,5.496311,5.8686,5.974295
"Eskisehir","EskİŞEhİR",6,31.7,39.25,1.1446,1.271053,4.5136,4.603033
"Eskisehir","EskİŞEhİR",7,32.15,38.8,2.7081,3.007286,5.2831,5.382118
"Eskisehir","EskİŞEhİR",6.5,31.8,39.5,2.6019,2.889353,5.2457,5.344192
"Eskisehir","EskİŞEhİR",7.5,31.05,39.05,8.0327,8.920137,6.3666,6.477611
"Eskisehir","EskİŞEhİR",7.5,29.25,39.6,4.9675,5.5163,5.8723,5.977975
"Eskisehir","EskİŞEhİR",7.5,32.05,39.6,7.0037,7.777455,6.2231,6.332613
"Eskisehir","EskİŞEhİR",7.5,32.25,40.55,5.1649,5.735508,5.9114,6.017579
"Eskisehir","EskİŞEhİR",6,31.35,39,1.0623,1.179661,4.4506,4.539216
"Eskisehir","EskİŞEhİR",6.5,29.8,40.25,1.8027,2.001859,4.9097,5.004194
"Eskisehir","EskİŞEhİR",6.5,32.45,39.1,1.36,1.51025,4.6614,4.75275
"Eskisehir","EskİŞEhİR",7.5,30.4,38.95,6.6047,7.334375,6.1623,6.271176
"Eskisehir","EskİŞEhİR",6,31.8,39.6,1.342,1.490262,4.6499,4.74107
"Eskisehir","EskİŞEhİR",7.5,30.95,38.85,6.6415,7.37524,6.1681,6.27698
"Eskisehir","EskİŞEhİR",7.5,30.1,39.2,6.9167,7.680844,6.2101,6.319491
"Eskisehir","EskİŞEhİR",7.5,31.25,39.5,14.139,15.70105,6.9794,7.096652
"Eskisehir","EskİŞEhİR",7.5,31.75,40.8,5.3815,5.976038,5.9529,6.059503
"Eskisehir","EskİŞEhİR",6,31.85,39.25,1.0121,1.123915,4.4101,4.498129
"Eskisehir","EskİŞEhİR",7.5,30.95,41.05,5.0943,5.657109,5.8976,6.003573
"Eskisehir","EskİŞEhİR",6.5,31.75,39.55,2.8212,3.132881,5.3216,5.421081
"Eskisehir","EskİŞEhİR",7,31.75,39.4,4.7742,5.301645,5.8325,5.937804
"Eskisehir","EskİŞEhİR",6,30.65,39.9,3.6577,4.061796,5.5702,5.672489
"Eskisehir","EskİŞEhİR",7.5,30.9,40.85,5.8219,6.465093,6.0328,6.140272
"Eskisehir","EskİŞEhİR",6,31.25,38.9,.96804,1.074987,4.373,4.46057
"Eskisehir","EskİŞEhİR",7.5,29.7,39.3,5.8537,6.500406,6.0384,6.14589
"Eskisehir","EskİŞEhİR",6.5,32.35,39.9,1.686,1.872266,4.85,4.943717
"Eskisehir","EskİŞEhİR",6.5,31,40.3,3.4301,3.809051,5.508,5.609626
"Eskisehir","EskİŞEhİR",6,31.8,39.65,1.367,1.518024,4.6658,4.757256
"Eskisehir","EskİŞEhİR",7.5,31.7,40.65,5.9716,6.631331,6.0587,6.166481
"Eskisehir","EskİŞEhİR",6,31,39.85,10.78,11.97095,6.6812,6.795468
"Eskisehir","EskİŞEhİR",8,31.8,39.7,13.304,14.7738,6.9118,7.028385
"Eskisehir","EskİŞEhİR",6,32.1,39.4,.90214,1.001807,4.3147,4.401505
"Eskisehir","EskİŞEhİR",6,29.9,39.6,1.0549,1.171443,4.4447,4.533267
"Eskisehir","EskİŞEhİR",6.5,31.95,39.85,2.3787,2.641494,5.1622,5.259779
"Eskisehir","EskİŞEhİR",7,31.85,40.75,2.9957,3.326659,5.3784,5.478554
"Eskisehir","EskİŞEhİR",8,31.85,40.65,9.2412,10.26215,6.5153,6.627906
"Eskisehir","EskİŞEhİR",6.5,31.4,39.95,4.7424,5.266331,5.8259,5.931056
"Eskisehir","EskİŞEhİR",6.5,30.2,39.6,3.0183,3.351756,5.3856,5.485778
"Eskisehir","EskİŞEhİR",7.5,32,38.85,5.2945,5.879426,5.9364,6.042849
"Eskisehir","EskİŞEhİR",7,31.35,39.3,5.9589,6.617228,6.0566,6.164281
"Eskisehir","EskİŞEhİR",6.5,32.55,40.3,1.3613,1.511694,4.6622,4.753589
"Eskisehir","EskİŞEhİR",7.5,32.45,39.1,4.9437,5.489871,5.8675,5.973106
"Eskisehir","EskİŞEhİR",7,31.75,40.85,2.899,3.219276,5.3473,5.447085
"Eskisehir","EskİŞEhİR",6,30.65,41.05,.63505,.7052091,4.0323,4.115212
"Eskisehir","EskİŞEhİR",7,32.4,39.95,3.1715,3.521881,5.4328,5.533517
"Eskisehir","EskİŞEhİR",8,32.35,39.85,9.4865,10.53455,6.5434,6.656231
"Eskisehir","EskİŞEhİR",6.5,32.05,39.6,2.1254,2.36021,5.0587,5.155011
"Eskisehir","EskİŞEhİR",7.5,32.65,39.7,5.0293,5.584928,5.8847,5.990523
"Eskisehir","EskİŞEhİR",7,31.3,40.5,4.4129,4.900429,5.7543,5.858648
"Eskisehir","EskİŞEhİR",6,31.35,39.45,2.1529,2.390748,5.0705,5.166905
"Eskisehir","EskİŞEhİR",6.5,32.3,39.35,1.6272,1.80697,4.8185,4.911832
"Eskisehir","EskİŞEhİR",7.5,29.95,40.25,6.6844,7.42288,6.1747,6.28371
"Eskisehir","EskİŞEhİR",8,31.85,40.05,12.197,13.5445,6.816,6.931633
"Eskisehir","EskİŞEhİR",6,31.8,39.5,1.2734,1.414083,4.6046,4.695251
"Eskisehir","EskİŞEhİR",7,30.95,38.5,2.8428,3.156867,5.3289,5.428364
"Eskisehir","EskİŞEhİR",6.5,30.5,41.05,1.3633,1.513915,4.6635,4.754877
"Eskisehir","EskİŞEhİR",7.5,30.3,39.5,9.6337,10.69801,6.5599,6.672912
"Eskisehir","EskİŞEhİR",8,32.1,40.35,9.6219,10.68491,6.5586,6.671583
"Eskisehir","EskİŞEhİR",7,29.3,39.35,2.6961,2.99396,5.279,5.377899
"Eskisehir","EskİŞEhİR",7.5,30,38.7,5.0425,5.599586,5.8873,5.993186
"Eskisehir","EskİŞEhİR",7,30.3,38.7,3.0266,3.360973,5.3882,5.488419
"Eskisehir","EskİŞEhİR",7,31.45,40.3,5.1676,5.738507,5.912,6.018111
"Eskisehir","EskİŞEhİR",8,30.15,40.95,8.187,9.091484,6.3867,6.497893
"Eskisehir","EskİŞEhİR",8,31.45,38.75,9.4078,10.44716,6.5344,6.647216
"Eskisehir","EskİŞEhİR",7,32.25,39,2.8578,3.173524,5.3338,5.433393
"Eskisehir","EskİŞEhİR",7.5,30.9,38.75,6.1155,6.791129,6.0831,6.191124
"Eskisehir","EskİŞEhİR",8,31.05,40.05,22.78,25.29669,7.5225,7.645087
"Eskisehir","EskİŞEhİR",6.5,30.25,39.35,2.6621,2.956204,5.267,5.365855
"Eskisehir","EskİŞEhİR",7.5,31.85,39.8,8.3426,9.264275,6.4066,6.518001
"Eskisehir","EskİŞEhİR",7,31.95,39.2,3.6749,4.080896,5.5747,5.677097
"Eskisehir","EskİŞEhİR",8,31.9,39.05,9.8047,10.88791,6.5788,6.692004
"Eskisehir","EskİŞEhİR",7,30.15,38.9,3.3163,3.682678,5.4755,5.576786
"Eskisehir","EskİŞEhİR",8,31.15,38.9,10.856,12.05535,6.6888,6.803171
"Eskisehir","EskİŞEhİR",7,31.35,39.8,10.198,11.32466,6.6212,6.734799
"Eskisehir","EskİŞEhİR",6.5,29.85,40.65,1.4844,1.648394,4.7376,4.829949
"Eskisehir","EskİŞEhİR",6,31.3,40.95,.68997,.7661965,4.0978,4.181679
"Eskisehir","EskİŞEhİR",7.5,31.85,39.55,8.0313,8.918583,6.3664,6.477426
"Eskisehir","EskİŞEhİR",8,29.6,40.2,9.1816,10.19597,6.5084,6.620922
"Eskisehir","EskİŞEhİR",6.5,31.6,39.35,2.8214,3.133103,5.3217,5.421149
"Eskisehir","EskİŞEhİR",7.5,31.05,40.25,10.915,12.12087,6.6947,6.809117
"Eskisehir","EskİŞEhİR",6,32.4,39.3,.69267,.7691948,4.1009,4.184826
"Eskisehir","EskİŞEhİR",6.5,30.6,40.55,2.2,2.443052,5.0903,5.186968
"Eskisehir","EskİŞEhİR",7,29.85,39.35,3.6873,4.094666,5.578,5.680407
"Eskisehir","EskİŞEhİR",6.5,30.85,41,1.4683,1.630515,4.7281,4.820286
"Eskisehir","EskİŞEhİR",6.5,31.3,40,5.2073,5.782593,5.9197,6.025908
"Eskisehir","EskİŞEhİR",7.5,30.2,39.5,8.8078,9.780869,6.4641,6.576162
"Eskisehir","EskİŞEhİR",6,31.3,39,1.0821,1.201648,4.4661,4.554955
"Eskisehir","EskİŞEhİR",7.5,31.25,40.25,10.195,11.32132,6.6208,6.734478
"Eskisehir","EskİŞEhİR",6,31.75,39,.87366,.9701803,4.2883,4.374805
"Eskisehir","EskİŞEhİR",7.5,31.5,38.7,5.5651,6.179922,5.9869,6.093871
"Eskisehir","EskİŞEhİR",6.5,29.5,39.6,1.602,1.778986,4.8047,4.897855
"Eskisehir","EskİŞEhİR",7,30.55,38.9,3.7857,4.203937,5.6036,5.706325
"Eskisehir","EskİŞEhİR",6,31.6,40.3,1.2277,1.363334,4.5733,4.663509
"Eskisehir","EskİŞEhİR",7,30.35,39.7,6.9147,7.678623,6.2098,6.319188
"Eskisehir","EskİŞEhİR",6,31.8,39.55,1.3104,1.455171,4.6293,4.720226
"Eskisehir","EskİŞEhİR",6,31,40.05,3.4615,3.84392,5.5168,5.618516
"Eskisehir","EskİŞEhİR",6.5,30.85,39.85,14.497,16.0986,7.0072,7.124808
"Eskisehir","EskİŞEhİR",6.5,31.95,38.75,1.4218,1.578878,4.7,4.791845
"Eskisehir","EskİŞEhİR",6.5,31.2,39.65,8.188,9.092595,6.3868,6.498024
"Eskisehir","EskİŞEhİR",6.5,31.7,39.8,3.1996,3.553086,5.4412,5.542049
"Eskisehir","EskİŞEhİR",7,31.25,39.4,7.4889,8.316259,6.293,6.403217
"Eskisehir","EskİŞEhİR",6,31.65,38.55,.62067,.6892405,4.0143,4.096987
"Eskisehir","EskİŞEhİR",7.5,29.75,38.95,5.2312,5.809133,5.9243,6.030576
"Eskisehir","EskİŞEhİR",7.5,30.7,39.05,7.8332,8.698597,6.3401,6.450861
"Eskisehir","EskİŞEhİR",6.5,31.95,40.65,1.56,1.732346,4.7812,4.874124
"Eskisehir","EskİŞEhİR",6.5,30.95,40.9,1.6033,1.78043,4.8054,4.898581
"Eskisehir","EskİŞEhİR",6,31.95,40.85,.62564,.6947595,4.0206,4.103327
"Eskisehir","EskİŞEhİR",7,30.65,39.3,6.2955,6.991015,6.1129,6.221227
"Eskisehir","EskİŞEhİR",6.5,31.4,40.5,2.2598,2.509458,5.1149,5.2119
"Eskisehir","EskİŞEhİR",7,29.4,39.5,2.9239,3.246927,5.3554,5.455276
"Eskisehir","EskİŞEhİR",7.5,31.05,40.3,10.119,11.23693,6.6128,6.726324
"Eskisehir","EskİŞEhİR",6,29.9,40.35,.85897,.9538674,4.2745,4.360735
"Eskisehir","EskİŞEhİR",7.5,29.45,39.15,4.9889,5.540064,5.8766,5.982337
"Eskisehir","EskİŞEhİR",6,31,38.45,.62753,.6968583,4.0229,4.105726
"Eskisehir","EskİŞEhİR",7,29.35,39.65,2.8956,3.2155,5.3462,5.445961
"Eskisehir","EskİŞEhİR",6,29.55,39.4,.7352,.8164235,4.1485,4.23305
"Eskisehir","EskİŞEhİR",8,30.95,39.6,32.428,36.01059,7.9402,8.066639
"Eskisehir","EskİŞEhİR",6,29.45,40.2,.67625,.7509608,4.0819,4.165517
"Eskisehir","EskİŞEhİR",7,30.1,39.95,4.9645,5.512969,5.8717,5.977363
"Eskisehir","EskİŞEhİR",6,31.85,39.55,1.2361,1.372662,4.5791,4.669421
"Eskisehir","EskİŞEhİR",7.5,31,40.55,7.5227,8.353794,6.2977,6.40798
"Eskisehir","EskİŞEhİR",8,31.55,40.4,11.796,13.0992,6.7793,6.894616
