location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Eyupsultan","EyÜPsultan",7,28.55,41.35,7.7592,8.616422,6.3302,6.440782
"Eyupsultan","EyÜPsultan",7,28.35,40.65,5.6487,6.272758,6.0021,6.109183
"Eyupsultan","EyÜPsultan",6.5,28.15,40.25,1.8329,2.035395,4.9246,5.019279
"Eyupsultan","EyÜPsultan",6.5,27.9,40.8,2.2376,2.484806,5.1058,5.202713
"Eyupsultan","EyÜPsultan",7.5,27.5,40.5,5.3276,5.916183,5.9427,6.049213
"Eyupsultan","EyÜPsultan",8,27.85,41.55,10.29,11.42682,6.6308,6.744595
"Eyupsultan","EyÜPsultan",8,30.3,40.75,9.4498,10.4938,6.5392,6.652036
"Eyupsultan","EyÜPsultan",7.5,27.55,41.6,5.4704,6.074759,5.9695,6.076273
"Eyupsultan","EyÜPsultan",7.5,28.05,41.6,6.9927,7.76524,6.2215,6.330963
"Eyupsultan","EyÜPsultan",6.5,30.3,41.05,1.7569,1.950999,4.8867,4.980883
"Eyupsultan","EyÜPsultan",6,29.3,39.8,.64827,.7198896,4.0485,4.131655
"Eyupsultan","EyÜPsultan",6,28.05,41.2,1.324,1.470273,4.6382,4.72925
"Eyupsultan","EyÜPsultan",6.5,28.8,40.3,2.4191,2.686357,5.1778,5.275565
"Eyupsultan","EyÜPsultan",8,29.25,40.1,10.094,11.20917,6.6101,6.72363
"Eyupsultan","EyÜPsultan",7,29.1,39.9,3.0892,3.430489,5.4077,5.508133
"Eyupsultan","EyÜPsultan",7,29.85,40.45,3.7953,4.214598,5.6061,5.708821
"Eyupsultan","EyÜPsultan",6,30.25,40.55,.75485,.8382444,4.1697,4.254516
"Eyupsultan","EyÜPsultan",7,27.3,40.55,2.7234,3.024276,5.2884,5.387472
"Eyupsultan","EyÜPsultan",6.5,28.65,41.15,7.7916,8.652401,6.3345,6.445205
"Eyupsultan","EyÜPsultan",6,28.55,40.1,.86499,.9605525,4.2802,4.366526
