location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Gaziantep","GazİAntep",6.5,39.15,37.8,1.4917,1.6565,4.7419,4.8343
"Gaziantep","GazİAntep",6.5,36.95,37.25,2.9822,3.311668,5.3742,5.474216
"Gaziantep","GazİAntep",7,37.3,36.4,3.3064,3.671685,5.4727,5.573882
"Gaziantep","GazİAntep",6.5,38.15,38.25,2.0222,2.245609,5.0134,5.109123
"Gaziantep","GazİAntep",6.5,37.85,38.5,1.6803,1.865936,4.847,4.94067
"Gaziantep","GazİAntep",8,37.7,38.35,10.502,11.66224,6.6529,6.766868
"Gaziantep","GazİAntep",6.5,36.85,37.85,2.315,2.570757,5.1371,5.234399
"Gaziantep","GazİAntep",7.5,37.6,38.1,8.4331,9.364773,6.418,6.529541
"Gaziantep","GazİAntep",6.5,36.8,36.45,1.5031,1.66916,4.7486,4.841057
"Gaziantep","GazİAntep",6.5,36.2,37.5,1.5327,1.70203,4.7657,4.858394
"Gaziantep","GazİAntep",7,37.35,36.25,2.9711,3.299341,5.3706,5.470635
"Gaziantep","GazİAntep",8,37.1,37.7,15.08,16.74601,7.0514,7.169338
"Gaziantep","GazİAntep",6,38.7,37.5,1.091,1.211532,4.4731,4.561947
"Gaziantep","GazİAntep",7.5,39.05,37.45,5.8334,6.477863,6.0348,6.142307
"Gaziantep","GazİAntep",6.5,37.6,37.3,12.086,13.42124,6.806,6.921498
"Gaziantep","GazİAntep",7,37.7,38.75,2.7325,3.034381,5.2916,5.390645
"Gaziantep","GazİAntep",6,38.1,36.95,1.5842,1.759219,4.7948,4.887866
"Gaziantep","GazİAntep",6,37.7,36.45,.87978,.9769765,4.2941,4.380606
"Gaziantep","GazİAntep",6,37.2,36.25,.67238,.7466633,4.0773,4.160907
"Gaziantep","GazİAntep",6,36.65,37.25,1.035,1.149345,4.4287,4.517088
"Gaziantep","GazİAntep",6,39.1,37.1,.71791,.7972233,4.1295,4.213746
"Gaziantep","GazİAntep",6.5,37.2,36.8,2.476,2.749544,5.1994,5.297407
"Gaziantep","GazİAntep",6.5,37.7,37.85,4.3182,4.795267,5.7328,5.836942
"Gaziantep","GazİAntep",7.5,36.75,36.55,5.5422,6.154492,5.9827,6.08964
