location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Gaziosmanpasa","GazİOsmanpaŞA",6.5,29.5,40.5,2.5397,2.820281,5.223,5.321335
"Gaziosmanpasa","GazİOsmanpaŞA",7.5,29.3,41.5,10.385,11.53232,6.6408,6.754626
"Gaziosmanpasa","GazİOsmanpaŞA",8,29.15,41.35,20.875,23.18123,7.4213,7.54287
"Gaziosmanpasa","GazİOsmanpaŞA",7,29.25,41.3,9.1838,10.19841,6.5087,6.621181
"Gaziosmanpasa","GazİOsmanpaŞA",7.5,29.4,39.8,4.9809,5.53118,5.875,5.980708
"Gaziosmanpasa","GazİOsmanpaŞA",6,28.75,41.35,3.1646,3.514219,5.4307,5.531412
"Gaziosmanpasa","GazİOsmanpaŞA",6.5,30.5,40.8,1.4798,1.643286,4.7349,4.827198
"Gaziosmanpasa","GazİOsmanpaŞA",7.5,27.5,40.4,5.1549,5.724403,5.9095,6.015605
"Gaziosmanpasa","GazİOsmanpaŞA",6.5,27.55,40.3,1.4061,1.561443,4.6903,4.782057
"Gaziosmanpasa","GazİOsmanpaŞA",7.5,29.2,41.9,6.9927,7.76524,6.2215,6.330963
"Gaziosmanpasa","GazİOsmanpaŞA",8,27.85,40.15,8.679,9.637839,6.4485,6.560341
"Gaziosmanpasa","GazİOsmanpaŞA",7,28.95,41.65,5.7183,6.350047,6.0145,6.121778
"Gaziosmanpasa","GazİOsmanpaŞA",6.5,28.9,40.35,2.5459,2.827166,5.2253,5.323636
"Gaziosmanpasa","GazİOsmanpaŞA",6,28.35,41.2,2.1099,2.342998,5.052,5.148247
"Gaziosmanpasa","GazİOsmanpaŞA",7,29.55,40.65,5.2943,5.879204,5.9364,6.04281
"Gaziosmanpasa","GazİOsmanpaŞA",7,27.5,41.65,2.9592,3.286127,5.3668,5.466784
"Gaziosmanpasa","GazİOsmanpaŞA",8,28.4,41.3,17.004,18.88257,7.1866,7.30597
"Gaziosmanpasa","GazİOsmanpaŞA",6,28.1,41.25,1.4099,1.565663,4.6927,4.784435
"Gaziosmanpasa","GazİOsmanpaŞA",7.5,28.4,41.15,12.803,14.21745,6.8693,6.985537
"Gaziosmanpasa","GazİOsmanpaŞA",8,28.8,40.5,14.495,16.09638,7.0071,7.124652
"Gaziosmanpasa","GazİOsmanpaŞA",6.5,29.45,41.75,2.3055,2.560207,5.1334,5.230561
"Gaziosmanpasa","GazİOsmanpaŞA",6.5,27.8,41.3,2.0907,2.321676,5.0437,5.139806
"Gaziosmanpasa","GazİOsmanpaŞA",7,28.75,41.4,8.887,9.868819,6.4737,6.585787
"Gaziosmanpasa","GazİOsmanpaŞA",8,27.5,41.1,9.5186,10.5702,6.547,6.659888
"Gaziosmanpasa","GazİOsmanpaŞA",8,29.4,39.85,8.4532,9.387094,6.4205,6.532088
"Gaziosmanpasa","GazİOsmanpaŞA",6,27.75,40.7,.90136,1.000941,4.314,4.400784
"Gaziosmanpasa","GazİOsmanpaŞA",6,29,40.1,.88649,.9844278,4.3003,4.386926
"Gaziosmanpasa","GazİOsmanpaŞA",7,27.85,40.25,3.1037,3.446591,5.4121,5.512649
"Gaziosmanpasa","GazİOsmanpaŞA",8,29.9,40,8.3142,9.232737,6.403,6.514356
"Gaziosmanpasa","GazİOsmanpaŞA",7,28.6,40.3,4.2858,4.759287,5.7254,5.829418
"Gaziosmanpasa","GazİOsmanpaŞA",6.5,28.3,40.2,1.8466,2.050609,4.9313,5.026051
