location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Giresun","GİResun",7.5,37.7,40.6,7.0113,7.785895,6.2242,6.333753
"Giresun","GİResun",6,39.95,40.75,.8572,.9519019,4.2728,4.359025
"Giresun","GİResun",7,37.2,39.95,2.8752,3.192847,5.3396,5.439197
"Giresun","GİResun",7.5,38.35,41.15,6.8184,7.571684,6.1953,6.304484
"Giresun","GİResun",6.5,37.55,41.1,1.5043,1.670492,4.7493,4.841766
"Giresun","GİResun",7.5,39.35,39.75,7.9927,8.875718,6.3613,6.472296
"Giresun","GİResun",6.5,39.55,39.9,2.4898,2.764868,5.2046,5.302636
"Giresun","GİResun",8,39.85,40.65,10.776,11.96651,6.6808,6.795062
"Giresun","GİResun",7,38.95,41.4,3.2594,3.619492,5.459,5.559988
"Giresun","GİResun",8,37.6,40.05,10.463,11.61893,6.6488,6.762801
"Giresun","GİResun",8,39.65,41.3,8.8562,9.834617,6.4699,6.582053
"Giresun","GİResun",6.5,39.85,41.25,1.461,1.622409,4.7237,4.815875
"Giresun","GİResun",7,40.1,39.55,2.8142,3.125108,5.3193,5.41871
"Giresun","GİResun",7.5,37.55,40.2,6.5474,7.270744,6.1533,6.262081
"Giresun","GİResun",6,40.15,40.35,.80424,.8930909,4.2209,4.306395
"Giresun","GİResun",6,38.85,39.95,2.5543,2.836494,5.2284,5.326745
"Giresun","GİResun",7,38.6,39.55,4.4032,4.889657,5.7521,5.856444
"Giresun","GİResun",7,37.85,40.15,4.7446,5.268775,5.8263,5.931525
"Giresun","GİResun",8,39.9,40.1,10.731,11.91654,6.6763,6.790476
"Giresun","GİResun",6.5,37.25,40.9,1.4082,1.563775,4.6917,4.783372
"Giresun","GİResun",6,39.8,40.45,1.1002,1.221748,4.4801,4.569123
"Giresun","GİResun",6,37.35,40.05,.75866,.8424753,4.1737,4.258622
"Giresun","GİResun",6.5,39.25,40.35,4.9231,5.466995,5.8633,5.968874
"Giresun","GİResun",7.5,38.6,39.55,7.5475,8.381333,6.3011,6.411463
"Giresun","GİResun",7.5,38.85,41.3,6.2922,6.98735,6.1124,6.220682
"Giresun","GİResun",8,37.75,40.1,11.534,12.80825,6.7547,6.86981
"Giresun","GİResun",8,38.25,40.65,15.668,17.39897,7.0943,7.212697
"Giresun","GİResun",7,39.95,39.55,3.0053,3.33732,5.3815,5.481628
"Giresun","GİResun",6,38.2,40.05,1.8271,2.028955,4.9218,5.016399
"Giresun","GİResun",6,38.45,39.2,.73461,.8157683,4.1478,4.232398
"Giresun","GİResun",8,38.35,41.6,8.2519,9.163554,6.395,6.506321
"Giresun","GİResun",6.5,37.4,40.5,1.725,1.915575,4.8703,4.964328
"Giresun","GİResun",6,38.75,41.35,.82798,.9194537,4.2445,4.33035
"Giresun","GİResun",6,39.05,40.7,2.1567,2.394968,5.0721,5.168539
"Giresun","GİResun",6,37.35,39.55,.62118,.6898068,4.0149,4.097639
"Giresun","GİResun",7.5,39.2,40.25,14.453,16.04974,7.0039,7.121381
"Giresun","GİResun",6,39.1,39.65,1.2424,1.379658,4.5834,4.673831
"Giresun","GİResun",7,37.95,39.25,2.9008,3.221275,5.3479,5.447679
"Giresun","GİResun",7,38.25,41.4,3.1087,3.452143,5.4137,5.514202
"Giresun","GİResun",6.5,38.85,40.9,3.1347,3.481016,5.4216,5.52224
"Giresun","GİResun",7,37.75,40.55,4.2796,4.752402,5.7239,5.827972
"Giresun","GİResun",7,38.4,41.3,3.4644,3.84714,5.5176,5.619333
"Giresun","GİResun",6,39,41.2,.96608,1.072811,4.3713,4.458865
"Giresun","GİResun",6,39.8,40.85,.90821,1.008547,4.3202,4.407101
"Giresun","GİResun",7.5,37.85,40.55,7.9313,8.807535,6.3532,6.46409
