location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Gumushane","GÜMÜŞHane",7,40.25,40.8,5.0258,5.581041,5.884,5.989817
"Gumushane","GÜMÜŞHane",7.5,41,40.35,5.4992,6.106741,5.9748,6.081653
"Gumushane","GÜMÜŞHane",7,39.6,39.45,3.453,3.834481,5.5144,5.616117
"Gumushane","GÜMÜŞHane",7.5,40.75,40.55,6.3528,7.054646,6.1222,6.230647
"Gumushane","GÜMÜŞHane",8,38.85,39.3,8.4926,9.430846,6.4254,6.537067
"Gumushane","GÜMÜŞHane",6.5,40.6,40.55,2.1275,2.362542,5.0596,5.155924
"Gumushane","GÜMÜŞHane",6,40.5,40.7,1.0848,1.204647,4.4682,4.557081
"Gumushane","GÜMÜŞHane",6.5,40.5,40.4,2.3379,2.596187,5.1462,5.243594
"Gumushane","GÜMÜŞHane",6.5,37.85,40.15,1.4146,1.570882,4.6955,4.787368
"Gumushane","GÜMÜŞHane",7.5,40.1,41.6,5.2807,5.864102,5.9338,6.040184
"Gumushane","GÜMÜŞHane",6,40,41.1,1.1902,1.321691,4.5468,4.636678
"Gumushane","GÜMÜŞHane",6.5,38.8,40.9,2.7194,3.019834,5.287,5.386075
"Gumushane","GÜMÜŞHane",7,40.55,39.7,3.1706,3.520882,5.4325,5.533243
"Gumushane","GÜMÜŞHane",6.5,38.25,39.75,1.5355,1.705139,4.7673,4.860018
"Gumushane","GÜMÜŞHane",6,39.05,40.1,1.8961,2.105577,4.9551,5.050152
"Gumushane","GÜMÜŞHane",6.5,39.35,40.3,9.2532,10.27548,6.5167,6.629308
"Gumushane","GÜMÜŞHane",6,38.25,41.3,.66762,.7413774,4.0717,4.155205
"Gumushane","GÜMÜŞHane",7.5,38.5,39.35,4.9037,5.445451,5.8593,5.964874
"Gumushane","GÜMÜŞHane",8,39.75,39.4,9.4018,10.44049,6.5338,6.646526
"Gumushane","GÜMÜŞHane",7.5,39.6,40.1,13.29,14.75825,6.9106,7.027207
"Gumushane","GÜMÜŞHane",7,40.6,39.8,3.2662,3.627043,5.4609,5.562009
"Gumushane","GÜMÜŞHane",8,40.5,40.3,11.62,12.90376,6.7629,6.878008
"Gumushane","GÜMÜŞHane",7.5,40.4,40.3,8.0251,8.911697,6.3656,6.476603
"Gumushane","GÜMÜŞHane",6.5,39.15,40.1,4.119,4.574059,5.6862,5.789859
"Gumushane","GÜMÜŞHane",6.5,41,40.65,1.551,1.722352,4.7762,4.868965
"Gumushane","GÜMÜŞHane",7,37.9,41,2.7606,3.065586,5.3012,5.400381
"Gumushane","GÜMÜŞHane",7.5,39.65,41.05,9.3191,10.34866,6.5243,6.636974
"Gumushane","GÜMÜŞHane",6.5,38.85,41.35,1.8152,2.01574,4.9159,5.010465
"Gumushane","GÜMÜŞHane",7,39.5,40.6,20.176,22.40501,7.382,7.503223
"Gumushane","GÜMÜŞHane",6,40.1,40.65,1.8351,2.037838,4.9257,5.02037
"Gumushane","GÜMÜŞHane",7.5,40,41.2,7.1729,7.965348,6.248,6.357721
"Gumushane","GÜMÜŞHane",7,39,39.85,4.7474,5.271884,5.8269,5.93212
"Gumushane","GÜMÜŞHane",7.5,38.5,41.05,6.5002,7.21833,6.1459,6.254534
"Gumushane","GÜMÜŞHane",8,40.4,41.55,8.3862,9.312692,6.4121,6.523574
"Gumushane","GÜMÜŞHane",7.5,37.8,40.8,4.9911,5.542507,5.877,5.982784
"Gumushane","GÜMÜŞHane",6,40.65,41.4,.64513,.7164028,4.0447,4.127776
"Gumushane","GÜMÜŞHane",6.5,40.5,40,2.0032,2.22451,5.0048,5.10045
"Gumushane","GÜMÜŞHane",6,40.15,40.8,1.4945,1.65961,4.7435,4.835964
"Gumushane","GÜMÜŞHane",6.5,38.55,39.65,1.6779,1.863271,4.8457,4.939384
"Gumushane","GÜMÜŞHane",6.5,38.3,39.85,1.6642,1.848058,4.8384,4.932012
"Gumushane","GÜMÜŞHane",8,39.45,40.6,36.951,41.03328,8.0979,8.22584
"Gumushane","GÜMÜŞHane",6.5,40.6,40,1.8654,2.071486,4.9404,5.035271
"Gumushane","GÜMÜŞHane",7,40.7,40.25,3.6665,4.071568,5.5725,5.674849
"Gumushane","GÜMÜŞHane",7,40.7,40.75,3.6202,4.020153,5.5602,5.662376
"Gumushane","GÜMÜŞHane",7.5,41.2,40.45,5.0099,5.563384,5.8808,5.986599
"Gumushane","GÜMÜŞHane",7,38.55,40.75,4.5119,5.010366,5.7763,5.880898
"Gumushane","GÜMÜŞHane",7.5,40.85,39.65,4.9488,5.495534,5.8685,5.974151
"Gumushane","GÜMÜŞHane",7,38.55,39.95,3.96,4.397493,5.6476,5.750793
"Gumushane","GÜMÜŞHane",6.5,39.7,41.55,1.6587,1.84195,4.8355,4.929038
"Gumushane","GÜMÜŞHane",6.5,39.6,40.75,6.1394,6.817669,6.0871,6.195167
"Gumushane","GÜMÜŞHane",7.5,39.7,40.3,18.975,21.07132,7.3116,7.432093
"Gumushane","GÜMÜŞHane",6.5,40.45,41.5,1.4316,1.58976,4.706,4.797906
"Gumushane","GÜMÜŞHane",6,38.45,41.25,.76642,.8510926,4.1819,4.266928
"Gumushane","GÜMÜŞHane",7,38.75,40.15,5.2633,5.844779,5.9305,6.036816
"Gumushane","GÜMÜŞHane",7,40.85,40.3,3.3455,3.715105,5.484,5.585307
"Gumushane","GÜMÜŞHane",8,41.05,40.05,8.4613,9.396089,6.4215,6.533114
"Gumushane","GÜMÜŞHane",6,40.75,41.1,.73001,.8106601,4.1428,4.227297
