location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Gungoren","GÜNgÖRen",7,27.9,40.25,3.3291,3.696893,5.4792,5.58053
"Gungoren","GÜNgÖRen",8,28.25,41.75,10.958,12.16862,6.699,6.813433
"Gungoren","GÜNgÖRen",7.5,27.85,40.25,5.7924,6.432333,6.0276,6.135036
"Gungoren","GÜNgÖRen",7,28.85,41.55,6.2026,6.887852,6.0976,6.205789
"Gungoren","GÜNgÖRen",7.5,28.05,41.95,5.6843,6.312291,6.0084,6.115643
"Gungoren","GÜNgÖRen",7,29.65,41.05,5.671,6.297521,6.0061,6.113234
"Gungoren","GÜNgÖRen",7,27.8,40.7,3.9918,4.432806,5.6554,5.758718
"Gungoren","GÜNgÖRen",8,29.5,40.4,11.778,13.07921,6.7777,6.892928
"Gungoren","GÜNgÖRen",7.5,29.95,40.65,6.7692,7.517048,6.1878,6.296899
"Gungoren","GÜNgÖRen",7,29.85,40.1,3.0291,3.363749,5.389,5.489213
"Gungoren","GÜNgÖRen",7,29.8,41.45,4.2022,4.666451,5.7059,5.809767
"Gungoren","GÜNgÖRen",6.5,29.35,39.75,1.3738,1.525575,4.6701,4.761614
"Gungoren","GÜNgÖRen",6,28.65,40.55,1.8753,2.082479,4.9452,5.040093
"Gungoren","GÜNgÖRen",6.5,29.75,40.8,2.613,2.901679,5.2496,5.348219
"Gungoren","GÜNgÖRen",6,29.75,41.75,.87009,.9662159,4.285,4.371405
"Gungoren","GÜNgÖRen",8,29.8,41.95,8.9801,9.972204,6.4847,6.597003
"Gungoren","GÜNgÖRen",7.5,28.5,41.05,16.701,18.54609,7.1663,7.285415
"Gungoren","GÜNgÖRen",8,30.15,41.95,8.1703,9.072939,6.3845,6.495715
"Gungoren","GÜNgÖRen",7.5,29.75,39.95,5.1678,5.738729,5.912,6.01815
"Gungoren","GÜNgÖRen",7.5,29.6,41.35,8.8048,9.777537,6.4638,6.575796
"Gungoren","GÜNgÖRen",8,30.6,41.15,8.2842,9.199423,6.3991,6.510494
"Gungoren","GÜNgÖRen",6.5,28.75,40.1,1.9748,2.192972,4.9919,5.087348
"Gungoren","GÜNgÖRen",6.5,28.45,40.05,1.7847,1.98187,4.9007,4.995095
"Gungoren","GÜNgÖRen",8,29.35,39.75,8.2455,9.156447,6.3942,6.505493
"Gungoren","GÜNgÖRen",6,28.15,40.15,.8318,.9236957,4.2482,4.334148
"Gungoren","GÜNgÖRen",6,28.35,41.2,2.1854,2.426839,5.0842,5.18079
"Gungoren","GÜNgÖRen",8,29.9,40.8,11.506,12.77716,6.7522,6.867129
"Gungoren","GÜNgÖRen",8,28.75,41.75,12.232,13.58337,6.8192,6.934812
"Gungoren","GÜNgÖRen",6,28.75,40.4,1.4523,1.612747,4.7185,4.810591
"Gungoren","GÜNgÖRen",6,27.3,41.6,.62855,.697991,4.0242,4.107019
"Gungoren","GÜNgÖRen",7.5,28.85,40.15,6.9392,7.70583,6.2135,6.322899
"Gungoren","GÜNgÖRen",8,28.55,40.6,16.282,18.0808,7.1376,7.256425
"Gungoren","GÜNgÖRen",7,30.25,40.35,2.8977,3.217832,5.3469,5.446656
