location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Hakkari","Hakkarİ",7.5,43.7,38.5,5.1765,5.74839,5.9137,6.019864
"Hakkari","Hakkarİ",7,42.8,37.45,4.9937,5.545394,5.8775,5.983312
"Hakkari","Hakkarİ",7.5,43.3,36.5,7.5043,8.333361,6.2951,6.405389
"Hakkari","Hakkarİ",7.5,43.7,36.65,9.2953,10.32223,6.5216,6.634211
"Hakkari","Hakkarİ",7.5,42.8,37.8,7.0469,7.825428,6.2295,6.339076
"Hakkari","Hakkarİ",7.5,42.7,38.2,5.379,5.973262,5.9525,6.059027
"Hakkari","Hakkarİ",7,43,38.5,2.6936,2.991184,5.2781,5.377018
"Hakkari","Hakkarİ",7,42.25,36.6,2.8449,3.159199,5.3295,5.42907
"Hakkari","Hakkarİ",7,42.85,36.4,3.3906,3.765187,5.4969,5.598339
"Hakkari","Hakkarİ",7,42.8,36.55,3.6813,4.088003,5.5764,5.678806
"Hakkari","Hakkarİ",6,41.95,37.45,.6168,.6849429,4.0094,4.092019
"Hakkari","Hakkarİ",7.5,43.45,37.25,29.174,32.39709,7.8137,7.939027
"Hakkari","Hakkarİ",8,42.2,36.65,8.4318,9.363329,6.4178,6.529376
"Hakkari","Hakkarİ",6,43.65,36.8,2.1145,2.348106,5.054,5.150259
"Hakkari","Hakkarİ",7,42.4,36.9,3.4352,3.814714,5.5095,5.611074
"Hakkari","Hakkarİ",6,43,37,1.6843,1.870378,4.8491,4.942809
"Hakkari","Hakkarİ",6.5,42.75,36.75,2.1483,2.38564,5.0685,5.164926
"Hakkari","Hakkarİ",6,42.4,37.55,.84558,.9389981,4.2616,4.347725
"Hakkari","Hakkarİ",8,43.55,37.8,14.786,16.41953,7.0293,7.147081
"Hakkari","Hakkarİ",7,43.3,37,9.0135,10.00929,6.4887,6.601001
"Hakkari","Hakkarİ",7.5,43.25,37.75,9.5112,10.56198,6.5462,6.659046
"Hakkari","Hakkarİ",7.5,43.7,36.75,10.714,11.89766,6.6746,6.788739
"Hakkari","Hakkarİ",8,42.9,37.5,13.738,15.25575,6.9474,7.064336
"Hakkari","Hakkarİ",8,43.25,36.55,12.065,13.39792,6.8041,6.919571
"Hakkari","Hakkarİ",8,42.15,37.65,8.6458,9.600971,6.4444,6.556229
"Hakkari","Hakkarİ",6,43.7,36.6,1.3919,1.545674,4.6815,4.773121
"Hakkari","Hakkarİ",8,43.55,37.45,28.053,31.15224,7.7672,7.892042
"Hakkari","Hakkarİ",7.5,42.3,36.95,5.8026,6.44366,6.0294,6.136849
