location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Hatay","Hatay",7.5,37,36.2,9.1311,10.13989,6.5025,6.614972
"Hatay","Hatay",6,36.2,36.9,1.123,1.247067,4.4974,4.586683
"Hatay","Hatay",6.5,36,37,2.009,2.230951,5.0074,5.103106
"Hatay","Hatay",6.5,36.65,37.35,1.4212,1.578211,4.6996,4.791472
"Hatay","Hatay",7,35.35,37,3.1241,3.469245,5.4184,5.51897
"Hatay","Hatay",7,35.85,36.75,4.7874,5.316303,5.8353,5.940593
"Hatay","Hatay",7,36.35,37.45,2.7088,3.008063,5.2834,5.382363
"Hatay","Hatay",8,35.5,37.25,8.4005,9.328571,6.4139,6.525397
"Hatay","Hatay",8,36.9,36.55,12.912,14.33849,6.8787,6.994987
"Hatay","Hatay",8,35.65,37,9.9087,11.00339,6.5901,6.703469
"Hatay","Hatay",7.5,34.9,36.05,5.7873,6.42667,6.0267,6.134129
"Hatay","Hatay",6,34.85,36.75,.64176,.7126604,4.0405,4.123595
"Hatay","Hatay",7,36.4,37.3,3.0076,3.339874,5.3822,5.482364
"Hatay","Hatay",8,36.2,37.35,8.6231,9.575764,6.4416,6.553409
"Hatay","Hatay",6.5,35.95,36.85,2.362,2.622949,5.1557,5.253184
"Hatay","Hatay",8,36.25,36.85,12.272,13.62779,6.8227,6.938435
"Hatay","Hatay",8,36,37.15,9.6073,10.6687,6.5569,6.669938
"Hatay","Hatay",6.5,35.2,36.9,1.577,1.751224,4.7908,4.883796
"Hatay","Hatay",6.5,37.25,36.45,2.0856,2.316013,5.0415,5.137553
"Hatay","Hatay",8,36.45,37,10.699,11.88101,6.673,6.787205
"Hatay","Hatay",8,36.6,37.1,9.794,10.87602,6.5776,6.690818
"Hatay","Hatay",7.5,35.7,36.95,6.4942,7.211667,6.1449,6.253572
"Hatay","Hatay",7,37.85,36.35,2.7536,3.057812,5.2988,5.397964
"Hatay","Hatay",7.5,36,37.35,5.1982,5.772487,5.9179,6.024126
"Hatay","Hatay",7.5,37.3,36.55,6.4497,7.162251,6.1378,6.246406
"Hatay","Hatay",7,37.6,36.35,3.1911,3.543647,5.4387,5.539475
"Hatay","Hatay",8,35.05,36.95,8.4419,9.374545,6.4191,6.530657
"Hatay","Hatay",7,36.3,37.25,3.1399,3.48679,5.4232,5.523841
"Hatay","Hatay",6,37.45,36.65,.76502,.849538,4.1804,4.265435
"Hatay","Hatay",6,35.3,36,1.1392,1.265057,4.5095,4.59897
"Hatay","Hatay",7.5,36.65,36,14.308,15.88872,6.9926,7.110023
"Hatay","Hatay",8,36.4,36.25,30.83,34.23604,7.8796,8.005507
"Hatay","Hatay",6.5,37.55,36.4,1.6713,1.855942,4.8422,4.935839
"Hatay","Hatay",7,37.05,37.25,2.7707,3.076802,5.3046,5.403859
"Hatay","Hatay",6,36.6,37.35,.65636,.7288734,4.0583,4.141574
"Hatay","Hatay",7.5,34.8,36.45,5.3191,5.906744,5.9411,6.047582
"Hatay","Hatay",6.5,35.95,36.15,7.4513,8.274506,6.2877,6.397895
"Hatay","Hatay",7.5,35,36,6.1265,6.803344,6.085,6.192986
"Hatay","Hatay",6.5,34.9,36.15,1.6676,1.851833,4.8402,4.933846
"Hatay","Hatay",6.5,37.2,37.15,1.41,1.565774,4.6927,4.784497
"Hatay","Hatay",7.5,35.55,36.75,7.0695,7.850525,6.2328,6.342442
"Hatay","Hatay",7,36.75,36.7,4.7911,5.320412,5.8361,5.941374
"Hatay","Hatay",8,35.8,37.1,9.6401,10.70512,6.5606,6.673632
"Hatay","Hatay",6,35,36.2,.84503,.9383873,4.2611,4.347187
"Hatay","Hatay",6,35.55,36.9,.89138,.989858,4.3048,4.391505
"Hatay","Hatay",8,36.5,36.95,11.039,12.25857,6.707,6.821521
"Hatay","Hatay",6,36.35,36.6,1.8979,2.107576,4.9559,5.051018
"Hatay","Hatay",6.5,36.35,37.3,1.5287,1.697588,4.7634,4.856068
"Hatay","Hatay",6,37.05,36.6,1.0893,1.209644,4.4717,4.560616
"Hatay","Hatay",8,35,36.25,9.8425,10.92988,6.5829,6.696184
"Hatay","Hatay",7,36.2,37,3.9292,4.363291,5.64,5.743064
"Hatay","Hatay",6.5,37.15,37,1.5887,1.764217,4.7973,4.8904
"Hatay","Hatay",7,35.75,36.8,4.3377,4.816921,5.7372,5.841446
"Hatay","Hatay",8,35.95,37.1,9.8653,10.9552,6.5854,6.698698
"Hatay","Hatay",7,35.2,36.85,3.1832,3.534874,5.4363,5.537078
"Hatay","Hatay",7.5,36.6,36.6,9.7832,10.86403,6.5764,6.68962
"Hatay","Hatay",8,35.05,36.85,8.7362,9.701359,6.4554,6.567393
"Hatay","Hatay",6,36.6,36.85,1.1205,1.244291,4.4956,4.584773
"Hatay","Hatay",7.5,37.9,36.05,4.9321,5.476989,5.8651,5.970725
"Hatay","Hatay",7,37.55,36.4,3.2645,3.625156,5.4604,5.561504
"Hatay","Hatay",6,37.8,36.5,.63277,.7026772,4.0295,4.112347
"Hatay","Hatay",6.5,35.6,36.6,2.5642,2.847488,5.232,5.330397
"Hatay","Hatay",8,37.3,36.05,11.094,12.31964,6.7124,6.826982
"Hatay","Hatay",6,35.95,36.75,1.3235,1.469718,4.6378,4.72892
"Hatay","Hatay",6.5,36.4,36.15,13.494,14.98479,6.9275,7.044253
"Hatay","Hatay",8,36.45,37.15,9.6478,10.71367,6.5614,6.674498
"Hatay","Hatay",6.5,35.8,36.65,2.8346,3.147761,5.3261,5.425605
"Hatay","Hatay",7,35.15,36.35,3.8082,4.228923,5.6094,5.712167
"Hatay","Hatay",7.5,35.2,36,7.0177,7.793002,6.2252,6.334712
"Hatay","Hatay",6.5,36.3,36.6,3.7666,4.182727,5.5987,5.701342
"Hatay","Hatay",6,37.1,36.9,.81819,.9085821,4.2348,4.320545
"Hatay","Hatay",7,37.15,36.85,3.4223,3.800389,5.5058,5.607406
"Hatay","Hatay",6,37.15,36.8,.85888,.9537674,4.2744,4.360648
"Hatay","Hatay",7.5,36.75,36.15,12.587,13.97759,6.8506,6.966594
"Hatay","Hatay",6,36.4,36.05,7.2764,8.080283,6.2629,6.372818
"Hatay","Hatay",6,36.7,37.3,.67289,.7472296,4.0779,4.161516
"Hatay","Hatay",7,36.2,37.4,2.8074,3.117556,5.317,5.416402
