location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Igdir","IĞDir",6,43.6,40.55,.885,.9827731,4.2989,4.385526
"Igdir","IĞDir",8,42.95,40.1,8.6976,9.658494,6.4507,6.562639
"Igdir","IĞDir",7,43.8,40.15,5.4749,6.079757,5.9703,6.077115
"Igdir","IĞDir",7.5,43.6,39.05,5.8104,6.452322,6.0308,6.138234
"Igdir","IĞDir",7,43.6,39.55,4.4286,4.917863,5.7578,5.862206
"Igdir","IĞDir",8,43.95,39.95,17.352,19.26902,7.2097,7.329172
"Igdir","IĞDir",8,43.05,39.25,8.3683,9.292814,6.4098,6.521289
"Igdir","IĞDir",7.5,43.2,40.65,5.1435,5.711744,5.9073,6.013352
"Igdir","IĞDir",7,44,40.75,3.658,4.062129,5.5703,5.67257
"Igdir","IĞDir",6.5,43.6,40.05,2.5285,2.807844,5.2189,5.317167
"Igdir","IĞDir",7.5,43.7,39.15,6.4077,7.115611,6.1311,6.239602
"Igdir","IĞDir",7.5,43.9,40.25,9.2671,10.29091,6.5183,6.630929
"Igdir","IĞDir",7.5,43.9,39.9,11.199,12.43624,6.7226,6.83734
"Igdir","IĞDir",6.5,43.55,40.55,1.8217,2.022958,4.9191,5.01371
"Igdir","IĞDir",7.5,44,41.15,4.9413,5.487206,5.867,5.972614
"Igdir","IĞDir",8,43.9,38.7,8.4695,9.405194,6.4225,6.534151
"Igdir","IĞDir",6.5,43.9,39.95,3.838,4.262015,5.617,5.719857
"Igdir","IĞDir",8,42.85,39.75,8.395,9.322464,6.4132,6.524696
"Igdir","IĞDir",6,43.65,40.2,1.2058,1.339015,4.5579,4.647929
"Igdir","IĞDir",7.5,43.85,39.4,8.2338,9.143455,6.3927,6.503977
"Igdir","IĞDir",6,43.9,39.25,1.1241,1.248288,4.4983,4.587522
"Igdir","IĞDir",6,43.75,40.7,.84667,.9402085,4.2627,4.348791
"Igdir","IĞDir",8,43.75,39.35,11.687,12.97816,6.7691,6.884357
"Igdir","IĞDir",6.5,43.2,39.15,1.4545,1.61519,4.7198,4.81193
"Igdir","IĞDir",7.5,43.75,40.6,6.5683,7.293953,6.1566,6.265406
"Igdir","IĞDir",7.5,43.15,39.05,4.9258,5.469993,5.8638,5.969429
"Igdir","IĞDir",8,43.4,39.7,10.905,12.10976,6.6937,6.808112
"Igdir","IĞDir",7,43.4,40.05,3.9838,4.423923,5.6535,5.756729
"Igdir","IĞDir",6,44,39.2,1.1261,1.250509,4.4998,4.589046
"Igdir","IĞDir",6,43.3,39.7,.90727,1.007504,4.3194,4.406236
"Igdir","IĞDir",7.5,43.15,39.5,5.691,6.319731,6.0097,6.116854
"Igdir","IĞDir",6.5,44,39,1.8931,2.102246,4.9537,5.048707
"Igdir","IĞDir",7.5,43.85,39,6.1314,6.808785,6.0858,6.193815
"Igdir","IĞDir",7,43.55,39.85,4.6131,5.122746,5.7983,5.903196
"Igdir","IĞDir",7,43.5,39.95,4.3952,4.880774,5.7503,5.854623
"Igdir","IĞDir",6.5,43.45,40.55,1.7211,1.911244,4.8683,4.962286
"Igdir","IĞDir",6,43.05,40,.74623,.8286721,4.1604,4.24516
"Igdir","IĞDir",6.5,43.45,40.3,1.9832,2.2023,4.9957,5.091241
"Igdir","IĞDir",6,43.15,40.55,.67124,.7453973,4.076,4.159544
"Igdir","IĞDir",6,44,39.75,2.2908,2.543883,5.1275,5.224595
"Igdir","IĞDir",8,43.95,40.75,10.129,11.24803,6.6138,6.7274
"Igdir","IĞDir",7.5,43.1,40.5,5.2061,5.78126,5.9195,6.025673
"Igdir","IĞDir",8,43.45,39.45,10.507,11.66779,6.6534,6.767388
"Igdir","IĞDir",6.5,43.4,39.2,1.6621,1.845726,4.8373,4.930878
"Igdir","IĞDir",7,43.8,39,3.4131,3.790173,5.5032,5.604782
"Igdir","IĞDir",7.5,43.25,40,6.316,7.01378,6.1163,6.224606
"Igdir","IĞDir",6,43.8,40.05,1.5932,1.769214,4.7998,4.892929
"Igdir","IĞDir",6.5,43.05,39.3,1.4312,1.589316,4.7057,4.79766
"Igdir","IĞDir",8,43.55,39.1,9.4764,10.52333,6.5422,6.655078
"Igdir","IĞDir",8,42.95,39.4,8.3484,9.270716,6.4073,6.518744
"Igdir","IĞDir",7,43,40.4,2.8352,3.148427,5.3263,5.425807
