location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Isparta","Isparta",7,31.9,38.65,3.3086,3.674128,5.4733,5.574528
"Isparta","Isparta",8,31.25,36.65,8.9901,9.983309,6.4859,6.598201
"Isparta","Isparta",8,31.05,37.7,42.705,47.42297,8.2749,8.404401
"Isparta","Isparta",7.5,32.3,37.6,6.2183,6.905286,6.1002,6.208412
"Isparta","Isparta",6,31.5,37.3,1.4938,1.658832,4.7432,4.835548
"Isparta","Isparta",7.5,29.75,38.65,4.9301,5.474768,5.8647,5.970314
"Isparta","Isparta",6,30.5,38.2,1.5253,1.693812,4.7615,4.854087
"Isparta","Isparta",6,31.6,38.8,.7834,.8699486,4.1996,4.284853
"Isparta","Isparta",7,29.55,37.8,2.991,3.32144,5.377,5.477046
"Isparta","Isparta",6.5,30.9,39.1,1.3898,1.543342,4.6802,4.771793
"Isparta","Isparta",6.5,31.85,37.95,2.8747,3.192291,5.3394,5.43903
"Isparta","Isparta",6,30.85,39,.69107,.7674181,4.0991,4.182962
"Isparta","Isparta",6.5,30.35,37.25,2.303,2.557431,5.1323,5.229548
"Isparta","Isparta",7,30.8,38.45,4.9782,5.528182,5.8744,5.980158
"Isparta","Isparta",7,31,36.7,3.2209,3.576739,5.4476,5.548473
"Isparta","Isparta",7,30.6,38.15,6.4953,7.212888,6.1451,6.253748
"Isparta","Isparta",7.5,30.6,38.75,6.127,6.803899,6.085,6.193071
"Isparta","Isparta",6,32.35,38.15,.79327,.880909,4.2097,4.295117
"Isparta","Isparta",7,30.2,37.45,4.4492,4.940739,5.7624,5.866858
"Isparta","Isparta",6.5,32.55,37.55,1.5106,1.677488,4.753,4.845479
"Isparta","Isparta",7,29.85,37.3,3.2648,3.625489,5.4605,5.561594
"Isparta","Isparta",7,31.85,36.65,2.758,3.062699,5.3003,5.399483
"Isparta","Isparta",6,29.85,38.45,.72773,.8081282,4.1403,4.224759
"Isparta","Isparta",7,32.4,37.9,3.3467,3.716437,5.4843,5.585656
"Isparta","Isparta",7,32.45,37.25,2.9235,3.246483,5.3553,5.455145
"Isparta","Isparta",6.5,31.65,36.95,1.8754,2.082591,4.9452,5.040142
"Isparta","Isparta",6,30.2,37.35,1.0669,1.184769,4.4542,4.542895
"Isparta","Isparta",6.5,32.3,37.45,1.7504,1.943781,4.8834,4.977531
"Isparta","Isparta",7,30.5,39.05,2.7324,3.03427,5.2915,5.39061
"Isparta","Isparta",6,32.1,37.6,1.0377,1.152343,4.4309,4.519299
"Isparta","Isparta",7.5,29.8,36.95,4.9841,5.534734,5.8756,5.981359
"Isparta","Isparta",6.5,30.55,36.8,1.6777,1.863049,4.8456,4.939277
"Isparta","Isparta",6.5,31.9,37.6,2.6478,2.940324,5.262,5.360749
"Isparta","Isparta",7.5,30.15,37.95,7.8849,8.756009,6.347,6.457851
"Isparta","Isparta",8,32.6,37.55,8.6,9.550112,6.4388,6.550533
"Isparta","Isparta",8,32.7,38.2,8.1271,9.024966,6.3789,6.490061
"Isparta","Isparta",7,31,39.15,2.6875,2.98441,5.276,5.374866
"Isparta","Isparta",7.5,30.4,37.6,9.7357,10.81128,6.5712,6.684337
"Isparta","Isparta",6.5,30.85,37.65,7.9051,8.77844,6.3497,6.460571
"Isparta","Isparta",8,31.3,37.75,29.782,33.07226,7.8383,7.963826
"Isparta","Isparta",6,29.55,38.25,.65101,.7229323,4.0518,4.135026
"Isparta","Isparta",7,29.5,37.85,2.9036,3.224384,5.3488,5.448603
"Isparta","Isparta",7,30.45,37.35,5.0787,5.639785,5.8945,6.000455
"Isparta","Isparta",7.5,31.2,36.95,6.9952,7.768016,6.2218,6.331338
"Isparta","Isparta",7,29.7,37.75,3.2815,3.644034,5.4654,5.566543
"Isparta","Isparta",7.5,30.85,36.7,5.6889,6.317399,6.0093,6.116475
"Isparta","Isparta",8,30.5,38.55,10.94,12.14863,6.6972,6.811628
"Isparta","Isparta",6.5,31.85,37.25,2.1928,2.435056,5.0873,5.183926
"Isparta","Isparta",6,31.85,37.4,1.2006,1.33324,4.5542,4.644193
"Isparta","Isparta",7,31.65,38.2,5.5082,6.116735,5.9765,6.08333
"Isparta","Isparta",7,30.6,37.6,7.6544,8.500044,6.3159,6.426359
"Isparta","Isparta",7,31.4,38.6,4.1212,4.576502,5.6868,5.79039
"Isparta","Isparta",6,29.85,38.3,.78569,.8724915,4.202,4.287244
"Isparta","Isparta",7.5,32.4,38.15,5.7227,6.354933,6.0153,6.12257
"Isparta","Isparta",7,30.8,38.95,3.0639,3.402394,5.3999,5.500209
"Isparta","Isparta",8,30.3,38.55,10.233,11.36352,6.6249,6.738535
"Isparta","Isparta",6.5,32.65,37.6,1.4284,1.586207,4.704,4.795931
"Isparta","Isparta",7,32.45,38,3.205,3.559082,5.4428,5.543682
"Isparta","Isparta",6.5,30.45,37.3,2.6073,2.89535,5.2476,5.346153
"Isparta","Isparta",7.5,31.8,38.95,5.0911,5.653555,5.897,6.002934
"Isparta","Isparta",8,30,37.6,10.962,12.17306,6.6994,6.813834
"Isparta","Isparta",8,30.05,38.45,9.7637,10.84237,6.5743,6.687454
"Isparta","Isparta",6.5,32.15,38.4,1.7459,1.938784,4.8811,4.975205
"Isparta","Isparta",7,32.5,37.6,3.0976,3.439817,5.4103,5.510751
"Isparta","Isparta",6.5,31.5,36.8,1.7147,1.904137,4.865,4.958925
"Isparta","Isparta",7,30.05,38.4,3.5261,3.915657,5.5347,5.636582
