location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Izmir","İZmİR",6,28.45,39.05,.71507,.7940696,4.1263,4.210536
"Izmir","İZmİR",7,27.3,38.85,11.786,13.08809,6.7784,6.893678
"Izmir","İZmİR",7,26.4,39.3,5.0572,5.61591,5.8902,5.996143
"Izmir","İZmİR",6.5,27.05,38.55,7.0197,7.795223,6.2255,6.335011
"Izmir","İZmİR",6.5,27.1,38.05,2.4058,2.671588,5.1727,5.270394
"Izmir","İZmİR",6.5,27.7,37.8,1.5755,1.749558,4.79,4.882946
"Izmir","İZmİR",6,27.7,38.25,1.1134,1.236406,4.4901,4.579328
"Izmir","İZmİR",7,27.05,38.8,33.964,37.71628,7.9959,8.122859
"Izmir","İZmİR",8,26.1,39.8,8.7647,9.733007,6.4589,6.570891
"Izmir","İZmİR",6.5,27.55,39.65,1.9017,2.111796,4.9578,5.052844
"Izmir","İZmİR",7.5,26.9,39.55,7.7874,8.647738,6.334,6.444633
"Izmir","İZmİR",7.5,27.4,37.95,6.654,7.389122,6.17,6.278945
"Izmir","İZmİR",8,26.8,38.05,11.938,13.25689,6.7925,6.907853
"Izmir","İZmİR",8,26,37.85,8.6864,9.646057,6.4494,6.561256
"Izmir","İZmİR",8,28.25,38.4,9.4811,10.52855,6.5428,6.655614
"Izmir","İZmİR",6,27.4,40.05,.6428,.7138153,4.0418,4.124887
"Izmir","İZmİR",6,26,39.2,1.0195,1.132132,4.4161,4.504296
"Izmir","İZmİR",7.5,26.25,38.65,9.4521,10.49635,6.5395,6.652299
"Izmir","İZmİR",7.5,27.75,38.6,8.8504,9.828176,6.4693,6.581349
"Izmir","İZmİR",6,26.65,39.8,.82911,.9207085,4.2456,4.331475
"Izmir","İZmİR",7.5,26.4,39.4,7.8186,8.682384,6.3382,6.448879
"Izmir","İZmİR",7,28.45,38.95,3.0858,3.426713,5.4066,5.507071
"Izmir","İZmİR",6,27.5,39.7,.87062,.9668044,4.2855,4.371911
"Izmir","İZmİR",7,26.9,38.1,4.8234,5.35628,5.8428,5.948165
"Izmir","İZmİR",7.5,27.45,39.65,6.6048,7.334486,6.1623,6.271192
"Izmir","İZmİR",8,27.3,38.55,19.907,22.10629,7.3666,7.487633
"Izmir","İZmİR",6.5,27.7,38.45,2.7414,3.044265,5.2946,5.393738
"Izmir","İZmİR",6.5,28.35,39.05,1.6555,1.838397,4.8338,4.927303
"Izmir","İZmİR",8,26.35,39.9,8.7967,9.768542,6.4628,6.574807
"Izmir","İZmİR",7,27.15,39.55,4.5101,5.008368,5.7759,5.880497
"Izmir","İZmİR",8,26.05,39.25,11.142,12.37295,6.7171,6.831728
"Izmir","İZmİR",7.5,26.55,37.6,5.2058,5.780927,5.9194,6.025614
"Izmir","İZmİR",8,26.5,39.6,10.868,12.06868,6.69,6.804383
"Izmir","İZmİR",6.5,27.35,39.5,2.4162,2.683137,5.1767,5.27444
"Izmir","İZmİR",6,26.55,38.35,1.6348,1.81541,4.8226,4.91601
"Izmir","İZmİR",6,27.75,38.25,1.0701,1.188323,4.4567,4.545446
"Izmir","İZmİR",6,27.6,38.05,.96671,1.07351,4.3718,4.459414
"Izmir","İZmİR",7.5,28.45,39.05,5.4664,6.070318,5.9688,6.075523
"Izmir","İZmİR",7.5,26.6,38.6,13.942,15.48229,6.9637,7.080882
"Izmir","İZmİR",6.5,26.6,37.85,1.8248,2.0264,4.9206,5.015255
"Izmir","İZmİR",8,27.1,38.8,44.074,48.94321,8.3138,8.443626
"Izmir","İZmİR",6.5,27.65,39.6,1.9092,2.120125,4.9613,5.056437
"Izmir","İZmİR",7.5,26.5,40.05,5.0392,5.595921,5.8867,5.992521
"Izmir","İZmİR",6.5,27.2,38.1,2.5221,2.800737,5.2166,5.314777
"Izmir","İZmİR",8,26.2,40,8.1617,9.063389,6.3834,6.494591
"Izmir","İZmİR",7,26.7,37.95,3.9529,4.389609,5.6458,5.749017
"Izmir","İZmİR",8,27.65,38.9,15.217,16.89815,7.0615,7.179576
"Izmir","İZmİR",8,27.45,37.55,8.2982,9.21497,6.4009,6.512298
"Izmir","İZmİR",6.5,26.65,38.2,2.7946,3.103342,5.3127,5.412044
"Izmir","İZmİR",7,26.65,38.35,6.346,7.047094,6.1211,6.229533
"Izmir","İZmİR",6,26.75,38.65,4.2948,4.769281,5.7274,5.831513
"Izmir","İZmİR",8,26.75,38.3,15.249,16.93368,7.0638,7.181955
"Izmir","İZmİR",7,26.85,37.7,3.2123,3.567189,5.445,5.545884
"Izmir","İZmİR",7.5,27.1,37.95,7.0012,7.774679,6.2227,6.332239
"Izmir","İZmİR",6,26.3,38.2,1.0976,1.218861,4.4781,4.567101
"Izmir","İZmİR",8,26.45,40.05,8.2763,9.19065,6.3981,6.509475
"Izmir","İZmİR",7.5,28.05,38.05,5.6358,6.258432,5.9997,6.106834
"Izmir","İZmİR",6,26.25,38.65,1.5584,1.730569,4.7803,4.873209
"Izmir","İZmİR",7.5,27.45,39.25,9.5352,10.58863,6.5489,6.661776
"Izmir","İZmİR",8,27.85,39.95,8.1922,9.097259,6.3873,6.498571
"Izmir","İZmİR",6.5,26.2,38.15,2.0442,2.270039,5.0232,5.119077
"Izmir","İZmİR",7,26.7,38.65,11.538,12.8127,6.7552,6.870193
"Izmir","İZmİR",7,27.85,39.6,3.3791,3.752417,5.4936,5.59503
"Izmir","İZmİR",8,28.25,39.1,9.7252,10.79962,6.57,6.683166
"Izmir","İZmİR",7.5,27.7,38.4,8.271,9.184765,6.3974,6.50879
"Izmir","İZmİR",6.5,28.05,39.85,1.355,1.504698,4.6582,4.749519
"Izmir","İZmİR",6.5,26.6,38.7,5.8861,6.536385,6.044,6.151586
"Izmir","İZmİR",7.5,27.55,37.95,6.3854,7.090847,6.1275,6.235973
"Izmir","İZmİR",7,26.6,39.3,5.7762,6.414344,6.0248,6.132151
"Izmir","İZmİR",7.5,28.15,38.4,6.1929,6.87708,6.096,6.204165
"Izmir","İZmİR",6.5,28.1,38.25,1.7505,1.943892,4.8834,4.977583
"Izmir","İZmİR",6.5,26.85,38.85,15.331,17.02474,7.0698,7.188031
"Izmir","İZmİR",6.5,26,38.75,2.3943,2.658818,5.1683,5.265903
"Izmir","İZmİR",7,28.25,39.6,2.8387,3.152314,5.3275,5.426985
"Izmir","İZmİR",6.5,26.25,38.35,2.5169,2.794962,5.2147,5.312832
"Izmir","İZmİR",7,27.25,37.65,3.0496,3.386514,5.3954,5.495704
"Izmir","İZmİR",7.5,27.7,38.65,9.4632,10.50868,6.5407,6.653569
"Izmir","İZmİR",8,28.3,39.15,9.4071,10.44638,6.5344,6.647136
"Izmir","İZmİR",6.5,26.8,39.4,2.9846,3.314333,5.3749,5.474988
"Izmir","İZmİR",6,26.55,37.6,.66706,.7407555,4.0711,4.154531
"Izmir","İZmİR",6.5,27.95,38.35,2.0565,2.283698,5.0287,5.1246
"Izmir","İZmİR",7.5,26.6,38,7.0225,7.798333,6.2259,6.33543
"Izmir","İZmİR",6,27.3,38.6,3.0041,3.335987,5.3811,5.481245
"Izmir","İZmİR",7.5,27.4,38.95,13.775,15.29684,6.9504,7.067354
"Izmir","İZmİR",7.5,27,40.1,5.0479,5.605582,5.8884,5.994273
"Izmir","İZmİR",6,26,39.3,.95611,1.061739,4.3627,4.450144
"Izmir","İZmİR",6.5,26.2,37.75,1.4922,1.657055,4.7422,4.834598
"Izmir","İZmİR",6.5,27.45,39.9,1.569,1.74234,4.7863,4.879256
"Izmir","İZmİR",7.5,28.25,39.2,5.8926,6.543603,6.0451,6.152725
"Izmir","İZmİR",7.5,28,39.3,6.5238,7.244537,6.1496,6.258314
"Izmir","İZmİR",8,28,38.85,11.586,12.866,6.7597,6.874774
"Izmir","İZmİR",8,27.5,39.9,8.9462,9.934559,6.4807,6.592931
"Izmir","İZmİR",6.5,28.35,38.85,1.6958,1.883149,4.8551,4.948936
"Izmir","İZmİR",7.5,26.05,37.9,5.5233,6.133504,5.9793,6.086136
"Izmir","İZmİR",8,28.7,38.9,8.1313,9.029631,6.3795,6.490612
"Izmir","İZmİR",8,27.45,38.95,18.548,20.59715,7.2855,7.405815
"Izmir","İZmİR",7,27.55,38.35,5.2796,5.86288,5.9336,6.039972
"Izmir","İZmİR",7,27.45,38.4,6.054,6.722835,6.0728,6.180657
"Izmir","İZmİR",7.5,27.95,37.8,5.1642,5.734731,5.9113,6.017441
"Izmir","İZmİR",7.5,27.25,37.95,6.8678,7.626542,6.2028,6.31205
"Izmir","İZmİR",7.5,27.95,38.1,6.0269,6.69274,6.0682,6.176014
"Izmir","İZmİR",6.5,28.2,39.05,1.8489,2.053163,4.9324,5.027184
"Izmir","İZmİR",7,27.9,39.65,3.2054,3.559526,5.443,5.543802
"Izmir","İZmİR",6,28.65,39.15,.61204,.679657,4.0033,4.085872
"Izmir","İZmİR",6.5,28.3,38.35,1.6074,1.784983,4.8076,4.900867
"Izmir","İZmİR",6.5,27.15,39.6,2.2551,2.504239,5.113,5.209961
"Izmir","İZmİR",7.5,27.8,39.8,5.4275,6.02712,5.9615,6.068211
"Izmir","İZmİR",7.5,26.75,37.8,6.1166,6.79235,6.0833,6.19131
"Izmir","İZmİR",8,26.5,37.95,10.453,11.60783,6.6478,6.761756
"Izmir","İZmİR",7,26.9,38.05,4.536,5.037128,5.7815,5.886249
"Izmir","İZmİR",7.5,27.85,38.1,6.2982,6.994013,6.1133,6.221673
"Izmir","İZmİR",8,27.75,38.95,13.752,15.27129,6.9485,7.065479
"Izmir","İZmİR",7.5,26.8,37.95,6.9661,7.735702,6.2175,6.32696
"Izmir","İZmİR",6,26.2,39.4,1.0302,1.144015,4.4249,4.513144
"Izmir","İZmİR",7,26.15,39.45,3.8303,4.253464,5.615,5.717875
"Izmir","İZmİR",8,27,38.5,22.208,24.6615,7.493,7.615238
"Izmir","İZmİR",6.5,26.4,38.85,4.062,4.510762,5.6725,5.776012
"Izmir","İZmİR",7.5,26.8,39.65,6.9993,7.772569,6.2225,6.331954
"Izmir","İZmİR",6.5,26.6,37.5,1.3566,1.506475,4.6592,4.750555
"Izmir","İZmİR",6,27.8,39.8,.70784,.7860408,4.1182,4.202315
"Izmir","İZmİR",7.5,28.15,38,5.2969,5.882092,5.9369,6.043311
"Izmir","İZmİR",7,27.8,39.05,4.9337,5.478766,5.8654,5.971054
"Izmir","İZmİR",6,28.15,38.45,.87285,.9692808,4.2876,4.374035
"Izmir","İZmİR",8,28.3,38.5,9.4606,10.50579,6.5404,6.653272
"Izmir","İZmİR",7.5,27.15,39.85,5.9412,6.597572,6.0535,6.161207
"Izmir","İZmİR",6,27.1,38.6,4.4632,4.956286,5.7655,5.870008
"Izmir","İZmİR",8,27.35,38.2,13.059,14.50173,6.8913,7.007617
"Izmir","İZmİR",8,27.55,39.55,10.94,12.14863,6.6972,6.811628
"Izmir","İZmİR",7,27.35,37.95,3.8652,4.29222,5.6239,5.72683
"Izmir","İZmİR",6.5,27.4,38.3,3.0377,3.373299,5.3917,5.491941
