location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kadikoy","KadikÖY",6,28.15,41.85,.7667,.8514035,4.1822,4.267227
"Kadikoy","KadikÖY",6.5,29.75,41.2,3.1667,3.516551,5.4313,5.532053
"Kadikoy","KadikÖY",7.5,27.65,41.7,5.1229,5.688868,5.9032,6.009268
"Kadikoy","KadikÖY",6,27.75,41.45,.78215,.8685604,4.1983,4.283545
"Kadikoy","KadikÖY",7,29.7,40.25,3.955,4.391941,5.6464,5.749543
"Kadikoy","KadikÖY",7.5,29.7,40.95,10.779,11.96984,6.6811,6.795367
"Kadikoy","KadikÖY",7,29.25,41.15,12.762,14.17192,6.8658,6.981964
"Kadikoy","KadikÖY",8,29.2,40.5,16.154,17.93866,7.1287,7.247434
"Kadikoy","KadikÖY",7,28.75,40.05,3.6837,4.090668,5.5771,5.679447
"Kadikoy","KadikÖY",8,28.65,39.75,8.5037,9.443172,6.4268,6.538466
"Kadikoy","KadikÖY",6.5,27.75,41.6,1.5702,1.743673,4.787,4.879938
"Kadikoy","KadikÖY",7,30.1,40.9,4.2997,4.774723,5.7286,5.832652
"Kadikoy","KadikÖY",7.5,27.65,40.3,5.1845,5.757274,5.9153,6.021437
"Kadikoy","KadikÖY",7,28.2,40.6,4.6135,5.123191,5.7984,5.903283
"Kadikoy","KadikÖY",6.5,29.2,40.4,3.1204,3.465136,5.4173,5.517827
"Kadikoy","KadikÖY",6,30.5,41.7,.63061,.7002786,4.0268,4.109623
"Kadikoy","KadikÖY",8,29.8,39.95,8.922,9.907685,6.4778,6.590015
"Kadikoy","KadikÖY",6,28.1,40.75,1.1853,1.31625,4.5433,4.633117
"Kadikoy","KadikÖY",6.5,29.9,41.8,1.7383,1.930344,4.8772,4.971263
"Kadikoy","KadikÖY",8,28.65,41.45,14.731,16.35845,7.0252,7.142873
"Kadikoy","KadikÖY",6.5,29.65,40.3,2.2349,2.481807,5.1047,5.201591
