location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kagithane","KaĞIthane",8,29.35,40.3,11.289,12.53619,6.7313,6.846148
"Kagithane","KaĞIthane",6.5,28.05,41.7,1.947,2.162101,4.979,5.074361
"Kagithane","KaĞIthane",6.5,29.4,40.55,2.9576,3.28435,5.3663,5.466265
"Kagithane","KaĞIthane",7,29.75,40.9,5.5434,6.155824,5.9829,6.089862
"Kagithane","KaĞIthane",7.5,29.65,40.75,9.2636,10.28702,6.5179,6.630521
"Kagithane","KaĞIthane",6.5,28.45,41,4.4182,4.906314,5.7554,5.85985
"Kagithane","KaĞIthane",7.5,27.95,41.7,6.2385,6.927718,6.1036,6.211779
"Kagithane","KaĞIthane",8,28,41.2,12.065,13.39792,6.804,6.919571
"Kagithane","KaĞIthane",8,30.3,40.9,9.9057,11.00006,6.5898,6.70314
"Kagithane","KaĞIthane",6.5,30.1,41.15,2.1701,2.409848,5.0777,5.174277
"Kagithane","KaĞIthane",7,28.4,40.15,3.412,3.788951,5.5029,5.604468
"Kagithane","KaĞIthane",6.5,28.6,40.1,1.7703,1.965879,4.8935,4.987758
"Kagithane","KaĞIthane",8,28.95,39.8,8.3962,9.323796,6.4133,6.524849
"Kagithane","KaĞIthane",7,30.5,40.55,2.8523,3.167417,5.332,5.431551
"Kagithane","KaĞIthane",7.5,29.8,41.85,6.3132,7.01067,6.1158,6.224145
"Kagithane","KaĞIthane",7.5,29.25,41.4,13.477,14.96591,6.9261,7.042841
"Kagithane","KaĞIthane",7.5,29.1,40.35,7.877,8.747236,6.346,6.456786
"Kagithane","KaĞIthane",8,27.4,41.3,8.7225,9.686145,6.4538,6.565708
"Kagithane","KaĞIthane",7,29.1,40.4,4.9216,5.465329,5.863,5.968565
"Kagithane","KaĞIthane",7.5,29.4,40.4,7.7701,8.628526,6.3316,6.442272
"Kagithane","KaĞIthane",7.5,30.45,41.65,5.2515,5.831676,5.9282,6.034526
"Kagithane","KaĞIthane",7,28.2,41.6,4.3785,4.862228,5.7465,5.850812
"Kagithane","KaĞIthane",8,28.65,41.15,24.359,27.05014,7.6008,7.724076
"Kagithane","KaĞIthane",8,29.5,41.35,16.636,18.47391,7.1619,7.280961
"Kagithane","KaĞIthane",6,29.45,40.2,.90577,1.005838,4.318,4.404855
"Kagithane","KaĞIthane",7.5,29.7,40.35,6.6775,7.415217,6.1737,6.28263
"Kagithane","KaĞIthane",8,28.6,40.8,18.225,20.23846,7.2655,7.385569
"Kagithane","KaĞIthane",7.5,29.7,40.9,9.6901,10.76064,6.5661,6.679243
"Kagithane","KaĞIthane",8,29.85,41.5,11.889,13.20247,6.788,6.903301
"Kagithane","KaĞIthane",8,28.9,40.55,15.139,16.81153,7.0557,7.173758
"Kagithane","KaĞIthane",7.5,27.4,41.4,5.2487,5.828567,5.9277,6.033982
"Kagithane","KaĞIthane",7,28.2,40.2,3.3194,3.686121,5.4765,5.577694
"Kagithane","KaĞIthane",7.5,29.15,41.55,11.029,12.24746,6.706,6.820525
"Kagithane","KaĞIthane",6.5,30.1,41.85,1.6049,1.782206,4.8063,4.899474
"Kagithane","KaĞIthane",7.5,27.65,41.5,5.8031,6.444215,6.0295,6.136938
"Kagithane","KaĞIthane",6.5,30,41.2,2.368,2.629612,5.1581,5.255558
"Kagithane","KaĞIthane",7,28.55,40.15,3.5476,3.939532,5.5405,5.642529
"Kagithane","KaĞIthane",7,28.45,41.7,4.6378,5.150176,5.8036,5.908572
"Kagithane","KaĞIthane",6,30.15,41.9,.70195,.7795001,4.1115,4.195564
"Kagithane","KaĞIthane",6.5,30.75,41.05,1.3637,1.514359,4.6637,4.755135
"Kagithane","KaĞIthane",6.5,30.2,40.2,1.4213,1.578323,4.6997,4.791535
"Kagithane","KaĞIthane",6,28.4,40.85,1.8527,2.057383,4.9343,5.029052
"Kagithane","KaĞIthane",8,29.4,42,10.188,11.31355,6.62,6.73373
"Kagithane","KaĞIthane",6,29.6,40.15,.81628,.9064611,4.2329,4.31862
"Kagithane","KaĞIthane",6,28.55,40.85,2.3496,2.609179,5.1509,5.24826
"Kagithane","KaĞIthane",7,30.05,40.4,3.3516,3.721879,5.4857,5.587079
"Kagithane","KaĞIthane",7,29.65,41.15,6.5287,7.249979,6.1504,6.259097
"Kagithane","KaĞIthane",6,29.2,40.2,.96538,1.072033,4.3707,4.458255
"Kagithane","KaĞIthane",6.5,29.5,41.75,2.3747,2.637052,5.1607,5.258204
"Kagithane","KaĞIthane",8,30.05,40.7,10.774,11.96429,6.6806,6.794858
"Kagithane","KaĞIthane",8,27.8,40.15,8.3346,9.255391,6.4055,6.516975
"Kagithane","KaĞIthane",7.5,28.9,40.1,6.2711,6.963919,6.1089,6.217192
"Kagithane","KaĞIthane",8,27.7,41.95,8.3446,9.266496,6.4068,6.518257
"Kagithane","KaĞIthane",6.5,29.5,41.3,4.1484,4.606708,5.6932,5.796935
"Kagithane","KaĞIthane",7,28.25,40.1,3.1465,3.494119,5.4252,5.525869
"Kagithane","KaĞIthane",7.5,28.8,41.2,23.007,25.54877,7.5341,7.656744
"Kagithane","KaĞIthane",6.5,28,40.2,1.5662,1.739231,4.7847,4.877662
"Kagithane","KaĞIthane",7,29.6,40.9,6.5964,7.325158,6.161,6.269863
"Kagithane","KaĞIthane",7,27.65,40.65,3.2275,3.584068,5.4495,5.550456
"Kagithane","KaĞIthane",6,30.4,41.55,.72566,.8058295,4.138,4.222448
"Kagithane","KaĞIthane",8,28.7,41.45,17.738,19.69766,7.2346,7.354419
"Kagithane","KaĞIthane",8,29.05,41.8,12.469,13.84655,6.8402,6.956121
"Kagithane","KaĞIthane",8,28.7,39.95,9.0247,10.02173,6.49,6.602338
"Kagithane","KaĞIthane",6.5,29.95,40.45,1.8846,2.092807,4.9496,5.044603
"Kagithane","KaĞIthane",6.5,29.2,40.9,7.4428,8.265066,6.2865,6.396688
"Kagithane","KaĞIthane",7,30.3,42,2.6983,2.996403,5.2797,5.378674
"Kagithane","KaĞIthane",6.5,29.5,41.45,3.4484,3.829373,5.5132,5.614816
"Kagithane","KaĞIthane",8,29.05,40.65,17.425,19.35008,7.2144,7.333986
"Kagithane","KaĞIthane",7.5,27.6,40.85,5.863,6.510733,6.04,6.147528
"Kagithane","KaĞIthane",7.5,27.9,40.4,5.8746,6.523615,6.042,6.149567
"Kagithane","KaĞIthane",7.5,29,40.2,6.8374,7.592783,6.1982,6.3074
"Kagithane","KaĞIthane",6.5,28.75,40.85,6.1813,6.864198,6.0941,6.202219
"Kagithane","KaĞIthane",7,29.75,40.2,3.3508,3.72099,5.4855,5.586847
"Kagithane","KaĞIthane",7.5,27.65,40.85,6.027,6.692852,6.0682,6.176031
"Kagithane","KaĞIthane",6,27.7,40.75,.82883,.9203976,4.2453,4.331196
"Kagithane","KaĞIthane",6.5,29.3,40.7,4.0641,4.513094,5.673,5.776525
"Kagithane","KaĞIthane",6.5,28.5,40,1.5848,1.759886,4.7951,4.888204
"Kagithane","KaĞIthane",6.5,30.3,40.4,1.5039,1.670048,4.749,4.84153
"Kagithane","KaĞIthane",6,28.9,41.45,2.5843,2.869809,5.2393,5.337774
"Kagithane","KaĞIthane",6.5,27.65,41.1,1.8035,2.002747,4.9101,5.004596
"Kagithane","KaĞIthane",8,28.8,41.85,11.794,13.09698,6.7792,6.894429
"Kagithane","KaĞIthane",7.5,28.45,41.35,10.979,12.19194,6.701,6.815535
"Kagithane","KaĞIthane",7.5,30.45,40.55,5.2716,5.853996,5.9321,6.038424
"Kagithane","KaĞIthane",7,28.35,41.3,6.2667,6.959033,6.1082,6.216463
"Kagithane","KaĞIthane",7.5,30.35,41.9,5.0217,5.576488,5.8832,5.988988
"Kagithane","KaĞIthane",6.5,27.5,41.6,1.4741,1.636956,4.7315,4.823778
"Kagithane","KaĞIthane",8,29.85,41.2,13.202,14.66053,6.9033,7.019781
"Kagithane","KaĞIthane",7.5,30.35,41.05,6.0728,6.743711,6.0759,6.183867
"Kagithane","KaĞIthane",7,29.15,39.95,3.1261,3.471466,5.419,5.519588
"Kagithane","KaĞIthane",8,30.25,42,8.2606,9.173216,6.3961,6.507447
"Kagithane","KaĞIthane",6,27.5,41.3,.73837,.8199437,4.1519,4.236547
"Kagithane","KaĞIthane",8,27.45,40.95,8.9553,9.944665,6.4818,6.594025
"Kagithane","KaĞIthane",7.5,30.1,41.6,6.2969,6.992569,6.1131,6.221458
"Kagithane","KaĞIthane",7.5,29.85,41.4,8.0323,8.919693,6.3665,6.477558
"Kagithane","KaĞIthane",6.5,30.15,41.65,1.7493,1.942559,4.8828,4.976964
"Kagithane","KaĞIthane",7.5,30.25,40.25,5.1361,5.703526,5.9058,6.011886
"Kagithane","KaĞIthane",6.5,28.75,40.95,8.0657,8.956783,6.3709,6.481978
"Kagithane","KaĞIthane",7,28.9,41.85,4.4621,4.955064,5.7652,5.869761
"Kagithane","KaĞIthane",6.5,29.15,39.95,1.5919,1.76777,4.7991,4.892199
"Kagithane","KaĞIthane",7.5,28.8,40.8,15.228,16.91036,7.0623,7.180394
"Kagithane","KaĞIthane",6.5,30.65,41.5,1.377,1.529128,4.6722,4.763658
"Kagithane","KaĞIthane",6.5,27.55,41.2,1.6683,1.852611,4.8406,4.934224
"Kagithane","KaĞIthane",6,29.25,40,.76726,.8520254,4.1828,4.267823
"Kagithane","KaĞIthane",7.5,29.65,40.85,9.9113,11.00628,6.5904,6.703754
"Kagithane","KaĞIthane",6,28.3,41.35,1.5713,1.744894,4.7876,4.880563
