location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kahramanmaras","KahramanmaraŞ",7.5,38.2,37.7,5.5525,6.16593,5.9846,6.091545
"Kahramanmaras","KahramanmaraŞ",6,36.8,39.25,.84696,.9405305,4.263,4.349074
"Kahramanmaras","KahramanmaraŞ",7,37.15,38.2,15.201,16.88038,7.0603,7.178384
"Kahramanmaras","KahramanmaraŞ",8,36.75,39.15,10.575,11.74331,6.6604,6.774444
"Kahramanmaras","KahramanmaraŞ",6,36.4,38.1,2.2045,2.448049,5.0922,5.188865
"Kahramanmaras","KahramanmaraŞ",6.5,36.75,37.6,2.7811,3.088351,5.3081,5.407428
"Kahramanmaras","KahramanmaraŞ",6,36.7,37.25,.84771,.9413634,4.2637,4.349807
"Kahramanmaras","KahramanmaraŞ",7.5,36.7,37.05,5.3478,5.938615,5.9466,6.053081
"Kahramanmaras","KahramanmaraŞ",8,36.95,37.6,13.399,14.8793,6.9197,7.036344
"Kahramanmaras","KahramanmaraŞ",7,36,37.85,4.2057,4.670338,5.7067,5.810596
"Kahramanmaras","KahramanmaraŞ",6,37.55,37.4,.87329,.9697694,4.288,4.374453
"Kahramanmaras","KahramanmaraŞ",7,36.3,38.6,5.5882,6.205574,5.9911,6.098122
"Kahramanmaras","KahramanmaraŞ",6,37.05,37,.66651,.7401448,4.0704,4.15387
"Kahramanmaras","KahramanmaraŞ",7,37.7,38.3,5.4185,6.017126,5.9598,6.066512
"Kahramanmaras","KahramanmaraŞ",6,36,37.5,.82192,.9127241,4.2385,4.324292
"Kahramanmaras","KahramanmaraŞ",8,35.95,38.25,12.019,13.34684,6.7999,6.91534
"Kahramanmaras","KahramanmaraŞ",7.5,36.25,37.25,5.6533,6.277866,6.0029,6.11002
"Kahramanmaras","KahramanmaraŞ",7,36.1,37.55,3.701,4.109879,5.5816,5.684052
"Kahramanmaras","KahramanmaraŞ",6.5,38.3,37.85,1.5647,1.737565,4.7839,4.876807
"Kahramanmaras","KahramanmaraŞ",7,37.35,37.2,3.231,3.587955,5.4506,5.551506
"Kahramanmaras","KahramanmaraŞ",6,36.5,38.75,1.5167,1.684262,4.7565,4.84906
"Kahramanmaras","KahramanmaraŞ",8,35.9,38.65,10.757,11.94541,6.6789,6.793128
"Kahramanmaras","KahramanmaraŞ",7.5,37.15,39.2,6.3386,7.038877,6.1199,6.22832
"Kahramanmaras","KahramanmaraŞ",7.5,37.2,39.3,5.8422,6.487635,6.0364,6.143862
"Kahramanmaras","KahramanmaraŞ",7.5,37.35,39.15,6.3686,7.072191,6.1248,6.233232
"Kahramanmaras","KahramanmaraŞ",7,36.95,37.6,5.2243,5.801471,5.923,6.029231
"Kahramanmaras","KahramanmaraŞ",6.5,35.6,38.45,1.7297,1.920794,4.8728,4.966784
"Kahramanmaras","KahramanmaraŞ",8,38.1,38.3,10.437,11.59006,6.6462,6.760082
"Kahramanmaras","KahramanmaraŞ",8,36.6,37.4,10.855,12.05424,6.6887,6.80307
"Kahramanmaras","KahramanmaraŞ",6,37.25,39.25,.81989,.9104699,4.2365,4.322255
"Kahramanmaras","KahramanmaraŞ",6.5,37.3,38,4.6996,5.218803,5.8168,5.92191
"Kahramanmaras","KahramanmaraŞ",8,36.9,38.55,22.079,24.51825,7.4862,7.60841
"Kahramanmaras","KahramanmaraŞ",7,36,37.95,4.4171,4.905093,5.7552,5.859601
"Kahramanmaras","KahramanmaraŞ",8,36.7,37.9,19.003,21.10242,7.3132,7.433797
"Kahramanmaras","KahramanmaraŞ",8,35.95,39.1,9.1076,10.11379,6.4998,6.612194
"Kahramanmaras","KahramanmaraŞ",7,38.05,37.9,3.6591,4.06335,5.5706,5.672865
"Kahramanmaras","KahramanmaraŞ",6.5,37.45,39.45,1.4212,1.578211,4.6996,4.791472
"Kahramanmaras","KahramanmaraŞ",8,36.1,39.25,8.8472,9.824622,6.4689,6.58096
"Kahramanmaras","KahramanmaraŞ",8,36.15,37.8,12.117,13.45566,6.8088,6.924337
"Kahramanmaras","KahramanmaraŞ",6.5,37.65,38.65,2.5927,2.879137,5.2423,5.340842
"Kahramanmaras","KahramanmaraŞ",7,36.55,39.3,3.2488,3.607721,5.4558,5.55683
"Kahramanmaras","KahramanmaraŞ",7,37.7,37.45,3.4955,3.881676,5.5262,5.628061
"Kahramanmaras","KahramanmaraŞ",8,36.7,39.45,8.7095,9.671709,6.4522,6.564107
"Kahramanmaras","KahramanmaraŞ",6,36.4,39,1.0198,1.132466,4.4164,4.504545
"Kahramanmaras","KahramanmaraŞ",6,36.85,37.65,1.5283,1.697144,4.7632,4.855835
"Kahramanmaras","KahramanmaraŞ",7,37.65,39.1,3.4264,3.804942,5.507,5.608573
"Kahramanmaras","KahramanmaraŞ",6.5,36.55,37.4,2.0423,2.267929,5.0224,5.118221
"Kahramanmaras","KahramanmaraŞ",7.5,35.7,38.85,5.6464,6.270204,6.0017,6.108765
"Kahramanmaras","KahramanmaraŞ",7.5,37.75,38.65,7.626,8.468506,6.312,6.42242
"Kahramanmaras","KahramanmaraŞ",6.5,37.6,37.1,1.4316,1.58976,4.706,4.797906
"Kahramanmaras","KahramanmaraŞ",7.5,36.5,38.6,11.03,12.24857,6.7061,6.820624
"Kahramanmaras","KahramanmaraŞ",7,37.25,37.75,5.9234,6.577806,6.0505,6.158107
"Kahramanmaras","KahramanmaraŞ",6,35.85,37.4,.70283,.7804773,4.1125,4.196576
"Kahramanmaras","KahramanmaraŞ",6,38.2,37.45,.64324,.7143039,4.0424,4.125433
"Kahramanmaras","KahramanmaraŞ",8,36.25,37.85,13.258,14.72272,6.908,7.024512
"Kahramanmaras","KahramanmaraŞ",6,37.5,38.65,1.4844,1.648394,4.7376,4.829949
"Kahramanmaras","KahramanmaraŞ",7,36.3,37.45,3.7557,4.170623,5.5959,5.698488
"Kahramanmaras","KahramanmaraŞ",7,35.8,38.35,3.9471,4.383168,5.6444,5.747563
"Kahramanmaras","KahramanmaraŞ",7.5,36.85,39.4,5.5289,6.139722,5.9803,6.087175
"Kahramanmaras","KahramanmaraŞ",6,36.9,38.1,6.9846,7.756245,6.2203,6.329745
"Kahramanmaras","KahramanmaraŞ",7,37.55,37.75,4.8304,5.364053,5.8442,5.949632
"Kahramanmaras","KahramanmaraŞ",7.5,37.25,37.7,9.2171,10.23539,6.5125,6.625087
"Kahramanmaras","KahramanmaraŞ",7,36.45,37.55,4.378,4.861673,5.7464,5.850698
"Kahramanmaras","KahramanmaraŞ",7.5,37.25,38.05,14.864,16.50615,7.0352,7.153025
"Kahramanmaras","KahramanmaraŞ",6.5,36.35,37.35,1.8204,2.021514,4.9185,5.013062
"Kahramanmaras","KahramanmaraŞ",8,36.65,37.35,10.545,11.70999,6.6573,6.771336
"Kahramanmaras","KahramanmaraŞ",6,36.05,37.9,1.1607,1.288932,4.5255,4.615044
"Kahramanmaras","KahramanmaraŞ",7.5,35.8,37.45,5.4225,6.021567,5.9606,6.067267
"Kahramanmaras","KahramanmaraŞ",6.5,37.45,37.9,3.362,3.733427,5.4887,5.590093
"Kahramanmaras","KahramanmaraŞ",8,35.35,37.7,8.1251,9.022746,6.3787,6.489799
"Kahramanmaras","KahramanmaraŞ",6,36.7,37.55,1.2484,1.386321,4.5876,4.678013
"Kahramanmaras","KahramanmaraŞ",7.5,37.35,38.8,8.6958,9.656495,6.4505,6.562417
"Kahramanmaras","KahramanmaraŞ",6,37.3,38.3,3.1786,3.529766,5.4349,5.535679
"Kahramanmaras","KahramanmaraŞ",7,36.75,39.2,3.6384,4.040363,5.565,5.667296
"Kahramanmaras","KahramanmaraŞ",7.5,35.35,38.45,5.2197,5.796362,5.9221,6.028332
"Kahramanmaras","KahramanmaraŞ",8,37.15,37.7,14.476,16.07528,7.0057,7.123174
"Kahramanmaras","KahramanmaraŞ",6.5,37.1,37.9,4.8927,5.433236,5.8571,5.9626
"Kahramanmaras","KahramanmaraŞ",8,37,38.75,15.699,17.4334,7.0965,7.214942
"Kahramanmaras","KahramanmaraŞ",7.5,35.6,37.75,5.5632,6.177812,5.9866,6.09352
"Kahramanmaras","KahramanmaraŞ",7.5,36.85,39.15,6.7012,7.441536,6.1773,6.286335
"Kahramanmaras","KahramanmaraŞ",6.5,36.2,38.95,2.0248,2.248496,5.0145,5.110305
"Kahramanmaras","KahramanmaraŞ",7,37.3,38.35,9.7301,10.80506,6.5706,6.683712
"Kahramanmaras","KahramanmaraŞ",7,36.2,38.15,5.844,6.489634,6.0367,6.144179
"Kahramanmaras","KahramanmaraŞ",7,35.85,39.1,3.003,3.334766,5.3808,5.480893
"Kahramanmaras","KahramanmaraŞ",8,35.65,38.85,9.0013,9.995747,6.4873,6.599542
"Kahramanmaras","KahramanmaraŞ",7,36.55,37.3,3.5613,3.954746,5.5443,5.646302
"Kahramanmaras","KahramanmaraŞ",6.5,37.55,37.25,1.6304,1.810524,4.8202,4.913594
"Kahramanmaras","KahramanmaraŞ",8,36.45,37.85,15.148,16.82152,7.0564,7.17443
"Kahramanmaras","KahramanmaraŞ",7.5,36.05,39.2,5.4807,6.086197,5.9714,6.0782
"Kahramanmaras","KahramanmaraŞ",7.5,37.5,39.25,5.7347,6.368259,6.0174,6.124725
"Kahramanmaras","KahramanmaraŞ",8,38.4,37.95,8.7655,9.733896,6.459,6.57099
"Kahramanmaras","KahramanmaraŞ",7.5,38.25,38.75,5.5119,6.120844,5.9772,6.084018
"Kahramanmaras","KahramanmaraŞ",7,35.35,38.65,2.7966,3.105563,5.3134,5.412726
"Kahramanmaras","KahramanmaraŞ",6,36.8,37.25,.85749,.9522239,4.273,4.359305
"Kahramanmaras","KahramanmaraŞ",7.5,36.75,37.3,6.4426,7.154366,6.1367,6.245258
"Kahramanmaras","KahramanmaraŞ",7,37.55,39.1,3.5555,3.948305,5.5427,5.644706
"Kahramanmaras","KahramanmaraŞ",7.5,36.9,39.3,5.9435,6.600127,6.0539,6.161607
"Kahramanmaras","KahramanmaraŞ",7.5,36.35,38.1,11.304,12.55284,6.7328,6.84761
"Kahramanmaras","KahramanmaraŞ",7.5,38.2,38.5,6.0147,6.679193,6.0661,6.173917
"Kahramanmaras","KahramanmaraŞ",7,37.75,37.25,3.0001,3.331545,5.3799,5.479964
"Kahramanmaras","KahramanmaraŞ",6.5,36.05,38.65,2.3123,2.567759,5.1361,5.23331
"Kahramanmaras","KahramanmaraŞ",8,35.35,38.15,8.6331,9.586868,6.4428,6.554652
"Kahramanmaras","KahramanmaraŞ",8,37.1,38.45,25.056,27.82414,7.6339,7.757469
"Kahramanmaras","KahramanmaraŞ",6,37.35,37.95,2.0826,2.312682,5.0401,5.136225
"Kahramanmaras","KahramanmaraŞ",6.5,37.7,39.3,1.4865,1.650726,4.7389,4.831203
"Kahramanmaras","KahramanmaraŞ",7,37.1,38.8,5.7981,6.438663,6.0286,6.13605
"Kahramanmaras","KahramanmaraŞ",7,37.9,39.15,3.0131,3.345982,5.384,5.48412
"Kahramanmaras","KahramanmaraŞ",7.5,37.1,39.4,5.4991,6.10663,5.9748,6.081635
"Kahramanmaras","KahramanmaraŞ",6,36.6,38.5,2.7192,3.019612,5.287,5.386005
"Kahramanmaras","KahramanmaraŞ",7.5,35.7,37.95,6.2039,6.889295,6.0978,6.206006
"Kahramanmaras","KahramanmaraŞ",6.5,35.8,37.3,1.4037,1.558778,4.6888,4.780552
"Kahramanmaras","KahramanmaraŞ",7.5,37.4,39.4,5.3145,5.901636,5.9402,6.046699
"Kahramanmaras","KahramanmaraŞ",8,35.9,37.7,10.181,11.30578,6.6193,6.732981
"Kahramanmaras","KahramanmaraŞ",7,37,38.35,21.189,23.52992,7.4385,7.560287
"Kahramanmaras","KahramanmaraŞ",7.5,37.5,37.45,6.6305,7.363025,6.1664,6.275249
"Kahramanmaras","KahramanmaraŞ",7.5,35.5,37.85,5.4367,6.037336,5.9632,6.069944
"Kahramanmaras","KahramanmaraŞ",6,37.05,37.65,1.5074,1.673935,4.7511,4.843595
"Kahramanmaras","KahramanmaraŞ",7.5,35.95,37.65,6.3798,7.084628,6.1266,6.23506
"Kahramanmaras","KahramanmaraŞ",8,38.15,38.6,9.7472,10.82405,6.5725,6.685618
"Kahramanmaras","KahramanmaraŞ",8,38.4,37.7,8.365,9.289149,6.4094,6.520867
"Kahramanmaras","KahramanmaraŞ",7.5,35.5,38,5.5961,6.214346,5.9926,6.099573
"Kahramanmaras","KahramanmaraŞ",8,36.05,39.15,9.1648,10.17731,6.5065,6.618946
"Kahramanmaras","KahramanmaraŞ",6,38.45,38,.67654,.7512829,4.0822,4.165862
"Kahramanmaras","KahramanmaraŞ",7,37.2,39.1,3.9337,4.368288,5.6411,5.744197
"Kahramanmaras","KahramanmaraŞ",6.5,37.45,37.1,1.4865,1.650726,4.7389,4.831203
"Kahramanmaras","KahramanmaraŞ",6,36.9,38,4.0742,4.52431,5.6755,5.77899
"Kahramanmaras","KahramanmaraŞ",6.5,37.05,37.7,3.2991,3.663578,5.4706,5.571735
"Kahramanmaras","KahramanmaraŞ",6.5,38.3,37.9,1.5874,1.762773,4.7966,4.889668
"Kahramanmaras","KahramanmaraŞ",6,36.35,38.45,1.9122,2.123456,4.9627,5.057871
"Kahramanmaras","KahramanmaraŞ",6.5,37.6,37.05,1.3813,1.533903,4.6749,4.766398
"Kahramanmaras","KahramanmaraŞ",7,37.15,38.1,12.737,14.14416,6.8637,6.97978
"Kahramanmaras","KahramanmaraŞ",6.5,35.8,38.65,1.8914,2.100358,4.9529,5.047888
"Kahramanmaras","KahramanmaraŞ",7.5,37.45,38.35,11.972,13.29464,6.7956,6.911001
"Kahramanmaras","KahramanmaraŞ",7.5,38.1,38.15,6.5332,7.254975,6.1511,6.259815
"Kahramanmaras","KahramanmaraŞ",7,36.05,38.65,4.3582,4.839685,5.7419,5.846162
"Kahramanmaras","KahramanmaraŞ",7.5,35.6,38.3,6.0448,6.712618,6.0712,6.179082
"Kahramanmaras","KahramanmaraŞ",6,35.55,38.7,.72353,.8034642,4.1357,4.220065
"Kahramanmaras","KahramanmaraŞ",6.5,36.5,38.55,4.1078,4.561622,5.6836,5.787152
"Kahramanmaras","KahramanmaraŞ",6.5,36.75,38.95,2.5468,2.828166,5.2257,5.323969
"Kahramanmaras","KahramanmaraŞ",6.5,35.85,39.25,1.39,1.543565,4.6803,4.771919
"Kahramanmaras","KahramanmaraŞ",6.5,37.3,37.15,1.5984,1.774988,4.8027,4.895843
"Kahramanmaras","KahramanmaraŞ",8,36.7,37.2,9.5791,10.63738,6.5538,6.666752
"Kahramanmaras","KahramanmaraŞ",7.5,36.05,37.2,5.2054,5.780483,5.9193,6.025536
"Kahramanmaras","KahramanmaraŞ",6.5,37.1,38.5,6.2034,6.88874,6.0978,6.205922
"Kahramanmaras","KahramanmaraŞ",6.5,37.55,38.3,3.6467,4.049581,5.5673,5.669532
"Kahramanmaras","KahramanmaraŞ",8,36.6,38.8,13.952,15.49339,6.9645,7.081687
"Kahramanmaras","KahramanmaraŞ",7,35.95,38.1,4.4465,4.937741,5.7618,5.866249
"Kahramanmaras","KahramanmaraŞ",7.5,36.65,38.6,12.467,13.84433,6.8401,6.955943
"Kahramanmaras","KahramanmaraŞ",6.5,35.65,37.7,1.5992,1.775877,4.8031,4.89629
"Kahramanmaras","KahramanmaraŞ",7,37.1,38.6,8.2957,9.212193,6.4006,6.511976
"Kahramanmaras","KahramanmaraŞ",6,37.9,37.15,.61379,.6816003,4.0056,4.088137
"Kahramanmaras","KahramanmaraŞ",7,38.2,37.95,3.3581,3.729096,5.4876,5.588964
"Kahramanmaras","KahramanmaraŞ",7.5,38.5,38.4,5.1874,5.760494,5.9158,6.022007
"Kahramanmaras","KahramanmaraŞ",7,37.35,37.1,2.9972,3.328325,5.3789,5.479035
"Kahramanmaras","KahramanmaraŞ",6,36.1,37.5,.8722,.968559,4.287,4.373416
"Kahramanmaras","KahramanmaraŞ",7,36.2,38.25,5.9208,6.574919,6.05,6.157654
"Kahramanmaras","KahramanmaraŞ",7.5,37.3,38.8,8.9069,9.890918,6.476,6.588193
"Kahramanmaras","KahramanmaraŞ",6,35.8,38.7,.87153,.967815,4.2863,4.372778
"Kahramanmaras","KahramanmaraŞ",7.5,35.9,38.85,6.2133,6.899734,6.0994,6.207577
"Kahramanmaras","KahramanmaraŞ",6,37.85,37.5,.8115,.901153,4.2281,4.313785
"Kahramanmaras","KahramanmaraŞ",8,37.4,37.05,8.5307,9.473156,6.4302,6.541862
"Kahramanmaras","KahramanmaraŞ",7,35.8,37.35,2.8678,3.184629,5.3371,5.436732
"Kahramanmaras","KahramanmaraŞ",8,36.8,39.05,11.479,12.74718,6.7496,6.864538
"Kahramanmaras","KahramanmaraŞ",6.5,37.15,37.45,2.2354,2.482363,5.105,5.201798
"Kahramanmaras","KahramanmaraŞ",6,35.8,38.9,.77672,.8625305,4.1927,4.277842
"Kahramanmaras","KahramanmaraŞ",7,37.1,37.9,8.4925,9.430736,6.4254,6.537055
"Kahramanmaras","KahramanmaraŞ",6,36.95,38.95,1.2653,1.405088,4.5992,4.689699
"Kahramanmaras","KahramanmaraŞ",8,38.1,37.4,8.502,9.441285,6.4266,6.538252
"Kahramanmaras","KahramanmaraŞ",7,37.85,39.2,2.9808,3.310113,5.3737,5.473764
