location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Karabuk","KarabÜK",7.5,32.7,40.3,5.5954,6.213569,5.9924,6.099444
"Karabuk","KarabÜK",8,33.3,41.7,19.189,21.30896,7.3244,7.445062
"Karabuk","KarabÜK",7,32.6,40.15,2.7762,3.082909,5.3065,5.405748
"Karabuk","KarabÜK",7.5,34.7,41.2,4.956,5.50353,5.87,5.975625
"Karabuk","KarabÜK",7.5,31.95,40.4,5.1198,5.685426,5.9026,6.008652
"Karabuk","KarabÜK",6,32.3,40.65,.94265,1.046792,4.3509,4.438242
"Karabuk","KarabÜK",7.5,31.4,41.9,5.1759,5.747724,5.9136,6.019746
"Karabuk","KarabÜK",6.5,33.15,40.8,2.8595,3.175412,5.3344,5.433961
"Karabuk","KarabÜK",7,32.4,41.85,5.6039,6.223008,5.994,6.101003
"Karabuk","KarabÜK",7,34.2,41.7,3.6165,4.016044,5.5592,5.661374
"Karabuk","KarabÜK",8,33,40.65,11.85,13.15917,6.7844,6.899667
"Karabuk","KarabÜK",7.5,33.5,40.6,6.6313,7.363914,6.1665,6.275374
"Karabuk","KarabÜK",7,33.65,41.7,5.6755,6.302518,6.0069,6.114049
"Karabuk","KarabÜK",7,32.1,40.95,4.3071,4.78294,5.7302,5.83437
"Karabuk","KarabÜK",7,32.95,40.65,4.4415,4.932189,5.7607,5.865121
"Karabuk","KarabÜK",7.5,32.4,41.1,10.253,11.38573,6.6269,6.740664
"Karabuk","KarabÜK",7.5,32.95,40.6,7.2379,8.03753,6.2574,6.367225
"Karabuk","KarabÜK",7,33,40.25,3.0482,3.384959,5.395,5.495262
"Karabuk","KarabÜK",7,33.6,40.7,3.9904,4.431252,5.6551,5.75837
"Karabuk","KarabÜK",7.5,31.95,41.95,6.6352,7.368244,6.1671,6.275989
"Karabuk","KarabÜK",8,31.95,40.95,10.748,11.93542,6.678,6.792211
"Karabuk","KarabÜK",6.5,31.8,41.25,2.0575,2.284809,5.0291,5.125048
"Karabuk","KarabÜK",7,32.45,40.75,4.4369,4.92708,5.7596,5.864083
"Karabuk","KarabÜK",7.5,33.8,42,7.0269,7.803218,6.2265,6.336088
"Karabuk","KarabÜK",7.5,33.65,40.7,6.791,7.541257,6.1911,6.300266
"Karabuk","KarabÜK",7,32.6,41.7,8.2805,9.195314,6.3987,6.510017
"Karabuk","KarabÜK",7.5,33.5,41.4,12.551,13.93761,6.8474,6.963408
"Karabuk","KarabÜK",6.5,33.55,40.75,2.2586,2.508126,5.1144,5.211405
"Karabuk","KarabÜK",6,33.4,41.35,2.8486,3.163308,5.3308,5.430311
"Karabuk","KarabÜK",8,33.6,41.4,16.287,18.08636,7.1379,7.256775
"Karabuk","KarabÜK",6,33.2,40.35,.77833,.8643184,4.1943,4.279537
"Karabuk","KarabÜK",6.5,32.9,40.15,1.4238,1.581099,4.7012,4.793085
"Karabuk","KarabÜK",7,33.35,41.25,9.1937,10.2094,6.5098,6.622344
"Karabuk","KarabÜK",7,34.2,40.75,3.0951,3.437041,5.4095,5.509973
"Karabuk","KarabÜK",6,32.45,40.45,.81443,.9044067,4.2311,4.316751
"Karabuk","KarabÜK",6.5,32.1,40.3,1.3984,1.552893,4.6855,4.777221
"Karabuk","KarabÜK",8,33.35,40.2,8.5143,9.454944,6.4281,6.5398
"Karabuk","KarabÜK",6.5,33.8,41.25,2.7859,3.093681,5.3098,5.409071
"Karabuk","KarabÜK",8,34.5,40.85,8.347,9.26916,6.4071,6.518564
"Karabuk","KarabÜK",6.5,32.8,41.55,10.266,11.40017,6.6284,6.742047
