location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Karaman","Karaman",7,32.8,38.05,3.5695,3.963852,5.5465,5.648554
"Karaman","Karaman",6.5,34.85,37.5,1.9564,2.172539,4.9834,5.078771
"Karaman","Karaman",8,33.85,36.65,12.399,13.76882,6.834,6.949865
"Karaman","Karaman",7.5,32.5,38.3,4.9557,5.503196,5.8699,5.975564
"Karaman","Karaman",6,34.65,37.8,.99182,1.101394,4.3932,4.481023
"Karaman","Karaman",6.5,32.6,36.85,1.802,2.001081,4.9094,5.003841
"Karaman","Karaman",6,33.55,38.15,1.1067,1.228966,4.4851,4.574162
"Karaman","Karaman",6,33.15,36.75,1.1845,1.315361,4.5427,4.632535
"Karaman","Karaman",7,35.15,36.8,2.7923,3.100788,5.3119,5.411259
"Karaman","Karaman",6.5,33.25,36.25,1.5559,1.727793,4.7789,4.871777
"Karaman","Karaman",6.5,34.9,37.9,1.6542,1.836953,4.8331,4.926598
"Karaman","Karaman",6.5,33.55,37.15,7.561,8.396325,6.303,6.413355
"Karaman","Karaman",7,34.5,37.65,4.8323,5.366163,5.8446,5.950029
"Karaman","Karaman",7.5,34.4,37.55,9.3609,10.39507,6.5291,6.641812
"Karaman","Karaman",7,33.65,38.5,3.1321,3.478128,5.4208,5.521439
"Karaman","Karaman",8,33.1,37.7,14.436,16.03086,7.0025,7.120055
"Karaman","Karaman",6.5,32.8,37.8,2.1952,2.437721,5.0883,5.184941
"Karaman","Karaman",7,33,36.15,2.7169,3.017058,5.2862,5.385201
"Karaman","Karaman",6,32.95,38.4,.70304,.7807105,4.1128,4.196817
"Karaman","Karaman",6.5,34.2,36.65,2.2241,2.469814,5.1003,5.197087
"Karaman","Karaman",6,32.7,38.2,.73375,.8148133,4.1469,4.231447
"Karaman","Karaman",6,34.95,37.8,.77715,.8630081,4.1931,4.278295
"Karaman","Karaman",7.5,33.25,36.8,8.5797,9.527569,6.4363,6.547999
"Karaman","Karaman",8,33.8,38.4,9.6827,10.75243,6.5653,6.678414
"Karaman","Karaman",6.5,34.15,37.85,3.0057,3.337764,5.3816,5.481756
"Karaman","Karaman",6.5,34.1,36.2,1.5028,1.668826,4.7484,4.84088
"Karaman","Karaman",7,33.5,38.4,3.3726,3.745198,5.4917,5.593156
"Karaman","Karaman",7.5,34.25,37.55,11.019,12.23636,6.705,6.819529
"Karaman","Karaman",7,33.15,36.6,3.9667,4.404933,5.6493,5.752468
"Karaman","Karaman",7.5,33.7,36.75,9.136,10.14533,6.5031,6.615551
"Karaman","Karaman",6.5,33.85,38.55,1.5193,1.687149,4.758,4.850583
"Karaman","Karaman",7,33.55,38.7,2.6987,2.996847,5.2799,5.378815
"Karaman","Karaman",8,33.45,37.4,29.501,32.76022,7.827,7.952423
"Karaman","Karaman",7.5,33.45,36.5,6.8425,7.598446,6.1989,6.308181
"Karaman","Karaman",6,34.1,36.6,1.0565,1.17322,4.446,4.534556
"Karaman","Karaman",7,34.65,37.4,4.4914,4.987601,5.7717,5.876327
"Karaman","Karaman",6,33.8,37.8,2.1114,2.344663,5.0527,5.148903
"Karaman","Karaman",7.5,33.6,38.6,5.2329,5.811021,5.9246,6.030908
"Karaman","Karaman",8,33.45,37.8,16.406,18.2185,7.1462,7.265074
"Karaman","Karaman",6.5,32.5,36.8,1.6459,1.827736,4.8286,4.922081
"Karaman","Karaman",7.5,34.5,37.65,8.1884,9.093039,6.3868,6.498076
"Karaman","Karaman",7.5,33.55,37.4,31.064,34.49589,7.8886,8.014637
"Karaman","Karaman",7,33.25,38.6,2.806,3.116002,5.3166,5.415926
"Karaman","Karaman",7.5,34.2,38.3,6.1049,6.779358,6.0813,6.189327
"Karaman","Karaman",6.5,33.5,37.6,6.4649,7.17913,6.1402,6.248858
"Karaman","Karaman",8,34.8,37.85,9.9194,11.01528,6.5913,6.704642
"Karaman","Karaman",6.5,34.8,37.8,1.853,2.057716,4.9344,5.029199
"Karaman","Karaman",8,34.1,38.15,11.099,12.3252,6.7129,6.827477
"Karaman","Karaman",6,33.85,36.1,.65498,.7273409,4.0566,4.13989
"Karaman","Karaman",7,33.95,38.45,3.2122,3.567078,5.445,5.545854
"Karaman","Karaman",6,33.5,38.35,.85672,.9513688,4.2723,4.358561
"Karaman","Karaman",7.5,33.4,37.25,17.897,19.87423,7.2448,7.364674
"Karaman","Karaman",8,34.95,37.65,9.6947,10.76575,6.5667,6.679758
"Karaman","Karaman",8,34,38.55,8.7312,9.695807,6.4548,6.566779
"Karaman","Karaman",8,33.15,36.75,12.11,13.44789,6.8082,6.923697
