location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kars","Kars",6,43.5,39.5,.66798,.7417772,4.0721,4.155637
"Kars","Kars",8,42.3,40.7,9.9001,10.99384,6.5892,6.702525
"Kars","Kars",6,43.9,41.1,2.3082,2.563205,5.1344,5.231653
"Kars","Kars",7,43.95,41.45,4.5755,5.080993,5.7902,5.894963
"Kars","Kars",8,42.75,39.95,9.7062,10.77852,6.5679,6.681044
"Kars","Kars",7.5,42.6,40.1,6.1398,6.818113,6.0872,6.195234
"Kars","Kars",7.5,42.1,41.35,5.0311,5.586926,5.8851,5.990887
"Kars","Kars",7.5,43.9,41.65,6.57,7.295841,6.1569,6.265676
"Kars","Kars",8,43,40.95,15.518,17.2324,7.0835,7.201778
"Kars","Kars",7,43.85,39.8,3.6605,4.064905,5.5709,5.673241
"Kars","Kars",6.5,43.8,41.2,3.8541,4.279894,5.6211,5.723989
"Kars","Kars",6.5,43,41.15,2.923,3.245928,5.3552,5.454981
"Kars","Kars",8,42.5,41.7,8.4181,9.348116,6.4161,6.527636
"Kars","Kars",6,43.75,39.5,.66825,.742077,4.0725,4.155962
"Kars","Kars",7.5,43.15,42,5.0174,5.571713,5.8823,5.988118
"Kars","Kars",6.5,42.3,41.15,1.6778,1.86316,4.8456,4.93933
"Kars","Kars",7,42.85,40.05,3.8257,4.248356,5.6139,5.716689
"Kars","Kars",6,43.25,39.9,.97488,1.082583,4.3788,4.466498
"Kars","Kars",7,42,40.25,2.716,3.016058,5.2859,5.384886
"Kars","Kars",6,43.1,40.5,1.9983,2.219068,5.0026,5.098201
"Kars","Kars",8,43.95,41.6,10.767,11.95652,6.6799,6.794146
"Kars","Kars",6.5,44,41.75,1.7395,1.931677,4.8778,4.971887
"Kars","Kars",7,42.65,41.25,3.8864,4.315762,5.6293,5.732234
"Kars","Kars",7.5,43.65,40.6,27.29,30.30495,7.7345,7.859073
"Kars","Kars",8,42.5,41.65,8.5866,9.535232,6.4371,6.548861
"Kars","Kars",8,43.65,39.75,10.002,11.107,6.6003,6.713662
"Kars","Kars",8,43.3,41.35,13.247,14.7105,6.9071,7.023584
"Kars","Kars",6.5,42.7,39.6,1.3468,1.495592,4.6529,4.744198
"Kars","Kars",7,42.05,40.8,2.9932,3.323883,5.3776,5.477752
"Kars","Kars",6,44,40.95,2.7706,3.076691,5.3046,5.403824
"Kars","Kars",8,43.4,41.3,14.339,15.92315,6.995,7.11246
"Kars","Kars",8,43.1,41.7,9.7134,10.78652,6.5687,6.681849
"Kars","Kars",6.5,43.2,40.9,5.0751,5.635787,5.8938,5.999734
"Kars","Kars",7,42.9,41.3,4.3894,4.874332,5.749,5.853301
"Kars","Kars",8,42.25,41.55,8.2624,9.175215,6.3963,6.507679
"Kars","Kars",7,44,40.9,9.6938,10.76475,6.5666,6.679657
"Kars","Kars",7.5,43,41.6,6.3071,7.003896,6.1148,6.22314
"Kars","Kars",6.5,43.05,39.95,2.008,2.22984,5.007,5.102648
"Kars","Kars",8,42.8,39.7,8.6968,9.657606,6.4506,6.562541
"Kars","Kars",8,43.6,41.3,14.781,16.41398,7.029,7.146699
"Kars","Kars",7.5,42.75,39.95,6.0244,6.689964,6.0677,6.175584
"Kars","Kars",8,42.75,39.6,8.219,9.12702,6.3908,6.502057
"Kars","Kars",7,42.85,40.4,4.9584,5.506195,5.8704,5.976116
"Kars","Kars",6.5,42.5,40.15,1.7422,1.934675,4.8792,4.973288
"Kars","Kars",6,42,40.35,.63801,.7084962,4.0359,4.11892
"Kars","Kars",7.5,43.9,40.25,10.168,11.29134,6.618,6.731588
"Kars","Kars",6,43.35,41,2.9209,3.243596,5.3545,5.454293
"Kars","Kars",7.5,43.1,40.8,12.633,14.02867,6.8547,6.970653
"Kars","Kars",7.5,42.5,40.85,6.9808,7.752026,6.2197,6.329174
"Kars","Kars",7.5,43.55,41.7,6.4116,7.119941,6.1317,6.240235
"Kars","Kars",8,43.7,40.1,13.399,14.8793,6.9197,7.036344
"Kars","Kars",7,42,41.25,2.7218,3.022499,5.2879,5.386914
"Kars","Kars",6,42.3,40.4,.79673,.8847512,4.2132,4.298688
"Kars","Kars",6,42.7,41.25,1.0072,1.118474,4.406,4.494023
"Kars","Kars",7.5,43.2,41.85,5.5421,6.154381,5.9827,6.089622
"Kars","Kars",6.5,42.85,41,2.8451,3.159421,5.3296,5.429137
"Kars","Kars",6.5,42.65,41.6,1.6067,1.784205,4.8073,4.900477
"Kars","Kars",6,43.15,40.2,1.3798,1.532238,4.674,4.765443
"Kars","Kars",6,41.9,40.75,.63183,.7016334,4.0283,4.111163
"Kars","Kars",6,42.95,40.35,1.3925,1.546341,4.6819,4.7735
"Kars","Kars",7,43.9,40.3,6.7024,7.442868,6.1775,6.286522
"Kars","Kars",7.5,42.95,40.75,10.474,11.63115,6.65,6.76395
"Kars","Kars",7.5,43.6,40.9,25.456,28.26833,7.6525,7.776253
"Kars","Kars",7,42.9,40.9,5.8051,6.446436,6.0299,6.137293
"Kars","Kars",6,42.65,39.85,.72179,.801532,4.1338,4.218113
