location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kartal","Kartal",8,28.85,40.5,16.69,18.53388,7.1655,7.284662
"Kartal","Kartal",6,30.45,40.4,.78619,.8730468,4.2025,4.287766
"Kartal","Kartal",6,27.7,41,.74886,.8315926,4.1633,4.248024
"Kartal","Kartal",7,29.45,41.45,5.6249,6.246328,5.9978,6.104845
"Kartal","Kartal",7.5,30,41.6,6.5266,7.247646,6.15,6.258761
"Kartal","Kartal",7,28.8,40.15,4.3234,4.801041,5.734,5.838145
"Kartal","Kartal",7.5,29.7,41.4,8.8158,9.789753,6.4651,6.577138
"Kartal","Kartal",8,28.4,40.7,13.711,15.22577,6.9452,7.06213
"Kartal","Kartal",8,28.7,41.5,12.558,13.94538,6.8481,6.964028
"Kartal","Kartal",7.5,29.15,41.85,6.4089,7.116943,6.1313,6.239797
"Kartal","Kartal",6.5,28.6,41.1,3.753,4.167624,5.5952,5.697779
"Kartal","Kartal",6.5,29.8,41.05,3.7254,4.136975,5.588,5.690515
"Kartal","Kartal",7,30.25,39.95,2.8943,3.214057,5.3458,5.445532
"Kartal","Kartal",7.5,28.95,40.35,9.6743,10.7431,6.5644,6.677473
"Kartal","Kartal",8,29.15,41.9,9.8892,10.98174,6.588,6.701328
"Kartal","Kartal",6.5,27.5,40.85,1.423,1.58021,4.7007,4.792589
"Kartal","Kartal",7.5,27.6,40.7,5.3204,5.908188,5.9414,6.047832
"Kartal","Kartal",6,28.15,41.15,1.0669,1.184769,4.4542,4.542895
"Kartal","Kartal",7.5,30.7,40.8,5.553,6.166485,5.9847,6.091637
"Kartal","Kartal",8,30.2,41.55,9.8915,10.98429,6.5883,6.701581
"Kartal","Kartal",7.5,28.8,40.45,10.257,11.39017,6.6273,6.74109
"Kartal","Kartal",7.5,30.05,39.9,5.4056,6.0028,5.9574,6.064073
"Kartal","Kartal",7.5,28.2,42,4.9442,5.490426,5.8676,5.973208
"Kartal","Kartal",7.5,27.8,41.1,5.9005,6.552376,6.0465,6.154108
"Kartal","Kartal",8,29.35,39.85,9.6393,10.70423,6.5605,6.673542
"Kartal","Kartal",7,30.2,41.6,3.3911,3.765742,5.497,5.598482
"Kartal","Kartal",6,29.4,39.8,.76661,.8513036,4.1821,4.267131
"Kartal","Kartal",7,29.5,41.75,3.9049,4.336306,5.6339,5.736928
"Kartal","Kartal",7.5,29.05,39.65,5.2164,5.792698,5.9214,6.027688
"Kartal","Kartal",6,27.95,40.15,.70038,.7777566,4.1097,4.193756
"Kartal","Kartal",6.5,28.45,39.7,1.3773,1.529462,4.6724,4.763849
"Kartal","Kartal",8,28.3,41.4,11.221,12.46068,6.7247,6.839499
"Kartal","Kartal",6,30.2,41.85,.68104,.75628,4.0875,4.171192
"Kartal","Kartal",6.5,29.95,41.65,1.9105,2.121568,4.9619,5.057059
"Kartal","Kartal",7,30.4,41.35,3.4439,3.824376,5.5119,5.613542
"Kartal","Kartal",6,30.85,41.2,.64053,.7112945,4.039,4.122064
"Kartal","Kartal",6,28.25,41.4,1.0032,1.114032,4.4027,4.490659
"Kartal","Kartal",7,30.3,41.55,3.3195,3.686232,5.4765,5.577723
"Kartal","Kartal",8,30.7,41.05,9.0218,10.01851,6.4897,6.601992
"Kartal","Kartal",7.5,28.55,39.85,5.5645,6.179255,5.9868,6.09376
