location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,internsity_normal
"Kastamonu","Kastamonu",6,34.2,41.85,5.25,5.83001,5.9279,6.034235
"Kastamonu","Kastamonu",6,32.45,41.3,.61206,.6796792,4.0034,4.085898
"Kastamonu","Kastamonu",7,34.05,40.8,3.0349,3.37019,5.3908,5.491054
"Kastamonu","Kastamonu",7,34.25,41.85,13.394,14.87374,6.9193,7.035926
"Kastamonu","Kastamonu",6,33.3,41.75,1.5947,1.770879,4.8006,4.89377
"Kastamonu","Kastamonu",7,33.25,41.35,4.095,4.547408,5.6805,5.78405
"Kastamonu","Kastamonu",6,33.9,40.7,.64787,.7194455,4.048,4.131162
"Kastamonu","Kastamonu",8,33.25,40.95,8.9223,9.908019,6.4779,6.590052
"Kastamonu","Kastamonu",6,33.1,41.65,1.1793,1.309587,4.539,4.62874
"Kastamonu","Kastamonu",6,35.65,41.9,.68173,.7570462,4.0883,4.172006
"Kastamonu","Kastamonu",7.5,34.4,41,6.0997,6.773583,6.0805,6.188444
"Kastamonu","Kastamonu",8,33.25,41.8,14.207,15.77656,6.9847,7.102049
"Kastamonu","Kastamonu",7,33.65,40.75,2.8632,3.179521,5.3356,5.435197
"Kastamonu","Kastamonu",8,33.65,41.6,16.757,18.60828,7.1701,7.289239
"Kastamonu","Kastamonu",6.5,35,41.9,2.4594,2.73111,5.1932,5.291081
"Kastamonu","Kastamonu",7.5,35.6,41.95,5.4262,6.025676,5.9613,6.067966
"Kastamonu","Kastamonu",7,34.65,41.6,5.4893,6.095747,5.973,6.079807
"Kastamonu","Kastamonu",6.5,34.45,41.85,5.1776,5.749611,5.9139,6.02008
"Kastamonu","Kastamonu",7,32.55,41.5,3.0134,3.346315,5.384,5.484216
"Kastamonu","Kastamonu",6,33.45,41.7,1.861,2.0666,4.9383,5.033121
"Kastamonu","Kastamonu",6,32.35,41.55,.63254,.7024218,4.0292,4.112057
"Kastamonu","Kastamonu",6,33.4,41.8,1.9202,2.13234,4.9665,5.061686
"Kastamonu","Kastamonu",8,34.8,42,14.24,15.81321,6.9873,7.10466
"Kastamonu","Kastamonu",8,33.45,41.4,12.525,13.90874,6.8452,6.961102
"Kastamonu","Kastamonu",6,34.75,41.9,1.6474,1.829402,4.8294,4.922899
"Kastamonu","Kastamonu",7,33.5,40.8,2.9028,3.223496,5.3486,5.448339
"Kastamonu","Kastamonu",7,33.8,41.9,16.438,18.25404,7.1483,7.267297
"Kastamonu","Kastamonu",6,34.35,40.7,.63498,.7051314,4.0322,4.115125
"Kastamonu","Kastamonu",7,35.75,41.8,2.7603,3.065253,5.3011,5.400277
"Kastamonu","Kastamonu",6.5,34.45,42,5.5472,6.160044,5.9837,6.090565
"Kastamonu","Kastamonu",6,34.05,41.75,4.3407,4.820252,5.7379,5.842138
"Kastamonu","Kastamonu",7,33.75,40.9,3.2424,3.600614,5.4539,5.554918
"Kastamonu","Kastamonu",6,35.25,41.35,.75292,.8361012,4.1676,4.252429
"Kastamonu","Kastamonu",7.5,33.5,41,5.9704,6.629999,6.0585,6.166274
"Kastamonu","Kastamonu",6.5,34.05,41.55,4.2641,4.73519,5.7203,5.82435
"Kastamonu","Kastamonu",6.5,33.35,41.2,1.9781,2.196637,4.9934,5.08888
"Kastamonu","Kastamonu",6,32.8,41.7,.91586,1.017043,4.3271,4.414106
"Kastamonu","Kastamonu",7.5,33.3,40.95,5.5277,6.13839,5.9801,6.086953
"Kastamonu","Kastamonu",8,32.8,42,10.71,11.89322,6.6741,6.788331
"Kastamonu","Kastamonu",6,32.9,41.45,.87457,.9711908,4.2892,4.37567
"Kastamonu","Kastamonu",7,34.6,41.65,6.0241,6.689631,6.0677,6.175533
"Kastamonu","Kastamonu",6.5,33.75,41.1,2.0259,2.249717,5.015,5.110804
"Kastamonu","Kastamonu",6,35.3,41.7,.85382,.9481484,4.2695,4.355752
"Kastamonu","Kastamonu",7.5,32.95,40.95,5.046,5.603473,5.888,5.993891
"Kastamonu","Kastamonu",7.5,33.75,40.8,5.3914,5.987031,5.9548,6.061382
"Kastamonu","Kastamonu",7.5,34.9,41.95,8.5679,9.514465,6.4348,6.546524
"Kastamonu","Kastamonu",6,33.85,41.05,.92234,1.024238,4.3329,4.42
"Kastamonu","Kastamonu",8,34.7,41.95,15.583,17.30458,7.0882,7.206522
"Kastamonu","Kastamonu",8,34.75,41.3,10.886,12.08867,6.6919,6.806199
"Kastamonu","Kastamonu",6,34.5,41.6,1.7543,1.948112,4.8854,4.979544
"Kastamonu","Kastamonu",6.5,34.45,41.95,5.5367,6.148384,5.9817,6.088622
"Kastamonu","Kastamonu",7,34,40.85,3.157,3.505779,5.4284,5.529088
"Kastamonu","Kastamonu",7,35.15,40.95,2.7067,3.005731,5.2826,5.381627
"Kastamonu","Kastamonu",6.5,34.55,41,1.7159,1.905469,4.8656,4.959556
"Kastamonu","Kastamonu",6.5,33.7,41.2,2.2474,2.495688,5.1098,5.206779
"Kastamonu","Kastamonu",6.5,33,41.3,1.7948,1.993086,4.9058,5.00021
"Kastamonu","Kastamonu",8,32.75,41.25,8.8475,9.824955,6.4689,6.580997
"Kastamonu","Kastamonu",7,35,41.2,3.2967,3.660913,5.4699,5.571029
"Kastamonu","Kastamonu",7,33.35,41.65,5.6602,6.285528,6.0041,6.111274
"Kastamonu","Kastamonu",7.5,35.45,41.85,5.8328,6.477197,6.0347,6.142201
"Kastamonu","Kastamonu",6.5,33.65,40.75,1.4423,1.601643,4.7125,4.804483
"Kastamonu","Kastamonu",7.5,34.55,41.4,8.1648,9.066832,6.3838,6.494997
"Kastamonu","Kastamonu",8,35.25,41.75,10.284,11.42016,6.6302,6.743958
"Kastamonu","Kastamonu",7,35.4,41.25,2.8363,3.149649,5.3267,5.426178
"Kastamonu","Kastamonu",7.5,33.4,41.5,8.6207,9.573098,6.4413,6.553111
"Kastamonu","Kastamonu",7.5,32.7,41.2,5.2001,5.774597,5.9183,6.024498
"Kastamonu","Kastamonu",7.5,32.95,41.65,7.0284,7.804884,6.2268,6.336313
"Kastamonu","Kastamonu",8,34.85,41.75,13.09,14.53616,6.8938,7.010264
"Kastamonu","Kastamonu",6,32.65,41.85,.83875,.9314135,4.255,4.34102
"Kastamonu","Kastamonu",6.5,35.15,41.3,1.6664,1.850501,4.8396,4.933199
"Kastamonu","Kastamonu",6.5,32.8,41.35,1.6527,1.835287,4.8323,4.925783
"Kastamonu","Kastamonu",6,34.45,41.1,.91914,1.020685,4.3301,4.417094
"Kastamonu","Kastamonu",6.5,33.45,41.3,2.2917,2.544883,5.1278,5.224961
